ui_id,name,domain,capabilities,form_factor
P18-UI-001,Scheduling Command Center,Enterprise Scheduling Core,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-034,Acceleration Analysis,Resource Planning,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-035,Delay Event Center,Resource Loading,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-036,Time Impact Analysis,Resource Leveling,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-037,Portfolio Capacity Planner,Crew Planning,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-038,Backlog Resource Forecast,Equipment Planning,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-039,Earned Value View,Truck & Haul Planning,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-040,Cash Flow Curve,Material Planning,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-041,Forecast Completion,Subcontractor Planning,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-042,Schedule Alerts,Look-Ahead Planning,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-043,Schedule Narrative Builder,Last Planner & Commitments,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-044,AI Schedule Intelligence Review,Pull Planning,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-045,Schedule Analytics,Milestones & Contract Dates,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-046,Scheduling Digital Twin,Baseline Management,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-047,Mobile Superintendent Schedule,Schedule Update Cycle,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-048,Import/Export Center,Progress Measurement,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
P18-UI-049,Scheduling Administration,Cost & Schedule Integration,Role-based; schedule version/baseline visible; drill-through; resource/calendar context; responsive; selected field views offline capable,Web/tablet/mobile
