engine_id,name,type,purpose,governance
P14-ENG-015,Inspection Scheduling Engine,Deterministic,"Provides inspection scheduling engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-016,Inspection Finding Engine,Deterministic,"Provides inspection finding engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-017,Environmental Compliance Engine,Deterministic,"Provides environmental compliance engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-018,SWPPP Compliance Engine,Deterministic,"Provides swppp compliance engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-019,Spill Response Engine,Deterministic,"Provides spill response engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-020,Waste Compliance Engine,Deterministic,"Provides waste compliance engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-021,Industrial Hygiene Engine,Deterministic,"Provides industrial hygiene engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-022,Quality ITP Engine,Deterministic,"Provides quality itp engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-023,NCR Engine,Deterministic,"Provides ncr engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-024,Hold Point Engine,Deterministic,"Provides hold point engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-025,Test Result Validation Engine,Deterministic,"Provides test result validation engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-026,Subcontractor HSEQ Risk Engine,Deterministic,"Provides subcontractor hseq risk engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-027,Fleet Safety Engine,Deterministic,"Provides fleet safety engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-028,Operator Authorization Engine,Deterministic,"Provides operator authorization engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-029,Traffic/Public Safety Engine,Deterministic,"Provides traffic/public safety engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-030,Regulatory Calendar Engine,Deterministic,"Provides regulatory calendar engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-031,Audit Assurance Engine,Deterministic,"Provides audit assurance engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-032,HSEQ KPI Engine,Deterministic,"Provides hseq kpi engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-033,Trend & Recurrence Engine,Deterministic,"Provides trend & recurrence engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-034,HSEQ Anomaly Detection Engine,AI-assisted,"Provides hseq anomaly detection engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-035,HSEQ Executive Narrative Engine,AI-assisted,"Provides hseq executive narrative engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-036,HSEQ Recommendation Engine,AI-assisted,"Provides hseq recommendation engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-037,Evidence Retrieval Engine,AI-assisted,"Provides evidence retrieval engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-038,HSEQ Confidence Engine,AI-assisted,"Provides hseq confidence engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-039,HSEQ Digital Twin Engine,AI-assisted,"Provides hseq digital twin engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
P14-ENG-040,Emergency Readiness Engine,AI-assisted,"Provides emergency readiness engine with governed inputs, auditable outputs and explicit human authority.","AI cannot override stop-work, regulatory, competent-person, quality hold-point or safety-critical controls"
