Requirement_ID,Module,Test_ID,Entity_ID,API_ID,UI_ID,Status
P11-REQ-045,Strategic Sourcing,P11-TST-045,P11-ENT-045,P11-API-009,P11-UI-001,Mapped
P11-REQ-046,Strategic Sourcing,P11-TST-046,P11-ENT-046,P11-API-010,P11-UI-002,Mapped
P11-REQ-047,Strategic Sourcing,P11-TST-047,P11-ENT-047,P11-API-011,P11-UI-003,Mapped
P11-REQ-048,Strategic Sourcing,P11-TST-048,P11-ENT-048,P11-API-012,P11-UI-004,Mapped
P11-REQ-049,Strategic Sourcing,P11-TST-049,P11-ENT-049,P11-API-013,P11-UI-005,Mapped
P11-REQ-050,Strategic Sourcing,P11-TST-050,P11-ENT-050,P11-API-014,P11-UI-006,Mapped
P11-REQ-051,Strategic Sourcing,P11-TST-051,P11-ENT-051,P11-API-015,P11-UI-007,Mapped
P11-REQ-052,Purchase Requisitions,P11-TST-052,P11-ENT-052,P11-API-016,P11-UI-008,Mapped
P11-REQ-053,Purchase Requisitions,P11-TST-053,P11-ENT-053,P11-API-017,P11-UI-009,Mapped
P11-REQ-054,Purchase Requisitions,P11-TST-054,P11-ENT-054,P11-API-018,P11-UI-010,Mapped
P11-REQ-055,Purchase Requisitions,P11-TST-055,P11-ENT-055,P11-API-019,P11-UI-011,Mapped
P11-REQ-056,Purchase Requisitions,P11-TST-056,P11-ENT-056,P11-API-020,P11-UI-012,Mapped
P11-REQ-057,Purchase Requisitions,P11-TST-057,P11-ENT-057,P11-API-021,P11-UI-013,Mapped
P11-REQ-058,Purchase Requisitions,P11-TST-058,P11-ENT-058,P11-API-022,P11-UI-014,Mapped
P11-REQ-059,Purchase Requisitions,P11-TST-059,P11-ENT-059,P11-API-023,P11-UI-015,Mapped
P11-REQ-060,Purchase Requisitions,P11-TST-060,P11-ENT-060,P11-API-024,P11-UI-016,Mapped
P11-REQ-061,Purchase Requisitions,P11-TST-061,P11-ENT-061,P11-API-025,P11-UI-017,Mapped
P11-REQ-062,Purchase Requisitions,P11-TST-062,P11-ENT-062,P11-API-026,P11-UI-018,Mapped
P11-REQ-063,Purchase Requisitions,P11-TST-063,P11-ENT-063,P11-API-027,P11-UI-019,Mapped
P11-REQ-064,Purchase Requisitions,P11-TST-064,P11-ENT-064,P11-API-028,P11-UI-020,Mapped
P11-REQ-065,Purchase Requisitions,P11-TST-065,P11-ENT-065,P11-API-029,P11-UI-021,Mapped
P11-REQ-066,Purchase Requisitions,P11-TST-066,P11-ENT-066,P11-API-030,P11-UI-022,Mapped
P11-REQ-067,Purchase Requisitions,P11-TST-067,P11-ENT-067,P11-API-031,P11-UI-001,Mapped
P11-REQ-068,Purchase Requisitions,P11-TST-068,P11-ENT-068,P11-API-032,P11-UI-002,Mapped
P11-REQ-069,Purchase Orders,P11-TST-069,P11-ENT-069,P11-API-033,P11-UI-003,Mapped
P11-REQ-070,Purchase Orders,P11-TST-070,P11-ENT-070,P11-API-034,P11-UI-004,Mapped
P11-REQ-071,Purchase Orders,P11-TST-071,P11-ENT-071,P11-API-035,P11-UI-005,Mapped
P11-REQ-072,Purchase Orders,P11-TST-072,P11-ENT-072,P11-API-036,P11-UI-006,Mapped
P11-REQ-073,Purchase Orders,P11-TST-073,P11-ENT-073,P11-API-001,P11-UI-007,Mapped
P11-REQ-074,Purchase Orders,P11-TST-074,P11-ENT-074,P11-API-002,P11-UI-008,Mapped
P11-REQ-075,Purchase Orders,P11-TST-075,P11-ENT-075,P11-API-003,P11-UI-009,Mapped
P11-REQ-076,Purchase Orders,P11-TST-076,P11-ENT-076,P11-API-004,P11-UI-010,Mapped
P11-REQ-077,Purchase Orders,P11-TST-077,P11-ENT-077,P11-API-005,P11-UI-011,Mapped
P11-REQ-078,Purchase Orders,P11-TST-078,P11-ENT-078,P11-API-006,P11-UI-012,Mapped
P11-REQ-079,Purchase Orders,P11-TST-079,P11-ENT-079,P11-API-007,P11-UI-013,Mapped
P11-REQ-080,Purchase Orders,P11-TST-080,P11-ENT-080,P11-API-008,P11-UI-014,Mapped
P11-REQ-081,Purchase Orders,P11-TST-081,P11-ENT-081,P11-API-009,P11-UI-015,Mapped
P11-REQ-082,Purchase Orders,P11-TST-082,P11-ENT-082,P11-API-010,P11-UI-016,Mapped
P11-REQ-083,Purchase Orders,P11-TST-083,P11-ENT-083,P11-API-011,P11-UI-017,Mapped
P11-REQ-084,Purchase Orders,P11-TST-084,P11-ENT-084,P11-API-012,P11-UI-018,Mapped
P11-REQ-085,Subcontract Procurement,P11-TST-085,P11-ENT-085,P11-API-013,P11-UI-019,Mapped
P11-REQ-086,Subcontract Procurement,P11-TST-086,P11-ENT-086,P11-API-014,P11-UI-020,Mapped
P11-REQ-087,Subcontract Procurement,P11-TST-087,P11-ENT-087,P11-API-015,P11-UI-021,Mapped
P11-REQ-088,Subcontract Procurement,P11-TST-088,P11-ENT-088,P11-API-016,P11-UI-022,Mapped
P11-REQ-089,Subcontract Procurement,P11-TST-089,P11-ENT-089,P11-API-017,P11-UI-001,Mapped
P11-REQ-090,Subcontract Procurement,P11-TST-090,P11-ENT-090,P11-API-018,P11-UI-002,Mapped
P11-REQ-091,Subcontract Procurement,P11-TST-091,P11-ENT-091,P11-API-019,P11-UI-003,Mapped
P11-REQ-092,Subcontract Procurement,P11-TST-092,P11-ENT-092,P11-API-020,P11-UI-004,Mapped
P11-REQ-093,Subcontract Procurement,P11-TST-093,P11-ENT-093,P11-API-021,P11-UI-005,Mapped
P11-REQ-094,Subcontract Procurement,P11-TST-094,P11-ENT-094,P11-API-022,P11-UI-006,Mapped
P11-REQ-095,Subcontract Procurement,P11-TST-095,P11-ENT-095,P11-API-023,P11-UI-007,Mapped
P11-REQ-096,Subcontract Procurement,P11-TST-096,P11-ENT-096,P11-API-024,P11-UI-008,Mapped
P11-REQ-097,Subcontract Procurement,P11-TST-097,P11-ENT-097,P11-API-025,P11-UI-009,Mapped
P11-REQ-098,Subcontract Procurement,P11-TST-098,P11-ENT-098,P11-API-026,P11-UI-010,Mapped
P11-REQ-099,Subcontract Procurement,P11-TST-099,P11-ENT-099,P11-API-027,P11-UI-011,Mapped
P11-REQ-100,Subcontract Procurement,P11-TST-100,P11-ENT-100,P11-API-028,P11-UI-012,Mapped
P11-REQ-101,Inventory Control,P11-TST-101,P11-ENT-101,P11-API-029,P11-UI-013,Mapped
P11-REQ-102,Inventory Control,P11-TST-102,P11-ENT-102,P11-API-030,P11-UI-014,Mapped
P11-REQ-103,Inventory Control,P11-TST-103,P11-ENT-103,P11-API-031,P11-UI-015,Mapped
P11-REQ-104,Inventory Control,P11-TST-104,P11-ENT-104,P11-API-032,P11-UI-016,Mapped
P11-REQ-105,Inventory Control,P11-TST-105,P11-ENT-105,P11-API-033,P11-UI-017,Mapped
P11-REQ-106,Inventory Control,P11-TST-106,P11-ENT-106,P11-API-034,P11-UI-018,Mapped
P11-REQ-107,Inventory Control,P11-TST-107,P11-ENT-107,P11-API-035,P11-UI-019,Mapped
P11-REQ-108,Inventory Control,P11-TST-108,P11-ENT-108,P11-API-036,P11-UI-020,Mapped
P11-REQ-109,Inventory Control,P11-TST-109,P11-ENT-109,P11-API-001,P11-UI-021,Mapped
P11-REQ-110,Inventory Control,P11-TST-110,P11-ENT-110,P11-API-002,P11-UI-022,Mapped
P11-REQ-111,Inventory Control,P11-TST-111,P11-ENT-111,P11-API-003,P11-UI-001,Mapped
P11-REQ-112,Inventory Control,P11-TST-112,P11-ENT-112,P11-API-004,P11-UI-002,Mapped
P11-REQ-113,Inventory Control,P11-TST-113,P11-ENT-113,P11-API-005,P11-UI-003,Mapped
P11-REQ-114,Inventory Control,P11-TST-114,P11-ENT-114,P11-API-006,P11-UI-004,Mapped
P11-REQ-115,Inventory Control,P11-TST-115,P11-ENT-115,P11-API-007,P11-UI-005,Mapped
P11-REQ-116,Inventory Control,P11-TST-116,P11-ENT-116,P11-API-008,P11-UI-006,Mapped
P11-REQ-117,Warehouse Operations,P11-TST-117,P11-ENT-117,P11-API-009,P11-UI-007,Mapped
P11-REQ-118,Warehouse Operations,P11-TST-118,P11-ENT-118,P11-API-010,P11-UI-008,Mapped
P11-REQ-119,Warehouse Operations,P11-TST-119,P11-ENT-119,P11-API-011,P11-UI-009,Mapped
P11-REQ-120,Warehouse Operations,P11-TST-120,P11-ENT-120,P11-API-012,P11-UI-010,Mapped
P11-REQ-121,Warehouse Operations,P11-TST-121,P11-ENT-001,P11-API-013,P11-UI-011,Mapped
P11-REQ-122,Warehouse Operations,P11-TST-122,P11-ENT-002,P11-API-014,P11-UI-012,Mapped
P11-REQ-123,Warehouse Operations,P11-TST-123,P11-ENT-003,P11-API-015,P11-UI-013,Mapped
P11-REQ-124,Warehouse Operations,P11-TST-124,P11-ENT-004,P11-API-016,P11-UI-014,Mapped
P11-REQ-125,Warehouse Operations,P11-TST-125,P11-ENT-005,P11-API-017,P11-UI-015,Mapped
P11-REQ-126,Warehouse Operations,P11-TST-126,P11-ENT-006,P11-API-018,P11-UI-016,Mapped
P11-REQ-127,Warehouse Operations,P11-TST-127,P11-ENT-007,P11-API-019,P11-UI-017,Mapped
P11-REQ-128,Warehouse Operations,P11-TST-128,P11-ENT-008,P11-API-020,P11-UI-018,Mapped
P11-REQ-129,Warehouse Operations,P11-TST-129,P11-ENT-009,P11-API-021,P11-UI-019,Mapped
P11-REQ-130,Warehouse Operations,P11-TST-130,P11-ENT-010,P11-API-022,P11-UI-020,Mapped
P11-REQ-131,Warehouse Operations,P11-TST-131,P11-ENT-011,P11-API-023,P11-UI-021,Mapped
P11-REQ-132,Warehouse Operations,P11-TST-132,P11-ENT-012,P11-API-024,P11-UI-022,Mapped
P11-REQ-133,Material Receiving,P11-TST-133,P11-ENT-013,P11-API-025,P11-UI-001,Mapped
P11-REQ-134,Material Receiving,P11-TST-134,P11-ENT-014,P11-API-026,P11-UI-002,Mapped
P11-REQ-135,Material Receiving,P11-TST-135,P11-ENT-015,P11-API-027,P11-UI-003,Mapped
P11-REQ-136,Material Receiving,P11-TST-136,P11-ENT-016,P11-API-028,P11-UI-004,Mapped
P11-REQ-137,Material Receiving,P11-TST-137,P11-ENT-017,P11-API-029,P11-UI-005,Mapped
P11-REQ-138,Material Receiving,P11-TST-138,P11-ENT-018,P11-API-030,P11-UI-006,Mapped
P11-REQ-139,Material Receiving,P11-TST-139,P11-ENT-019,P11-API-031,P11-UI-007,Mapped
P11-REQ-140,Material Receiving,P11-TST-140,P11-ENT-020,P11-API-032,P11-UI-008,Mapped
P11-REQ-141,Material Receiving,P11-TST-141,P11-ENT-021,P11-API-033,P11-UI-009,Mapped
P11-REQ-142,Material Receiving,P11-TST-142,P11-ENT-022,P11-API-034,P11-UI-010,Mapped
P11-REQ-143,Material Receiving,P11-TST-143,P11-ENT-023,P11-API-035,P11-UI-011,Mapped
P11-REQ-144,Material Receiving,P11-TST-144,P11-ENT-024,P11-API-036,P11-UI-012,Mapped
P11-REQ-145,Material Receiving,P11-TST-145,P11-ENT-025,P11-API-001,P11-UI-013,Mapped
P11-REQ-146,Material Receiving,P11-TST-146,P11-ENT-026,P11-API-002,P11-UI-014,Mapped
P11-REQ-147,Material Receiving,P11-TST-147,P11-ENT-027,P11-API-003,P11-UI-015,Mapped
P11-REQ-148,Material Receiving,P11-TST-148,P11-ENT-028,P11-API-004,P11-UI-016,Mapped
P11-REQ-149,Construction Logistics,P11-TST-149,P11-ENT-029,P11-API-005,P11-UI-017,Mapped
P11-REQ-150,Construction Logistics,P11-TST-150,P11-ENT-030,P11-API-006,P11-UI-018,Mapped
P11-REQ-151,Construction Logistics,P11-TST-151,P11-ENT-031,P11-API-007,P11-UI-019,Mapped
P11-REQ-152,Construction Logistics,P11-TST-152,P11-ENT-032,P11-API-008,P11-UI-020,Mapped
P11-REQ-153,Construction Logistics,P11-TST-153,P11-ENT-033,P11-API-009,P11-UI-021,Mapped
P11-REQ-154,Construction Logistics,P11-TST-154,P11-ENT-034,P11-API-010,P11-UI-022,Mapped
P11-REQ-155,Construction Logistics,P11-TST-155,P11-ENT-035,P11-API-011,P11-UI-001,Mapped
P11-REQ-156,Construction Logistics,P11-TST-156,P11-ENT-036,P11-API-012,P11-UI-002,Mapped
P11-REQ-157,Construction Logistics,P11-TST-157,P11-ENT-037,P11-API-013,P11-UI-003,Mapped
P11-REQ-158,Construction Logistics,P11-TST-158,P11-ENT-038,P11-API-014,P11-UI-004,Mapped
P11-REQ-159,Construction Logistics,P11-TST-159,P11-ENT-039,P11-API-015,P11-UI-005,Mapped
P11-REQ-160,Construction Logistics,P11-TST-160,P11-ENT-040,P11-API-016,P11-UI-006,Mapped
P11-REQ-161,Construction Logistics,P11-TST-161,P11-ENT-041,P11-API-017,P11-UI-007,Mapped
P11-REQ-162,Construction Logistics,P11-TST-162,P11-ENT-042,P11-API-018,P11-UI-008,Mapped
P11-REQ-163,Construction Logistics,P11-TST-163,P11-ENT-043,P11-API-019,P11-UI-009,Mapped
P11-REQ-164,Construction Logistics,P11-TST-164,P11-ENT-044,P11-API-020,P11-UI-010,Mapped
P11-REQ-165,Rental Management,P11-TST-165,P11-ENT-045,P11-API-021,P11-UI-011,Mapped
P11-REQ-166,Rental Management,P11-TST-166,P11-ENT-046,P11-API-022,P11-UI-012,Mapped
P11-REQ-167,Rental Management,P11-TST-167,P11-ENT-047,P11-API-023,P11-UI-013,Mapped
P11-REQ-168,Rental Management,P11-TST-168,P11-ENT-048,P11-API-024,P11-UI-014,Mapped
P11-REQ-169,Rental Management,P11-TST-169,P11-ENT-049,P11-API-025,P11-UI-015,Mapped
P11-REQ-170,Rental Management,P11-TST-170,P11-ENT-050,P11-API-026,P11-UI-016,Mapped
P11-REQ-171,Rental Management,P11-TST-171,P11-ENT-051,P11-API-027,P11-UI-017,Mapped
P11-REQ-172,Rental Management,P11-TST-172,P11-ENT-052,P11-API-028,P11-UI-018,Mapped
P11-REQ-173,Rental Management,P11-TST-173,P11-ENT-053,P11-API-029,P11-UI-019,Mapped
P11-REQ-174,Rental Management,P11-TST-174,P11-ENT-054,P11-API-030,P11-UI-020,Mapped
P11-REQ-175,Rental Management,P11-TST-175,P11-ENT-055,P11-API-031,P11-UI-021,Mapped
P11-REQ-176,Rental Management,P11-TST-176,P11-ENT-056,P11-API-032,P11-UI-022,Mapped
P11-REQ-177,Rental Management,P11-TST-177,P11-ENT-057,P11-API-033,P11-UI-001,Mapped
P11-REQ-178,Rental Management,P11-TST-178,P11-ENT-058,P11-API-034,P11-UI-002,Mapped
P11-REQ-179,Rental Management,P11-TST-179,P11-ENT-059,P11-API-035,P11-UI-003,Mapped
P11-REQ-180,Rental Management,P11-TST-180,P11-ENT-060,P11-API-036,P11-UI-004,Mapped
P11-REQ-181,Catalog and Item Master,P11-TST-181,P11-ENT-061,P11-API-001,P11-UI-005,Mapped
P11-REQ-182,Catalog and Item Master,P11-TST-182,P11-ENT-062,P11-API-002,P11-UI-006,Mapped
P11-REQ-183,Catalog and Item Master,P11-TST-183,P11-ENT-063,P11-API-003,P11-UI-007,Mapped
P11-REQ-184,Catalog and Item Master,P11-TST-184,P11-ENT-064,P11-API-004,P11-UI-008,Mapped
P11-REQ-185,Catalog and Item Master,P11-TST-185,P11-ENT-065,P11-API-005,P11-UI-009,Mapped
P11-REQ-186,Catalog and Item Master,P11-TST-186,P11-ENT-066,P11-API-006,P11-UI-010,Mapped
P11-REQ-187,Catalog and Item Master,P11-TST-187,P11-ENT-067,P11-API-007,P11-UI-011,Mapped
P11-REQ-188,Catalog and Item Master,P11-TST-188,P11-ENT-068,P11-API-008,P11-UI-012,Mapped
P11-REQ-189,Catalog and Item Master,P11-TST-189,P11-ENT-069,P11-API-009,P11-UI-013,Mapped
P11-REQ-190,Catalog and Item Master,P11-TST-190,P11-ENT-070,P11-API-010,P11-UI-014,Mapped
P11-REQ-191,Catalog and Item Master,P11-TST-191,P11-ENT-071,P11-API-011,P11-UI-015,Mapped
P11-REQ-192,Catalog and Item Master,P11-TST-192,P11-ENT-072,P11-API-012,P11-UI-016,Mapped
P11-REQ-193,Catalog and Item Master,P11-TST-193,P11-ENT-073,P11-API-013,P11-UI-017,Mapped
P11-REQ-194,Catalog and Item Master,P11-TST-194,P11-ENT-074,P11-API-014,P11-UI-018,Mapped
P11-REQ-195,Catalog and Item Master,P11-TST-195,P11-ENT-075,P11-API-015,P11-UI-019,Mapped
P11-REQ-196,Catalog and Item Master,P11-TST-196,P11-ENT-076,P11-API-016,P11-UI-020,Mapped
P11-REQ-197,Procure-to-Pay Integration,P11-TST-197,P11-ENT-077,P11-API-017,P11-UI-021,Mapped
P11-REQ-198,Procure-to-Pay Integration,P11-TST-198,P11-ENT-078,P11-API-018,P11-UI-022,Mapped
P11-REQ-199,Procure-to-Pay Integration,P11-TST-199,P11-ENT-079,P11-API-019,P11-UI-001,Mapped
P11-REQ-200,Procure-to-Pay Integration,P11-TST-200,P11-ENT-080,P11-API-020,P11-UI-002,Mapped
P11-REQ-201,Procure-to-Pay Integration,P11-TST-201,P11-ENT-081,P11-API-021,P11-UI-003,Mapped
P11-REQ-202,Procure-to-Pay Integration,P11-TST-202,P11-ENT-082,P11-API-022,P11-UI-004,Mapped
P11-REQ-203,Procure-to-Pay Integration,P11-TST-203,P11-ENT-083,P11-API-023,P11-UI-005,Mapped
P11-REQ-204,Procure-to-Pay Integration,P11-TST-204,P11-ENT-084,P11-API-024,P11-UI-006,Mapped
P11-REQ-205,Procure-to-Pay Integration,P11-TST-205,P11-ENT-085,P11-API-025,P11-UI-007,Mapped
P11-REQ-206,Procure-to-Pay Integration,P11-TST-206,P11-ENT-086,P11-API-026,P11-UI-008,Mapped
P11-REQ-207,Procure-to-Pay Integration,P11-TST-207,P11-ENT-087,P11-API-027,P11-UI-009,Mapped
P11-REQ-208,Procure-to-Pay Integration,P11-TST-208,P11-ENT-088,P11-API-028,P11-UI-010,Mapped
P11-REQ-209,Procure-to-Pay Integration,P11-TST-209,P11-ENT-089,P11-API-029,P11-UI-011,Mapped
P11-REQ-210,Procure-to-Pay Integration,P11-TST-210,P11-ENT-090,P11-API-030,P11-UI-012,Mapped
P11-REQ-211,Procure-to-Pay Integration,P11-TST-211,P11-ENT-091,P11-API-031,P11-UI-013,Mapped
P11-REQ-212,Procure-to-Pay Integration,P11-TST-212,P11-ENT-092,P11-API-032,P11-UI-014,Mapped
P11-REQ-213,Supply Chain Analytics,P11-TST-213,P11-ENT-093,P11-API-033,P11-UI-015,Mapped
P11-REQ-214,Supply Chain Analytics,P11-TST-214,P11-ENT-094,P11-API-034,P11-UI-016,Mapped
P11-REQ-215,Supply Chain Analytics,P11-TST-215,P11-ENT-095,P11-API-035,P11-UI-017,Mapped
P11-REQ-216,Supply Chain Analytics,P11-TST-216,P11-ENT-096,P11-API-036,P11-UI-018,Mapped
P11-REQ-217,Supply Chain Analytics,P11-TST-217,P11-ENT-097,P11-API-001,P11-UI-019,Mapped
P11-REQ-218,Supply Chain Analytics,P11-TST-218,P11-ENT-098,P11-API-002,P11-UI-020,Mapped
P11-REQ-219,Supply Chain Analytics,P11-TST-219,P11-ENT-099,P11-API-003,P11-UI-021,Mapped
P11-REQ-220,Supply Chain Analytics,P11-TST-220,P11-ENT-100,P11-API-004,P11-UI-022,Mapped
P11-REQ-221,Supply Chain Analytics,P11-TST-221,P11-ENT-101,P11-API-005,P11-UI-001,Mapped
P11-REQ-222,Supply Chain Analytics,P11-TST-222,P11-ENT-102,P11-API-006,P11-UI-002,Mapped
P11-REQ-223,Supply Chain Analytics,P11-TST-223,P11-ENT-103,P11-API-007,P11-UI-003,Mapped
P11-REQ-224,Supply Chain Analytics,P11-TST-224,P11-ENT-104,P11-API-008,P11-UI-004,Mapped
P11-REQ-225,Supply Chain Analytics,P11-TST-225,P11-ENT-105,P11-API-009,P11-UI-005,Mapped
P11-REQ-226,Supply Chain Analytics,P11-TST-226,P11-ENT-106,P11-API-010,P11-UI-006,Mapped
P11-REQ-227,Supply Chain Analytics,P11-TST-227,P11-ENT-107,P11-API-011,P11-UI-007,Mapped
P11-REQ-228,Supply Chain Analytics,P11-TST-228,P11-ENT-108,P11-API-012,P11-UI-008,Mapped
P11-REQ-229,AI Procurement Intelligence,P11-TST-229,P11-ENT-109,P11-API-013,P11-UI-009,Mapped
P11-REQ-230,AI Procurement Intelligence,P11-TST-230,P11-ENT-110,P11-API-014,P11-UI-010,Mapped
P11-REQ-231,AI Procurement Intelligence,P11-TST-231,P11-ENT-111,P11-API-015,P11-UI-011,Mapped
P11-REQ-232,AI Procurement Intelligence,P11-TST-232,P11-ENT-112,P11-API-016,P11-UI-012,Mapped
P11-REQ-233,AI Procurement Intelligence,P11-TST-233,P11-ENT-113,P11-API-017,P11-UI-013,Mapped
P11-REQ-234,AI Procurement Intelligence,P11-TST-234,P11-ENT-114,P11-API-018,P11-UI-014,Mapped
P11-REQ-235,AI Procurement Intelligence,P11-TST-235,P11-ENT-115,P11-API-019,P11-UI-015,Mapped
P11-REQ-236,AI Procurement Intelligence,P11-TST-236,P11-ENT-116,P11-API-020,P11-UI-016,Mapped
P11-REQ-237,AI Procurement Intelligence,P11-TST-237,P11-ENT-117,P11-API-021,P11-UI-017,Mapped
P11-REQ-238,AI Procurement Intelligence,P11-TST-238,P11-ENT-118,P11-API-022,P11-UI-018,Mapped
P11-REQ-239,AI Procurement Intelligence,P11-TST-239,P11-ENT-119,P11-API-023,P11-UI-019,Mapped
P11-REQ-240,AI Procurement Intelligence,P11-TST-240,P11-ENT-120,P11-API-024,P11-UI-020,Mapped
P11-REQ-241,AI Procurement Intelligence,P11-TST-241,P11-ENT-001,P11-API-025,P11-UI-021,Mapped
P11-REQ-242,AI Procurement Intelligence,P11-TST-242,P11-ENT-002,P11-API-026,P11-UI-022,Mapped
P11-REQ-243,AI Procurement Intelligence,P11-TST-243,P11-ENT-003,P11-API-027,P11-UI-001,Mapped
P11-REQ-244,AI Procurement Intelligence,P11-TST-244,P11-ENT-004,P11-API-028,P11-UI-002,Mapped
P11-REQ-245,Supply Chain Digital Twin,P11-TST-245,P11-ENT-005,P11-API-029,P11-UI-003,Mapped
P11-REQ-246,Supply Chain Digital Twin,P11-TST-246,P11-ENT-006,P11-API-030,P11-UI-004,Mapped
P11-REQ-247,Supply Chain Digital Twin,P11-TST-247,P11-ENT-007,P11-API-031,P11-UI-005,Mapped
P11-REQ-248,Supply Chain Digital Twin,P11-TST-248,P11-ENT-008,P11-API-032,P11-UI-006,Mapped
P11-REQ-249,Supply Chain Digital Twin,P11-TST-249,P11-ENT-009,P11-API-033,P11-UI-007,Mapped
P11-REQ-250,Supply Chain Digital Twin,P11-TST-250,P11-ENT-010,P11-API-034,P11-UI-008,Mapped
P11-REQ-251,Supply Chain Digital Twin,P11-TST-251,P11-ENT-011,P11-API-035,P11-UI-009,Mapped
P11-REQ-252,Supply Chain Digital Twin,P11-TST-252,P11-ENT-012,P11-API-036,P11-UI-010,Mapped
