Rule_ID,Module,Name,Rule,Effect,Configuration
P11-BR-017,Procurement Planning,Procurement Planning control 17,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-018,Supplier Management,Supplier Management control 18,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-019,Strategic Sourcing,Strategic Sourcing control 19,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-020,Purchase Requisitions,Purchase Requisitions control 20,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-021,Purchase Orders,Purchase Orders control 21,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-022,Subcontract Procurement,Subcontract Procurement control 22,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-023,Inventory Control,Inventory Control control 23,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-024,Warehouse Operations,Warehouse Operations control 24,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-025,Material Receiving,Material Receiving control 25,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-026,Construction Logistics,Construction Logistics control 26,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-027,Rental Management,Rental Management control 27,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-028,Catalog and Item Master,Catalog and Item Master control 28,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-029,Procure-to-Pay Integration,Procure-to-Pay Integration control 29,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-030,Supply Chain Analytics,Supply Chain Analytics control 30,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-031,AI Procurement Intelligence,AI Procurement Intelligence control 31,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-032,Supply Chain Digital Twin,Supply Chain Digital Twin control 32,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-033,Procurement Planning,Procurement Planning control 33,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-034,Supplier Management,Supplier Management control 34,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-035,Strategic Sourcing,Strategic Sourcing control 35,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-036,Purchase Requisitions,Purchase Requisitions control 36,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-037,Purchase Orders,Purchase Orders control 37,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-038,Subcontract Procurement,Subcontract Procurement control 38,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-039,Inventory Control,Inventory Control control 39,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-040,Warehouse Operations,Warehouse Operations control 40,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-041,Material Receiving,Material Receiving control 41,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-042,Construction Logistics,Construction Logistics control 42,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-043,Rental Management,Rental Management control 43,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-044,Catalog and Item Master,Catalog and Item Master control 44,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
P11-BR-045,Procure-to-Pay Integration,Procure-to-Pay Integration control 45,"Records must satisfy configured authorization, budget, compliance and segregation-of-duties controls before reaching an approved or committed state.",Blocking,Configurable
