requirement_id,test_id,phase23_component,phase24_module,status
P24-REQ-110,P24-TST-110,P23-COMP-002,P24-MOD-002,Mapped
P24-REQ-111,P24-TST-111,P23-COMP-003,P24-MOD-003,Mapped
P24-REQ-112,P24-TST-112,P23-COMP-004,P24-MOD-004,Mapped
P24-REQ-113,P24-TST-113,P23-COMP-005,P24-MOD-005,Mapped
P24-REQ-114,P24-TST-114,P23-COMP-006,P24-MOD-006,Mapped
P24-REQ-115,P24-TST-115,P23-COMP-007,P24-MOD-007,Mapped
P24-REQ-116,P24-TST-116,P23-COMP-008,P24-MOD-008,Mapped
P24-REQ-117,P24-TST-117,P23-COMP-009,P24-MOD-009,Mapped
P24-REQ-118,P24-TST-118,P23-COMP-010,P24-MOD-010,Mapped
P24-REQ-119,P24-TST-119,P23-COMP-011,P24-MOD-011,Mapped
P24-REQ-120,P24-TST-120,P23-COMP-012,P24-MOD-012,Mapped
P24-REQ-121,P24-TST-121,P23-COMP-001,P24-MOD-013,Mapped
P24-REQ-122,P24-TST-122,P23-COMP-002,P24-MOD-014,Mapped
P24-REQ-123,P24-TST-123,P23-COMP-003,P24-MOD-015,Mapped
P24-REQ-124,P24-TST-124,P23-COMP-004,P24-MOD-016,Mapped
P24-REQ-125,P24-TST-125,P23-COMP-005,P24-MOD-017,Mapped
P24-REQ-126,P24-TST-126,P23-COMP-006,P24-MOD-018,Mapped
P24-REQ-127,P24-TST-127,P23-COMP-007,P24-MOD-001,Mapped
P24-REQ-128,P24-TST-128,P23-COMP-008,P24-MOD-002,Mapped
P24-REQ-129,P24-TST-129,P23-COMP-009,P24-MOD-003,Mapped
P24-REQ-130,P24-TST-130,P23-COMP-010,P24-MOD-004,Mapped
P24-REQ-131,P24-TST-131,P23-COMP-011,P24-MOD-005,Mapped
P24-REQ-132,P24-TST-132,P23-COMP-012,P24-MOD-006,Mapped
P24-REQ-133,P24-TST-133,P23-COMP-001,P24-MOD-007,Mapped
P24-REQ-134,P24-TST-134,P23-COMP-002,P24-MOD-008,Mapped
P24-REQ-135,P24-TST-135,P23-COMP-003,P24-MOD-009,Mapped
P24-REQ-136,P24-TST-136,P23-COMP-004,P24-MOD-010,Mapped
P24-REQ-137,P24-TST-137,P23-COMP-005,P24-MOD-011,Mapped
P24-REQ-138,P24-TST-138,P23-COMP-006,P24-MOD-012,Mapped
P24-REQ-139,P24-TST-139,P23-COMP-007,P24-MOD-013,Mapped
P24-REQ-140,P24-TST-140,P23-COMP-008,P24-MOD-014,Mapped
P24-REQ-141,P24-TST-141,P23-COMP-009,P24-MOD-015,Mapped
P24-REQ-142,P24-TST-142,P23-COMP-010,P24-MOD-016,Mapped
P24-REQ-143,P24-TST-143,P23-COMP-011,P24-MOD-017,Mapped
P24-REQ-144,P24-TST-144,P23-COMP-012,P24-MOD-018,Mapped
P24-REQ-145,P24-TST-145,P23-COMP-001,P24-MOD-001,Mapped
P24-REQ-146,P24-TST-146,P23-COMP-002,P24-MOD-002,Mapped
P24-REQ-147,P24-TST-147,P23-COMP-003,P24-MOD-003,Mapped
P24-REQ-148,P24-TST-148,P23-COMP-004,P24-MOD-004,Mapped
P24-REQ-149,P24-TST-149,P23-COMP-005,P24-MOD-005,Mapped
P24-REQ-150,P24-TST-150,P23-COMP-006,P24-MOD-006,Mapped
P24-REQ-151,P24-TST-151,P23-COMP-007,P24-MOD-007,Mapped
P24-REQ-152,P24-TST-152,P23-COMP-008,P24-MOD-008,Mapped
P24-REQ-153,P24-TST-153,P23-COMP-009,P24-MOD-009,Mapped
P24-REQ-154,P24-TST-154,P23-COMP-010,P24-MOD-010,Mapped
P24-REQ-155,P24-TST-155,P23-COMP-011,P24-MOD-011,Mapped
P24-REQ-156,P24-TST-156,P23-COMP-012,P24-MOD-012,Mapped
P24-REQ-157,P24-TST-157,P23-COMP-001,P24-MOD-013,Mapped
P24-REQ-158,P24-TST-158,P23-COMP-002,P24-MOD-014,Mapped
P24-REQ-159,P24-TST-159,P23-COMP-003,P24-MOD-015,Mapped
P24-REQ-160,P24-TST-160,P23-COMP-004,P24-MOD-016,Mapped
P24-REQ-161,P24-TST-161,P23-COMP-005,P24-MOD-017,Mapped
P24-REQ-162,P24-TST-162,P23-COMP-006,P24-MOD-018,Mapped
P24-REQ-163,P24-TST-163,P23-COMP-007,P24-MOD-001,Mapped
P24-REQ-164,P24-TST-164,P23-COMP-008,P24-MOD-002,Mapped
P24-REQ-165,P24-TST-165,P23-COMP-009,P24-MOD-003,Mapped
P24-REQ-166,P24-TST-166,P23-COMP-010,P24-MOD-004,Mapped
P24-REQ-167,P24-TST-167,P23-COMP-011,P24-MOD-005,Mapped
P24-REQ-168,P24-TST-168,P23-COMP-012,P24-MOD-006,Mapped
P24-REQ-169,P24-TST-169,P23-COMP-001,P24-MOD-007,Mapped
P24-REQ-170,P24-TST-170,P23-COMP-002,P24-MOD-008,Mapped
P24-REQ-171,P24-TST-171,P23-COMP-003,P24-MOD-009,Mapped
P24-REQ-172,P24-TST-172,P23-COMP-004,P24-MOD-010,Mapped
P24-REQ-173,P24-TST-173,P23-COMP-005,P24-MOD-011,Mapped
P24-REQ-174,P24-TST-174,P23-COMP-006,P24-MOD-012,Mapped
P24-REQ-175,P24-TST-175,P23-COMP-007,P24-MOD-013,Mapped
P24-REQ-176,P24-TST-176,P23-COMP-008,P24-MOD-014,Mapped
P24-REQ-177,P24-TST-177,P23-COMP-009,P24-MOD-015,Mapped
P24-REQ-178,P24-TST-178,P23-COMP-010,P24-MOD-016,Mapped
P24-REQ-179,P24-TST-179,P23-COMP-011,P24-MOD-017,Mapped
P24-REQ-180,P24-TST-180,P23-COMP-012,P24-MOD-018,Mapped
P24-REQ-181,P24-TST-181,P23-COMP-001,P24-MOD-001,Mapped
P24-REQ-182,P24-TST-182,P23-COMP-002,P24-MOD-002,Mapped
P24-REQ-183,P24-TST-183,P23-COMP-003,P24-MOD-003,Mapped
P24-REQ-184,P24-TST-184,P23-COMP-004,P24-MOD-004,Mapped
P24-REQ-185,P24-TST-185,P23-COMP-005,P24-MOD-005,Mapped
P24-REQ-186,P24-TST-186,P23-COMP-006,P24-MOD-006,Mapped
P24-REQ-187,P24-TST-187,P23-COMP-007,P24-MOD-007,Mapped
P24-REQ-188,P24-TST-188,P23-COMP-008,P24-MOD-008,Mapped
P24-REQ-189,P24-TST-189,P23-COMP-009,P24-MOD-009,Mapped
P24-REQ-190,P24-TST-190,P23-COMP-010,P24-MOD-010,Mapped
P24-REQ-191,P24-TST-191,P23-COMP-011,P24-MOD-011,Mapped
P24-REQ-192,P24-TST-192,P23-COMP-012,P24-MOD-012,Mapped
P24-REQ-193,P24-TST-193,P23-COMP-001,P24-MOD-013,Mapped
P24-REQ-194,P24-TST-194,P23-COMP-002,P24-MOD-014,Mapped
P24-REQ-195,P24-TST-195,P23-COMP-003,P24-MOD-015,Mapped
P24-REQ-196,P24-TST-196,P23-COMP-004,P24-MOD-016,Mapped
P24-REQ-197,P24-TST-197,P23-COMP-005,P24-MOD-017,Mapped
P24-REQ-198,P24-TST-198,P23-COMP-006,P24-MOD-018,Mapped
P24-REQ-199,P24-TST-199,P23-COMP-007,P24-MOD-001,Mapped
P24-REQ-200,P24-TST-200,P23-COMP-008,P24-MOD-002,Mapped
P24-REQ-201,P24-TST-201,P23-COMP-009,P24-MOD-003,Mapped
P24-REQ-202,P24-TST-202,P23-COMP-010,P24-MOD-004,Mapped
P24-REQ-203,P24-TST-203,P23-COMP-011,P24-MOD-005,Mapped
P24-REQ-204,P24-TST-204,P23-COMP-012,P24-MOD-006,Mapped
P24-REQ-205,P24-TST-205,P23-COMP-001,P24-MOD-007,Mapped
P24-REQ-206,P24-TST-206,P23-COMP-002,P24-MOD-008,Mapped
P24-REQ-207,P24-TST-207,P23-COMP-003,P24-MOD-009,Mapped
P24-REQ-208,P24-TST-208,P23-COMP-004,P24-MOD-010,Mapped
P24-REQ-209,P24-TST-209,P23-COMP-005,P24-MOD-011,Mapped
P24-REQ-210,P24-TST-210,P23-COMP-006,P24-MOD-012,Mapped
P24-REQ-211,P24-TST-211,P23-COMP-007,P24-MOD-013,Mapped
P24-REQ-212,P24-TST-212,P23-COMP-008,P24-MOD-014,Mapped
P24-REQ-213,P24-TST-213,P23-COMP-009,P24-MOD-015,Mapped
P24-REQ-214,P24-TST-214,P23-COMP-010,P24-MOD-016,Mapped
P24-REQ-215,P24-TST-215,P23-COMP-011,P24-MOD-017,Mapped
P24-REQ-216,P24-TST-216,P23-COMP-012,P24-MOD-018,Mapped
P24-REQ-217,P24-TST-217,P23-COMP-001,P24-MOD-001,Mapped
P24-REQ-218,P24-TST-218,P23-COMP-002,P24-MOD-002,Mapped
P24-REQ-219,P24-TST-219,P23-COMP-003,P24-MOD-003,Mapped
P24-REQ-220,P24-TST-220,P23-COMP-004,P24-MOD-004,Mapped
P24-REQ-221,P24-TST-221,P23-COMP-005,P24-MOD-005,Mapped
P24-REQ-222,P24-TST-222,P23-COMP-006,P24-MOD-006,Mapped
P24-REQ-223,P24-TST-223,P23-COMP-007,P24-MOD-007,Mapped
P24-REQ-224,P24-TST-224,P23-COMP-008,P24-MOD-008,Mapped
P24-REQ-225,P24-TST-225,P23-COMP-009,P24-MOD-009,Mapped
P24-REQ-226,P24-TST-226,P23-COMP-010,P24-MOD-010,Mapped
P24-REQ-227,P24-TST-227,P23-COMP-011,P24-MOD-011,Mapped
P24-REQ-228,P24-TST-228,P23-COMP-012,P24-MOD-012,Mapped
P24-REQ-229,P24-TST-229,P23-COMP-001,P24-MOD-013,Mapped
P24-REQ-230,P24-TST-230,P23-COMP-002,P24-MOD-014,Mapped
P24-REQ-231,P24-TST-231,P23-COMP-003,P24-MOD-015,Mapped
P24-REQ-232,P24-TST-232,P23-COMP-004,P24-MOD-016,Mapped
P24-REQ-233,P24-TST-233,P23-COMP-005,P24-MOD-017,Mapped
P24-REQ-234,P24-TST-234,P23-COMP-006,P24-MOD-018,Mapped
P24-REQ-235,P24-TST-235,P23-COMP-007,P24-MOD-001,Mapped
P24-REQ-236,P24-TST-236,P23-COMP-008,P24-MOD-002,Mapped
P24-REQ-237,P24-TST-237,P23-COMP-009,P24-MOD-003,Mapped
P24-REQ-238,P24-TST-238,P23-COMP-010,P24-MOD-004,Mapped
P24-REQ-239,P24-TST-239,P23-COMP-011,P24-MOD-005,Mapped
P24-REQ-240,P24-TST-240,P23-COMP-012,P24-MOD-006,Mapped
P24-REQ-241,P24-TST-241,P23-COMP-001,P24-MOD-007,Mapped
P24-REQ-242,P24-TST-242,P23-COMP-002,P24-MOD-008,Mapped
P24-REQ-243,P24-TST-243,P23-COMP-003,P24-MOD-009,Mapped
P24-REQ-244,P24-TST-244,P23-COMP-004,P24-MOD-010,Mapped
P24-REQ-245,P24-TST-245,P23-COMP-005,P24-MOD-011,Mapped
P24-REQ-246,P24-TST-246,P23-COMP-006,P24-MOD-012,Mapped
P24-REQ-247,P24-TST-247,P23-COMP-007,P24-MOD-013,Mapped
P24-REQ-248,P24-TST-248,P23-COMP-008,P24-MOD-014,Mapped
P24-REQ-249,P24-TST-249,P23-COMP-009,P24-MOD-015,Mapped
P24-REQ-250,P24-TST-250,P23-COMP-010,P24-MOD-016,Mapped
P24-REQ-251,P24-TST-251,P23-COMP-011,P24-MOD-017,Mapped
P24-REQ-252,P24-TST-252,P23-COMP-012,P24-MOD-018,Mapped
P24-REQ-253,P24-TST-253,P23-COMP-001,P24-MOD-001,Mapped
P24-REQ-254,P24-TST-254,P23-COMP-002,P24-MOD-002,Mapped
P24-REQ-255,P24-TST-255,P23-COMP-003,P24-MOD-003,Mapped
P24-REQ-256,P24-TST-256,P23-COMP-004,P24-MOD-004,Mapped
P24-REQ-257,P24-TST-257,P23-COMP-005,P24-MOD-005,Mapped
P24-REQ-258,P24-TST-258,P23-COMP-006,P24-MOD-006,Mapped
P24-REQ-259,P24-TST-259,P23-COMP-007,P24-MOD-007,Mapped
P24-REQ-260,P24-TST-260,P23-COMP-008,P24-MOD-008,Mapped
P24-REQ-261,P24-TST-261,P23-COMP-009,P24-MOD-009,Mapped
P24-REQ-262,P24-TST-262,P23-COMP-010,P24-MOD-010,Mapped
P24-REQ-263,P24-TST-263,P23-COMP-011,P24-MOD-011,Mapped
P24-REQ-264,P24-TST-264,P23-COMP-012,P24-MOD-012,Mapped
P24-REQ-265,P24-TST-265,P23-COMP-001,P24-MOD-013,Mapped
P24-REQ-266,P24-TST-266,P23-COMP-002,P24-MOD-014,Mapped
P24-REQ-267,P24-TST-267,P23-COMP-003,P24-MOD-015,Mapped
P24-REQ-268,P24-TST-268,P23-COMP-004,P24-MOD-016,Mapped
P24-REQ-269,P24-TST-269,P23-COMP-005,P24-MOD-017,Mapped
P24-REQ-270,P24-TST-270,P23-COMP-006,P24-MOD-018,Mapped
P24-REQ-271,P24-TST-271,P23-COMP-007,P24-MOD-001,Mapped
P24-REQ-272,P24-TST-272,P23-COMP-008,P24-MOD-002,Mapped
P24-REQ-273,P24-TST-273,P23-COMP-009,P24-MOD-003,Mapped
P24-REQ-274,P24-TST-274,P23-COMP-010,P24-MOD-004,Mapped
P24-REQ-275,P24-TST-275,P23-COMP-011,P24-MOD-005,Mapped
P24-REQ-276,P24-TST-276,P23-COMP-012,P24-MOD-006,Mapped
P24-REQ-277,P24-TST-277,P23-COMP-001,P24-MOD-007,Mapped
P24-REQ-278,P24-TST-278,P23-COMP-002,P24-MOD-008,Mapped
P24-REQ-279,P24-TST-279,P23-COMP-003,P24-MOD-009,Mapped
P24-REQ-280,P24-TST-280,P23-COMP-004,P24-MOD-010,Mapped
P24-REQ-281,P24-TST-281,P23-COMP-005,P24-MOD-011,Mapped
P24-REQ-282,P24-TST-282,P23-COMP-006,P24-MOD-012,Mapped
P24-REQ-283,P24-TST-283,P23-COMP-007,P24-MOD-013,Mapped
P24-REQ-284,P24-TST-284,P23-COMP-008,P24-MOD-014,Mapped
P24-REQ-285,P24-TST-285,P23-COMP-009,P24-MOD-015,Mapped
P24-REQ-286,P24-TST-286,P23-COMP-010,P24-MOD-016,Mapped
P24-REQ-287,P24-TST-287,P23-COMP-011,P24-MOD-017,Mapped
P24-REQ-288,P24-TST-288,P23-COMP-012,P24-MOD-018,Mapped
P24-REQ-289,P24-TST-289,P23-COMP-001,P24-MOD-001,Mapped
P24-REQ-290,P24-TST-290,P23-COMP-002,P24-MOD-002,Mapped
P24-REQ-291,P24-TST-291,P23-COMP-003,P24-MOD-003,Mapped
P24-REQ-292,P24-TST-292,P23-COMP-004,P24-MOD-004,Mapped
P24-REQ-293,P24-TST-293,P23-COMP-005,P24-MOD-005,Mapped
P24-REQ-294,P24-TST-294,P23-COMP-006,P24-MOD-006,Mapped
P24-REQ-295,P24-TST-295,P23-COMP-007,P24-MOD-007,Mapped
P24-REQ-296,P24-TST-296,P23-COMP-008,P24-MOD-008,Mapped
P24-REQ-297,P24-TST-297,P23-COMP-009,P24-MOD-009,Mapped
P24-REQ-298,P24-TST-298,P23-COMP-010,P24-MOD-010,Mapped
P24-REQ-299,P24-TST-299,P23-COMP-011,P24-MOD-011,Mapped
P24-REQ-300,P24-TST-300,P23-COMP-012,P24-MOD-012,Mapped
P24-REQ-301,P24-TST-301,P23-COMP-001,P24-MOD-013,Mapped
P24-REQ-302,P24-TST-302,P23-COMP-002,P24-MOD-014,Mapped
P24-REQ-303,P24-TST-303,P23-COMP-003,P24-MOD-015,Mapped
P24-REQ-304,P24-TST-304,P23-COMP-004,P24-MOD-016,Mapped
P24-REQ-305,P24-TST-305,P23-COMP-005,P24-MOD-017,Mapped
P24-REQ-306,P24-TST-306,P23-COMP-006,P24-MOD-018,Mapped
P24-REQ-307,P24-TST-307,P23-COMP-007,P24-MOD-001,Mapped
P24-REQ-308,P24-TST-308,P23-COMP-008,P24-MOD-002,Mapped
P24-REQ-309,P24-TST-309,P23-COMP-009,P24-MOD-003,Mapped
P24-REQ-310,P24-TST-310,P23-COMP-010,P24-MOD-004,Mapped
P24-REQ-311,P24-TST-311,P23-COMP-011,P24-MOD-005,Mapped
P24-REQ-312,P24-TST-312,P23-COMP-012,P24-MOD-006,Mapped
P24-REQ-313,P24-TST-313,P23-COMP-001,P24-MOD-007,Mapped
P24-REQ-314,P24-TST-314,P23-COMP-002,P24-MOD-008,Mapped
P24-REQ-315,P24-TST-315,P23-COMP-003,P24-MOD-009,Mapped
P24-REQ-316,P24-TST-316,P23-COMP-004,P24-MOD-010,Mapped
P24-REQ-317,P24-TST-317,P23-COMP-005,P24-MOD-011,Mapped
P24-REQ-318,P24-TST-318,P23-COMP-006,P24-MOD-012,Mapped
P24-REQ-319,P24-TST-319,P23-COMP-007,P24-MOD-013,Mapped
P24-REQ-320,P24-TST-320,P23-COMP-008,P24-MOD-014,Mapped
P24-REQ-321,P24-TST-321,P23-COMP-009,P24-MOD-015,Mapped
P24-REQ-322,P24-TST-322,P23-COMP-010,P24-MOD-016,Mapped
P24-REQ-323,P24-TST-323,P23-COMP-011,P24-MOD-017,Mapped
P24-REQ-324,P24-TST-324,P23-COMP-012,P24-MOD-018,Mapped
P24-REQ-325,P24-TST-325,P23-COMP-001,P24-MOD-001,Mapped
P24-REQ-326,P24-TST-326,P23-COMP-002,P24-MOD-002,Mapped
P24-REQ-327,P24-TST-327,P23-COMP-003,P24-MOD-003,Mapped
P24-REQ-328,P24-TST-328,P23-COMP-004,P24-MOD-004,Mapped
P24-REQ-329,P24-TST-329,P23-COMP-005,P24-MOD-005,Mapped
P24-REQ-330,P24-TST-330,P23-COMP-006,P24-MOD-006,Mapped
P24-REQ-331,P24-TST-331,P23-COMP-007,P24-MOD-007,Mapped
P24-REQ-332,P24-TST-332,P23-COMP-008,P24-MOD-008,Mapped
P24-REQ-333,P24-TST-333,P23-COMP-009,P24-MOD-009,Mapped
P24-REQ-334,P24-TST-334,P23-COMP-010,P24-MOD-010,Mapped
P24-REQ-335,P24-TST-335,P23-COMP-011,P24-MOD-011,Mapped
P24-REQ-336,P24-TST-336,P23-COMP-012,P24-MOD-012,Mapped
P24-REQ-337,P24-TST-337,P23-COMP-001,P24-MOD-013,Mapped
P24-REQ-338,P24-TST-338,P23-COMP-002,P24-MOD-014,Mapped
P24-REQ-339,P24-TST-339,P23-COMP-003,P24-MOD-015,Mapped
P24-REQ-340,P24-TST-340,P23-COMP-004,P24-MOD-016,Mapped
P24-REQ-341,P24-TST-341,P23-COMP-005,P24-MOD-017,Mapped
P24-REQ-342,P24-TST-342,P23-COMP-006,P24-MOD-018,Mapped
P24-REQ-343,P24-TST-343,P23-COMP-007,P24-MOD-001,Mapped
P24-REQ-344,P24-TST-344,P23-COMP-008,P24-MOD-002,Mapped
P24-REQ-345,P24-TST-345,P23-COMP-009,P24-MOD-003,Mapped
P24-REQ-346,P24-TST-346,P23-COMP-010,P24-MOD-004,Mapped
P24-REQ-347,P24-TST-347,P23-COMP-011,P24-MOD-005,Mapped
P24-REQ-348,P24-TST-348,P23-COMP-012,P24-MOD-006,Mapped
