kpi_id,name,domain,definition,cadence,governance
P13-KPI-022,Equipment Downtime,Financial Intelligence,Governed formula defined in semantic metric registry for Equipment Downtime.,Daily/Weekly/Monthly,Owner assigned
P13-KPI-023,Maintenance Cost / Hour,Project Intelligence,Governed formula defined in semantic metric registry for Maintenance Cost / Hour.,Daily/Weekly/Monthly,Owner assigned
P13-KPI-024,Procurement Savings,Estimating Intelligence,Governed formula defined in semantic metric registry for Procurement Savings.,Daily/Weekly/Monthly,Owner assigned
P13-KPI-025,Supplier On-Time Delivery,CRM & Market Intelligence,Governed formula defined in semantic metric registry for Supplier On-Time Delivery.,Daily/Weekly/Monthly,Owner assigned
P13-KPI-026,Material Lead Time,Workforce Intelligence,Governed formula defined in semantic metric registry for Material Lead Time.,Daily/Weekly/Monthly,Owner assigned
P13-KPI-027,Inventory Turnover,Procurement Intelligence,Governed formula defined in semantic metric registry for Inventory Turnover.,Daily/Weekly/Monthly,Owner assigned
P13-KPI-028,Safety TRIR,Fleet Intelligence,Governed formula defined in semantic metric registry for Safety TRIR.,Daily/Weekly/Monthly,Owner assigned
P13-KPI-029,Near-Miss Closure,"Safety, Quality & Compliance Analytics",Governed formula defined in semantic metric registry for Near-Miss Closure.,Daily/Weekly/Monthly,Owner assigned
P13-KPI-030,Quality Rework %,Portfolio & Program Intelligence,Governed formula defined in semantic metric registry for Quality Rework %.,Daily/Weekly/Monthly,Owner assigned
P13-KPI-031,Customer Profitability,Forecasting & Scenario Planning,Governed formula defined in semantic metric registry for Customer Profitability.,Daily/Weekly/Monthly,Owner assigned
P13-KPI-032,Customer Retention,AI Decision Intelligence,Governed formula defined in semantic metric registry for Customer Retention.,Daily/Weekly/Monthly,Owner assigned
P13-KPI-033,Data Freshness SLA,Data Platform & Lineage,Governed formula defined in semantic metric registry for Data Freshness SLA.,Daily/Weekly/Monthly,Owner assigned
P13-KPI-034,Data Quality Pass Rate,Reporting & Distribution,Governed formula defined in semantic metric registry for Data Quality Pass Rate.,Daily/Weekly/Monthly,Owner assigned
P13-KPI-035,Forecast Accuracy,Self-Service Analytics,Governed formula defined in semantic metric registry for Forecast Accuracy.,Daily/Weekly/Monthly,Owner assigned
P13-KPI-036,AI Recommendation Acceptance,Enterprise Digital Twin,Governed formula defined in semantic metric registry for AI Recommendation Acceptance.,Daily/Weekly/Monthly,Owner assigned
P13-KPI-037,AI Recommendation Benefit,Executive Command Center,Governed formula defined in semantic metric registry for AI Recommendation Benefit.,Daily/Weekly/Monthly,Owner assigned
P13-KPI-038,Dashboard Adoption,Semantic Metrics Layer,Governed formula defined in semantic metric registry for Dashboard Adoption.,Daily/Weekly/Monthly,Owner assigned
P13-KPI-039,Decision Cycle Time,Operational Intelligence,Governed formula defined in semantic metric registry for Decision Cycle Time.,Daily/Weekly/Monthly,Owner assigned
P13-KPI-040,Strategic Objective Attainment,Financial Intelligence,Governed formula defined in semantic metric registry for Strategic Objective Attainment.,Daily/Weekly/Monthly,Owner assigned
