api_id,method,path,resource,security,control
P13-API-001,GET/POST,/api/v1/analytics/metrics,metrics,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-034,GET/POST,/api/v1/analytics/quality-intelligence,quality-intelligence,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-035,GET/POST,/api/v1/analytics/benchmarks,benchmarks,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-036,GET/POST,/api/v1/analytics/executive-briefs,executive-briefs,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-037,GET/POST,/api/v1/analytics/board-packs,board-packs,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-038,GET/POST,/api/v1/analytics/digital-twin,digital-twin,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-039,GET/POST,/api/v1/analytics/audit-events,audit-events,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-040,GET/POST,/api/v1/analytics/analytics-usage,analytics-usage,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-041,GET/POST,/api/v1/analytics/forecast-accuracy,forecast-accuracy,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-042,GET/POST,/api/v1/analytics/data-freshness,data-freshness,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-043,GET/POST,/api/v1/analytics/entitlements,entitlements,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-044,GET/POST,/api/v1/analytics/saved-views,saved-views,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
P13-API-045,GET/POST,/api/v1/analytics/exports,exports,OAuth2/JWT + RBAC/ABAC,Tenant-scoped; audited
