Requirement ID,Module Code,Module,Requirement,Priority,Business Rule,Validation Rule,Test Case,Status
GES-P10-REQ-011,FIN-CORE,Financial Core & Governance,"The platform shall support multi-company and intercompany processing where applicable to multi-company, multi-entity, fiscal calendars, chart of accounts, periods, currencies, and financial controls.",Should,BR-011,VR-011,TC-P10-011,Draft
GES-P10-REQ-012,FIN-CORE,Financial Core & Governance,"The platform shall support configurable accounting dimensions including company, project, department, cost code, equipment, customer, vendor, and location for multi-company, multi-entity, fiscal calendars, chart of accounts, periods, currencies, and financial controls.",Must,BR-012,VR-012,TC-P10-012,Draft
GES-P10-REQ-013,FIN-CORE,Financial Core & Governance,"The platform shall detect duplicates, anomalies, missing data, and policy exceptions involving multi-company, multi-entity, fiscal calendars, chart of accounts, periods, currencies, and financial controls.",Must,BR-013,VR-013,TC-P10-013,Draft
GES-P10-REQ-014,FIN-CORE,Financial Core & Governance,"The platform shall support period controls, cutoff validation, and posting-date governance for multi-company, multi-entity, fiscal calendars, chart of accounts, periods, currencies, and financial controls.",Must,BR-014,VR-014,TC-P10-014,Draft
GES-P10-REQ-015,FIN-CORE,Financial Core & Governance,"The platform shall preserve traceability from originating operational transaction through final financial statement impact for multi-company, multi-entity, fiscal calendars, chart of accounts, periods, currencies, and financial controls.",Should,BR-015,VR-015,TC-P10-015,Draft
GES-P10-REQ-016,GL,General Ledger,"The platform shall maintain tenant-scoped journal entries, recurring journals, allocations, intercompany, consolidation, trial balance, and close.",Must,BR-016,VR-016,TC-P10-016,Draft
GES-P10-REQ-017,GL,General Ledger,"The platform shall support configurable approval thresholds and routing for journal entries, recurring journals, allocations, intercompany, consolidation, trial balance, and close.",Must,BR-017,VR-017,TC-P10-017,Draft
GES-P10-REQ-018,GL,General Ledger,"The platform shall create an immutable audit event for every create, update, approve, post, reverse, export, and delete action involving journal entries, recurring journals, allocations, intercompany, consolidation, trial balance, and close.",Must,BR-018,VR-018,TC-P10-018,Draft
GES-P10-REQ-019,GL,General Ledger,"The platform shall enforce role-based and attribute-based access controls for journal entries, recurring journals, allocations, intercompany, consolidation, trial balance, and close.",Should,BR-019,VR-019,TC-P10-019,Draft
GES-P10-REQ-020,GL,General Ledger,"The platform shall support effective dating, versioning, and historical reconstruction of journal entries, recurring journals, allocations, intercompany, consolidation, trial balance, and close.",Must,BR-020,VR-020,TC-P10-020,Draft
GES-P10-REQ-021,GL,General Ledger,"The platform shall validate source-to-ledger balance and reject unbalanced transactions involving journal entries, recurring journals, allocations, intercompany, consolidation, trial balance, and close.",Must,BR-021,VR-021,TC-P10-021,Draft
GES-P10-REQ-022,GL,General Ledger,"The platform shall provide configurable statuses and state transitions for journal entries, recurring journals, allocations, intercompany, consolidation, trial balance, and close.",Must,BR-022,VR-022,TC-P10-022,Draft
GES-P10-REQ-023,GL,General Ledger,"The platform shall expose governed APIs and event notifications for journal entries, recurring journals, allocations, intercompany, consolidation, trial balance, and close.",Should,BR-023,VR-023,TC-P10-023,Draft
GES-P10-REQ-024,GL,General Ledger,"The platform shall provide dashboards, drill-downs, and exportable reports for journal entries, recurring journals, allocations, intercompany, consolidation, trial balance, and close.",Must,BR-024,VR-024,TC-P10-024,Draft
GES-P10-REQ-025,GL,General Ledger,"The platform shall support attachments, notes, evidence, and source-document lineage for journal entries, recurring journals, allocations, intercompany, consolidation, trial balance, and close.",Must,BR-025,VR-025,TC-P10-025,Draft
GES-P10-REQ-026,GL,General Ledger,"The platform shall support multi-company and intercompany processing where applicable to journal entries, recurring journals, allocations, intercompany, consolidation, trial balance, and close.",Must,BR-026,VR-026,TC-P10-026,Draft
GES-P10-REQ-027,GL,General Ledger,"The platform shall support configurable accounting dimensions including company, project, department, cost code, equipment, customer, vendor, and location for journal entries, recurring journals, allocations, intercompany, consolidation, trial balance, and close.",Should,BR-027,VR-027,TC-P10-027,Draft
GES-P10-REQ-028,GL,General Ledger,"The platform shall detect duplicates, anomalies, missing data, and policy exceptions involving journal entries, recurring journals, allocations, intercompany, consolidation, trial balance, and close.",Must,BR-028,VR-028,TC-P10-028,Draft
GES-P10-REQ-029,GL,General Ledger,"The platform shall support period controls, cutoff validation, and posting-date governance for journal entries, recurring journals, allocations, intercompany, consolidation, trial balance, and close.",Must,BR-029,VR-029,TC-P10-029,Draft
GES-P10-REQ-030,GL,General Ledger,"The platform shall preserve traceability from originating operational transaction through final financial statement impact for journal entries, recurring journals, allocations, intercompany, consolidation, trial balance, and close.",Must,BR-030,VR-030,TC-P10-030,Draft
GES-P10-REQ-031,AP,Accounts Payable,"The platform shall maintain tenant-scoped vendor invoices, credits, approval, three-way match, retainage, payment processing, and 1099 readiness.",Should,BR-031,VR-031,TC-P10-031,Draft
GES-P10-REQ-032,AP,Accounts Payable,"The platform shall support configurable approval thresholds and routing for vendor invoices, credits, approval, three-way match, retainage, payment processing, and 1099 readiness.",Must,BR-032,VR-032,TC-P10-032,Draft
GES-P10-REQ-033,AP,Accounts Payable,"The platform shall create an immutable audit event for every create, update, approve, post, reverse, export, and delete action involving vendor invoices, credits, approval, three-way match, retainage, payment processing, and 1099 readiness.",Must,BR-033,VR-033,TC-P10-033,Draft
GES-P10-REQ-034,AP,Accounts Payable,"The platform shall enforce role-based and attribute-based access controls for vendor invoices, credits, approval, three-way match, retainage, payment processing, and 1099 readiness.",Must,BR-034,VR-034,TC-P10-034,Draft
GES-P10-REQ-035,AP,Accounts Payable,"The platform shall support effective dating, versioning, and historical reconstruction of vendor invoices, credits, approval, three-way match, retainage, payment processing, and 1099 readiness.",Should,BR-035,VR-035,TC-P10-035,Draft
GES-P10-REQ-036,AP,Accounts Payable,"The platform shall validate source-to-ledger balance and reject unbalanced transactions involving vendor invoices, credits, approval, three-way match, retainage, payment processing, and 1099 readiness.",Must,BR-036,VR-036,TC-P10-036,Draft
GES-P10-REQ-037,AP,Accounts Payable,"The platform shall provide configurable statuses and state transitions for vendor invoices, credits, approval, three-way match, retainage, payment processing, and 1099 readiness.",Must,BR-037,VR-037,TC-P10-037,Draft
GES-P10-REQ-038,AP,Accounts Payable,"The platform shall expose governed APIs and event notifications for vendor invoices, credits, approval, three-way match, retainage, payment processing, and 1099 readiness.",Must,BR-038,VR-038,TC-P10-038,Draft
GES-P10-REQ-039,AP,Accounts Payable,"The platform shall provide dashboards, drill-downs, and exportable reports for vendor invoices, credits, approval, three-way match, retainage, payment processing, and 1099 readiness.",Should,BR-039,VR-039,TC-P10-039,Draft
GES-P10-REQ-040,AP,Accounts Payable,"The platform shall support attachments, notes, evidence, and source-document lineage for vendor invoices, credits, approval, three-way match, retainage, payment processing, and 1099 readiness.",Must,BR-040,VR-040,TC-P10-040,Draft
GES-P10-REQ-041,AP,Accounts Payable,"The platform shall support multi-company and intercompany processing where applicable to vendor invoices, credits, approval, three-way match, retainage, payment processing, and 1099 readiness.",Must,BR-001,VR-001,TC-P10-041,Draft
GES-P10-REQ-042,AP,Accounts Payable,"The platform shall support configurable accounting dimensions including company, project, department, cost code, equipment, customer, vendor, and location for vendor invoices, credits, approval, three-way match, retainage, payment processing, and 1099 readiness.",Must,BR-002,VR-002,TC-P10-042,Draft
GES-P10-REQ-043,AP,Accounts Payable,"The platform shall detect duplicates, anomalies, missing data, and policy exceptions involving vendor invoices, credits, approval, three-way match, retainage, payment processing, and 1099 readiness.",Should,BR-003,VR-003,TC-P10-043,Draft
GES-P10-REQ-044,AP,Accounts Payable,"The platform shall support period controls, cutoff validation, and posting-date governance for vendor invoices, credits, approval, three-way match, retainage, payment processing, and 1099 readiness.",Must,BR-004,VR-004,TC-P10-044,Draft
GES-P10-REQ-045,AP,Accounts Payable,"The platform shall preserve traceability from originating operational transaction through final financial statement impact for vendor invoices, credits, approval, three-way match, retainage, payment processing, and 1099 readiness.",Must,BR-005,VR-005,TC-P10-045,Draft
GES-P10-REQ-046,AR,Accounts Receivable,"The platform shall maintain tenant-scoped customer invoicing, cash receipts, collections, credit controls, retainage, and aging.",Must,BR-006,VR-006,TC-P10-046,Draft
GES-P10-REQ-047,AR,Accounts Receivable,"The platform shall support configurable approval thresholds and routing for customer invoicing, cash receipts, collections, credit controls, retainage, and aging.",Should,BR-007,VR-007,TC-P10-047,Draft
GES-P10-REQ-048,AR,Accounts Receivable,"The platform shall create an immutable audit event for every create, update, approve, post, reverse, export, and delete action involving customer invoicing, cash receipts, collections, credit controls, retainage, and aging.",Must,BR-008,VR-008,TC-P10-048,Draft
GES-P10-REQ-049,AR,Accounts Receivable,"The platform shall enforce role-based and attribute-based access controls for customer invoicing, cash receipts, collections, credit controls, retainage, and aging.",Must,BR-009,VR-009,TC-P10-049,Draft
GES-P10-REQ-050,AR,Accounts Receivable,"The platform shall support effective dating, versioning, and historical reconstruction of customer invoicing, cash receipts, collections, credit controls, retainage, and aging.",Must,BR-010,VR-010,TC-P10-050,Draft
GES-P10-REQ-051,AR,Accounts Receivable,"The platform shall validate source-to-ledger balance and reject unbalanced transactions involving customer invoicing, cash receipts, collections, credit controls, retainage, and aging.",Should,BR-011,VR-011,TC-P10-051,Draft
GES-P10-REQ-052,AR,Accounts Receivable,"The platform shall provide configurable statuses and state transitions for customer invoicing, cash receipts, collections, credit controls, retainage, and aging.",Must,BR-012,VR-012,TC-P10-052,Draft
GES-P10-REQ-053,AR,Accounts Receivable,"The platform shall expose governed APIs and event notifications for customer invoicing, cash receipts, collections, credit controls, retainage, and aging.",Must,BR-013,VR-013,TC-P10-053,Draft
GES-P10-REQ-054,AR,Accounts Receivable,"The platform shall provide dashboards, drill-downs, and exportable reports for customer invoicing, cash receipts, collections, credit controls, retainage, and aging.",Must,BR-014,VR-014,TC-P10-054,Draft
GES-P10-REQ-055,AR,Accounts Receivable,"The platform shall support attachments, notes, evidence, and source-document lineage for customer invoicing, cash receipts, collections, credit controls, retainage, and aging.",Should,BR-015,VR-015,TC-P10-055,Draft
GES-P10-REQ-056,AR,Accounts Receivable,"The platform shall support multi-company and intercompany processing where applicable to customer invoicing, cash receipts, collections, credit controls, retainage, and aging.",Must,BR-016,VR-016,TC-P10-056,Draft
GES-P10-REQ-057,AR,Accounts Receivable,"The platform shall support configurable accounting dimensions including company, project, department, cost code, equipment, customer, vendor, and location for customer invoicing, cash receipts, collections, credit controls, retainage, and aging.",Must,BR-017,VR-017,TC-P10-057,Draft
GES-P10-REQ-058,AR,Accounts Receivable,"The platform shall detect duplicates, anomalies, missing data, and policy exceptions involving customer invoicing, cash receipts, collections, credit controls, retainage, and aging.",Must,BR-018,VR-018,TC-P10-058,Draft
GES-P10-REQ-059,AR,Accounts Receivable,"The platform shall support period controls, cutoff validation, and posting-date governance for customer invoicing, cash receipts, collections, credit controls, retainage, and aging.",Should,BR-019,VR-019,TC-P10-059,Draft
GES-P10-REQ-060,AR,Accounts Receivable,"The platform shall preserve traceability from originating operational transaction through final financial statement impact for customer invoicing, cash receipts, collections, credit controls, retainage, and aging.",Must,BR-020,VR-020,TC-P10-060,Draft
GES-P10-REQ-061,JC,Job Cost & WIP,"The platform shall maintain tenant-scoped cost codes, commitments, actuals, forecasts, earned revenue, WIP, and over/under billings.",Must,BR-021,VR-021,TC-P10-061,Draft
GES-P10-REQ-062,JC,Job Cost & WIP,"The platform shall support configurable approval thresholds and routing for cost codes, commitments, actuals, forecasts, earned revenue, WIP, and over/under billings.",Must,BR-022,VR-022,TC-P10-062,Draft
GES-P10-REQ-063,JC,Job Cost & WIP,"The platform shall create an immutable audit event for every create, update, approve, post, reverse, export, and delete action involving cost codes, commitments, actuals, forecasts, earned revenue, WIP, and over/under billings.",Should,BR-023,VR-023,TC-P10-063,Draft
GES-P10-REQ-064,JC,Job Cost & WIP,"The platform shall enforce role-based and attribute-based access controls for cost codes, commitments, actuals, forecasts, earned revenue, WIP, and over/under billings.",Must,BR-024,VR-024,TC-P10-064,Draft
GES-P10-REQ-065,JC,Job Cost & WIP,"The platform shall support effective dating, versioning, and historical reconstruction of cost codes, commitments, actuals, forecasts, earned revenue, WIP, and over/under billings.",Must,BR-025,VR-025,TC-P10-065,Draft
GES-P10-REQ-066,JC,Job Cost & WIP,"The platform shall validate source-to-ledger balance and reject unbalanced transactions involving cost codes, commitments, actuals, forecasts, earned revenue, WIP, and over/under billings.",Must,BR-026,VR-026,TC-P10-066,Draft
GES-P10-REQ-067,JC,Job Cost & WIP,"The platform shall provide configurable statuses and state transitions for cost codes, commitments, actuals, forecasts, earned revenue, WIP, and over/under billings.",Should,BR-027,VR-027,TC-P10-067,Draft
GES-P10-REQ-068,JC,Job Cost & WIP,"The platform shall expose governed APIs and event notifications for cost codes, commitments, actuals, forecasts, earned revenue, WIP, and over/under billings.",Must,BR-028,VR-028,TC-P10-068,Draft
GES-P10-REQ-069,JC,Job Cost & WIP,"The platform shall provide dashboards, drill-downs, and exportable reports for cost codes, commitments, actuals, forecasts, earned revenue, WIP, and over/under billings.",Must,BR-029,VR-029,TC-P10-069,Draft
GES-P10-REQ-070,JC,Job Cost & WIP,"The platform shall support attachments, notes, evidence, and source-document lineage for cost codes, commitments, actuals, forecasts, earned revenue, WIP, and over/under billings.",Must,BR-030,VR-030,TC-P10-070,Draft
GES-P10-REQ-071,JC,Job Cost & WIP,"The platform shall support multi-company and intercompany processing where applicable to cost codes, commitments, actuals, forecasts, earned revenue, WIP, and over/under billings.",Should,BR-031,VR-031,TC-P10-071,Draft
GES-P10-REQ-072,JC,Job Cost & WIP,"The platform shall support configurable accounting dimensions including company, project, department, cost code, equipment, customer, vendor, and location for cost codes, commitments, actuals, forecasts, earned revenue, WIP, and over/under billings.",Must,BR-032,VR-032,TC-P10-072,Draft
GES-P10-REQ-073,JC,Job Cost & WIP,"The platform shall detect duplicates, anomalies, missing data, and policy exceptions involving cost codes, commitments, actuals, forecasts, earned revenue, WIP, and over/under billings.",Must,BR-033,VR-033,TC-P10-073,Draft
GES-P10-REQ-074,JC,Job Cost & WIP,"The platform shall support period controls, cutoff validation, and posting-date governance for cost codes, commitments, actuals, forecasts, earned revenue, WIP, and over/under billings.",Must,BR-034,VR-034,TC-P10-074,Draft
GES-P10-REQ-075,JC,Job Cost & WIP,"The platform shall preserve traceability from originating operational transaction through final financial statement impact for cost codes, commitments, actuals, forecasts, earned revenue, WIP, and over/under billings.",Should,BR-035,VR-035,TC-P10-075,Draft
GES-P10-REQ-076,BILL,Construction Billing,"The platform shall maintain tenant-scoped AIA-style progress billing, schedule of values, T&M, unit price, milestone, stored materials, and lien controls.",Must,BR-036,VR-036,TC-P10-076,Draft
GES-P10-REQ-077,BILL,Construction Billing,"The platform shall support configurable approval thresholds and routing for AIA-style progress billing, schedule of values, T&M, unit price, milestone, stored materials, and lien controls.",Must,BR-037,VR-037,TC-P10-077,Draft
GES-P10-REQ-078,BILL,Construction Billing,"The platform shall create an immutable audit event for every create, update, approve, post, reverse, export, and delete action involving AIA-style progress billing, schedule of values, T&M, unit price, milestone, stored materials, and lien controls.",Must,BR-038,VR-038,TC-P10-078,Draft
GES-P10-REQ-079,BILL,Construction Billing,"The platform shall enforce role-based and attribute-based access controls for AIA-style progress billing, schedule of values, T&M, unit price, milestone, stored materials, and lien controls.",Should,BR-039,VR-039,TC-P10-079,Draft
GES-P10-REQ-080,BILL,Construction Billing,"The platform shall support effective dating, versioning, and historical reconstruction of AIA-style progress billing, schedule of values, T&M, unit price, milestone, stored materials, and lien controls.",Must,BR-040,VR-040,TC-P10-080,Draft
GES-P10-REQ-081,BILL,Construction Billing,"The platform shall validate source-to-ledger balance and reject unbalanced transactions involving AIA-style progress billing, schedule of values, T&M, unit price, milestone, stored materials, and lien controls.",Must,BR-001,VR-001,TC-P10-081,Draft
GES-P10-REQ-082,BILL,Construction Billing,"The platform shall provide configurable statuses and state transitions for AIA-style progress billing, schedule of values, T&M, unit price, milestone, stored materials, and lien controls.",Must,BR-002,VR-002,TC-P10-082,Draft
GES-P10-REQ-083,BILL,Construction Billing,"The platform shall expose governed APIs and event notifications for AIA-style progress billing, schedule of values, T&M, unit price, milestone, stored materials, and lien controls.",Should,BR-003,VR-003,TC-P10-083,Draft
GES-P10-REQ-084,BILL,Construction Billing,"The platform shall provide dashboards, drill-downs, and exportable reports for AIA-style progress billing, schedule of values, T&M, unit price, milestone, stored materials, and lien controls.",Must,BR-004,VR-004,TC-P10-084,Draft
GES-P10-REQ-085,BILL,Construction Billing,"The platform shall support attachments, notes, evidence, and source-document lineage for AIA-style progress billing, schedule of values, T&M, unit price, milestone, stored materials, and lien controls.",Must,BR-005,VR-005,TC-P10-085,Draft
GES-P10-REQ-086,BILL,Construction Billing,"The platform shall support multi-company and intercompany processing where applicable to AIA-style progress billing, schedule of values, T&M, unit price, milestone, stored materials, and lien controls.",Must,BR-006,VR-006,TC-P10-086,Draft
GES-P10-REQ-087,BILL,Construction Billing,"The platform shall support configurable accounting dimensions including company, project, department, cost code, equipment, customer, vendor, and location for AIA-style progress billing, schedule of values, T&M, unit price, milestone, stored materials, and lien controls.",Should,BR-007,VR-007,TC-P10-087,Draft
GES-P10-REQ-088,BILL,Construction Billing,"The platform shall detect duplicates, anomalies, missing data, and policy exceptions involving AIA-style progress billing, schedule of values, T&M, unit price, milestone, stored materials, and lien controls.",Must,BR-008,VR-008,TC-P10-088,Draft
GES-P10-REQ-089,BILL,Construction Billing,"The platform shall support period controls, cutoff validation, and posting-date governance for AIA-style progress billing, schedule of values, T&M, unit price, milestone, stored materials, and lien controls.",Must,BR-009,VR-009,TC-P10-089,Draft
GES-P10-REQ-090,BILL,Construction Billing,"The platform shall preserve traceability from originating operational transaction through final financial statement impact for AIA-style progress billing, schedule of values, T&M, unit price, milestone, stored materials, and lien controls.",Must,BR-010,VR-010,TC-P10-090,Draft
GES-P10-REQ-091,PAY,Payroll Accounting Integration,"The platform shall maintain tenant-scoped labor distribution, burdens, union fringes, prevailing wage, certified payroll, and payroll posting.",Should,BR-011,VR-011,TC-P10-091,Draft
GES-P10-REQ-092,PAY,Payroll Accounting Integration,"The platform shall support configurable approval thresholds and routing for labor distribution, burdens, union fringes, prevailing wage, certified payroll, and payroll posting.",Must,BR-012,VR-012,TC-P10-092,Draft
GES-P10-REQ-093,PAY,Payroll Accounting Integration,"The platform shall create an immutable audit event for every create, update, approve, post, reverse, export, and delete action involving labor distribution, burdens, union fringes, prevailing wage, certified payroll, and payroll posting.",Must,BR-013,VR-013,TC-P10-093,Draft
GES-P10-REQ-094,PAY,Payroll Accounting Integration,"The platform shall enforce role-based and attribute-based access controls for labor distribution, burdens, union fringes, prevailing wage, certified payroll, and payroll posting.",Must,BR-014,VR-014,TC-P10-094,Draft
GES-P10-REQ-095,PAY,Payroll Accounting Integration,"The platform shall support effective dating, versioning, and historical reconstruction of labor distribution, burdens, union fringes, prevailing wage, certified payroll, and payroll posting.",Should,BR-015,VR-015,TC-P10-095,Draft
GES-P10-REQ-096,PAY,Payroll Accounting Integration,"The platform shall validate source-to-ledger balance and reject unbalanced transactions involving labor distribution, burdens, union fringes, prevailing wage, certified payroll, and payroll posting.",Must,BR-016,VR-016,TC-P10-096,Draft
GES-P10-REQ-097,PAY,Payroll Accounting Integration,"The platform shall provide configurable statuses and state transitions for labor distribution, burdens, union fringes, prevailing wage, certified payroll, and payroll posting.",Must,BR-017,VR-017,TC-P10-097,Draft
GES-P10-REQ-098,PAY,Payroll Accounting Integration,"The platform shall expose governed APIs and event notifications for labor distribution, burdens, union fringes, prevailing wage, certified payroll, and payroll posting.",Must,BR-018,VR-018,TC-P10-098,Draft
GES-P10-REQ-099,PAY,Payroll Accounting Integration,"The platform shall provide dashboards, drill-downs, and exportable reports for labor distribution, burdens, union fringes, prevailing wage, certified payroll, and payroll posting.",Should,BR-019,VR-019,TC-P10-099,Draft
GES-P10-REQ-100,PAY,Payroll Accounting Integration,"The platform shall support attachments, notes, evidence, and source-document lineage for labor distribution, burdens, union fringes, prevailing wage, certified payroll, and payroll posting.",Must,BR-020,VR-020,TC-P10-100,Draft
GES-P10-REQ-101,PAY,Payroll Accounting Integration,"The platform shall support multi-company and intercompany processing where applicable to labor distribution, burdens, union fringes, prevailing wage, certified payroll, and payroll posting.",Must,BR-021,VR-021,TC-P10-101,Draft
GES-P10-REQ-102,PAY,Payroll Accounting Integration,"The platform shall support configurable accounting dimensions including company, project, department, cost code, equipment, customer, vendor, and location for labor distribution, burdens, union fringes, prevailing wage, certified payroll, and payroll posting.",Must,BR-022,VR-022,TC-P10-102,Draft
GES-P10-REQ-103,PAY,Payroll Accounting Integration,"The platform shall detect duplicates, anomalies, missing data, and policy exceptions involving labor distribution, burdens, union fringes, prevailing wage, certified payroll, and payroll posting.",Should,BR-023,VR-023,TC-P10-103,Draft
GES-P10-REQ-104,PAY,Payroll Accounting Integration,"The platform shall support period controls, cutoff validation, and posting-date governance for labor distribution, burdens, union fringes, prevailing wage, certified payroll, and payroll posting.",Must,BR-024,VR-024,TC-P10-104,Draft
GES-P10-REQ-105,PAY,Payroll Accounting Integration,"The platform shall preserve traceability from originating operational transaction through final financial statement impact for labor distribution, burdens, union fringes, prevailing wage, certified payroll, and payroll posting.",Must,BR-025,VR-025,TC-P10-105,Draft
GES-P10-REQ-106,CASH,Cash & Treasury,"The platform shall maintain tenant-scoped bank accounts, reconciliation, cash positioning, payment controls, positive pay, and cash forecasting.",Must,BR-026,VR-026,TC-P10-106,Draft
GES-P10-REQ-107,CASH,Cash & Treasury,"The platform shall support configurable approval thresholds and routing for bank accounts, reconciliation, cash positioning, payment controls, positive pay, and cash forecasting.",Should,BR-027,VR-027,TC-P10-107,Draft
GES-P10-REQ-108,CASH,Cash & Treasury,"The platform shall create an immutable audit event for every create, update, approve, post, reverse, export, and delete action involving bank accounts, reconciliation, cash positioning, payment controls, positive pay, and cash forecasting.",Must,BR-028,VR-028,TC-P10-108,Draft
GES-P10-REQ-109,CASH,Cash & Treasury,"The platform shall enforce role-based and attribute-based access controls for bank accounts, reconciliation, cash positioning, payment controls, positive pay, and cash forecasting.",Must,BR-029,VR-029,TC-P10-109,Draft
GES-P10-REQ-110,CASH,Cash & Treasury,"The platform shall support effective dating, versioning, and historical reconstruction of bank accounts, reconciliation, cash positioning, payment controls, positive pay, and cash forecasting.",Must,BR-030,VR-030,TC-P10-110,Draft
GES-P10-REQ-111,CASH,Cash & Treasury,"The platform shall validate source-to-ledger balance and reject unbalanced transactions involving bank accounts, reconciliation, cash positioning, payment controls, positive pay, and cash forecasting.",Should,BR-031,VR-031,TC-P10-111,Draft
GES-P10-REQ-112,CASH,Cash & Treasury,"The platform shall provide configurable statuses and state transitions for bank accounts, reconciliation, cash positioning, payment controls, positive pay, and cash forecasting.",Must,BR-032,VR-032,TC-P10-112,Draft
GES-P10-REQ-113,CASH,Cash & Treasury,"The platform shall expose governed APIs and event notifications for bank accounts, reconciliation, cash positioning, payment controls, positive pay, and cash forecasting.",Must,BR-033,VR-033,TC-P10-113,Draft
GES-P10-REQ-114,CASH,Cash & Treasury,"The platform shall provide dashboards, drill-downs, and exportable reports for bank accounts, reconciliation, cash positioning, payment controls, positive pay, and cash forecasting.",Must,BR-034,VR-034,TC-P10-114,Draft
GES-P10-REQ-115,CASH,Cash & Treasury,"The platform shall support attachments, notes, evidence, and source-document lineage for bank accounts, reconciliation, cash positioning, payment controls, positive pay, and cash forecasting.",Should,BR-035,VR-035,TC-P10-115,Draft
GES-P10-REQ-116,CASH,Cash & Treasury,"The platform shall support multi-company and intercompany processing where applicable to bank accounts, reconciliation, cash positioning, payment controls, positive pay, and cash forecasting.",Must,BR-036,VR-036,TC-P10-116,Draft
GES-P10-REQ-117,CASH,Cash & Treasury,"The platform shall support configurable accounting dimensions including company, project, department, cost code, equipment, customer, vendor, and location for bank accounts, reconciliation, cash positioning, payment controls, positive pay, and cash forecasting.",Must,BR-037,VR-037,TC-P10-117,Draft
GES-P10-REQ-118,CASH,Cash & Treasury,"The platform shall detect duplicates, anomalies, missing data, and policy exceptions involving bank accounts, reconciliation, cash positioning, payment controls, positive pay, and cash forecasting.",Must,BR-038,VR-038,TC-P10-118,Draft
GES-P10-REQ-119,CASH,Cash & Treasury,"The platform shall support period controls, cutoff validation, and posting-date governance for bank accounts, reconciliation, cash positioning, payment controls, positive pay, and cash forecasting.",Should,BR-039,VR-039,TC-P10-119,Draft
GES-P10-REQ-120,CASH,Cash & Treasury,"The platform shall preserve traceability from originating operational transaction through final financial statement impact for bank accounts, reconciliation, cash positioning, payment controls, positive pay, and cash forecasting.",Must,BR-040,VR-040,TC-P10-120,Draft
GES-P10-REQ-121,BUD,Budgeting & Forecasting,"The platform shall maintain tenant-scoped annual budgets, project forecasts, scenario modeling, rolling forecasts, and management approvals.",Must,BR-001,VR-001,TC-P10-121,Draft
GES-P10-REQ-122,BUD,Budgeting & Forecasting,"The platform shall support configurable approval thresholds and routing for annual budgets, project forecasts, scenario modeling, rolling forecasts, and management approvals.",Must,BR-002,VR-002,TC-P10-122,Draft
GES-P10-REQ-123,BUD,Budgeting & Forecasting,"The platform shall create an immutable audit event for every create, update, approve, post, reverse, export, and delete action involving annual budgets, project forecasts, scenario modeling, rolling forecasts, and management approvals.",Should,BR-003,VR-003,TC-P10-123,Draft
