api_id,method,path,resource,purpose,security,control
P23-API-001,GET,/api/v1/tenants,tenants,List/query tenants,Authenticated; tenant scoped; policy checked,Idempotency for writes where applicable; audit governed
P23-API-049,GET,/api/v1/schedules,schedules,List/query schedules,Authenticated; tenant scoped; policy checked,Idempotency for writes where applicable; audit governed
P23-API-050,POST,/api/v1/schedules,schedules,Create schedules,Authenticated; tenant scoped; policy checked,Idempotency for writes where applicable; audit governed
P23-API-051,GET,/api/v1/schedules/{id},schedules,Read one schedules,Authenticated; tenant scoped; policy checked,Idempotency for writes where applicable; audit governed
P23-API-052,PATCH,/api/v1/schedules/{id},schedules,Update schedules,Authenticated; tenant scoped; policy checked,Idempotency for writes where applicable; audit governed
P23-API-053,GET,/api/v1/contracts,contracts,List/query contracts,Authenticated; tenant scoped; policy checked,Idempotency for writes where applicable; audit governed
P23-API-054,POST,/api/v1/contracts,contracts,Create contracts,Authenticated; tenant scoped; policy checked,Idempotency for writes where applicable; audit governed
P23-API-055,GET,/api/v1/contracts/{id},contracts,Read one contracts,Authenticated; tenant scoped; policy checked,Idempotency for writes where applicable; audit governed
P23-API-056,PATCH,/api/v1/contracts/{id},contracts,Update contracts,Authenticated; tenant scoped; policy checked,Idempotency for writes where applicable; audit governed
P23-API-057,GET,/api/v1/ai-jobs,ai-jobs,List/query ai-jobs,Authenticated; tenant scoped; policy checked,Idempotency for writes where applicable; audit governed
P23-API-058,POST,/api/v1/ai-jobs,ai-jobs,Create ai-jobs,Authenticated; tenant scoped; policy checked,Idempotency for writes where applicable; audit governed
P23-API-059,GET,/api/v1/ai-jobs/{id},ai-jobs,Read one ai-jobs,Authenticated; tenant scoped; policy checked,Idempotency for writes where applicable; audit governed
P23-API-060,PATCH,/api/v1/ai-jobs/{id},ai-jobs,Update ai-jobs,Authenticated; tenant scoped; policy checked,Idempotency for writes where applicable; audit governed
P23-API-061,GET,/api/v1/audit-events,audit-events,List/query audit-events,Authenticated; tenant scoped; policy checked,Idempotency for writes where applicable; audit governed
P23-API-062,POST,/api/v1/audit-events,audit-events,Create audit-events,Authenticated; tenant scoped; policy checked,Idempotency for writes where applicable; audit governed
P23-API-063,GET,/api/v1/audit-events/{id},audit-events,Read one audit-events,Authenticated; tenant scoped; policy checked,Idempotency for writes where applicable; audit governed
P23-API-064,PATCH,/api/v1/audit-events/{id},audit-events,Update audit-events,Authenticated; tenant scoped; policy checked,Idempotency for writes where applicable; audit governed
