api_id,method,path,resource,security,control
P16-API-001,GET/POST,/api/v1/geospatial/maps,maps,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-035,GET/POST,/api/v1/geospatial/lidar,lidar,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-036,GET/POST,/api/v1/geospatial/point-clouds,point-clouds,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-037,GET/POST,/api/v1/geospatial/point-cloud-classifications,point-cloud-classifications,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-038,GET/POST,/api/v1/geospatial/surfaces,surfaces,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-039,GET/POST,/api/v1/geospatial/contours,contours,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-040,GET/POST,/api/v1/geospatial/alignments,alignments,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-041,GET/POST,/api/v1/geospatial/profiles,profiles,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-042,GET/POST,/api/v1/geospatial/cross-sections,cross-sections,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-043,GET/POST,/api/v1/geospatial/corridors,corridors,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-044,GET/POST,/api/v1/geospatial/volumes,volumes,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-045,GET/POST,/api/v1/geospatial/cut-fill,cut-fill,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-046,GET/POST,/api/v1/geospatial/stockpiles,stockpiles,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-047,GET/POST,/api/v1/geospatial/progress-captures,progress-captures,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-048,GET/POST,/api/v1/geospatial/change-detection,change-detection,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-049,GET/POST,/api/v1/geospatial/geofences,geofences,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-050,GET/POST,/api/v1/geospatial/haul-routes,haul-routes,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-051,GET/POST,/api/v1/geospatial/field-maps,field-maps,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-052,GET/POST,/api/v1/geospatial/offline-packages,offline-packages,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-053,GET/POST,/api/v1/geospatial/field-observations,field-observations,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-054,GET/POST,/api/v1/geospatial/accuracy-tests,accuracy-tests,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-055,GET/POST,/api/v1/geospatial/qa-reviews,qa-reviews,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-056,GET/POST,/api/v1/geospatial/survey-deliverables,survey-deliverables,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-057,GET/POST,/api/v1/geospatial/machine-control-handoffs,machine-control-handoffs,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-058,GET/POST,/api/v1/geospatial/spatial-insights,spatial-insights,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-059,GET/POST,/api/v1/geospatial/spatial-kpis,spatial-kpis,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-060,GET/POST,/api/v1/geospatial/digital-twin,digital-twin,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
P16-API-061,GET/POST,/api/v1/geospatial/audit-events,audit-events,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; spatial-reference and quality-aware; audited
