Entity ID,Entity,Domain,Definition,Core Fields,System Role
GES-P09-ENT-001,Tenant Workforce Configuration,Workforce Planning,Canonical record for tenant workforce configuration within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-019,Fringe Benefit Rule,Workforce Digital Twin,Canonical record for fringe benefit rule within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-020,Prevailing Wage Determination,AI Workforce Intelligence,Canonical record for prevailing wage determination within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-021,Certified Payroll Record,Workforce Planning,Canonical record for certified payroll record within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-022,Pay Rule,Recruiting and ATS,Canonical record for pay rule within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-023,Compensation Assignment,Onboarding,Canonical record for compensation assignment within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-024,Payroll Export Batch,Employee Master,Canonical record for payroll export batch within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-025,Tax Profile Reference,Skills and Competencies,Canonical record for tax profile reference within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-026,Job Requisition,Crew Management,Canonical record for job requisition within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-027,Candidate,Time and Attendance,Canonical record for candidate within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-028,Candidate Application,Workforce Scheduling,Canonical record for candidate application within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-029,Resume Profile,Compensation and Payroll Integration,Canonical record for resume profile within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-030,Interview,Union and Labor Agreements,Canonical record for interview within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-031,Candidate Evaluation,Prevailing Wage and Certified Payroll,Canonical record for candidate evaluation within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-032,Offer,Training and LMS,Canonical record for offer within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-033,Background Check,Licenses and Certifications,Canonical record for background check within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-034,Drug Screening,Safety and Health Integration,Canonical record for drug screening within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-035,Onboarding Plan,Leave and Absence,Canonical record for onboarding plan within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-036,Onboarding Task,Performance Management,Canonical record for onboarding task within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-037,Employee Document,Career and Succession,Canonical record for employee document within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-038,Policy Acknowledgment,Employee and Manager Self-Service,Canonical record for policy acknowledgment within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-039,Skill,Workforce Digital Twin,Canonical record for skill within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-040,Competency,AI Workforce Intelligence,Canonical record for competency within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-041,Worker Skill,Workforce Planning,Canonical record for worker skill within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-042,Equipment Qualification,Recruiting and ATS,Canonical record for equipment qualification within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-043,License,Onboarding,Canonical record for license within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-044,Certification,Employee Master,Canonical record for certification within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-045,Worker Credential,Skills and Competencies,Canonical record for worker credential within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-046,Training Course,Crew Management,Canonical record for training course within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-047,Training Session,Time and Attendance,Canonical record for training session within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-048,Enrollment,Workforce Scheduling,Canonical record for enrollment within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-049,Assessment,Compensation and Payroll Integration,Canonical record for assessment within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-050,Training Transcript,Union and Labor Agreements,Canonical record for training transcript within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-051,Crew Template,Prevailing Wage and Certified Payroll,Canonical record for crew template within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-052,Crew,Training and LMS,Canonical record for crew within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-053,Crew Membership,Licenses and Certifications,Canonical record for crew membership within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-054,Crew Assignment,Safety and Health Integration,Canonical record for crew assignment within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-055,Shift,Leave and Absence,Canonical record for shift within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-056,Work Schedule,Performance Management,Canonical record for work schedule within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-057,Availability,Career and Succession,Canonical record for availability within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-058,Time Entry,Employee and Manager Self-Service,Canonical record for time entry within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-059,Timecard,Workforce Digital Twin,Canonical record for timecard within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-060,Timecard Approval,AI Workforce Intelligence,Canonical record for timecard approval within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-061,Geofence,Workforce Planning,Canonical record for geofence within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-062,Travel Time Record,Recruiting and ATS,Canonical record for travel time record within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-063,Per Diem Record,Onboarding,Canonical record for per diem record within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-064,Leave Type,Employee Master,Canonical record for leave type within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-065,Leave Request,Skills and Competencies,Canonical record for leave request within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-066,Leave Balance,Crew Management,Canonical record for leave balance within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-067,Attendance Event,Time and Attendance,Canonical record for attendance event within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-068,Performance Goal,Workforce Scheduling,Canonical record for performance goal within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-069,Performance Review,Compensation and Payroll Integration,Canonical record for performance review within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-070,Coaching Record,Union and Labor Agreements,Canonical record for coaching record within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-071,Corrective Action,Prevailing Wage and Certified Payroll,Canonical record for corrective action within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-072,Development Plan,Training and LMS,Canonical record for development plan within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-073,Career Path,Licenses and Certifications,Canonical record for career path within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-074,Mentorship,Safety and Health Integration,Canonical record for mentorship within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-075,Apprenticeship Record,Leave and Absence,Canonical record for apprenticeship record within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-076,Succession Candidate,Performance Management,Canonical record for succession candidate within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-077,Medical Restriction,Career and Succession,Canonical record for medical restriction within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-078,Return To Work Plan,Employee and Manager Self-Service,Canonical record for return to work plan within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-079,PPE Assignment,Workforce Digital Twin,Canonical record for ppe assignment within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-080,Workforce Demand Forecast,AI Workforce Intelligence,Canonical record for workforce demand forecast within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-081,Workforce Capacity Plan,Workforce Planning,Canonical record for workforce capacity plan within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-082,Hiring Plan,Recruiting and ATS,Canonical record for hiring plan within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-083,Labor Request,Onboarding,Canonical record for labor request within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-084,Union Dispatch Request,Employee Master,Canonical record for union dispatch request within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-085,Worker Assignment Eligibility,Skills and Competencies,Canonical record for worker assignment eligibility within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-086,Fatigue Risk Assessment,Crew Management,Canonical record for fatigue risk assessment within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-087,Retention Risk Assessment,Time and Attendance,Canonical record for retention risk assessment within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-088,Workforce Digital Twin Snapshot,Workforce Scheduling,Canonical record for workforce digital twin snapshot within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-089,AI Workforce Recommendation,Compensation and Payroll Integration,Canonical record for ai workforce recommendation within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-090,AI Decision Review,Union and Labor Agreements,Canonical record for ai decision review within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-091,Employee Self Service Request,Prevailing Wage and Certified Payroll,Canonical record for employee self service request within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-092,Manager Approval Task,Training and LMS,Canonical record for manager approval task within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-093,Workforce Communication,Licenses and Certifications,Canonical record for workforce communication within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-094,Workforce KPI Snapshot,Safety and Health Integration,Canonical record for workforce kpi snapshot within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
