requirement_id,capability,verification,gap,evidence
GES-P04-REQ-023,Synonyms,not_verified,"No synonyms. A material called 'aggregate base' and one called 'Class 2 AB' are unrelated rows, and nothing maps between the terms a company uses and the ones the seed shipped.",
GES-P04-REQ-024,Custom fields,not_verified,"No custom fields on any library row — the same absence P03, P07 and P08 each recorded. A company that tracks a property this schema does not have has nowhere to put it.",
GES-P04-REQ-025,Audit events,verified,,"Every library table carries the full-row audit trigger writing prior and new state into an append-only ledger, and since migration 0050 each event records the caller's address, agent and correlation id — and for a service-role caller, the key it states for itself. A governance test asserts every table in the schema is either audited or frozen."
GES-P04-REQ-026,Integrity hashes,verified,,"`library_snapshots.digest` is a content hash over the captured entries, and the migration is careful about what it claims: the comment states it is a drift check rather than a tamper control, because the immutability triggers are what make tampering impossible. Machine control files carry a SHA-256 constrained to its exact shape and, since migration 0048, required before a file may be published."
GES-P04-REQ-027,Rollback,not_verified,"No rollback. `library_row_versions` stores each version's full payload, so the material to restore a prior version exists — and nothing restores one. There is no revert, no undo and no function that writes a version back.",
GES-P04-REQ-028,Deprecation,not_verified,"Deprecation exists for one library and not as a concept. `production_rates` carries `superseded_by_id`; no other library table does, and `app.record_status` offers archived without any workflow for retiring a row in use. Nothing warns that an estimate is pricing from a retired rate.",
GES-P04-REQ-029,Replacement mapping,not_verified,"Replacement mapping is the same single case: a superseded production rate names its replacement and nothing else does. There is no general mapping from a retired row to what took its place, and nothing rewrites or flags references to it.",
GES-P04-REQ-030,API access,not_verified,"The public API exposes nine endpoints and not one reads the library. A metric definition can be evaluated through it; a cost code, a rate, a material or an assembly cannot be read or written by any integration.",
GES-P04-REQ-031,Webhooks,not_verified,"No webhooks anywhere in the platform. No event, no subscription, no delivery, no retry — P07, P20, P23, P29 and P30 have each recorded this absence from their own side.",
GES-P04-REQ-032,Caching,not_verified,"No caching layer. Library reads go to the database every time. The tenant key indexes added in migration 0049 removed a sequential scan from every one of those reads on 53 tables, which is a real improvement and is not caching.",
GES-P04-REQ-033,Offline sync,not_verified,"No offline sync of anything, for the library or otherwise. No local store, no queue, no reconciliation on reconnect.",
GES-P04-REQ-034,Conflict resolution,not_verified,"No conflict resolution, because there is no concurrent editing model to have conflicts in: P03 recorded that the platform has no optimistic concurrency at all, so two people editing one library row silently overwrite each other and the loser is never told.",
GES-P04-REQ-035,Data export,verified,,"The estimate exchange format exports the library rows that priced an estimate along with the estimate itself, carrying identifiers, versions, units and provenance, with a round-trip test proving an export re-imported produces the same numbers. It is a documented machine-readable format and it is the only one — bulk library export as such is recorded at P03 as absent."
GES-P04-REQ-036,Data retention,not_verified,"No retention policy for the library or anything else. P01, P03, P15, P28 and P29 have each recorded this, and P29 established the mechanism: a company cannot be deleted at all.",
GES-P04-REQ-037,Localization,not_verified,"No localization. One locale, US English enforced by a spelling test, US survey feet by default, no translation of any library name or description.",
GES-P04-REQ-038,Currency precision,not_verified,"Library money carries scale and no currency. Precision is real and now enforced — a unit rate at four decimal places and a total at two, checked against the live catalog since P03 — and no library rate names the currency it is in. P03 records this as a platform-wide gap.",
GES-P04-REQ-039,Tax mapping,not_verified,"No tax mapping. No jurisdiction, no rate table, no rule version, and nothing in the library that could reference one.",
GES-P04-REQ-040,AI indexing,not_verified,"No AI indexing of the library. The one governed agent reads drawings and specifications; nothing indexes, embeds or classifies a library row, and nothing recommends one.",
GES-P04-REQ-041,Prompt governance,not_verified,"**This verdict was wrong when P04 was judged and is corrected here rather than quietly rewritten.** It read that `ai_prompts` is 'a governed three-tier library: versioned, activated by a named person, append-only in its message history, and referenced by every AI finding so a finding names the prompt version that produced it.' The governance model is real and the last clause was false: nothing referenced `ai_prompts` at all. The table was empty, no statement anywhere in the platform read it, and the analyst ran a `SYSTEM_PROMPT` compiled into the function with `const PROMPT_VERSION = 'v1'` — so `ai_findings.prompt_version` recorded a string that named no governed row. P06 found this by reading the function rather than the schema. Since that phase the seeded prompt records verbatim what the analyst runs, with a test asserting the two are identical, and it is seeded as a **draft**: `ai_prompts_activation` requires an evaluation pass rate before a prompt may be active, no evaluation exists, and writing a number there to make the row activatable would fabricate the evidence the constraint demands. Governed prompts will be met when the analyst reads its prompt from the catalog, which requires an evaluation first.",
GES-P04-REQ-042,Training datasets,not_verified,"No training datasets. Nothing collects, versions or governs a dataset, and the platform trains nothing.",
GES-P04-REQ-043,Formula testing,verified,,"The estimating engine is 28 modules of pure TypeScript with zero dependencies, no clock, no I/O and no randomness, under 529 tests — every formula it applies is tested against worked examples, including the ones this build corrected when hand arithmetic disagreed with the engine and the engine turned out to be right. Snapshot and portable-format round trips prove a formula's inputs and output survive export and re-import."
GES-P04-REQ-044,Rate calibration,not_verified,"The loop is measured since migration 0051 and not closed. `reporting_production_variance` reports what the field achieved against what the library said, per rate, weighted by hours rather than averaged across days, with the observation count and hours behind it so a reader can tell a signal from an anecdote — and before it, `production_actuals` was referenced by no statement anywhere outside its own definition. What is still absent is the calibration itself: nothing proposes a rate, nothing updates `sample_size` or `confidence_score`, no row has ever been written with `origin = 'calibration'`, and the `calibration` notification category still has no producer. Deliberately: a library rate is an approved record and changes through the approval workflow, so the proposal-and-approval path is the build that closes this and it does not exist yet.",
GES-P04-REQ-045,Vendor quote linkage,not_verified,"No vendor quote linkage. RFQs and quotes exist in procurement and no library rate references one, so a material cost cannot be traced to the quote that set it.",
GES-P04-REQ-046,Document linkage,not_verified,"No document linkage from a library row. Documents attach to a project and to nothing else — P07 and P03 recorded the same, and a specification governing a material has nowhere to attach.",
GES-P04-REQ-047,Safety compliance,not_verified,"Safety requirements are governed per work type through `work_credential_requirements`, and nothing ties them to the library: a task or assembly does not name the credentials it requires, so the link between what is being priced and who may legally do it is made only at assignment time.",
GES-P04-REQ-048,Quality controls,not_verified,"No quality controls on the library: no inspection or test plan attached to a task, no tolerance, no acceptance criterion, and no data quality rule over the library rows themselves.",
GES-P04-REQ-049,DOT mappings,not_verified,"No DOT item mapping. Bid items are reconciled against owner quantities in `bid_reconciliations`, which is a quantity check rather than a coded mapping to a DOT specification.",
GES-P04-REQ-050,CSI mappings,not_verified,"No CSI mapping. Cost codes are a governed three-tier library a company defines and extends with no industry structure imposed, which is the right design and is not a CSI crosswalk.",
GES-P04-REQ-051,Municipal mappings,not_verified,No municipal or agency mapping of any kind.,
GES-P04-REQ-052,Service assemblies,verified,,"Assemblies are the service composition: an assembly expands into components across labor, equipment, material, nested assemblies and tasks, with a cycle check, and the expansion engine is tested against worked examples. This build added the expansion engine and its material cost derivation for P05."
GES-P04-REQ-053,Crew templates,verified,,"Crews are governed compositions of labor and equipment with counts, priced by the engine as a unit, three-tier scoped and approval-gated like every other library."
GES-P04-REQ-054,Equipment productivity,verified,,"Equipment rates carry ownership and operating cost per hour with fuel burn, and the engine prices operating hours, ownership hours, mobilization and fuel separately so an equipment cost can be reconciled against the rate that produced it. P12 verified the fleet side of the same link."
GES-P04-REQ-055,Crew productivity,verified,,"Crew productivity is what `production_rates` are: a rate per hour for a task by a crew, with a utilization factor and a shift length producing a generated daily rate, and — since migration 0051 — the achieved rate from the field published beside the library rate with the evidence behind it."
GES-P04-REQ-056,Fuel modeling,verified,,"Fuel is modeled through the equipment rate's burn rate against operating hours, priced at a fuel price carried on the estimate version, with diesel exhaust fluid separately. The engine computes gallons and cost, and P12 connected the actual side so a fuel transaction posts to the job it was burned on."
GES-P04-REQ-057,Trucking cycles,verified,,"Trucking cycles are a tested engine module: haul distance, speed, load and dump time and a cycle count producing truck hours and cost, with the cycle time derived rather than typed."
GES-P04-REQ-058,Disposal facilities,verified,,"Disposal facilities are a governed library with a tipping fee and a unit, referenced by the disposal cost the engine computes from hauled quantity."
GES-P04-REQ-059,Rental rates,not_verified,"Rentals are a purchase order type that now posts a commitment to the job since migration 0046, and there is no rental rate library: no rate by period, no minimum, no idle policy. P12 recorded that nothing manages a rental agreement at all.",
GES-P04-REQ-060,Maintenance intervals,verified,,"Maintenance intervals are governed per asset and per schedule in hours, miles or days, with at least one interval required by constraint, and completing a preventive work order resets the schedule from what actually happened rather than from a calendar. P12 verified this."
GES-P04-REQ-061,Inventory controls,verified,,"Inventory items carry a unit cost, a reorder point and a transaction ledger, with quantities moving only through transactions rather than by direct edit."
GES-P04-REQ-062,Time codes,not_verified,"No time codes. Time entries carry straight, overtime and double time as three numeric columns with no governed code list behind them, and nothing derives the classification — P09 recorded that overtime is whatever somebody typed.",
GES-P04-REQ-063,Payroll codes,not_verified,"No payroll codes. `time_entries.payroll_batch` and `exported_at` exist and nothing writes them, because there is no payroll export — the gap that fails P09's integration condition.",
GES-P04-REQ-064,Accounting mappings,not_verified,"No accounting mappings. There is no chart of accounts, no general ledger account on any library row, and no mapping from a cost type to an account. P10 recorded the absence of a chart of accounts.",
GES-P04-REQ-065,Dashboard definitions,not_verified,No dashboard definitions. Dashboards are hard-coded screens reading demonstration fixtures; nothing defines one as data.,
GES-P04-REQ-066,Report definitions,verified,,"Report definitions exist as `metric_definitions`: sixteen governed metrics with a key, description, unit, grain, target and the SQL expression each means, versioned append-only on every change to the calculation, permission-gated to `company.manage`, each naming the reporting view it comes from with a test that executes it there. P29 built the governance and found two definitions that could not be computed at all."
GES-P04-REQ-067,Notification templates,not_verified,"No notification templates. Notification bodies are composed in the trigger functions that produce them — carefully, naming the machine or the person and the consequence — and none is a governed row a company can edit.",
GES-P04-REQ-068,Workflow definitions,not_verified,"No workflow definitions. Approvals are per-object rules in the schema rather than a definition a tenant can author; P01, P07 and P23 each recorded the absence of a workflow engine.",
GES-P04-REQ-069,Inspection forms,not_verified,"Inspections carry a type and a `result_values` JSON object, and there is no form definition behind it — nothing declares what fields an inspection of a given type should collect, so the structure is whatever the writer supplied.",
GES-P04-REQ-070,Checklists,not_verified,No checklists. Toolbox talks record that a meeting happened; nothing defines a list of items to complete or verifies that they were.,
GES-P04-REQ-071,Template management,not_verified,"No template management. Proposals carry a `template_key` that selects among renderers compiled into the document engine; there is no template a company can create, edit or version.",
GES-P04-REQ-072,Brand terminology,not_verified,"No brand terminology. Nothing overrides a label, a term or a name per tenant — the same absence as white-label scoping at requirement six.",
GES-P04-REQ-073,Custom domains,not_verified,"No custom domains. One application, one origin.",
GES-P04-REQ-074,OEM reseller hierarchy,not_verified,"No OEM or reseller hierarchy. `enterprise_groups` provide a library-sharing tier between platform and company, which is a scope model rather than a commercial hierarchy: there is no reseller, no margin, no sub-tenant billing.",
GES-P04-REQ-075,Marketplace packaging,not_verified,"No marketplace packaging. Plans package platform capability and nothing packages a library: there is no catalog anybody can publish, license or subscribe to.",
GES-P04-REQ-076,Usage analytics,not_verified,"No usage analytics for the library. AI requests are metered and plan limits are counted; nothing records which library rows are used, by whom or how often, so nothing can tell a live rate from a dead one.",
GES-P04-REQ-077,Data quality KPIs,not_verified,"No data quality KPIs. P03 and P29 both recorded that there is no data quality framework at all — no completeness, validity, uniqueness, consistency or timeliness measure, and no score.",
GES-P04-REQ-078,Periodic review,not_verified,"No periodic review. Nothing schedules a library review, records that one happened, or ages a rate that nobody has looked at. `production_rates` carries an effective date and a confidence score and nothing revisits either.",
GES-P04-REQ-079,Emergency correction,not_verified,"No emergency correction path. A correction goes through the same approval as any other change, which is defensible, and there is no break-glass, no expedited route and no post-hoc review of one — P01 recorded the absence of break-glass access platform-wide.",
GES-P04-REQ-080,Four-eyes approval,not_verified,"No four-eyes approval. A library row needs an approver and never a second one, and nothing prevents the same person creating and approving it. P01 recorded this as the segregation-of-duties gap: there is authority and no separation.",
GES-P04-REQ-081,Publication scheduling,not_verified,"No publication scheduling. A library row becomes active when somebody approves it; nothing schedules a change to take effect at a future moment, though `effective_date` would carry it.",
GES-P04-REQ-082,Sandbox promotion,not_verified,"No sandbox. There is one environment for a tenant's library and no promotion path, so a company testing a rate change tests it in production.",
GES-P04-REQ-083,Environment portability,not_verified,"No environment portability for the library. Migrations carry the schema between environments; nothing carries a tenant's library rows, and P03 recorded that core tenant data is not exportable.",
GES-P04-REQ-084,Migration support,verified,,"Migrations are ordered, forward-only, and applied unmodified to real PostgreSQL by the test suite on every run — so a migration that would fail on a real database fails the build rather than a deployment. The library-governance migration applies its rules generatively across every library table, so a library added later inherits them rather than needing to be remembered."
GES-P04-REQ-085,Backward compatibility,not_verified,"No declared compatibility window. The library schema changes by migration with no deprecation period, no versioned view over an old shape and no consumer to notify — there is no library API to be compatible with.",
GES-P04-REQ-086,Performance targets,not_verified,"No performance targets. No baseline, no budget, no measurement. P20, P23 and P29 each recorded the absence of any performance testing.",
GES-P04-REQ-087,Availability targets,not_verified,"No availability targets. No service level objective, no error budget, no measurement — and nothing is deployed to measure.",
GES-P04-REQ-088,Disaster recovery,not_verified,"No disaster recovery. No backup, no restore test, no recovery objective. P20 and P23 recorded the same.",
GES-P04-REQ-089,Encryption,not_verified,No field-level encryption or encryption metadata. Data is encrypted at rest by the hosting platform and nothing in this schema declares or controls it.,
GES-P04-REQ-090,Privacy,not_verified,"No privacy controls over the library. The library holds no personal data, which is the honest reason this is not urgent and is not the same as the requirement being met; the platform-wide absence of classification, retention and erasure is recorded at P01 and P03.",
GES-P04-REQ-091,Accessibility,not_verified,"No accessibility governance. The application is built on shadcn/ui over Radix primitives, which carry keyboard and screen-reader behavior by construction — a real foundation. Nothing measures or enforces it: no audit, no automated check in the gate, no contrast test, no stated conformance target. P07 and P08 recorded the same, and this build does not claim accessibility it has not measured.",
GES-P04-REQ-092,Mobile usability,not_verified,"No mobile usability governance. The application is responsive and works in a phone browser; there is no native application, no offline capability, no field-optimized entry and nothing that measures usability on a device.",
GES-P04-REQ-093,No-code administration,not_verified,"No no-code administration. Library rows are governed data a screen could manage and 22 of the 23 application screens read demonstration fixtures rather than governed records — the platform-wide gap P29 recorded. Stages, statuses and enumerations are check constraints in migrations, so changing one is a schema change.",
GES-P04-REQ-094,Test automation,verified,,"36 library governance tests plus the estimating suite hold the library's rules: three-tier resolution, approval before activation, version capture, snapshot pinning and drift, scope validity, and the cycle checks. They run in the same single gate as everything else, against real PostgreSQL, with no credentials required."
GES-P04-REQ-095,Traceability,verified,,"Every library table is classified in the registry with its scope model and a test fails the build if one is unclassified; every requirement in this register carries a derived tracing status; and since P23 an artifact may declare what it implements, with a declaration naming a requirement the register does not have failing the build. This file and the migration behind requirement 44 carry such declarations."
GES-P04-REQ-096,Approval record,verified,,"An approval is a record rather than a state change: the approver and the moment are stored on the row, a company-owned library row cannot be active without them, and the audit ledger holds the prior and new state of the approval itself with the actor who made it."
GES-P04-REQ-097,Manifest integrity,verified,,"The seed is generated from a versioned package by a script in the repository, its record counts are asserted by test, and the estimate snapshot digest hashes the captured library entries so a pinned set can be checked against what it claimed to be. The manifest is the generator and its tests rather than a signed artifact, which is the honest description of it."
