requirement_id,domain,verification,domain_status,unmet_conditions,met_conditions,gap
P15-REQ-012,Document Search & Retrieval,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-013,Records Retention & Legal Hold,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Nothing expires, nothing is disposed of on a schedule, and there is no legal hold that would stop it — the same absence P28 recorded platform-wide."
P15-REQ-014,External Collaboration,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No external party can reach a document. There is no share, no guest access, no expiring link, and no external reviewer."
P15-REQ-015,Field Document Access,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No offline access, no device sync, no field-optimized viewer. Documents are readable in the application and nowhere else."
P15-REQ-016,BIM/CDE Coordination,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No model, no IFC, no common data environment, no clash detection, no federated view."
P15-REQ-017,Closeout & Turnover,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No closeout package, no as-built assembly, no O&M manual collection, no warranty document set, no owner turnover."
P15-REQ-018,Document Intelligence Digital Twin,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P15-REQ-019,Document Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-020,Drawing Management,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-021,Specification Management,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Specifications are a document type and a submittal names the spec section it answers. There is no specification structure: no division or section hierarchy, no requirement extracted from a section, and nothing linking a spec paragraph to the submittal or the work that satisfies it."
P15-REQ-022,Submittals,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-023,RFIs,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-024,Transmittals & Distribution,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No transmittal, no distribution list, no record of who was sent which revision, and no acknowledgment — the platform sends nothing to anybody."
P15-REQ-025,Correspondence & Records,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No letter, no email capture, no correspondence log. It is one of the largest untraced modules in the register and the absence is complete."
P15-REQ-026,Version & Revision Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-027,Markup & Review,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No annotation, no markup layer, no review round, no comment resolution. A drawing can be stored and read and not marked up."
P15-REQ-028,OCR & Content Extraction,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"The pipeline is modeled properly — a version moves through scanning, extracting and indexed, sheets carry per-page extracted text, and extractions carry what a model found with its prompt version and a currency flag. The governed AI analyst classifies sheets and extracts quantity candidates with citations. There is no OCR engine in the platform: extracted text arrives from the ingestion pipeline rather than being produced here, and a scanned drawing with no text layer yields nothing."
P15-REQ-029,Plan & Spec Intelligence,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-030,Document Search & Retrieval,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-031,Records Retention & Legal Hold,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Nothing expires, nothing is disposed of on a schedule, and there is no legal hold that would stop it — the same absence P28 recorded platform-wide."
P15-REQ-032,External Collaboration,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No external party can reach a document. There is no share, no guest access, no expiring link, and no external reviewer."
P15-REQ-033,Field Document Access,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No offline access, no device sync, no field-optimized viewer. Documents are readable in the application and nowhere else."
P15-REQ-034,BIM/CDE Coordination,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No model, no IFC, no common data environment, no clash detection, no federated view."
P15-REQ-035,Closeout & Turnover,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No closeout package, no as-built assembly, no O&M manual collection, no warranty document set, no owner turnover."
P15-REQ-036,Document Intelligence Digital Twin,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P15-REQ-037,Document Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-038,Drawing Management,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-039,Specification Management,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Specifications are a document type and a submittal names the spec section it answers. There is no specification structure: no division or section hierarchy, no requirement extracted from a section, and nothing linking a spec paragraph to the submittal or the work that satisfies it."
P15-REQ-040,Submittals,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-041,RFIs,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-042,Transmittals & Distribution,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No transmittal, no distribution list, no record of who was sent which revision, and no acknowledgment — the platform sends nothing to anybody."
P15-REQ-043,Correspondence & Records,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No letter, no email capture, no correspondence log. It is one of the largest untraced modules in the register and the absence is complete."
P15-REQ-044,Version & Revision Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-045,Markup & Review,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No annotation, no markup layer, no review round, no comment resolution. A drawing can be stored and read and not marked up."
P15-REQ-046,OCR & Content Extraction,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"The pipeline is modeled properly — a version moves through scanning, extracting and indexed, sheets carry per-page extracted text, and extractions carry what a model found with its prompt version and a currency flag. The governed AI analyst classifies sheets and extracts quantity candidates with citations. There is no OCR engine in the platform: extracted text arrives from the ingestion pipeline rather than being produced here, and a scanned drawing with no text layer yields nothing."
P15-REQ-047,Plan & Spec Intelligence,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-048,Document Search & Retrieval,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-049,Records Retention & Legal Hold,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Nothing expires, nothing is disposed of on a schedule, and there is no legal hold that would stop it — the same absence P28 recorded platform-wide."
P15-REQ-050,External Collaboration,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No external party can reach a document. There is no share, no guest access, no expiring link, and no external reviewer."
P15-REQ-051,Field Document Access,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No offline access, no device sync, no field-optimized viewer. Documents are readable in the application and nowhere else."
P15-REQ-052,BIM/CDE Coordination,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No model, no IFC, no common data environment, no clash detection, no federated view."
P15-REQ-053,Closeout & Turnover,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No closeout package, no as-built assembly, no O&M manual collection, no warranty document set, no owner turnover."
P15-REQ-054,Document Intelligence Digital Twin,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P15-REQ-055,Document Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-056,Drawing Management,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-057,Specification Management,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Specifications are a document type and a submittal names the spec section it answers. There is no specification structure: no division or section hierarchy, no requirement extracted from a section, and nothing linking a spec paragraph to the submittal or the work that satisfies it."
P15-REQ-058,Submittals,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-059,RFIs,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-060,Transmittals & Distribution,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No transmittal, no distribution list, no record of who was sent which revision, and no acknowledgment — the platform sends nothing to anybody."
P15-REQ-061,Correspondence & Records,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No letter, no email capture, no correspondence log. It is one of the largest untraced modules in the register and the absence is complete."
P15-REQ-062,Version & Revision Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-063,Markup & Review,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No annotation, no markup layer, no review round, no comment resolution. A drawing can be stored and read and not marked up."
P15-REQ-064,OCR & Content Extraction,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"The pipeline is modeled properly — a version moves through scanning, extracting and indexed, sheets carry per-page extracted text, and extractions carry what a model found with its prompt version and a currency flag. The governed AI analyst classifies sheets and extracts quantity candidates with citations. There is no OCR engine in the platform: extracted text arrives from the ingestion pipeline rather than being produced here, and a scanned drawing with no text layer yields nothing."
P15-REQ-065,Plan & Spec Intelligence,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-066,Document Search & Retrieval,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-067,Records Retention & Legal Hold,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Nothing expires, nothing is disposed of on a schedule, and there is no legal hold that would stop it — the same absence P28 recorded platform-wide."
P15-REQ-068,External Collaboration,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No external party can reach a document. There is no share, no guest access, no expiring link, and no external reviewer."
P15-REQ-069,Field Document Access,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No offline access, no device sync, no field-optimized viewer. Documents are readable in the application and nowhere else."
P15-REQ-070,BIM/CDE Coordination,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No model, no IFC, no common data environment, no clash detection, no federated view."
P15-REQ-071,Closeout & Turnover,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No closeout package, no as-built assembly, no O&M manual collection, no warranty document set, no owner turnover."
P15-REQ-072,Document Intelligence Digital Twin,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P15-REQ-073,Document Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-074,Drawing Management,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-075,Specification Management,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Specifications are a document type and a submittal names the spec section it answers. There is no specification structure: no division or section hierarchy, no requirement extracted from a section, and nothing linking a spec paragraph to the submittal or the work that satisfies it."
P15-REQ-076,Submittals,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-077,RFIs,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-078,Transmittals & Distribution,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No transmittal, no distribution list, no record of who was sent which revision, and no acknowledgment — the platform sends nothing to anybody."
P15-REQ-079,Correspondence & Records,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No letter, no email capture, no correspondence log. It is one of the largest untraced modules in the register and the absence is complete."
P15-REQ-080,Version & Revision Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-081,Markup & Review,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No annotation, no markup layer, no review round, no comment resolution. A drawing can be stored and read and not marked up."
P15-REQ-082,OCR & Content Extraction,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"The pipeline is modeled properly — a version moves through scanning, extracting and indexed, sheets carry per-page extracted text, and extractions carry what a model found with its prompt version and a currency flag. The governed AI analyst classifies sheets and extracts quantity candidates with citations. There is no OCR engine in the platform: extracted text arrives from the ingestion pipeline rather than being produced here, and a scanned drawing with no text layer yields nothing."
P15-REQ-083,Plan & Spec Intelligence,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-084,Document Search & Retrieval,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-085,Records Retention & Legal Hold,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Nothing expires, nothing is disposed of on a schedule, and there is no legal hold that would stop it — the same absence P28 recorded platform-wide."
P15-REQ-086,External Collaboration,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No external party can reach a document. There is no share, no guest access, no expiring link, and no external reviewer."
P15-REQ-087,Field Document Access,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No offline access, no device sync, no field-optimized viewer. Documents are readable in the application and nowhere else."
P15-REQ-088,BIM/CDE Coordination,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No model, no IFC, no common data environment, no clash detection, no federated view."
P15-REQ-089,Closeout & Turnover,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No closeout package, no as-built assembly, no O&M manual collection, no warranty document set, no owner turnover."
P15-REQ-090,Document Intelligence Digital Twin,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P15-REQ-091,Document Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-092,Drawing Management,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-093,Specification Management,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Specifications are a document type and a submittal names the spec section it answers. There is no specification structure: no division or section hierarchy, no requirement extracted from a section, and nothing linking a spec paragraph to the submittal or the work that satisfies it."
P15-REQ-094,Submittals,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-095,RFIs,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-096,Transmittals & Distribution,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No transmittal, no distribution list, no record of who was sent which revision, and no acknowledgment — the platform sends nothing to anybody."
P15-REQ-097,Correspondence & Records,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No letter, no email capture, no correspondence log. It is one of the largest untraced modules in the register and the absence is complete."
P15-REQ-098,Version & Revision Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-099,Markup & Review,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No annotation, no markup layer, no review round, no comment resolution. A drawing can be stored and read and not marked up."
P15-REQ-100,OCR & Content Extraction,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"The pipeline is modeled properly — a version moves through scanning, extracting and indexed, sheets carry per-page extracted text, and extractions carry what a model found with its prompt version and a currency flag. The governed AI analyst classifies sheets and extracts quantity candidates with citations. There is no OCR engine in the platform: extracted text arrives from the ingestion pipeline rather than being produced here, and a scanned drawing with no text layer yields nothing."
P15-REQ-101,Plan & Spec Intelligence,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-102,Document Search & Retrieval,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-103,Records Retention & Legal Hold,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Nothing expires, nothing is disposed of on a schedule, and there is no legal hold that would stop it — the same absence P28 recorded platform-wide."
P15-REQ-104,External Collaboration,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No external party can reach a document. There is no share, no guest access, no expiring link, and no external reviewer."
P15-REQ-105,Field Document Access,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No offline access, no device sync, no field-optimized viewer. Documents are readable in the application and nowhere else."
P15-REQ-106,BIM/CDE Coordination,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No model, no IFC, no common data environment, no clash detection, no federated view."
P15-REQ-107,Closeout & Turnover,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No closeout package, no as-built assembly, no O&M manual collection, no warranty document set, no owner turnover."
P15-REQ-108,Document Intelligence Digital Twin,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P15-REQ-109,Document Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-110,Drawing Management,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-111,Specification Management,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Specifications are a document type and a submittal names the spec section it answers. There is no specification structure: no division or section hierarchy, no requirement extracted from a section, and nothing linking a spec paragraph to the submittal or the work that satisfies it."
P15-REQ-112,Submittals,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-113,RFIs,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-114,Transmittals & Distribution,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No transmittal, no distribution list, no record of who was sent which revision, and no acknowledgment — the platform sends nothing to anybody."
P15-REQ-115,Correspondence & Records,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No letter, no email capture, no correspondence log. It is one of the largest untraced modules in the register and the absence is complete."
P15-REQ-116,Version & Revision Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-117,Markup & Review,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No annotation, no markup layer, no review round, no comment resolution. A drawing can be stored and read and not marked up."
P15-REQ-118,OCR & Content Extraction,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"The pipeline is modeled properly — a version moves through scanning, extracting and indexed, sheets carry per-page extracted text, and extractions carry what a model found with its prompt version and a currency flag. The governed AI analyst classifies sheets and extracts quantity candidates with citations. There is no OCR engine in the platform: extracted text arrives from the ingestion pipeline rather than being produced here, and a scanned drawing with no text layer yields nothing."
P15-REQ-119,Plan & Spec Intelligence,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-120,Document Search & Retrieval,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-121,Records Retention & Legal Hold,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Nothing expires, nothing is disposed of on a schedule, and there is no legal hold that would stop it — the same absence P28 recorded platform-wide."
P15-REQ-122,External Collaboration,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No external party can reach a document. There is no share, no guest access, no expiring link, and no external reviewer."
P15-REQ-123,Field Document Access,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No offline access, no device sync, no field-optimized viewer. Documents are readable in the application and nowhere else."
P15-REQ-124,BIM/CDE Coordination,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No model, no IFC, no common data environment, no clash detection, no federated view."
P15-REQ-125,Closeout & Turnover,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No closeout package, no as-built assembly, no O&M manual collection, no warranty document set, no owner turnover."
P15-REQ-126,Document Intelligence Digital Twin,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P15-REQ-127,Document Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-128,Drawing Management,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-129,Specification Management,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Specifications are a document type and a submittal names the spec section it answers. There is no specification structure: no division or section hierarchy, no requirement extracted from a section, and nothing linking a spec paragraph to the submittal or the work that satisfies it."
P15-REQ-130,Submittals,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-131,RFIs,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-132,Transmittals & Distribution,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No transmittal, no distribution list, no record of who was sent which revision, and no acknowledgment — the platform sends nothing to anybody."
P15-REQ-133,Correspondence & Records,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No letter, no email capture, no correspondence log. It is one of the largest untraced modules in the register and the absence is complete."
P15-REQ-134,Version & Revision Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-135,Markup & Review,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No annotation, no markup layer, no review round, no comment resolution. A drawing can be stored and read and not marked up."
P15-REQ-136,OCR & Content Extraction,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"The pipeline is modeled properly — a version moves through scanning, extracting and indexed, sheets carry per-page extracted text, and extractions carry what a model found with its prompt version and a currency flag. The governed AI analyst classifies sheets and extracts quantity candidates with citations. There is no OCR engine in the platform: extracted text arrives from the ingestion pipeline rather than being produced here, and a scanned drawing with no text layer yields nothing."
P15-REQ-137,Plan & Spec Intelligence,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-138,Document Search & Retrieval,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
