requirement_id,domain,verification,domain_status,unmet_conditions,met_conditions,gap
P12-REQ-014,Safety & Risk,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Operator qualification is now enforced: an employee cannot be assigned to work whose mandatory credentials they do not hold. Equipment incidents are recordable through the safety module. There is no equipment-specific risk register, no lockout/tagout, and no defect reporting that takes a machine out of service."
P12-REQ-015,Utilization & Dispatch,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assignments cannot overlap for one machine, utilization is computed for the fleet screen, and a schedule activity can carry the resources it needs. There is no dispatch: no board, no request, no assignment against a daily plan."
P12-REQ-016,Equipment Costing,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-017,Warranty & Claims,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"A work order can be typed as warranty and nothing else exists: no warranty term, no coverage check, no claim, no recovery."
P12-REQ-018,Tires & Undercarriage,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No tire or undercarriage register, no wear measurement, no replacement forecast — a significant cost category on tracked equipment with no representation at all."
P12-REQ-019,Attachments & Tools,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No attachment register, no tool crib, no assignment of an attachment to a machine or a person."
P12-REQ-020,Documents & Media,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Documents are versioned and searchable platform-wide and nothing links one to an asset. A machine's manual, its purchase invoice and its inspection photographs have nowhere to live."
P12-REQ-021,Mobile & Offline,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No offline capture, no device sync, no field-optimized entry for meter readings or inspections."
P12-REQ-022,Fleet Intelligence,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No failure prediction, no cost-per-hour trend, no replacement analysis, no utilization benchmark."
P12-REQ-023,Fleet Digital Twin,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P12-REQ-024,Administration & Integration,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Row level security, permissions, the connector framework with recorded runs, and a versioned public API are all in place and govern fleet data like everything else. There is no fleet-specific administration: no equipment class configuration, no rate table maintenance screen, no telematics provider mapping."
P12-REQ-025,Fleet Registry,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-026,Asset Lifecycle,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"An asset records acquisition cost, ownership, in-service date and a disposal that must carry its date. There is no lifecycle accounting: no depreciation schedule, no book value, no disposal proceeds or gain, and no transfer between divisions."
P12-REQ-027,Preventive Maintenance,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-028,Corrective Maintenance,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-029,Inspections,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Work orders carry an inspection type and the safety module carries general inspections with deficiencies and verified closure. There is no equipment inspection: no daily walkaround checklist, no defect that takes a machine out of service, no operator sign-off."
P12-REQ-030,Telematics & IoT,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assets carry a last telemetry timestamp, meter readings carry a telematics source, and the connector framework is governed with runs recorded. No live feed is consumed: no fault code, no geofence, no idle detection, no position history."
P12-REQ-031,Fuel & Energy,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-032,Parts & Components,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Work orders carry parts cost, and inventory can hold parts with a transaction ledger and reorder points. There is no parts catalog per machine, no serialized component tracking, and no component life against its parent asset."
P12-REQ-033,Work Orders,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-034,Shop Operations,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No shop, no bay, no technician schedule, no labor booking against a work order, no shop capacity."
P12-REQ-035,Field Service,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No field service call, no mobile mechanic, no dispatch to a breakdown, no service van inventory."
P12-REQ-036,Rental & Leased Assets,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assets record whether they are owned, leased or rented and can be marked rented out. Nothing manages a rental: no agreement, no rate, no on-rent and off-rent dates, no return condition, no idle-rental alert."
P12-REQ-037,Compliance,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No registration or renewal tracking, no DOT inspection, no emissions record, no operator licensing tied to the machine class rather than to the person."
P12-REQ-038,Safety & Risk,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Operator qualification is now enforced: an employee cannot be assigned to work whose mandatory credentials they do not hold. Equipment incidents are recordable through the safety module. There is no equipment-specific risk register, no lockout/tagout, and no defect reporting that takes a machine out of service."
P12-REQ-039,Utilization & Dispatch,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assignments cannot overlap for one machine, utilization is computed for the fleet screen, and a schedule activity can carry the resources it needs. There is no dispatch: no board, no request, no assignment against a daily plan."
P12-REQ-040,Equipment Costing,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-041,Warranty & Claims,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"A work order can be typed as warranty and nothing else exists: no warranty term, no coverage check, no claim, no recovery."
P12-REQ-042,Tires & Undercarriage,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No tire or undercarriage register, no wear measurement, no replacement forecast — a significant cost category on tracked equipment with no representation at all."
P12-REQ-043,Attachments & Tools,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No attachment register, no tool crib, no assignment of an attachment to a machine or a person."
P12-REQ-044,Documents & Media,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Documents are versioned and searchable platform-wide and nothing links one to an asset. A machine's manual, its purchase invoice and its inspection photographs have nowhere to live."
P12-REQ-045,Mobile & Offline,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No offline capture, no device sync, no field-optimized entry for meter readings or inspections."
P12-REQ-046,Fleet Intelligence,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No failure prediction, no cost-per-hour trend, no replacement analysis, no utilization benchmark."
P12-REQ-047,Fleet Digital Twin,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P12-REQ-048,Administration & Integration,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Row level security, permissions, the connector framework with recorded runs, and a versioned public API are all in place and govern fleet data like everything else. There is no fleet-specific administration: no equipment class configuration, no rate table maintenance screen, no telematics provider mapping."
P12-REQ-049,Fleet Registry,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-050,Asset Lifecycle,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"An asset records acquisition cost, ownership, in-service date and a disposal that must carry its date. There is no lifecycle accounting: no depreciation schedule, no book value, no disposal proceeds or gain, and no transfer between divisions."
P12-REQ-051,Preventive Maintenance,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-052,Corrective Maintenance,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-053,Inspections,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Work orders carry an inspection type and the safety module carries general inspections with deficiencies and verified closure. There is no equipment inspection: no daily walkaround checklist, no defect that takes a machine out of service, no operator sign-off."
P12-REQ-054,Telematics & IoT,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assets carry a last telemetry timestamp, meter readings carry a telematics source, and the connector framework is governed with runs recorded. No live feed is consumed: no fault code, no geofence, no idle detection, no position history."
P12-REQ-055,Fuel & Energy,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-056,Parts & Components,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Work orders carry parts cost, and inventory can hold parts with a transaction ledger and reorder points. There is no parts catalog per machine, no serialized component tracking, and no component life against its parent asset."
P12-REQ-057,Work Orders,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-058,Shop Operations,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No shop, no bay, no technician schedule, no labor booking against a work order, no shop capacity."
P12-REQ-059,Field Service,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No field service call, no mobile mechanic, no dispatch to a breakdown, no service van inventory."
P12-REQ-060,Rental & Leased Assets,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assets record whether they are owned, leased or rented and can be marked rented out. Nothing manages a rental: no agreement, no rate, no on-rent and off-rent dates, no return condition, no idle-rental alert."
P12-REQ-061,Compliance,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No registration or renewal tracking, no DOT inspection, no emissions record, no operator licensing tied to the machine class rather than to the person."
P12-REQ-062,Safety & Risk,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Operator qualification is now enforced: an employee cannot be assigned to work whose mandatory credentials they do not hold. Equipment incidents are recordable through the safety module. There is no equipment-specific risk register, no lockout/tagout, and no defect reporting that takes a machine out of service."
P12-REQ-063,Utilization & Dispatch,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assignments cannot overlap for one machine, utilization is computed for the fleet screen, and a schedule activity can carry the resources it needs. There is no dispatch: no board, no request, no assignment against a daily plan."
P12-REQ-064,Equipment Costing,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-065,Warranty & Claims,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"A work order can be typed as warranty and nothing else exists: no warranty term, no coverage check, no claim, no recovery."
P12-REQ-066,Tires & Undercarriage,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No tire or undercarriage register, no wear measurement, no replacement forecast — a significant cost category on tracked equipment with no representation at all."
P12-REQ-067,Attachments & Tools,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No attachment register, no tool crib, no assignment of an attachment to a machine or a person."
P12-REQ-068,Documents & Media,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Documents are versioned and searchable platform-wide and nothing links one to an asset. A machine's manual, its purchase invoice and its inspection photographs have nowhere to live."
P12-REQ-069,Mobile & Offline,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No offline capture, no device sync, no field-optimized entry for meter readings or inspections."
P12-REQ-070,Fleet Intelligence,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No failure prediction, no cost-per-hour trend, no replacement analysis, no utilization benchmark."
P12-REQ-071,Fleet Digital Twin,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P12-REQ-072,Administration & Integration,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Row level security, permissions, the connector framework with recorded runs, and a versioned public API are all in place and govern fleet data like everything else. There is no fleet-specific administration: no equipment class configuration, no rate table maintenance screen, no telematics provider mapping."
P12-REQ-073,Fleet Registry,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-074,Asset Lifecycle,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"An asset records acquisition cost, ownership, in-service date and a disposal that must carry its date. There is no lifecycle accounting: no depreciation schedule, no book value, no disposal proceeds or gain, and no transfer between divisions."
P12-REQ-075,Preventive Maintenance,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-076,Corrective Maintenance,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-077,Inspections,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Work orders carry an inspection type and the safety module carries general inspections with deficiencies and verified closure. There is no equipment inspection: no daily walkaround checklist, no defect that takes a machine out of service, no operator sign-off."
P12-REQ-078,Telematics & IoT,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assets carry a last telemetry timestamp, meter readings carry a telematics source, and the connector framework is governed with runs recorded. No live feed is consumed: no fault code, no geofence, no idle detection, no position history."
P12-REQ-079,Fuel & Energy,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-080,Parts & Components,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Work orders carry parts cost, and inventory can hold parts with a transaction ledger and reorder points. There is no parts catalog per machine, no serialized component tracking, and no component life against its parent asset."
P12-REQ-081,Work Orders,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-082,Shop Operations,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No shop, no bay, no technician schedule, no labor booking against a work order, no shop capacity."
P12-REQ-083,Field Service,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No field service call, no mobile mechanic, no dispatch to a breakdown, no service van inventory."
P12-REQ-084,Rental & Leased Assets,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assets record whether they are owned, leased or rented and can be marked rented out. Nothing manages a rental: no agreement, no rate, no on-rent and off-rent dates, no return condition, no idle-rental alert."
P12-REQ-085,Compliance,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No registration or renewal tracking, no DOT inspection, no emissions record, no operator licensing tied to the machine class rather than to the person."
P12-REQ-086,Safety & Risk,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Operator qualification is now enforced: an employee cannot be assigned to work whose mandatory credentials they do not hold. Equipment incidents are recordable through the safety module. There is no equipment-specific risk register, no lockout/tagout, and no defect reporting that takes a machine out of service."
P12-REQ-087,Utilization & Dispatch,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assignments cannot overlap for one machine, utilization is computed for the fleet screen, and a schedule activity can carry the resources it needs. There is no dispatch: no board, no request, no assignment against a daily plan."
P12-REQ-088,Equipment Costing,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-089,Warranty & Claims,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"A work order can be typed as warranty and nothing else exists: no warranty term, no coverage check, no claim, no recovery."
P12-REQ-090,Tires & Undercarriage,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No tire or undercarriage register, no wear measurement, no replacement forecast — a significant cost category on tracked equipment with no representation at all."
P12-REQ-091,Attachments & Tools,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No attachment register, no tool crib, no assignment of an attachment to a machine or a person."
P12-REQ-092,Documents & Media,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Documents are versioned and searchable platform-wide and nothing links one to an asset. A machine's manual, its purchase invoice and its inspection photographs have nowhere to live."
P12-REQ-093,Mobile & Offline,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No offline capture, no device sync, no field-optimized entry for meter readings or inspections."
P12-REQ-094,Fleet Intelligence,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No failure prediction, no cost-per-hour trend, no replacement analysis, no utilization benchmark."
P12-REQ-095,Fleet Digital Twin,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P12-REQ-096,Administration & Integration,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Row level security, permissions, the connector framework with recorded runs, and a versioned public API are all in place and govern fleet data like everything else. There is no fleet-specific administration: no equipment class configuration, no rate table maintenance screen, no telematics provider mapping."
P12-REQ-097,Fleet Registry,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-098,Asset Lifecycle,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"An asset records acquisition cost, ownership, in-service date and a disposal that must carry its date. There is no lifecycle accounting: no depreciation schedule, no book value, no disposal proceeds or gain, and no transfer between divisions."
P12-REQ-099,Preventive Maintenance,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-100,Corrective Maintenance,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-101,Inspections,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Work orders carry an inspection type and the safety module carries general inspections with deficiencies and verified closure. There is no equipment inspection: no daily walkaround checklist, no defect that takes a machine out of service, no operator sign-off."
P12-REQ-102,Telematics & IoT,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assets carry a last telemetry timestamp, meter readings carry a telematics source, and the connector framework is governed with runs recorded. No live feed is consumed: no fault code, no geofence, no idle detection, no position history."
P12-REQ-103,Fuel & Energy,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-104,Parts & Components,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Work orders carry parts cost, and inventory can hold parts with a transaction ledger and reorder points. There is no parts catalog per machine, no serialized component tracking, and no component life against its parent asset."
P12-REQ-105,Work Orders,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-106,Shop Operations,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No shop, no bay, no technician schedule, no labor booking against a work order, no shop capacity."
P12-REQ-107,Field Service,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No field service call, no mobile mechanic, no dispatch to a breakdown, no service van inventory."
P12-REQ-108,Rental & Leased Assets,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assets record whether they are owned, leased or rented and can be marked rented out. Nothing manages a rental: no agreement, no rate, no on-rent and off-rent dates, no return condition, no idle-rental alert."
P12-REQ-109,Compliance,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No registration or renewal tracking, no DOT inspection, no emissions record, no operator licensing tied to the machine class rather than to the person."
P12-REQ-110,Safety & Risk,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Operator qualification is now enforced: an employee cannot be assigned to work whose mandatory credentials they do not hold. Equipment incidents are recordable through the safety module. There is no equipment-specific risk register, no lockout/tagout, and no defect reporting that takes a machine out of service."
P12-REQ-111,Utilization & Dispatch,not_verified,partial,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Assignments cannot overlap for one machine, utilization is computed for the fleet screen, and a schedule activity can carry the resources it needs. There is no dispatch: no board, no request, no assignment against a daily plan."
P12-REQ-112,Equipment Costing,verified,built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,
P12-REQ-113,Warranty & Claims,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"A work order can be typed as warranty and nothing else exists: no warranty term, no coverage check, no claim, no recovery."
P12-REQ-114,Tires & Undercarriage,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No tire or undercarriage register, no wear measurement, no replacement forecast — a significant cost category on tracked equipment with no representation at all."
P12-REQ-115,Attachments & Tools,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No attachment register, no tool crib, no assignment of an attachment to a machine or a person."
P12-REQ-116,Documents & Media,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"Documents are versioned and searchable platform-wide and nothing links one to an asset. A machine's manual, its purchase invoice and its inspection photographs have nowhere to live."
P12-REQ-117,Mobile & Offline,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No offline capture, no device sync, no field-optimized entry for meter readings or inspections."
P12-REQ-118,Fleet Intelligence,not_verified,not_built,,required fields and policies are validated; the state transition is recorded; financial and project links are preserved; exceptions are surfaced; an immutable audit event is created,"No failure prediction, no cost-per-hour trend, no replacement analysis, no utilization benchmark."
