requirement_id,module,aspect,verification,module_exists,gap,unmet_conditions,evidence
GES-P05-REQ-011,Quantity Intelligence,import/export,not_verified,yes,No tested path imports or exports quantities.,,
GES-P05-REQ-012,Quantity Intelligence,validation and testing,verified,yes,,,"aspect: engine_acceptance refuses a negative and a non-finite quantity. || tenant-specific configuration: Measurement method, adjustments and waste basis are inputs. engine_suites quantity.test.ts. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: resolveQuantity, convertVolume and compareSurfaces return derivations."
GES-P05-REQ-013,Takeoff,canonical model,not_verified,no,"There is no takeoff entity. Documents are ingested, split and classified by sheet, but nothing records a measurement, a calibration or an annotation.",tenant-specific configuration; role controls; version history; traceable output,
GES-P05-REQ-014,Takeoff,configurable rules,not_verified,no,No takeoff to configure.,tenant-specific configuration; role controls; version history; traceable output,
GES-P05-REQ-015,Takeoff,auditability,not_verified,no,No takeoff records to audit.,tenant-specific configuration; role controls; version history; traceable output,
GES-P05-REQ-016,Takeoff,permissions,not_verified,no,No takeoff records to gate.,tenant-specific configuration; role controls; version history; traceable output,
GES-P05-REQ-017,Takeoff,import/export,not_verified,no,PDF and CAD sources are not measured; no takeoff import or export exists.,tenant-specific configuration; role controls; version history; traceable output,
GES-P05-REQ-018,Takeoff,validation and testing,not_verified,no,Nothing to validate.,tenant-specific configuration; role controls; version history; traceable output,
GES-P05-REQ-019,Production,canonical model,verified,yes,,,"aspect: ProductionRate with utilization, source type, confidence and approval status; production_rates is a three-tier library. engine_suites production.test.ts. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers production_rates. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers production_rates. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: analyzeProduction, calculateDuration and resolveModifiers each return a derivation carrying arithmetic."
GES-P05-REQ-020,Production,configurable rules,verified,yes,,,"aspect: Condition modifiers apply per declared target (RULE-006); production_rates carries company overrides. db_acceptance tenant configuration for production_rates. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers production_rates. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers production_rates. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: analyzeProduction, calculateDuration and resolveModifiers each return a derivation carrying arithmetic."
GES-P05-REQ-021,Production,auditability,verified,yes,,,"aspect: db_acceptance auditability. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers production_rates. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers production_rates. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: analyzeProduction, calculateDuration and resolveModifiers each return a derivation carrying arithmetic."
GES-P05-REQ-022,Production,permissions,verified,yes,,,"aspect: db_acceptance role controls for production_rates. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers production_rates. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers production_rates. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: analyzeProduction, calculateDuration and resolveModifiers each return a derivation carrying arithmetic."
GES-P05-REQ-023,Production,import/export,not_verified,yes,No tested import of a production rate library.,,
GES-P05-REQ-024,Production,validation and testing,verified,yes,,,"aspect: engine_acceptance 'refuses a production rate of zero' and 'refuses a shift longer than a day' — both defects found and fixed during this verification. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers production_rates. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers production_rates. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: analyzeProduction, calculateDuration and resolveModifiers each return a derivation carrying arithmetic."
GES-P05-REQ-025,Labor Cost,canonical model,verified,yes,,,"aspect: LaborClassification and Crew; labor_rates and crews are three-tier libraries with a generated burdened rate. engine_suites resources.test.ts. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers labor_rates and crews. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers labor_rates and crews. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: loadedLaborRate and calculateCrewCost return derivations."
GES-P05-REQ-026,Labor Cost,configurable rules,verified,yes,,,"aspect: Wage, burden, overtime and doubletime multipliers are per-classification and company-overridable. db_acceptance tenant configuration for labor_rates and crews. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers labor_rates and crews. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers labor_rates and crews. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: loadedLaborRate and calculateCrewCost return derivations."
GES-P05-REQ-027,Labor Cost,auditability,verified,yes,,,"aspect: db_acceptance auditability. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers labor_rates and crews. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers labor_rates and crews. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: loadedLaborRate and calculateCrewCost return derivations."
GES-P05-REQ-028,Labor Cost,permissions,verified,yes,,,"aspect: db_acceptance role controls for labor_rates and crews. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers labor_rates and crews. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers labor_rates and crews. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: loadedLaborRate and calculateCrewCost return derivations."
GES-P05-REQ-029,Labor Cost,import/export,not_verified,yes,No tested import of a rate sheet.,,
GES-P05-REQ-030,Labor Cost,validation and testing,verified,yes,,,"aspect: engine_acceptance refuses a negative wage. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers labor_rates and crews. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers labor_rates and crews. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: loadedLaborRate and calculateCrewCost return derivations."
GES-P05-REQ-031,Equipment Cost,canonical model,verified,yes,,,"aspect: EquipmentUnit with a resolved rate carrying its own warnings; equipment is a three-tier library. engine_suites resources.test.ts. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers equipment. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers equipment. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: resolveEquipmentRate and calculateEquipmentCost return derivations naming the hierarchy decision."
GES-P05-REQ-032,Equipment Cost,configurable rules,verified,yes,,,"aspect: RULE-003 rate hierarchy resolves project quote over company over regional over seed, with an as-of date. db_acceptance tenant configuration for equipment. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers equipment. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers equipment. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: resolveEquipmentRate and calculateEquipmentCost return derivations naming the hierarchy decision."
GES-P05-REQ-033,Equipment Cost,auditability,verified,yes,,,"aspect: db_acceptance auditability. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers equipment. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers equipment. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: resolveEquipmentRate and calculateEquipmentCost return derivations naming the hierarchy decision."
GES-P05-REQ-034,Equipment Cost,permissions,verified,yes,,,"aspect: db_acceptance role controls for equipment. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers equipment. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers equipment. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: resolveEquipmentRate and calculateEquipmentCost return derivations naming the hierarchy decision."
GES-P05-REQ-035,Equipment Cost,import/export,not_verified,yes,No tested import of an equipment rate book.,,
GES-P05-REQ-036,Equipment Cost,validation and testing,verified,yes,,,"aspect: engine_acceptance refuses no rate candidate, and refuses an asOf that is not a date — the latter a defect found during this verification. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers equipment. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers equipment. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: resolveEquipmentRate and calculateEquipmentCost return derivations naming the hierarchy decision."
GES-P05-REQ-037,Material Cost,canonical model,verified,yes,,,"aspect: materials is a three-tier library, and MaterialInput/MaterialCostResult give the engine-side model including waste, order multiple, supplier minimum, freight basis and tax. materials.test.ts. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers materials. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers materials. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: calculateMaterialCost derives net -> waste -> order multiple -> supplier minimum -> freight -> tax -> effective unit cost, each step in the derivation. materials.test.ts, 26 tests."
GES-P05-REQ-038,Material Cost,configurable rules,verified,yes,,,"aspect: Company override of the seeded material price. db_acceptance tenant configuration for materials. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers materials. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers materials. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: calculateMaterialCost derives net -> waste -> order multiple -> supplier minimum -> freight -> tax -> effective unit cost, each step in the derivation. materials.test.ts, 26 tests."
GES-P05-REQ-039,Material Cost,auditability,verified,yes,,,"aspect: db_acceptance auditability. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers materials. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers materials. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: calculateMaterialCost derives net -> waste -> order multiple -> supplier minimum -> freight -> tax -> effective unit cost, each step in the derivation. materials.test.ts, 26 tests."
GES-P05-REQ-040,Material Cost,permissions,verified,yes,,,"aspect: db_acceptance role controls for materials. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers materials. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers materials. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: calculateMaterialCost derives net -> waste -> order multiple -> supplier minimum -> freight -> tax -> effective unit cost, each step in the derivation. materials.test.ts, 26 tests."
GES-P05-REQ-041,Material Cost,import/export,not_verified,yes,No vendor quote import and no price book export.,,
GES-P05-REQ-042,Material Cost,validation and testing,verified,yes,,,"aspect: materials.test.ts refuses a negative quantity, unit cost and waste percent, and refuses per-load freight with no load size. 26 tests. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers materials. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers materials. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: calculateMaterialCost derives net -> waste -> order multiple -> supplier minimum -> freight -> tax -> effective unit cost, each step in the derivation. materials.test.ts, 26 tests."
GES-P05-REQ-043,Hauling & Disposal,canonical model,verified,yes,,,"aspect: HaulCycleInput with the five cycle components; trucking_rates and disposal_sites persist the library side. engine_suites trucking.test.ts. || tenant-specific configuration: trucking_rates and disposal_sites are company-owned, and every cycle component is an input. registry library scope; engine_suites trucking.test.ts. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: analyzeHaulCycle and analyzeCutFill return derivations."
GES-P05-REQ-044,Hauling & Disposal,configurable rules,verified,yes,,,"aspect: Cycle times, speeds, capacity and fleet size are all inputs; RULE-004 keeps a shortcut rate labeled preliminary. || tenant-specific configuration: trucking_rates and disposal_sites are company-owned, and every cycle component is an input. registry library scope; engine_suites trucking.test.ts. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: analyzeHaulCycle and analyzeCutFill return derivations."
GES-P05-REQ-045,Hauling & Disposal,auditability,verified,yes,,,"aspect: db_acceptance auditability. || tenant-specific configuration: trucking_rates and disposal_sites are company-owned, and every cycle component is an input. registry library scope; engine_suites trucking.test.ts. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: analyzeHaulCycle and analyzeCutFill return derivations."
GES-P05-REQ-046,Hauling & Disposal,permissions,verified,yes,,,"aspect: trucking_rates and disposal_sites are company_only with RLS forced. registry library scope test. || tenant-specific configuration: trucking_rates and disposal_sites are company-owned, and every cycle component is an input. registry library scope; engine_suites trucking.test.ts. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: analyzeHaulCycle and analyzeCutFill return derivations."
GES-P05-REQ-047,Hauling & Disposal,import/export,not_verified,yes,No tested import or export of a haul or disposal rate.,,
GES-P05-REQ-048,Hauling & Disposal,validation and testing,verified,yes,,,"aspect: engine_acceptance refuses a truck with no capacity and a shrink factor of 1. || tenant-specific configuration: trucking_rates and disposal_sites are company-owned, and every cycle component is an input. registry library scope; engine_suites trucking.test.ts. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: analyzeHaulCycle and analyzeCutFill return derivations."
GES-P05-REQ-049,Assemblies,canonical model,verified,yes,,,"aspect: assemblies and assembly_components, the child scoped to its parent, plus the Assembly/AssemblyComponent/ExpansionResult model the engine expands. registry library scope; assemblies.test.ts. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers assemblies. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers assemblies. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: expandAssembly states, per component, the quantity per parent unit, the nesting multiplier and the resulting quantity. assemblies.test.ts, 21 tests."
GES-P05-REQ-050,Assemblies,configurable rules,verified,yes,,,"aspect: Company override of a seeded assembly. db_acceptance tenant configuration for assemblies. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers assemblies. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers assemblies. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: expandAssembly states, per component, the quantity per parent unit, the nesting multiplier and the resulting quantity. assemblies.test.ts, 21 tests."
GES-P05-REQ-051,Assemblies,auditability,verified,yes,,,"aspect: db_acceptance auditability. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers assemblies. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers assemblies. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: expandAssembly states, per component, the quantity per parent unit, the nesting multiplier and the resulting quantity. assemblies.test.ts, 21 tests."
GES-P05-REQ-052,Assemblies,permissions,verified,yes,,,"aspect: db_acceptance role controls for assemblies. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers assemblies. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers assemblies. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: expandAssembly states, per component, the quantity per parent unit, the nesting multiplier and the resulting quantity. assemblies.test.ts, 21 tests."
GES-P05-REQ-053,Assemblies,import/export,not_verified,yes,No tested assembly import or export.,,
GES-P05-REQ-054,Assemblies,validation and testing,verified,yes,,,"aspect: assemblies.test.ts refuses a negative assembly or component quantity, refuses an indirect A > B > A cycle by name, and refuses nesting deeper than 8 levels. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers assemblies. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers assemblies. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: expandAssembly states, per component, the quantity per parent unit, the nesting multiplier and the resulting quantity. assemblies.test.ts, 21 tests."
GES-P05-REQ-055,Markup & Margin,canonical model,verified,yes,,,"aspect: PricingProfile with ordered markup components; pricing_profiles and markup_components persist it. engine_suites pricing.test.ts. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers pricing_profiles. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers pricing_profiles. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: calculatePrice names each component, its basis and its dollar effect."
GES-P05-REQ-056,Markup & Margin,configurable rules,verified,yes,,,"aspect: Parallel and stacked methods genuinely differ, and each component names its basis and sequence (RULE-007). db_acceptance tenant configuration for pricing_profiles. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers pricing_profiles. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers pricing_profiles. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: calculatePrice names each component, its basis and its dollar effect."
GES-P05-REQ-057,Markup & Margin,auditability,verified,yes,,,"aspect: db_acceptance auditability. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers pricing_profiles. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers pricing_profiles. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: calculatePrice names each component, its basis and its dollar effect."
GES-P05-REQ-058,Markup & Margin,permissions,verified,yes,,,"aspect: db_acceptance role controls for pricing_profiles. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers pricing_profiles. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers pricing_profiles. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: calculatePrice names each component, its basis and its dollar effect."
GES-P05-REQ-059,Markup & Margin,import/export,not_verified,yes,No tested import or export of a pricing profile.,,
GES-P05-REQ-060,Markup & Margin,validation and testing,verified,yes,,,"aspect: engine_suites pricing.test.ts, including the stacked-markup defect fixed earlier in the build. || tenant-specific configuration: db_acceptance tenant-specific configuration: the company can read the platform seed and can neither edit nor delete it. Covers pricing_profiles. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. Covers pricing_profiles. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: calculatePrice names each component, its basis and its dollar effect."
