requirement_id,control,verification,gap,evidence
GOV-000012,Audit trail,not_verified,"The strongest audit ledger in the platform and it still fails this requirement as written. What holds: every governed table writes prior and new state to an append-only ledger no privilege level can edit, a governance test asserts every table is either audited or frozen, and since migration 0050 each row records the caller's address, agent, correlation id and email — and for a service-role caller such as the public API gateway, the key it states for itself, which had previously been audited as an anonymous insert. What fails: **access is not audited at all** — the triggers fire on insert, update and delete, so nobody's reads are recorded, and reading a competitor's estimate would leave no trace if row level security ever let it happen. **Export is not audited**, which P10 recorded and which is the first thing an auditor asks about. And 'tamper-evident' is a stronger claim than append-only: the ledger has no hash chain, so a database superuser could disable the trigger, and the platform is careful never to claim otherwise.",
GOV-000013,Data classification,not_verified,"No data classification. Nothing marks an entity or a field as personal, confidential or public, and nothing inherits a classification. The redaction layer recognizes sensitive shapes by field name and value pattern at the logging boundary — a good control at the wrong altitude for this requirement, because nothing in the database says what a column is.",
GOV-000014,Retention and legal hold,not_verified,"No retention schedule and no legal hold. P15, P28, P29 and P03 each recorded this, and P29 established the mechanism: a company cannot be deleted at all, because the owner-retention guard refuses the cascade and cannot be satisfied. The requirement's own qualifier — 'without destroying required evidence' — is satisfied vacuously, since nothing is destroyed.",
GOV-000015,Record lifecycle,verified,,"Explicit lifecycle states are the norm rather than the exception, and every one is a constrained set rather than free text: draft, review and approved on estimates and library rows; active and suspended on companies, memberships and assets; superseded on documents, machine control files and every versioned artifact; archived through app.record_status. Deletion is refused where history matters — an executed contract, a settled claim, a metric definition somebody reported a number under, a credential a person was assigned work on."
GOV-000016,Change control,verified,,"Change control is enforced structurally on exactly the things this requirement names, and this build closed the last gaps in it. A library row cannot go active without an approver. An estimate version cannot be approved without the library snapshot that priced it, and is frozen afterwards. An issued proposal is frozen through to its line items. An executed contract and a settled claim are frozen. A published machine control file's source surface is frozen. A metric definition publishes a version on every change to its calculation and cannot be deleted once reported under. What is absent is a change *request* — the workflow in front of the lock — which is recorded at 000010 as the missing general approval framework."
GOV-000017,AI access governance,verified,,"AI permissions are structural rather than procedural. ai_agents_never_autonomous is a check constraint, so an agent with write authority cannot be configured no matter what anybody sets. The analyst reads a document it is handed and has no tool surface to route or escalate through. It cannot bypass authorization because it has none of its own: everything it produces is a finding, and a finding becomes a business record only when a person with the permission accepts it."
GOV-000018,AI writeback approval,verified,,"Every AI output is a proposal by construction. A finding is inert until accepted, acceptance records which business row was created from it, and a factual finding cannot exist without a citation or a sheet reference — enforced in the database and rejected by the validator before it reaches the database. RULE-008 holds the same line for arithmetic: the deterministic engine is authoritative and AI may not overwrite it. There is no automation policy permitting a narrower action, which is the correct state for a platform with one agent at draft authority."
GOV-000019,Administrative console,not_verified,"There is a settings screen and it is not an administrative console. Roles, permissions, memberships, invitations, authority limits, credential requirements, financial periods and metric definitions are all governed tables a screen could manage, and 22 of the 23 application screens read demonstration fixtures rather than governed records — the platform-wide gap P29 recorded. There is no console for policies, retention or audit because none of those exist to manage.",
GOV-000020,Emergency access,not_verified,"No break-glass access. There is no emergency elevation, no justification prompt, no time limit, no elevated logging and no post-event review. The only path to elevated access is the service role key, which is held by infrastructure rather than by a person and grants everything with no record that a human used it.",
GOV-000021,Session and device governance,not_verified,"Session and device governance does not exist in the platform. Authentication is Supabase Auth's, so sessions and refresh tokens are handled there and are outside this schema; nothing here sets a session policy, records a device, evaluates a location or scores authentication risk. The multi-factor toggle that once appeared in settings was removed in this build precisely because it was a control that switched nothing.",
GOV-000022,Tenant provisioning,verified,,"app.provision_company is a single governed transaction that creates the company, its owner membership, its seeded roles, its entitlement and its trial, and refuses to leave a company without an active owner. It is versioned in the sense that matters — the template is migration-controlled code covered by tests, not a document somebody follows. Units and industry defaults come from the three-tier seed catalog the company inherits. Region, currency and language are not parameters, which is truthful rather than missing: the platform is single-region and single-locale, and currency is recorded as a real gap at P03-F4 rather than pretended at provisioning."
GOV-000023,License and entitlement management,verified,,"Capability control is complete and enforced at the boundary. Plans carry versioned entitlements pinned onto a subscription at purchase, so a plan change cannot retroactively alter what somebody bought. Limits are checked by app.plan_limit and enforced by count triggers on the governed objects. AI credits are metered per period and checked before a request runs — the gap P30 recorded and this build closed. Access is derived from verified Stripe webhook state and never from a browser redirect, with a materialized grace window so a Stripe outage is not an outage. Effective dates are on the entitlement, and the price a checkout uses is resolved server-side from the catalog."
GOV-000024,Notification governance,verified,,"Notifications are governed and produced by rules rather than by hand: a recordable safety incident, a credential withdrawn or recorded already lapsed, a machine going down, a service coming due, a machine still assigned a superseded design. Each carries a category, a severity, a deep link and the entity it concerns, is scoped to the company or to one user, and fires on the transition rather than on every touch — because a notice on every edit is how people learn to ignore notices. What is absent is policy-driven routing to a named owner or approver, which belongs with the approval framework at 000010."
GOV-000025,Governance reporting,not_verified,"No governance reporting. Eleven reporting views cover project financials, labor, safety, schedule, bids, plan usage and metrics, and not one covers governance: there is no access report, no approval report, no policy status, no audit summary, no retention report and no exception register. The audit ledger is queryable and nothing queries it. P29 recorded that the reporting layer reaches almost nobody; here it does not exist at all.",
