requirement_id,domain,verification,domain_status,unmet_conditions,met_conditions,gap
P14-REQ-015,Audit & Assurance,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Inspections with deficiencies and verified closure are a working assurance loop, and the platform's own audit ledger is strong. There is no HSEQ audit program: no audit plan, no schedule, no findings register separate from deficiencies, no non-conformance grading."
P14-REQ-016,HSEQ Analytics,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A safety summary reporting view exists with security_invoker, over data that is complete enough to compute from. No rate is computed: no TRIR, no LTIR, no DART, no severity rate, and no leading indicator such as observations per hours worked."
P14-REQ-017,AI HSEQ Intelligence,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"The one governed agent reads documents. Nothing applies it to safety, and under RULE-008 anything that did would propose rather than act."
P14-REQ-018,HSEQ Digital Twin,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P14-REQ-019,Safety Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-020,Incident & Near-Miss Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-021,JHA/JSA & Pre-Task Planning,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No job hazard analysis, no job safety analysis, no pre-task plan, no hazard library, and no link from a planned task to the hazards it carries."
P14-REQ-022,Permits to Work,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No permit of any kind — no confined space, no hot work, no excavation, no energized work — and therefore no permit that must be open before the work it governs may start."
P14-REQ-023,Training & Competency,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Credentials carry type, issuer, identifier, issue and expiry dates, a status kept honest against the calendar, and now a requirement matrix that blocks assignment when a mandatory one is unmet. There is no training: no course, no delivery, no attendance beyond a toolbox talk, and no competency assessment separate from holding a certificate."
P14-REQ-024,Environmental Management,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Environmental incidents are a first-class incident type, weather is captured on daily reports and rolled up from a governed connector, and inspections can record anything. There is no environmental management: no permit, no monitoring program, no discharge or dust record, no SWPPP inspection distinct from a general one."
P14-REQ-025,Quality Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-026,Compliance & Regulatory,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"OSHA recordability is modeled properly — the flag, the case number it requires, days away and days restricted, and the incident types that drive it. Nothing produces the 300 log, the 300A summary or any regulatory filing, and no other jurisdiction is modeled."
P14-REQ-027,Industrial Hygiene,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No exposure monitoring, no sampling, no noise or silica or dust record, no health surveillance."
P14-REQ-028,Emergency Management,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No emergency plan, no muster point, no drill record, no emergency contact roster, no incident command."
P14-REQ-029,Subcontractor HSEQ,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Vendors and a cross-company network rating exist, and neither is a safety qualification. No subcontractor prequalification, no insurance or EMR check, no site orientation record, no sub-tier safety performance."
P14-REQ-030,Equipment & Fleet Safety,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Assets carry meter readings that cannot run backwards, maintenance schedules driven by those meters, and work orders that cannot close without a resolution. Operator qualification can now be enforced through the credential requirement matrix by declaring a work type. There is no equipment inspection checklist, no lockout/tagout, and no defect report that takes a machine out of service."
P14-REQ-031,Public & Traffic Safety,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No traffic control plan, no public protection measure, no maintenance-of-traffic record, no complaint from the public."
P14-REQ-032,Corrective & Preventive Action,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A corrective action is required to close an incident, and a deficiency requires a named verifier and a note. There is no CAPA register: no action with an owner and a due date separate from the record that raised it, no effectiveness verification afterwards, and no preventive action distinct from a corrective one."
P14-REQ-033,Audit & Assurance,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Inspections with deficiencies and verified closure are a working assurance loop, and the platform's own audit ledger is strong. There is no HSEQ audit program: no audit plan, no schedule, no findings register separate from deficiencies, no non-conformance grading."
P14-REQ-034,HSEQ Analytics,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A safety summary reporting view exists with security_invoker, over data that is complete enough to compute from. No rate is computed: no TRIR, no LTIR, no DART, no severity rate, and no leading indicator such as observations per hours worked."
P14-REQ-035,AI HSEQ Intelligence,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"The one governed agent reads documents. Nothing applies it to safety, and under RULE-008 anything that did would propose rather than act."
P14-REQ-036,HSEQ Digital Twin,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P14-REQ-037,Safety Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-038,Incident & Near-Miss Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-039,JHA/JSA & Pre-Task Planning,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No job hazard analysis, no job safety analysis, no pre-task plan, no hazard library, and no link from a planned task to the hazards it carries."
P14-REQ-040,Permits to Work,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No permit of any kind — no confined space, no hot work, no excavation, no energized work — and therefore no permit that must be open before the work it governs may start."
P14-REQ-041,Training & Competency,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Credentials carry type, issuer, identifier, issue and expiry dates, a status kept honest against the calendar, and now a requirement matrix that blocks assignment when a mandatory one is unmet. There is no training: no course, no delivery, no attendance beyond a toolbox talk, and no competency assessment separate from holding a certificate."
P14-REQ-042,Environmental Management,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Environmental incidents are a first-class incident type, weather is captured on daily reports and rolled up from a governed connector, and inspections can record anything. There is no environmental management: no permit, no monitoring program, no discharge or dust record, no SWPPP inspection distinct from a general one."
P14-REQ-043,Quality Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-044,Compliance & Regulatory,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"OSHA recordability is modeled properly — the flag, the case number it requires, days away and days restricted, and the incident types that drive it. Nothing produces the 300 log, the 300A summary or any regulatory filing, and no other jurisdiction is modeled."
P14-REQ-045,Industrial Hygiene,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No exposure monitoring, no sampling, no noise or silica or dust record, no health surveillance."
P14-REQ-046,Emergency Management,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No emergency plan, no muster point, no drill record, no emergency contact roster, no incident command."
P14-REQ-047,Subcontractor HSEQ,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Vendors and a cross-company network rating exist, and neither is a safety qualification. No subcontractor prequalification, no insurance or EMR check, no site orientation record, no sub-tier safety performance."
P14-REQ-048,Equipment & Fleet Safety,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Assets carry meter readings that cannot run backwards, maintenance schedules driven by those meters, and work orders that cannot close without a resolution. Operator qualification can now be enforced through the credential requirement matrix by declaring a work type. There is no equipment inspection checklist, no lockout/tagout, and no defect report that takes a machine out of service."
P14-REQ-049,Public & Traffic Safety,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No traffic control plan, no public protection measure, no maintenance-of-traffic record, no complaint from the public."
P14-REQ-050,Corrective & Preventive Action,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A corrective action is required to close an incident, and a deficiency requires a named verifier and a note. There is no CAPA register: no action with an owner and a due date separate from the record that raised it, no effectiveness verification afterwards, and no preventive action distinct from a corrective one."
P14-REQ-051,Audit & Assurance,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Inspections with deficiencies and verified closure are a working assurance loop, and the platform's own audit ledger is strong. There is no HSEQ audit program: no audit plan, no schedule, no findings register separate from deficiencies, no non-conformance grading."
P14-REQ-052,HSEQ Analytics,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A safety summary reporting view exists with security_invoker, over data that is complete enough to compute from. No rate is computed: no TRIR, no LTIR, no DART, no severity rate, and no leading indicator such as observations per hours worked."
P14-REQ-053,AI HSEQ Intelligence,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"The one governed agent reads documents. Nothing applies it to safety, and under RULE-008 anything that did would propose rather than act."
P14-REQ-054,HSEQ Digital Twin,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P14-REQ-055,Safety Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-056,Incident & Near-Miss Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-057,JHA/JSA & Pre-Task Planning,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No job hazard analysis, no job safety analysis, no pre-task plan, no hazard library, and no link from a planned task to the hazards it carries."
P14-REQ-058,Permits to Work,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No permit of any kind — no confined space, no hot work, no excavation, no energized work — and therefore no permit that must be open before the work it governs may start."
P14-REQ-059,Training & Competency,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Credentials carry type, issuer, identifier, issue and expiry dates, a status kept honest against the calendar, and now a requirement matrix that blocks assignment when a mandatory one is unmet. There is no training: no course, no delivery, no attendance beyond a toolbox talk, and no competency assessment separate from holding a certificate."
P14-REQ-060,Environmental Management,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Environmental incidents are a first-class incident type, weather is captured on daily reports and rolled up from a governed connector, and inspections can record anything. There is no environmental management: no permit, no monitoring program, no discharge or dust record, no SWPPP inspection distinct from a general one."
P14-REQ-061,Quality Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-062,Compliance & Regulatory,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"OSHA recordability is modeled properly — the flag, the case number it requires, days away and days restricted, and the incident types that drive it. Nothing produces the 300 log, the 300A summary or any regulatory filing, and no other jurisdiction is modeled."
P14-REQ-063,Industrial Hygiene,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No exposure monitoring, no sampling, no noise or silica or dust record, no health surveillance."
P14-REQ-064,Emergency Management,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No emergency plan, no muster point, no drill record, no emergency contact roster, no incident command."
P14-REQ-065,Subcontractor HSEQ,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Vendors and a cross-company network rating exist, and neither is a safety qualification. No subcontractor prequalification, no insurance or EMR check, no site orientation record, no sub-tier safety performance."
P14-REQ-066,Equipment & Fleet Safety,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Assets carry meter readings that cannot run backwards, maintenance schedules driven by those meters, and work orders that cannot close without a resolution. Operator qualification can now be enforced through the credential requirement matrix by declaring a work type. There is no equipment inspection checklist, no lockout/tagout, and no defect report that takes a machine out of service."
P14-REQ-067,Public & Traffic Safety,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No traffic control plan, no public protection measure, no maintenance-of-traffic record, no complaint from the public."
P14-REQ-068,Corrective & Preventive Action,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A corrective action is required to close an incident, and a deficiency requires a named verifier and a note. There is no CAPA register: no action with an owner and a due date separate from the record that raised it, no effectiveness verification afterwards, and no preventive action distinct from a corrective one."
P14-REQ-069,Audit & Assurance,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Inspections with deficiencies and verified closure are a working assurance loop, and the platform's own audit ledger is strong. There is no HSEQ audit program: no audit plan, no schedule, no findings register separate from deficiencies, no non-conformance grading."
P14-REQ-070,HSEQ Analytics,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A safety summary reporting view exists with security_invoker, over data that is complete enough to compute from. No rate is computed: no TRIR, no LTIR, no DART, no severity rate, and no leading indicator such as observations per hours worked."
P14-REQ-071,AI HSEQ Intelligence,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"The one governed agent reads documents. Nothing applies it to safety, and under RULE-008 anything that did would propose rather than act."
P14-REQ-072,HSEQ Digital Twin,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P14-REQ-073,Safety Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-074,Incident & Near-Miss Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-075,JHA/JSA & Pre-Task Planning,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No job hazard analysis, no job safety analysis, no pre-task plan, no hazard library, and no link from a planned task to the hazards it carries."
P14-REQ-076,Permits to Work,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No permit of any kind — no confined space, no hot work, no excavation, no energized work — and therefore no permit that must be open before the work it governs may start."
P14-REQ-077,Training & Competency,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Credentials carry type, issuer, identifier, issue and expiry dates, a status kept honest against the calendar, and now a requirement matrix that blocks assignment when a mandatory one is unmet. There is no training: no course, no delivery, no attendance beyond a toolbox talk, and no competency assessment separate from holding a certificate."
P14-REQ-078,Environmental Management,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Environmental incidents are a first-class incident type, weather is captured on daily reports and rolled up from a governed connector, and inspections can record anything. There is no environmental management: no permit, no monitoring program, no discharge or dust record, no SWPPP inspection distinct from a general one."
P14-REQ-079,Quality Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-080,Compliance & Regulatory,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"OSHA recordability is modeled properly — the flag, the case number it requires, days away and days restricted, and the incident types that drive it. Nothing produces the 300 log, the 300A summary or any regulatory filing, and no other jurisdiction is modeled."
P14-REQ-081,Industrial Hygiene,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No exposure monitoring, no sampling, no noise or silica or dust record, no health surveillance."
P14-REQ-082,Emergency Management,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No emergency plan, no muster point, no drill record, no emergency contact roster, no incident command."
P14-REQ-083,Subcontractor HSEQ,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Vendors and a cross-company network rating exist, and neither is a safety qualification. No subcontractor prequalification, no insurance or EMR check, no site orientation record, no sub-tier safety performance."
P14-REQ-084,Equipment & Fleet Safety,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Assets carry meter readings that cannot run backwards, maintenance schedules driven by those meters, and work orders that cannot close without a resolution. Operator qualification can now be enforced through the credential requirement matrix by declaring a work type. There is no equipment inspection checklist, no lockout/tagout, and no defect report that takes a machine out of service."
P14-REQ-085,Public & Traffic Safety,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No traffic control plan, no public protection measure, no maintenance-of-traffic record, no complaint from the public."
P14-REQ-086,Corrective & Preventive Action,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A corrective action is required to close an incident, and a deficiency requires a named verifier and a note. There is no CAPA register: no action with an owner and a due date separate from the record that raised it, no effectiveness verification afterwards, and no preventive action distinct from a corrective one."
P14-REQ-087,Audit & Assurance,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Inspections with deficiencies and verified closure are a working assurance loop, and the platform's own audit ledger is strong. There is no HSEQ audit program: no audit plan, no schedule, no findings register separate from deficiencies, no non-conformance grading."
P14-REQ-088,HSEQ Analytics,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A safety summary reporting view exists with security_invoker, over data that is complete enough to compute from. No rate is computed: no TRIR, no LTIR, no DART, no severity rate, and no leading indicator such as observations per hours worked."
P14-REQ-089,AI HSEQ Intelligence,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"The one governed agent reads documents. Nothing applies it to safety, and under RULE-008 anything that did would propose rather than act."
P14-REQ-090,HSEQ Digital Twin,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P14-REQ-091,Safety Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-092,Incident & Near-Miss Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-093,JHA/JSA & Pre-Task Planning,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No job hazard analysis, no job safety analysis, no pre-task plan, no hazard library, and no link from a planned task to the hazards it carries."
P14-REQ-094,Permits to Work,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No permit of any kind — no confined space, no hot work, no excavation, no energized work — and therefore no permit that must be open before the work it governs may start."
P14-REQ-095,Training & Competency,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Credentials carry type, issuer, identifier, issue and expiry dates, a status kept honest against the calendar, and now a requirement matrix that blocks assignment when a mandatory one is unmet. There is no training: no course, no delivery, no attendance beyond a toolbox talk, and no competency assessment separate from holding a certificate."
P14-REQ-096,Environmental Management,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Environmental incidents are a first-class incident type, weather is captured on daily reports and rolled up from a governed connector, and inspections can record anything. There is no environmental management: no permit, no monitoring program, no discharge or dust record, no SWPPP inspection distinct from a general one."
P14-REQ-097,Quality Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-098,Compliance & Regulatory,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"OSHA recordability is modeled properly — the flag, the case number it requires, days away and days restricted, and the incident types that drive it. Nothing produces the 300 log, the 300A summary or any regulatory filing, and no other jurisdiction is modeled."
P14-REQ-099,Industrial Hygiene,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No exposure monitoring, no sampling, no noise or silica or dust record, no health surveillance."
P14-REQ-100,Emergency Management,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No emergency plan, no muster point, no drill record, no emergency contact roster, no incident command."
P14-REQ-101,Subcontractor HSEQ,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Vendors and a cross-company network rating exist, and neither is a safety qualification. No subcontractor prequalification, no insurance or EMR check, no site orientation record, no sub-tier safety performance."
P14-REQ-102,Equipment & Fleet Safety,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Assets carry meter readings that cannot run backwards, maintenance schedules driven by those meters, and work orders that cannot close without a resolution. Operator qualification can now be enforced through the credential requirement matrix by declaring a work type. There is no equipment inspection checklist, no lockout/tagout, and no defect report that takes a machine out of service."
P14-REQ-103,Public & Traffic Safety,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No traffic control plan, no public protection measure, no maintenance-of-traffic record, no complaint from the public."
P14-REQ-104,Corrective & Preventive Action,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A corrective action is required to close an incident, and a deficiency requires a named verifier and a note. There is no CAPA register: no action with an owner and a due date separate from the record that raised it, no effectiveness verification afterwards, and no preventive action distinct from a corrective one."
P14-REQ-105,Audit & Assurance,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Inspections with deficiencies and verified closure are a working assurance loop, and the platform's own audit ledger is strong. There is no HSEQ audit program: no audit plan, no schedule, no findings register separate from deficiencies, no non-conformance grading."
P14-REQ-106,HSEQ Analytics,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"A safety summary reporting view exists with security_invoker, over data that is complete enough to compute from. No rate is computed: no TRIR, no LTIR, no DART, no severity rate, and no leading indicator such as observations per hours worked."
P14-REQ-107,AI HSEQ Intelligence,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"The one governed agent reads documents. Nothing applies it to safety, and under RULE-008 anything that did would propose rather than act."
P14-REQ-108,HSEQ Digital Twin,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,Not built and not planned. A digital twin is in the class of capability the traceability rules exclude globally.
P14-REQ-109,Safety Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-110,Incident & Near-Miss Management,verified,built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,
P14-REQ-111,JHA/JSA & Pre-Task Planning,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No job hazard analysis, no job safety analysis, no pre-task plan, no hazard library, and no link from a planned task to the hazards it carries."
P14-REQ-112,Permits to Work,not_verified,not_built,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"No permit of any kind — no confined space, no hot work, no excavation, no energized work — and therefore no permit that must be open before the work it governs may start."
P14-REQ-113,Training & Competency,not_verified,partial,,authorized workflow; required evidence; blocking controls where applicable; audit trail; notifications; mapped test evidence,"Credentials carry type, issuer, identifier, issue and expiry dates, a status kept honest against the calendar, and now a requirement matrix that blocks assignment when a mandatory one is unmet. There is no training: no course, no delivery, no attendance beyond a toolbox talk, and no competency assessment separate from holding a certificate."
