requirement_id,concern,verification,gap,evidence
EDM-000016,Natural keys,verified,,"Business keys exist alongside internal identifiers and never replace them: a project number, an estimate number, a purchase order number, an employee number, a cost code are each unique within a company and none is a primary key. Every reference between tables is by uuid."
EDM-000017,Cross-entity references,verified,,"Tenant compatibility is enforced structurally by app.enforce_tenant_parent on every parent-child pair, applied through 34 triggers, and this build found and closed two document-layer pairs that were missing it. Lifecycle compatibility is enforced where it decides something: a machine assignment requires a published file, a proposal cannot issue from an unapproved estimate version, an assignment is refused where a mandatory credential has lapsed, an estimate version cannot be approved without its library snapshot."
EDM-000018,Record classification,not_verified,"No data classification exists. No entity or field is marked sensitive, confidential, personal or public, and nothing inherits a classification. The redaction layer in observability recognizes sensitive shapes by field name and value pattern at the logging boundary, which is a good control and is not a classification model — nothing in the database says what a column is.",
EDM-000019,Retention,not_verified,"No retention policy, no legal hold, no archival expiry. P15, P28 and P29 each recorded this absence from their own side, and P29 established the concrete mechanism: a company cannot be deleted at all, because the owner-retention guard refuses the cascade and cannot be satisfied. Tenant data is not merely unretained-by-policy, it is undeletable.",
EDM-000020,Data lineage,verified,,"Lineage is recorded for every class of derived value this platform produces. Imported: a connector run records its source, window and outcome. Calculated: a schedule calculation, a surface comparison and a bid reconciliation each name their engine version and inputs. Converted: a job cost row names the record it was posted from. AI-generated: a finding names its agent, model, prompt version and citation and cannot exist without one."
EDM-000021,Source identity,not_verified,"No external identifier column exists on any master record. A customer, vendor, employee or project imported from an accounting system has nowhere to record what it was called there, so a second import cannot recognize it and no reconciliation against the source system is possible. The estimate exchange format carries provenance; nothing else does.",
EDM-000022,Duplicate prevention,verified,,"Uniqueness is enforced where a duplicate would be a data error: a customer code, vendor code, project number, estimate number, employee number, cost code, purchase order number and proposal number are each unique within a company, and a metric key is unique per scope. What does not exist is fuzzy duplicate detection — two customers entered as 'City of Vale' and 'Vale, City of' are two customers — which is recorded under 000023 rather than counted here."
EDM-000023,Merge controls,not_verified,"No merge exists. Two records for the same party stay two records: there is no merge, no alias, no survivorship rule, no reversal. This is the other half of duplicate prevention and the half that matters once duplicates exist.",
EDM-000024,Relationship model,not_verified,"Relationships are foreign keys, which are typed but not effective-dated and carry no attributes. A contact belongs to a customer or a vendor; there is no relationship record with a type, a start and an end. A customer that becomes a joint-venture partner on one job and a competitor on the next cannot be represented.",
EDM-000025,Organization hierarchy,not_verified,"Companies carry divisions and that is the whole hierarchy — one level, no nesting. There are no legal entities below or above the company, no business units, no branches, no teams. enterprise_groups exist as a library scope tier rather than as an organizational structure.",
EDM-000026,Project hierarchy,not_verified,"Projects are flat. There is no program, no parent project, no phase, no area and no work package. project_tasks carry a WBS-like structure inside a project and nothing organizes projects themselves.",
EDM-000027,Work breakdown,verified,,"Cost codes are a governed three-tier library that a tenant defines, extends and overrides, with no industry structure imposed by the schema — the seeded catalog is a starting point rather than a constraint, and a company may replace it entirely. project_tasks provide a work breakdown within a project, and a cost code is referenced by estimate lines, time entries, job costs and purchase order items alike, so one structure carries through estimating, field and accounting."
EDM-000028,Estimate immutability,verified,,"An estimate version cannot reach approved, issued or awarded without the library snapshot that priced it, on the stated grounds that an issued price the platform cannot reproduce is not a record of anything. Since migration 0048 a surface a machine control file was published from is frozen in its geometry. Since 0045 an issued proposal is frozen through to its line items — the header freeze had always claimed the content was fixed while the content lived in a table it never touched."
EDM-000029,Estimate traceability,verified,,"An estimate line retains its quantity and unit, its production rate and the basis of it, the crew and equipment it was priced with, the rates that applied, the condition modifiers that adjusted it, the markup applied, and the confidence band. The library snapshot pins the exact rate rows, so the price is reproducible against the library as it was rather than as it is, and app.snapshot_drift reports where the two have since diverged."
EDM-000030,Resource polymorphism,verified,,"estimate_line_resources are polymorphic across labor, crew, equipment, material and service, with a constraint that exactly one resource reference is set. resource_assignments carry the same idea in operations across employees and assets. Rates exist per type — labor rates, equipment rates, material costs — each in the same three-tier library with the same approval discipline."
EDM-000031,Rate effective dates,not_verified,"Rates carry unit, effective period and source scope, and location is represented through regional condition modifiers and pricing profiles rather than on the rate itself, which is a defensible design. Currency is absent — see 000034 — and that is enough to fail this requirement as written, because a rate without a currency is a number.",
EDM-000032,Financial separation,verified,,"The six are distinct and, since this build, all six actually exist. Budget is projects.approved_budget. Commitment is a project_costs row flagged is_committed, posted from an issued purchase order as the open balance — added in migration 0046, having been read by the financial view and written by nothing. Actual is the unflagged rows, posted from approved timecards, fuel, and approved vendor invoices. Invoice is ap_invoices and billing_invoices. Payment is amount_paid and paid_amount against them. Forecast is the one that does not exist and is recorded as a gap in P29."
EDM-000033,Cost transaction integrity,verified,,"A cost transaction carries company, project, date, cost type, amount, and the source record that produced it in a reference that is deleted with it. It is refused if dated into a closed accounting period. Its dimensions are validated: a fuel posting carries gallons and a price, a labor posting carries hours and a blended rate with burden as its own row, a commitment carries the cost code it was raised against with the rounding remainder absorbed so the rows tie exactly."
EDM-000034,Currency integrity,not_verified,"Money has no currency. companies.currency, plan_prices.currency and billing_invoices.currency exist — the billing layer is currency-aware because Stripe is — and no operational money column carries one. An estimate, a contract value, a job cost, a purchase order, a vendor invoice and a pay application are all unlabeled numerics. A company set to EUR produces estimates whose currency is an assumption.",
EDM-000035,Unit integrity,verified,,"Quantities carry app.unit_code, a closed enum of fourteen units, wherever a quantity is stored: estimate lines, job costs, purchase order items, proposal lines, schedule of values. Volume state is separately typed — bank, loose and compacted cubic yards are different things and the engine converts between them explicitly rather than treating a cubic yard as a cubic yard."
EDM-000036,Tax jurisdiction,not_verified,"No tax jurisdiction, no rate table, no rule version. customers.tax_exempt is a boolean and ap_invoices.tax is an amount somebody typed. Nothing calculates tax, so nothing references a jurisdiction to calculate it from.",
EDM-000037,Document logical identity,verified,,"A document has a stable identity independent of its content: documents carries the logical record, document_versions the content, with a current version kept in step by trigger and supersession enforced acyclic. A drawing keeps its identity across revisions, which is what lets a finding cite a sheet on a version and remain answerable after the drawing is reissued."
EDM-000038,Document version immutability,verified,,"Document versions are immutable and the layer this build strengthened twice: tenant parentage was missing on document_versions and document_sheets and was closed, and the current-version pointer is maintained rather than set by hand. Checksums are carried on machine control files and, since migration 0048, required on any published one — a published design with no digest cannot be shown to be the file the machine loaded."
EDM-000039,Attachment model,not_verified,"Documents link to a project and nothing else. There is no polymorphic attachment: a document cannot be attached to an asset, an incident, a purchase order, a contract or an employee. P12 recorded the same absence — a machine's manual and its purchase invoice have nowhere to live.",
EDM-000040,Signature evidence,not_verified,"No electronic signature. A proposal records accepted_by_name as typed text and a timestamp; there is no signer identity, no method, no hash of what was signed, no version binding and no artifact retained. P08 recorded this from the commercial side.",
EDM-000041,Spatial reference,verified,,"Since migration 0047 a surface declares where it is and what frame it is in: the survey carries horizontal datum, vertical datum, coordinate system and units, the surface carries its origin easting and northing, and all six must agree before two surfaces may be differenced. Before it, two grids of the same shape over different ground produced a confident and fictitious earthwork quantity."
EDM-000042,Spatial abstraction,verified,,"Geometry is deliberately not in the transactional tables. A surface holds its elevations as a grid with a stored file beside it, and business entities reference the survey or the surface rather than carrying geometry: a project references its comparisons, an opportunity carries a site coordinate, a machine control file references the surface it was cut from. The absence of a geometry type is recorded as a gap in P16 rather than counted as abstraction here."
EDM-000043,Stationing,not_verified,"No stationing anywhere. No alignment, no station range, no offset. The engine computes average end area volumes from cross sections a caller supplies and the platform stores neither the alignment nor the sections.",
EDM-000044,Jurisdiction mapping,not_verified,"No jurisdiction on anything. A project carries a site address and coordinates; nothing references a jurisdiction, and there is no permit, no compliance record and no tax authority to reference one from.",
EDM-000045,Safety linkage,verified,,"A safety incident links to its project, its location, the employee involved, the reporter, its investigation state and its corrective action, and cannot close without a root cause and a corrective action. Inspections carry typed results with structured values and a failed one must carry notes. Deficiencies carry verified closure. Credentials link a person to a qualification, and since migration 0043 an assignment is refused where a mandatory one has lapsed."
EDM-000046,Qualification history,verified,,"A credential preserves its issuer, type, identifier, issue and expiry dates, the work it is a prerequisite for, and a stored file. Its standing is derived from the date every time it is asked for rather than stored — the defect this build found, where a license that had expired two hundred days earlier still read valid and passed the gate that exists to catch it. History is preserved through the audit ledger and superseded credentials remain as rows."
EDM-000047,AI provenance,verified,,"An AI finding names its agent, its model, its prompt version, the document version and sheet it read, its confidence, and the citation without which it cannot exist — enforced in the database and rejected by the validator before it reaches the database. Every run is recorded as a usage event and every message is append-only."
EDM-000048,AI writeback separation,verified,,"A finding is inert until a person accepts it, and acceptance records which business row was created from it. An agent with write authority cannot be configured — ai_agents_never_autonomous is a check constraint, not a policy — so the separation is structural rather than procedural. RULE-008 holds the same line for arithmetic: the deterministic engine is authoritative and AI may not overwrite it."
EDM-000049,Feedback linkage,not_verified,"Feedback is captured as an acceptance or a rejection of a finding, which ties to the exact finding and its model and prompt version. There is no feedback on anything else: no rating of a report, a metric, a schedule or a recommendation, and no evaluation set. P27 recorded that nothing measures whether the agent is any good.",
EDM-000050,Event envelope,not_verified,"No domain events at all. No envelope, no event table, no publish, no subscribe, no outbound webhook. P07, P20, P29 and P30 each recorded this absence from their own side; the audit ledger is a record of change rather than an event stream anybody can consume.",
EDM-000051,Change data capture,not_verified,"Material changes are captured — every table is audited with prior and new state into an append-only ledger — and nothing emits them. There is no change data capture, no logical replication, no outbox and no consumer. The distinction matters: the platform can answer what changed after the fact and cannot tell anybody at the time.",
EDM-000052,API contract alignment,verified,,"The public API's nine endpoints map directly to canonical entities or to a governed reporting view, and the OpenAPI specification is generated from the gateway's own route table with drift failing the build, so a documented contract that does not match the code cannot be committed. The metric endpoint moved from a table to reporting_metric_values in this build precisely so that its declared resource is what it actually reads."
EDM-000053,Reporting model,verified,,"Eleven reporting views compute live over the operational tables with no materialization anywhere — asserted by test — so a reporting figure cannot be a stale copy of source truth. Every view is security_invoker, carries company_id and is denied to the anonymous role, all three checked against the live catalog rather than a list."
EDM-000054,Search model,verified,,"Document search is app.search_document_text over the extracted text of document versions, derived from the version it came from and traceable to it. There is no separate search store to fall out of step with the records, which is the property this requirement asks for."
EDM-000055,Import staging,not_verified,"No import staging. The estimate exchange format parses and validates before it is applied, which is the one path that behaves this way, and there is no staging table, no batch, no rejection report and no dry run for importing customers, vendors, employees, cost codes or historical costs.",
EDM-000056,Export completeness,verified,,"The estimate exchange format carries identifiers, the version it came from, units, quantities, rates and the provenance of each line, with a round-trip test proving an estimate exported and re-imported produces the same numbers. Currency is absent from it because currency is absent from the platform, which is recorded at 000034."
EDM-000057,Schema evolution,verified,,"Migrations are ordered, forward-only and applied in sequence by a single runner, and the test suite applies all 49 of them unmodified against real PostgreSQL on every run — so a migration that would fail on a real database fails the build rather than a deployment. Each one states in prose what it changes and why, and destructive changes are refused rather than silently accepted: this build's own migration requiring a digest on published files is deliberately strict rather than grandfathering."
EDM-000058,Backward compatibility,not_verified,"There is no declared compatibility window for either the API or events. The API is versioned in its path and a route removal would simply be a route removal; there is no deprecation policy, no sunset header, no consumer registry to notify, and no events to be compatible about. P20 recorded the same.",
EDM-000059,Data quality rules,not_verified,"Critical fields carry validity and uniqueness constraints in abundance and there is no data quality framework: no completeness measure, no consistency rule across records, no timeliness measure, no score and no threshold. A constraint refuses a bad row at write time; nothing assesses the quality of the rows already there.",
EDM-000060,Data quality exceptions,not_verified,"There are no quality rules, so there are no exceptions from them. What the platform does instead is refuse — which is the right behavior for a constraint and is not the same thing as a reviewable exception queue. The one true exception surface is the labor reconciliation added in P09, which reports a difference between the daily report and the timecards rather than refusing either.",
EDM-000061,Masking,not_verified,"No masking, no tokenization, no field-level policy. Sensitive fields are protected by being unreadable without a permission — employee compensation is behind hr.read and a foreman sees no employee rows at all — which is access control rather than masking, and there is no partial disclosure of anything.",
EDM-000062,Encryption attributes,not_verified,"No field-level encryption and no metadata describing where it would be required. The platform holds no card data by design, which is the right answer to the largest instance of this, and holds compensation, personal contact details and safety records in plain columns protected by access control alone.",
EDM-000063,Regional residency,not_verified,"No residency model. No region on any entity, no storage class, no constraint on where a tenant's data may live. A single database in a single region is the whole of it.",
EDM-000064,Archival tiers,not_verified,"No archival tier. Nothing is archived, so nothing needs a resolvable identifier after archival — and per 000019 nothing can be deleted either, so records simply accumulate.",
EDM-000065,Legal hold,not_verified,"No legal hold. There is no deletion to suspend and no expiry to defer, which makes this vacuous rather than satisfied.",
EDM-000066,Referential integrity,verified,,"Referential integrity is declared on every reference and the delete behavior is chosen rather than defaulted: cascade where a child cannot outlive its parent, set null where a reference is an attribution that may be lost without invalidating the row, restrict where deleting the parent would orphan something material — a vendor with purchase orders against it cannot be deleted. Append-only tables refuse deletion outright, and this build repointed project_costs.employee_id from auth.users to employees so a labor cost could name the person who incurred it rather than only somebody with a login."
EDM-000067,Materialized views,verified,,"There are no materialized views, asserted by test against the live catalog. That is the strongest form of this requirement and the narrowest: nothing can carry a stale refresh time because nothing is refreshed, and the test is what keeps it true if somebody later reaches for one."
EDM-000068,Calculated fields,verified,,"A calculated value carries the rule that produced it and its inputs. A surface comparison records its engine version, the cells compared and skipped, the coverage and the warnings raised. A schedule calculation records its engine version and the calendar it used, and an activity's float exists only where a calculation produced it, enforced by constraint. An estimate version pins the snapshot of rates it was priced from. A metric value is computed through one function from a definition whose version is published on every change."
EDM-000069,Confidence metadata,verified,,"Confidence is a first-class concept where a number is estimated rather than measured: an estimate version carries a confidence band across five levels including one that refuses to price, contingency is derived from it and an override requires a reason and an approver, and an AI finding carries a bounded confidence and a review status that gates whether it may become a business record. A surface comparison reports its coverage so a partial survey cannot be mistaken for a full one."
EDM-000070,Metadata extensibility,not_verified,"Notes exist as free text on most entities and attachments and tags do not. There is no tag, no label, no custom field and no metadata extension of any kind — the same absence as 000009.",
EDM-000071,Localization,not_verified,"No localization. One locale, US English enforced by a spelling test, US survey feet as the default unit, no translation table, no locale-aware formatting in the database and no currency to format. The formatting helpers in the web application are hard-coded to en-US.",
EDM-000072,Data portability,not_verified,"Core tenant data is not exportable. The estimate exchange format is the one documented machine-readable export and it covers estimates; there is no export of customers, projects, costs, documents or safety records, and no bulk extract of a tenant's data in any format. P29 recorded the related absence of any export at all from the reporting layer.",
EDM-000073,Seed data,verified,,"The seed is generated rather than hand-written: 4,905 lines of SQL carrying 4,671 catalog records produced by a script from the governed GrounUp v2.0 package, versioned in the repository, applied by the same migration runner, and covered by tests that assert the counts and the three-tier scope of every library it seeds."
EDM-000074,Test data,verified,,"All test data is synthetic and constructed in the tests themselves — companies named Ridgeline and Kesler, employees invented per suite — and the database suite runs PostgreSQL compiled to WebAssembly with no service and no credentials, so no production data can reach it even in principle. There is no production data anywhere, and no fixture is derived from any."
EDM-000075,Migration reconciliation,not_verified,"Migrations apply in order against a real database on every test run, which proves they execute. Nothing reconciles them: no count of rows before and after, no total compared across a change, no rejected-record report, no lineage from an old shape to a new one. The one migration in this build that backfilled data — posting existing approved timecards to job cost — reported nothing about what it posted.",
