requirement_id,domain,verification,domain_status,unmet_conditions,met_conditions,gap
P25-REQ-017,Material Price Library,not_verified,partial,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"materials carries a unit cost, and the material engine derives cost through waste, order multiples, minimums, freight and tax. There is no separate price library holding several prices per material by vendor and date."
P25-REQ-018,Subcontract Rate Library,not_verified,not_built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,No subcontract rates are cataloged.
P25-REQ-019,Truck Rate Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-020,Haul & Disposal Rates,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-021,Regional Price Profiles,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-022,Location Factors,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-023,Vendor Price Sources,not_verified,partial,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"A material can be priced from a vendor quote with an expiry, and a project quote wins the equipment rate hierarchy. There is no vendor price source table linking a vendor, a material and a dated price."
P25-REQ-024,Custom Tenant Overrides,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-025,Versioning & Effective Dates,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-026,Approval & Publication,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-027,AI Proposed Writeback,not_verified,not_built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"The one AI agent proposes findings about documents. Nothing proposes a library change, so there is no writeback to govern."
P25-REQ-028,Import & Bulk Edit,not_verified,not_built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"No library import or bulk edit path exists. The seed is applied by migration, which is not the same thing."
P25-REQ-029,Search & Classification,not_verified,partial,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"services carries category, subcategory, industry and a search_text column, and app.search is permission-filtered by construction. Classification is not consistent across the other libraries."
P25-REQ-030,Audit & Provenance,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-031,Library Dependencies,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-032,Estimator Integration,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-033,Master Library Registry,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-034,Service Catalog,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-035,Service Categories,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-036,Units of Measure,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-037,Labor Resource Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-038,Crew Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-039,Equipment Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-040,Truck Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-041,Material Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-042,Subcontract Resource Library,not_verified,not_built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"There is no subcontractor library. Vendors exist as business records, and subcontract enters an estimate as a cost bucket, but nothing catalogs subcontract resources for reuse."
P25-REQ-043,Disposal Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-044,Assembly Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-045,Assembly Components,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-046,Production Rate Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-047,Equipment Rate Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-048,Labor Rate Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-049,Material Price Library,not_verified,partial,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"materials carries a unit cost, and the material engine derives cost through waste, order multiples, minimums, freight and tax. There is no separate price library holding several prices per material by vendor and date."
P25-REQ-050,Subcontract Rate Library,not_verified,not_built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,No subcontract rates are cataloged.
P25-REQ-051,Truck Rate Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-052,Haul & Disposal Rates,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-053,Regional Price Profiles,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-054,Location Factors,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-055,Vendor Price Sources,not_verified,partial,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"A material can be priced from a vendor quote with an expiry, and a project quote wins the equipment rate hierarchy. There is no vendor price source table linking a vendor, a material and a dated price."
P25-REQ-056,Custom Tenant Overrides,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-057,Versioning & Effective Dates,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-058,Approval & Publication,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-059,AI Proposed Writeback,not_verified,not_built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"The one AI agent proposes findings about documents. Nothing proposes a library change, so there is no writeback to govern."
P25-REQ-060,Import & Bulk Edit,not_verified,not_built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"No library import or bulk edit path exists. The seed is applied by migration, which is not the same thing."
P25-REQ-061,Search & Classification,not_verified,partial,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"services carries category, subcategory, industry and a search_text column, and app.search is permission-filtered by construction. Classification is not consistent across the other libraries."
P25-REQ-062,Audit & Provenance,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-063,Library Dependencies,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-064,Estimator Integration,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-065,Master Library Registry,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-066,Service Catalog,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-067,Service Categories,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-068,Units of Measure,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-069,Labor Resource Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-070,Crew Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-071,Equipment Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-072,Truck Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-073,Material Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-074,Subcontract Resource Library,not_verified,not_built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"There is no subcontractor library. Vendors exist as business records, and subcontract enters an estimate as a cost bucket, but nothing catalogs subcontract resources for reuse."
P25-REQ-075,Disposal Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-076,Assembly Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-077,Assembly Components,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-078,Production Rate Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-079,Equipment Rate Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-080,Labor Rate Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-081,Material Price Library,not_verified,partial,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"materials carries a unit cost, and the material engine derives cost through waste, order multiples, minimums, freight and tax. There is no separate price library holding several prices per material by vendor and date."
P25-REQ-082,Subcontract Rate Library,not_verified,not_built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,No subcontract rates are cataloged.
P25-REQ-083,Truck Rate Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-084,Haul & Disposal Rates,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-085,Regional Price Profiles,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-086,Location Factors,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-087,Vendor Price Sources,not_verified,partial,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"A material can be priced from a vendor quote with an expiry, and a project quote wins the equipment rate hierarchy. There is no vendor price source table linking a vendor, a material and a dated price."
P25-REQ-088,Custom Tenant Overrides,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-089,Versioning & Effective Dates,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-090,Approval & Publication,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-091,AI Proposed Writeback,not_verified,not_built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"The one AI agent proposes findings about documents. Nothing proposes a library change, so there is no writeback to govern."
P25-REQ-092,Import & Bulk Edit,not_verified,not_built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"No library import or bulk edit path exists. The seed is applied by migration, which is not the same thing."
P25-REQ-093,Search & Classification,not_verified,partial,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"services carries category, subcategory, industry and a search_text column, and app.search is permission-filtered by construction. Classification is not consistent across the other libraries."
P25-REQ-094,Audit & Provenance,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-095,Library Dependencies,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-096,Estimator Integration,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-097,Master Library Registry,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-098,Service Catalog,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-099,Service Categories,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-100,Units of Measure,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-101,Labor Resource Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-102,Crew Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-103,Equipment Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-104,Truck Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-105,Material Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-106,Subcontract Resource Library,not_verified,not_built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"There is no subcontractor library. Vendors exist as business records, and subcontract enters an estimate as a cost bucket, but nothing catalogs subcontract resources for reuse."
P25-REQ-107,Disposal Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-108,Assembly Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-109,Assembly Components,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-110,Production Rate Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-111,Equipment Rate Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-112,Labor Rate Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-113,Material Price Library,not_verified,partial,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"materials carries a unit cost, and the material engine derives cost through waste, order multiples, minimums, freight and tax. There is no separate price library holding several prices per material by vendor and date."
P25-REQ-114,Subcontract Rate Library,not_verified,not_built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,No subcontract rates are cataloged.
P25-REQ-115,Truck Rate Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-116,Haul & Disposal Rates,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-117,Regional Price Profiles,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-118,Location Factors,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-119,Vendor Price Sources,not_verified,partial,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"A material can be priced from a vendor quote with an expiry, and a project quote wins the equipment rate hierarchy. There is no vendor price source table linking a vendor, a material and a dated price."
P25-REQ-120,Custom Tenant Overrides,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-121,Versioning & Effective Dates,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-122,Approval & Publication,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-123,AI Proposed Writeback,not_verified,not_built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"The one AI agent proposes findings about documents. Nothing proposes a library change, so there is no writeback to govern."
P25-REQ-124,Import & Bulk Edit,not_verified,not_built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"No library import or bulk edit path exists. The seed is applied by migration, which is not the same thing."
P25-REQ-125,Search & Classification,not_verified,partial,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"services carries category, subcategory, industry and a search_text column, and app.search is permission-filtered by construction. Classification is not consistent across the other libraries."
P25-REQ-126,Audit & Provenance,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-127,Library Dependencies,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-128,Estimator Integration,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-129,Master Library Registry,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-130,Service Catalog,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-131,Service Categories,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-132,Units of Measure,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-133,Labor Resource Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-134,Crew Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-135,Equipment Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-136,Truck Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-137,Material Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-138,Subcontract Resource Library,not_verified,not_built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"There is no subcontractor library. Vendors exist as business records, and subcontract enters an estimate as a cost bucket, but nothing catalogs subcontract resources for reuse."
P25-REQ-139,Disposal Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-140,Assembly Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-141,Assembly Components,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-142,Production Rate Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-143,Equipment Rate Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-144,Labor Rate Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-145,Material Price Library,not_verified,partial,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"materials carries a unit cost, and the material engine derives cost through waste, order multiples, minimums, freight and tax. There is no separate price library holding several prices per material by vendor and date."
P25-REQ-146,Subcontract Rate Library,not_verified,not_built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,No subcontract rates are cataloged.
P25-REQ-147,Truck Rate Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-148,Haul & Disposal Rates,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-149,Regional Price Profiles,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-150,Location Factors,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-151,Vendor Price Sources,not_verified,partial,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"A material can be priced from a vendor quote with an expiry, and a project quote wins the equipment rate hierarchy. There is no vendor price source table linking a vendor, a material and a dated price."
P25-REQ-152,Custom Tenant Overrides,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-153,Versioning & Effective Dates,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-154,Approval & Publication,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-155,AI Proposed Writeback,not_verified,not_built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"The one AI agent proposes findings about documents. Nothing proposes a library change, so there is no writeback to govern."
P25-REQ-156,Import & Bulk Edit,not_verified,not_built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"No library import or bulk edit path exists. The seed is applied by migration, which is not the same thing."
P25-REQ-157,Search & Classification,not_verified,partial,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"services carries category, subcategory, industry and a search_text column, and app.search is permission-filtered by construction. Classification is not consistent across the other libraries."
P25-REQ-158,Audit & Provenance,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-159,Library Dependencies,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-160,Estimator Integration,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-161,Master Library Registry,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-162,Service Catalog,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-163,Service Categories,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-164,Units of Measure,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-165,Labor Resource Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-166,Crew Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-167,Equipment Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-168,Truck Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-169,Material Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-170,Subcontract Resource Library,not_verified,not_built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"There is no subcontractor library. Vendors exist as business records, and subcontract enters an estimate as a cost bucket, but nothing catalogs subcontract resources for reuse."
P25-REQ-171,Disposal Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-172,Assembly Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-173,Assembly Components,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-174,Production Rate Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-175,Equipment Rate Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-176,Labor Rate Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-177,Material Price Library,not_verified,partial,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"materials carries a unit cost, and the material engine derives cost through waste, order multiples, minimums, freight and tax. There is no separate price library holding several prices per material by vendor and date."
