requirement_id,domain,aspect,verification,subject_exists,aspect_status,gap,evidence
GES-P08-REQ-011,Lead Capture & Attribution,configuration without code,not_verified,partial,not_met,"Every stage list in this phase is a check constraint in a migration: lead stages, opportunity stages, proposal statuses, customer types. Changing any of them is a schema change, not a configuration. There are no custom fields, no saved views, no automation triggers to configure and no approval thresholds on any CRM record — the commercial authority limits added in P19 govern contracts, change orders, claims and purchase orders, and no CRM object is among them. A proposal of any value is issued by anyone holding the permission. Subject partial: Leads carry a source, a stage, an assignee, a follow-up date and the customer they converted to. Attribution is a single free-text source column: no campaign, no channel, no touch history, no first or last touch model, and no way to attribute revenue back to anything.",
GES-P08-REQ-012,Lead Capture & Attribution,"audit with actor, prior and new value, reason and correlation",not_verified,partial,not_met,"Four of the seven are solid: every CRM table carries the full-row audit trigger writing actor, timestamp, prior value and new value into an append-only ledger no privilege level can edit, and a governance test asserts every table in the schema is either audited or frozen. Three are missing. **Reason** is captured nowhere — a loss reason is a field on the opportunity, not a reason attached to the change that set it. **Source** is not recorded on a CRM change: the ledger cannot distinguish a screen from the public API from an import. **Correlation identifier** exists in the observability layer, where the logger carries a request id through every line, and it is never written into the audit row — so a database change and the request that caused it cannot be joined. Subject partial: Leads carry a source, a stage, an assignee, a follow-up date and the customer they converted to. Attribution is a single free-text source column: no campaign, no channel, no touch history, no first or last touch model, and no way to attribute revenue back to anything.",
GES-P08-REQ-013,Lead Capture & Attribution,versioned API exchange with six services,not_verified,partial,not_met,"The public API is genuinely versioned, generated from the gateway's own route table with drift failing the build, and behind scoped keys — and it exposes nine endpoints, none of them CRM. No customer, contact, lead, opportunity or proposal can be read or written through it. Of the six services named, estimating is joined at the database level and now enforced by 0045, project operations is joined by two columns nobody populates (F5), and accounting, document control, communications and identity are not joined to CRM at all: no invoice from a won job, no proposal filed into document control, no email or call recorded anywhere, no directory. Subject partial: Leads carry a source, a stage, an assignee, a follow-up date and the customer they converted to. Attribution is a single free-text source column: no campaign, no channel, no touch history, no first or last touch model, and no way to attribute revenue back to anything.",
GES-P08-REQ-014,Lead Capture & Attribution,"automation with idempotency, retry and exception queues",not_verified,partial,not_met,"There is no automation engine anywhere in the platform, for CRM or anything else: no rule, no trigger a tenant can define, no queue, no retry, no execution history. The database triggers that enforce the rules in this verdict are platform code, not tenant-configurable automations, and correctly so. The nearest thing is the connector framework with recorded runs, which is an integration adapter rather than a workflow engine. Subject partial: Leads carry a source, a stage, an assignee, a follow-up date and the customer they converted to. Attribution is a single free-text source column: no campaign, no channel, no touch history, no first or last touch model, and no way to attribute revenue back to anything.",
GES-P08-REQ-015,Lead Capture & Attribution,governed AI assistance with attribution and human approval,not_verified,partial,not_met,"The governance is real and the capability is absent. One agent exists, capped at draft authority by a check constraint that makes a writing agent unconfigurable, producing findings that cannot exist without a citation and are inert until a person accepts them. It reads drawings and specifications. Nothing summarizes a customer, scores a lead, drafts a proposal or recommends a next action — and the qualification_score column on leads, which such a capability would write, is filled in by hand or not at all. Subject partial: Leads carry a source, a stage, an assignee, a follow-up date and the customer they converted to. Attribution is a single free-text source column: no campaign, no channel, no touch history, no first or last touch model, and no way to attribute revenue back to anything.",
GES-P08-REQ-016,Lead Capture & Attribution,responsive and mobile experience with offline behavior,not_verified,partial,not_met,"A CRM screen exists and is responsive, built on Tailwind and shadcn/ui with role-aware navigation. It reads demonstration fixtures rather than the governed records this phase is about — the platform-wide gap P29 recorded, where 22 of 23 screens read fixtures and only Billing queries live data. There is no native mobile application and no offline behavior of any kind: no local store, no queue, no conflict resolution. Accessibility is not measured, so it is not claimed. Subject partial: Leads carry a source, a stage, an assignee, a follow-up date and the customer they converted to. Attribution is a single free-text source column: no campaign, no channel, no touch history, no first or last touch model, and no way to attribute revenue back to anything.",
GES-P08-REQ-017,Lead Capture & Attribution,"conversion, velocity and quality reporting with drill-through",not_verified,partial,not_met,"`reporting_bid_performance` computes estimates submitted and the bid hit rate by month and division, and two governed metrics are defined over it — real conversion reporting, and the only one of the five kinds this aspect names that exists. There is no velocity reporting: stage timestamps are not kept, so time in stage cannot be computed for a lead or an opportunity at all. There is no quality reporting, no CRM financial reporting beyond the hit rate, and no drill-through from any figure to the records behind it, because nothing in the application reads these views. Subject partial: Leads carry a source, a stage, an assignee, a follow-up date and the customer they converted to. Attribution is a single free-text source column: no campaign, no channel, no touch history, no first or last touch model, and no way to attribute revenue back to anything.",
GES-P08-REQ-018,Lead Capture & Attribution,"least privilege, field-level permissions, consent and export restriction",not_verified,partial,met,"Subject partial: Leads carry a source, a stage, an assignee, a follow-up date and the customer they converted to. Attribution is a single free-text source column: no campaign, no channel, no touch history, no first or last touch model, and no way to attribute revenue back to anything.",
GES-P08-REQ-019,Qualification & Scoring,governed records within tenant boundaries,not_verified,partial,met,"Subject partial: A qualification score column exists, bounded 0 to 100, and a stage that can say qualified or unqualified. Nothing computes the score, no criteria are configurable, and no rule prevents an unqualified lead being converted.",
GES-P08-REQ-020,Qualification & Scoring,configuration without code,not_verified,partial,not_met,"Every stage list in this phase is a check constraint in a migration: lead stages, opportunity stages, proposal statuses, customer types. Changing any of them is a schema change, not a configuration. There are no custom fields, no saved views, no automation triggers to configure and no approval thresholds on any CRM record — the commercial authority limits added in P19 govern contracts, change orders, claims and purchase orders, and no CRM object is among them. A proposal of any value is issued by anyone holding the permission. Subject partial: A qualification score column exists, bounded 0 to 100, and a stage that can say qualified or unqualified. Nothing computes the score, no criteria are configurable, and no rule prevents an unqualified lead being converted.",
GES-P08-REQ-021,Qualification & Scoring,"audit with actor, prior and new value, reason and correlation",not_verified,partial,not_met,"Four of the seven are solid: every CRM table carries the full-row audit trigger writing actor, timestamp, prior value and new value into an append-only ledger no privilege level can edit, and a governance test asserts every table in the schema is either audited or frozen. Three are missing. **Reason** is captured nowhere — a loss reason is a field on the opportunity, not a reason attached to the change that set it. **Source** is not recorded on a CRM change: the ledger cannot distinguish a screen from the public API from an import. **Correlation identifier** exists in the observability layer, where the logger carries a request id through every line, and it is never written into the audit row — so a database change and the request that caused it cannot be joined. Subject partial: A qualification score column exists, bounded 0 to 100, and a stage that can say qualified or unqualified. Nothing computes the score, no criteria are configurable, and no rule prevents an unqualified lead being converted.",
GES-P08-REQ-022,Qualification & Scoring,versioned API exchange with six services,not_verified,partial,not_met,"The public API is genuinely versioned, generated from the gateway's own route table with drift failing the build, and behind scoped keys — and it exposes nine endpoints, none of them CRM. No customer, contact, lead, opportunity or proposal can be read or written through it. Of the six services named, estimating is joined at the database level and now enforced by 0045, project operations is joined by two columns nobody populates (F5), and accounting, document control, communications and identity are not joined to CRM at all: no invoice from a won job, no proposal filed into document control, no email or call recorded anywhere, no directory. Subject partial: A qualification score column exists, bounded 0 to 100, and a stage that can say qualified or unqualified. Nothing computes the score, no criteria are configurable, and no rule prevents an unqualified lead being converted.",
GES-P08-REQ-023,Qualification & Scoring,"automation with idempotency, retry and exception queues",not_verified,partial,not_met,"There is no automation engine anywhere in the platform, for CRM or anything else: no rule, no trigger a tenant can define, no queue, no retry, no execution history. The database triggers that enforce the rules in this verdict are platform code, not tenant-configurable automations, and correctly so. The nearest thing is the connector framework with recorded runs, which is an integration adapter rather than a workflow engine. Subject partial: A qualification score column exists, bounded 0 to 100, and a stage that can say qualified or unqualified. Nothing computes the score, no criteria are configurable, and no rule prevents an unqualified lead being converted.",
GES-P08-REQ-024,Qualification & Scoring,governed AI assistance with attribution and human approval,not_verified,partial,not_met,"The governance is real and the capability is absent. One agent exists, capped at draft authority by a check constraint that makes a writing agent unconfigurable, producing findings that cannot exist without a citation and are inert until a person accepts them. It reads drawings and specifications. Nothing summarizes a customer, scores a lead, drafts a proposal or recommends a next action — and the qualification_score column on leads, which such a capability would write, is filled in by hand or not at all. Subject partial: A qualification score column exists, bounded 0 to 100, and a stage that can say qualified or unqualified. Nothing computes the score, no criteria are configurable, and no rule prevents an unqualified lead being converted.",
GES-P08-REQ-025,Qualification & Scoring,responsive and mobile experience with offline behavior,not_verified,partial,not_met,"A CRM screen exists and is responsive, built on Tailwind and shadcn/ui with role-aware navigation. It reads demonstration fixtures rather than the governed records this phase is about — the platform-wide gap P29 recorded, where 22 of 23 screens read fixtures and only Billing queries live data. There is no native mobile application and no offline behavior of any kind: no local store, no queue, no conflict resolution. Accessibility is not measured, so it is not claimed. Subject partial: A qualification score column exists, bounded 0 to 100, and a stage that can say qualified or unqualified. Nothing computes the score, no criteria are configurable, and no rule prevents an unqualified lead being converted.",
GES-P08-REQ-026,Qualification & Scoring,"conversion, velocity and quality reporting with drill-through",not_verified,partial,not_met,"`reporting_bid_performance` computes estimates submitted and the bid hit rate by month and division, and two governed metrics are defined over it — real conversion reporting, and the only one of the five kinds this aspect names that exists. There is no velocity reporting: stage timestamps are not kept, so time in stage cannot be computed for a lead or an opportunity at all. There is no quality reporting, no CRM financial reporting beyond the hit rate, and no drill-through from any figure to the records behind it, because nothing in the application reads these views. Subject partial: A qualification score column exists, bounded 0 to 100, and a stage that can say qualified or unqualified. Nothing computes the score, no criteria are configurable, and no rule prevents an unqualified lead being converted.",
GES-P08-REQ-027,Qualification & Scoring,"least privilege, field-level permissions, consent and export restriction",not_verified,partial,met,"Subject partial: A qualification score column exists, bounded 0 to 100, and a stage that can say qualified or unqualified. Nothing computes the score, no criteria are configurable, and no rule prevents an unqualified lead being converted.",
GES-P08-REQ-028,Account & Contact 360,governed records within tenant boundaries,not_verified,partial,met,"Subject partial: A customer carries identity, type, address, payment terms, credit limit, tax exemption and a default pricing profile; contacts hang off it with a primary flag and a constraint that a contact belongs to exactly one of a customer or a vendor. There is no 360: no activity history, no interaction timeline, no related projects or invoices assembled in one place, no hierarchy of parent and subsidiary accounts.",
GES-P08-REQ-029,Account & Contact 360,configuration without code,not_verified,partial,not_met,"Every stage list in this phase is a check constraint in a migration: lead stages, opportunity stages, proposal statuses, customer types. Changing any of them is a schema change, not a configuration. There are no custom fields, no saved views, no automation triggers to configure and no approval thresholds on any CRM record — the commercial authority limits added in P19 govern contracts, change orders, claims and purchase orders, and no CRM object is among them. A proposal of any value is issued by anyone holding the permission. Subject partial: A customer carries identity, type, address, payment terms, credit limit, tax exemption and a default pricing profile; contacts hang off it with a primary flag and a constraint that a contact belongs to exactly one of a customer or a vendor. There is no 360: no activity history, no interaction timeline, no related projects or invoices assembled in one place, no hierarchy of parent and subsidiary accounts.",
GES-P08-REQ-030,Account & Contact 360,"audit with actor, prior and new value, reason and correlation",not_verified,partial,not_met,"Four of the seven are solid: every CRM table carries the full-row audit trigger writing actor, timestamp, prior value and new value into an append-only ledger no privilege level can edit, and a governance test asserts every table in the schema is either audited or frozen. Three are missing. **Reason** is captured nowhere — a loss reason is a field on the opportunity, not a reason attached to the change that set it. **Source** is not recorded on a CRM change: the ledger cannot distinguish a screen from the public API from an import. **Correlation identifier** exists in the observability layer, where the logger carries a request id through every line, and it is never written into the audit row — so a database change and the request that caused it cannot be joined. Subject partial: A customer carries identity, type, address, payment terms, credit limit, tax exemption and a default pricing profile; contacts hang off it with a primary flag and a constraint that a contact belongs to exactly one of a customer or a vendor. There is no 360: no activity history, no interaction timeline, no related projects or invoices assembled in one place, no hierarchy of parent and subsidiary accounts.",
GES-P08-REQ-031,Account & Contact 360,versioned API exchange with six services,not_verified,partial,not_met,"The public API is genuinely versioned, generated from the gateway's own route table with drift failing the build, and behind scoped keys — and it exposes nine endpoints, none of them CRM. No customer, contact, lead, opportunity or proposal can be read or written through it. Of the six services named, estimating is joined at the database level and now enforced by 0045, project operations is joined by two columns nobody populates (F5), and accounting, document control, communications and identity are not joined to CRM at all: no invoice from a won job, no proposal filed into document control, no email or call recorded anywhere, no directory. Subject partial: A customer carries identity, type, address, payment terms, credit limit, tax exemption and a default pricing profile; contacts hang off it with a primary flag and a constraint that a contact belongs to exactly one of a customer or a vendor. There is no 360: no activity history, no interaction timeline, no related projects or invoices assembled in one place, no hierarchy of parent and subsidiary accounts.",
GES-P08-REQ-032,Account & Contact 360,"automation with idempotency, retry and exception queues",not_verified,partial,not_met,"There is no automation engine anywhere in the platform, for CRM or anything else: no rule, no trigger a tenant can define, no queue, no retry, no execution history. The database triggers that enforce the rules in this verdict are platform code, not tenant-configurable automations, and correctly so. The nearest thing is the connector framework with recorded runs, which is an integration adapter rather than a workflow engine. Subject partial: A customer carries identity, type, address, payment terms, credit limit, tax exemption and a default pricing profile; contacts hang off it with a primary flag and a constraint that a contact belongs to exactly one of a customer or a vendor. There is no 360: no activity history, no interaction timeline, no related projects or invoices assembled in one place, no hierarchy of parent and subsidiary accounts.",
GES-P08-REQ-033,Account & Contact 360,governed AI assistance with attribution and human approval,not_verified,partial,not_met,"The governance is real and the capability is absent. One agent exists, capped at draft authority by a check constraint that makes a writing agent unconfigurable, producing findings that cannot exist without a citation and are inert until a person accepts them. It reads drawings and specifications. Nothing summarizes a customer, scores a lead, drafts a proposal or recommends a next action — and the qualification_score column on leads, which such a capability would write, is filled in by hand or not at all. Subject partial: A customer carries identity, type, address, payment terms, credit limit, tax exemption and a default pricing profile; contacts hang off it with a primary flag and a constraint that a contact belongs to exactly one of a customer or a vendor. There is no 360: no activity history, no interaction timeline, no related projects or invoices assembled in one place, no hierarchy of parent and subsidiary accounts.",
GES-P08-REQ-034,Account & Contact 360,responsive and mobile experience with offline behavior,not_verified,partial,not_met,"A CRM screen exists and is responsive, built on Tailwind and shadcn/ui with role-aware navigation. It reads demonstration fixtures rather than the governed records this phase is about — the platform-wide gap P29 recorded, where 22 of 23 screens read fixtures and only Billing queries live data. There is no native mobile application and no offline behavior of any kind: no local store, no queue, no conflict resolution. Accessibility is not measured, so it is not claimed. Subject partial: A customer carries identity, type, address, payment terms, credit limit, tax exemption and a default pricing profile; contacts hang off it with a primary flag and a constraint that a contact belongs to exactly one of a customer or a vendor. There is no 360: no activity history, no interaction timeline, no related projects or invoices assembled in one place, no hierarchy of parent and subsidiary accounts.",
GES-P08-REQ-035,Account & Contact 360,"conversion, velocity and quality reporting with drill-through",not_verified,partial,not_met,"`reporting_bid_performance` computes estimates submitted and the bid hit rate by month and division, and two governed metrics are defined over it — real conversion reporting, and the only one of the five kinds this aspect names that exists. There is no velocity reporting: stage timestamps are not kept, so time in stage cannot be computed for a lead or an opportunity at all. There is no quality reporting, no CRM financial reporting beyond the hit rate, and no drill-through from any figure to the records behind it, because nothing in the application reads these views. Subject partial: A customer carries identity, type, address, payment terms, credit limit, tax exemption and a default pricing profile; contacts hang off it with a primary flag and a constraint that a contact belongs to exactly one of a customer or a vendor. There is no 360: no activity history, no interaction timeline, no related projects or invoices assembled in one place, no hierarchy of parent and subsidiary accounts.",
GES-P08-REQ-036,Account & Contact 360,"least privilege, field-level permissions, consent and export restriction",not_verified,partial,met,"Subject partial: A customer carries identity, type, address, payment terms, credit limit, tax exemption and a default pricing profile; contacts hang off it with a primary flag and a constraint that a contact belongs to exactly one of a customer or a vendor. There is no 360: no activity history, no interaction timeline, no related projects or invoices assembled in one place, no hierarchy of parent and subsidiary accounts.",
GES-P08-REQ-037,Opportunity & Pipeline,governed records within tenant boundaries,not_verified,partial,met,"Subject partial: Opportunities carry stage, value, probability, bid due date, expected award and start, site location with coordinates, delivery method, owner, and win or loss with a competitor named. What is missing is everything about movement: no stage history, no time in stage, no forecast category, no weighted pipeline computed anywhere in the database.",
GES-P08-REQ-038,Opportunity & Pipeline,configuration without code,not_verified,partial,not_met,"Every stage list in this phase is a check constraint in a migration: lead stages, opportunity stages, proposal statuses, customer types. Changing any of them is a schema change, not a configuration. There are no custom fields, no saved views, no automation triggers to configure and no approval thresholds on any CRM record — the commercial authority limits added in P19 govern contracts, change orders, claims and purchase orders, and no CRM object is among them. A proposal of any value is issued by anyone holding the permission. Subject partial: Opportunities carry stage, value, probability, bid due date, expected award and start, site location with coordinates, delivery method, owner, and win or loss with a competitor named. What is missing is everything about movement: no stage history, no time in stage, no forecast category, no weighted pipeline computed anywhere in the database.",
GES-P08-REQ-039,Opportunity & Pipeline,"audit with actor, prior and new value, reason and correlation",not_verified,partial,not_met,"Four of the seven are solid: every CRM table carries the full-row audit trigger writing actor, timestamp, prior value and new value into an append-only ledger no privilege level can edit, and a governance test asserts every table in the schema is either audited or frozen. Three are missing. **Reason** is captured nowhere — a loss reason is a field on the opportunity, not a reason attached to the change that set it. **Source** is not recorded on a CRM change: the ledger cannot distinguish a screen from the public API from an import. **Correlation identifier** exists in the observability layer, where the logger carries a request id through every line, and it is never written into the audit row — so a database change and the request that caused it cannot be joined. Subject partial: Opportunities carry stage, value, probability, bid due date, expected award and start, site location with coordinates, delivery method, owner, and win or loss with a competitor named. What is missing is everything about movement: no stage history, no time in stage, no forecast category, no weighted pipeline computed anywhere in the database.",
GES-P08-REQ-040,Opportunity & Pipeline,versioned API exchange with six services,not_verified,partial,not_met,"The public API is genuinely versioned, generated from the gateway's own route table with drift failing the build, and behind scoped keys — and it exposes nine endpoints, none of them CRM. No customer, contact, lead, opportunity or proposal can be read or written through it. Of the six services named, estimating is joined at the database level and now enforced by 0045, project operations is joined by two columns nobody populates (F5), and accounting, document control, communications and identity are not joined to CRM at all: no invoice from a won job, no proposal filed into document control, no email or call recorded anywhere, no directory. Subject partial: Opportunities carry stage, value, probability, bid due date, expected award and start, site location with coordinates, delivery method, owner, and win or loss with a competitor named. What is missing is everything about movement: no stage history, no time in stage, no forecast category, no weighted pipeline computed anywhere in the database.",
GES-P08-REQ-041,Opportunity & Pipeline,"automation with idempotency, retry and exception queues",not_verified,partial,not_met,"There is no automation engine anywhere in the platform, for CRM or anything else: no rule, no trigger a tenant can define, no queue, no retry, no execution history. The database triggers that enforce the rules in this verdict are platform code, not tenant-configurable automations, and correctly so. The nearest thing is the connector framework with recorded runs, which is an integration adapter rather than a workflow engine. Subject partial: Opportunities carry stage, value, probability, bid due date, expected award and start, site location with coordinates, delivery method, owner, and win or loss with a competitor named. What is missing is everything about movement: no stage history, no time in stage, no forecast category, no weighted pipeline computed anywhere in the database.",
GES-P08-REQ-042,Opportunity & Pipeline,governed AI assistance with attribution and human approval,not_verified,partial,not_met,"The governance is real and the capability is absent. One agent exists, capped at draft authority by a check constraint that makes a writing agent unconfigurable, producing findings that cannot exist without a citation and are inert until a person accepts them. It reads drawings and specifications. Nothing summarizes a customer, scores a lead, drafts a proposal or recommends a next action — and the qualification_score column on leads, which such a capability would write, is filled in by hand or not at all. Subject partial: Opportunities carry stage, value, probability, bid due date, expected award and start, site location with coordinates, delivery method, owner, and win or loss with a competitor named. What is missing is everything about movement: no stage history, no time in stage, no forecast category, no weighted pipeline computed anywhere in the database.",
GES-P08-REQ-043,Opportunity & Pipeline,responsive and mobile experience with offline behavior,not_verified,partial,not_met,"A CRM screen exists and is responsive, built on Tailwind and shadcn/ui with role-aware navigation. It reads demonstration fixtures rather than the governed records this phase is about — the platform-wide gap P29 recorded, where 22 of 23 screens read fixtures and only Billing queries live data. There is no native mobile application and no offline behavior of any kind: no local store, no queue, no conflict resolution. Accessibility is not measured, so it is not claimed. Subject partial: Opportunities carry stage, value, probability, bid due date, expected award and start, site location with coordinates, delivery method, owner, and win or loss with a competitor named. What is missing is everything about movement: no stage history, no time in stage, no forecast category, no weighted pipeline computed anywhere in the database.",
GES-P08-REQ-044,Opportunity & Pipeline,"conversion, velocity and quality reporting with drill-through",not_verified,partial,not_met,"`reporting_bid_performance` computes estimates submitted and the bid hit rate by month and division, and two governed metrics are defined over it — real conversion reporting, and the only one of the five kinds this aspect names that exists. There is no velocity reporting: stage timestamps are not kept, so time in stage cannot be computed for a lead or an opportunity at all. There is no quality reporting, no CRM financial reporting beyond the hit rate, and no drill-through from any figure to the records behind it, because nothing in the application reads these views. Subject partial: Opportunities carry stage, value, probability, bid due date, expected award and start, site location with coordinates, delivery method, owner, and win or loss with a competitor named. What is missing is everything about movement: no stage history, no time in stage, no forecast category, no weighted pipeline computed anywhere in the database.",
GES-P08-REQ-045,Opportunity & Pipeline,"least privilege, field-level permissions, consent and export restriction",not_verified,partial,met,"Subject partial: Opportunities carry stage, value, probability, bid due date, expected award and start, site location with coordinates, delivery method, owner, and win or loss with a competitor named. What is missing is everything about movement: no stage history, no time in stage, no forecast category, no weighted pipeline computed anywhere in the database.",
GES-P08-REQ-046,Site Visit & Discovery,governed records within tenant boundaries,not_verified,partial,met,"Subject partial: An opportunity carries the site address and its coordinates, and the survey module captures existing conditions with real engineering behind it. There is no site visit as a record: no scheduled visit, no discovery checklist, no field notes or photographs tied to an opportunity.",
GES-P08-REQ-047,Site Visit & Discovery,configuration without code,not_verified,partial,not_met,"Every stage list in this phase is a check constraint in a migration: lead stages, opportunity stages, proposal statuses, customer types. Changing any of them is a schema change, not a configuration. There are no custom fields, no saved views, no automation triggers to configure and no approval thresholds on any CRM record — the commercial authority limits added in P19 govern contracts, change orders, claims and purchase orders, and no CRM object is among them. A proposal of any value is issued by anyone holding the permission. Subject partial: An opportunity carries the site address and its coordinates, and the survey module captures existing conditions with real engineering behind it. There is no site visit as a record: no scheduled visit, no discovery checklist, no field notes or photographs tied to an opportunity.",
GES-P08-REQ-048,Site Visit & Discovery,"audit with actor, prior and new value, reason and correlation",not_verified,partial,not_met,"Four of the seven are solid: every CRM table carries the full-row audit trigger writing actor, timestamp, prior value and new value into an append-only ledger no privilege level can edit, and a governance test asserts every table in the schema is either audited or frozen. Three are missing. **Reason** is captured nowhere — a loss reason is a field on the opportunity, not a reason attached to the change that set it. **Source** is not recorded on a CRM change: the ledger cannot distinguish a screen from the public API from an import. **Correlation identifier** exists in the observability layer, where the logger carries a request id through every line, and it is never written into the audit row — so a database change and the request that caused it cannot be joined. Subject partial: An opportunity carries the site address and its coordinates, and the survey module captures existing conditions with real engineering behind it. There is no site visit as a record: no scheduled visit, no discovery checklist, no field notes or photographs tied to an opportunity.",
GES-P08-REQ-049,Site Visit & Discovery,versioned API exchange with six services,not_verified,partial,not_met,"The public API is genuinely versioned, generated from the gateway's own route table with drift failing the build, and behind scoped keys — and it exposes nine endpoints, none of them CRM. No customer, contact, lead, opportunity or proposal can be read or written through it. Of the six services named, estimating is joined at the database level and now enforced by 0045, project operations is joined by two columns nobody populates (F5), and accounting, document control, communications and identity are not joined to CRM at all: no invoice from a won job, no proposal filed into document control, no email or call recorded anywhere, no directory. Subject partial: An opportunity carries the site address and its coordinates, and the survey module captures existing conditions with real engineering behind it. There is no site visit as a record: no scheduled visit, no discovery checklist, no field notes or photographs tied to an opportunity.",
GES-P08-REQ-050,Site Visit & Discovery,"automation with idempotency, retry and exception queues",not_verified,partial,not_met,"There is no automation engine anywhere in the platform, for CRM or anything else: no rule, no trigger a tenant can define, no queue, no retry, no execution history. The database triggers that enforce the rules in this verdict are platform code, not tenant-configurable automations, and correctly so. The nearest thing is the connector framework with recorded runs, which is an integration adapter rather than a workflow engine. Subject partial: An opportunity carries the site address and its coordinates, and the survey module captures existing conditions with real engineering behind it. There is no site visit as a record: no scheduled visit, no discovery checklist, no field notes or photographs tied to an opportunity.",
