requirement_id,capability,verification,gap,evidence
CPF-000023,State machine framework,verified,,"State machines are the platform's normal way of holding a lifecycle and invalid transitions are blocked rather than discouraged: a proposal cannot leave draft from an unapproved estimate or with detail that does not tie, a machine assignment requires a published file, an estimate version cannot be approved without its library snapshot, a claim's deadlines are derived rather than typed, a work order cannot complete without a resolution, a period cannot be reopened without a reason. Valid transitions emit events where the transition matters — a machine going down, a credential lapsing, a design superseded while machines still hold it — through notification producers that fire on the transition only."
CPF-000024,Timer and SLA engine,not_verified,"No timer or SLA engine. Deadlines are derived and stored where they are commercial — a claim's notice and claim dates from the contract clause — and nothing watches a clock: nothing fires when a deadline passes, nothing escalates, and there is no scheduler to run it from. The engine's working-day calendar arithmetic is correct across daylight-saving transitions because it operates on integer epoch days rather than on timestamps, which is the one half of this requirement that holds.",
CPF-000025,API gateway,not_verified,"The gateway enforces four of the six: authentication by hashed scoped key, authorization through a pure decision function, versioning in the path with an OpenAPI specification generated from the route table so drift fails the build, and correlation on every request and every log line. There is no throttling and no request size limit — P20 recorded the absence of rate limiting, and requirement 47 records it again from the security side.",
CPF-000026,API versioning,not_verified,"The API is versioned in its path and there is no compatibility policy behind it: no deprecation window, no sunset notice, no consumer registry to notify and no supported-version set. P23 recorded the same.",
CPF-000027,Webhook service,not_verified,"No webhooks. No signature, no replay protection, no event id, no delivery attempt — there is nothing to sign because there are no events.",
CPF-000028,Event bus,not_verified,"No event bus. No event, no schema, no producer, no causation, no idempotency key. Six phases have now recorded this absence from their own side, which is what makes it the platform's largest structural gap after the frontend.",
CPF-000029,Connector framework,verified,,"The connector framework injects its I/O so a connector is testable without the network, records every run with its source, window and outcome, and is disableable per connector row. The NOAA weather adapter uses it. What is missing is a registry and a retry policy, which P20 recorded — observability and independent disabling, the two things this criterion names, both hold."
CPF-000030,Import engine,not_verified,"No import engine, so nothing can silently accept an invalid row — but the criterion asks for validation of imports and there are none to validate. The estimate exchange format parses and rejects before it applies, which is the one path that behaves correctly and covers one object.",
CPF-000031,Export engine,not_verified,"No export engine. The estimate exchange format is the single documented export and it records none of what this requirement names: no requester, no criteria, no checksum, no retention, no expiration. P29 recorded the Export button that carries no handler.",
CPF-000032,Mobile application shell,not_verified,"No mobile shell. No native application, no camera, no location, no push, no local storage. The web application is responsive and works in a phone browser, which is not what this requirement asks for.",
CPF-000033,Offline data packs,not_verified,No offline packs of any kind.,
CPF-000034,Offline transaction queue,not_verified,"No offline queue. Nothing preserves an original user, device, timestamp or correlation across a disconnection because nothing works while disconnected.",
CPF-000035,Synchronization engine,not_verified,"No synchronization engine. The one reconciliation the platform performs — daily report hours against approved timecards, added in P09 — reports a difference and does not merge anything.",
CPF-000036,Attachment synchronization,not_verified,No attachment synchronization and no duplicate or corruption detection on upload. Machine control files carry a required checksum since P17 and document versions carry none.,
CPF-000037,Structured logging,verified,,"Redaction is the default rather than an option: every log line passes through a redactor that removes values by field name and by value shape, so a token that arrives in an unexpected field is caught by its shape. 49 redaction and observability tests cover it, and since this build the boundary is enforced against the emitted bundle as well — `bundle:check` refuses a build carrying a server secret by name or by shape, having been fixed when it was found to miss a realistic service-role token through a base64 alignment error."
CPF-000038,Metrics and health,verified,,"Health and readiness are separated with per-check deadlines, and a hanging dependency fails its check against the deadline rather than hanging the probe. Metrics carry bounded low-cardinality labels so a metric cannot explode into a per-tenant series. Degraded state is represented. Nothing is deployed, so nothing scrapes any of it — which is a deployment gap rather than a gap in this capability."
CPF-000039,Distributed tracing,not_verified,"Correlation is carried through every log line in a request and, since migration 0050, into the audit ledger — so a database change and the request that caused it can be joined for the first time. That is correlation across a boundary. It is not distributed tracing: there is no span, no parent, no trace context propagated to the model provider or to Stripe, and no collector.",
CPF-000040,Alerting framework,not_verified,"No alerting framework. Notifications are in-application notices to users rather than operational alerts, and none carries a runbook, an impact statement or supporting evidence. P20 recorded the absence of any operational alerting.",
CPF-000041,Encryption in transit,not_verified,"Transport security is the hosting platform's and is not this platform's to enforce or configure: Supabase serves over TLS, and nothing here rejects an insecure transport, states a policy or exempts a development environment. Recorded as not met rather than borrowed.",
CPF-000042,Encryption at rest,not_verified,"Encryption at rest is the hosting platform's, and none of what this criterion asks for exists here: no key use, rotation, access or failure is auditable from this platform, and P03 recorded that no field-level encryption or metadata describing where it would be required exists either.",
CPF-000043,Secrets management,verified,,"The platform's central security property and, since this build, enforced rather than trusted. Secrets live only in Edge Function environment variables; the client bundle is scanned after every build for a server secret by name and by shape — Stripe live, test and restricted keys, the webhook signing secret, the AI provider key and a service-role JWT in all three of its base64 alignments, computed rather than written down after a hand-written pattern was found to miss a realistic token. Logs are redacted by field name and value shape. No secret is in source control, and `supabase/config.toml` carries none."
CPF-000044,Malware and content scanning,not_verified,"No malware or content scanning. The platform accepts uploaded PDFs and drawings, inspects them structurally to split and classify sheets, and performs no safety disposition — which for a system whose main input is customer-supplied documents is the honest shape of the gap.",
CPF-000045,Backup and restore,not_verified,"No backup and no restore, so no restore test and no stated objective. P20, P23 and P29 recorded the same.",
CPF-000046,Disaster recovery,not_verified,No disaster recovery and no exercise to produce evidence from.,
CPF-000047,Rate limiting and abuse control,not_verified,"No rate limiting and no abuse control anywhere — not on the API, not on authentication, not on AI requests beyond the plan allowance, which is a billing limit rather than an abuse control.",
CPF-000048,Time zone framework,verified,,"Correct through daylight-saving transitions by construction rather than by testing against a transition: every timestamp column in the schema is `timestamptz`, asserted by a schema invariant test with zero exceptions, so every moment is stored in UTC with its offset resolved. Business dates that are days rather than moments are `date` — a work date, a cost date, an effective date — and the scheduling engine does its arithmetic on integer epoch days through `Date.UTC`, so a working-day calculation cannot be moved by an hour that does or does not exist. 29 calendar tests and 50 critical-path tests cover it."
CPF-000049,Unit framework,not_verified,"Quantities store value and unit — `app.unit_code` on every quantity in the library, estimates, job costs, purchase orders and proposals — and precision is declared and now held by test at two places for a total and four for a rate. Conversion provenance is the missing third: the engine converts between bank, loose and compacted volume and between mass and volume explicitly and tests the arithmetic, and a stored quantity does not record which conversion produced it.",
CPF-000050,Currency framework,not_verified,"Money carries no currency outside the billing layer, so the criterion — that no arithmetic combines different currencies without an explicit conversion — is satisfied only because there is one implicit currency and nothing to combine. P03 records this at full size: the column is the small part and deciding what multi-currency means commercially is the rest.",
CPF-000051,Language and locale,not_verified,"No locale selection and no localization. One locale, US English enforced by a spelling test, and formatting hard-coded to en-US in the web application.",
CPF-000052,Model gateway,not_verified,"There is no model gateway. The analyst calls the provider directly with a model compiled into the function; since P06 the catalog describes that model rather than sitting empty, and nothing routes, limits, falls back or enforces a policy between the agent and the provider. Redaction and tenant context hold, through the general logging boundary and the usage allowance rather than through a gateway.",
CPF-000053,Agent registry,verified,,"Unregistered or disabled agents cannot execute in the only sense the platform offers: `ai_findings.agent_id` references `ai_agents`, so a finding cannot be written for an agent that is not registered, and since P06 only the agent with an implementation ships enabled — fourteen others were shipping enabled and did not exist. The authority cap is a check constraint rather than a policy, so an agent that writes on its own is unconfigurable. What is absent is a runtime that consults the registry before executing, which is recorded at requirement 52."
CPF-000054,Tool execution service,not_verified,"There is no tool execution service because the agent has no tools: it is handed a document, reads it and returns findings. P27 recorded this as *nothing to verify* rather than *something ungoverned* — the risk the requirement exists to catch is absent along with the capability — and it is still not the capability this requirement asks for.",
CPF-000055,Prompt and policy registry,not_verified,"Since P06 the prompt registry holds the exact text the analyst runs, proven identical by test, and production execution still identifies its prompt by a constant compiled into the function rather than by reading the registry. The registry's own control — a prompt cannot be activated without an evaluation pass rate — is why: no evaluation exists, so no prompt can legitimately be activated, and reading an unactivatable prompt from a table would be worse than reading a reviewed constant from code.",
CPF-000056,Evidence and citation service,verified,,"A factual finding cannot exist without a citation or a sheet reference — enforced by constraint in the database and rejected by the validator before it reaches the database — and the citation resolves to a document *version*, not a document, so it remains answerable after the drawing is reissued. Document versions are immutable and supersession cannot form a cycle, so the source a finding points at is the source it read."
CPF-000057,AI evaluation framework,not_verified,"No evaluation framework and therefore no release gate to fail. The gate exists in the schema — `ai_prompts_activation` refuses to activate a prompt without a pass rate, proven by test in P06 — and there is nothing to feed it. P27 left this open for a reason that still holds: a real evaluation needs drawings and expert labels, and manufacturing a golden set from the model's own output would measure nothing but agreement with itself.",
CPF-000058,AI usage and cost metering,verified,,"Every analyst run writes a `usage_events` row with metric `ai.request`, `app.current_usage` aggregates it over the paid period, and since migration 0039 `app.ai_request_allowed` checks it before a request runs — the gap P30 recorded as unenforceable and P27 found that verdict wrong about. Cost is estimated per call from token counts, and `reporting_usage_allowance` shows usage against allowance before somebody hits the wall. Usage reconciles to the gateway records because they are the same rows: the analyst writes the usage event, and the API request log is written by the gateway for every request it serves."
CPF-000059,Platform event audit,verified,,"Since migration 0050 an audit event correlates to its request, its actor, its object and its tenant — the correlation id, the caller's address and agent, and an actor email resolved from the profile or, for a service-role caller such as the API gateway, the key it states for itself, which had previously been recorded as an anonymous insert. Object and tenant were always there. Service is the one this does not carry, and with a single application service there is nothing to distinguish."
CPF-000060,Data portability,not_verified,"Core tenant data is not exportable. The estimate exchange format covers estimates and nothing else — no customers, projects, costs, documents or safety records — so exports are neither complete nor traceable in the sense this requirement asks. P03 and P29 recorded the same.",
