requirement_id,domain,verification,domain_status,unmet_conditions,met_conditions,gap
P26-REQ-017,Truck Cycle Calculation,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-018,Truck Count,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-019,Haul Distance,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-020,Disposal Cost,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"disposal_sites carries a tipping fee and the haul engine prices disposal as part of the cycle, but no engine derives disposal cost from volume, density and fee."
P26-REQ-021,Material Cost,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-022,Material Waste,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-023,Subcontract Cost,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"Subcontract is a visible cost bucket, but no engine derives it from a scope and a quote."
P26-REQ-024,Production Rate,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-025,Production Modifiers,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-026,Duration Calculation,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-027,Work Hours & Shifts,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-028,Mobilization,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"Equipment carries a mobilization cost and the estimate has a cost_equipment_mob column, but no engine derives mobilization from distance, machine count and haul permits."
P26-REQ-029,Demobilization,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,Same as mobilization; demobilization is not separately derived.
P26-REQ-030,Indirect Costs,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-031,Contingency,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-032,Markup,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-033,Overhead & Profit,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-034,Tax & Bond,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-035,Unit Price,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-036,Bid Price,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-037,Low/High Range,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-038,Scenario Comparison,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-039,Estimate Confidence,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-040,Regional Pricing,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-041,Vendor Quote Override,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-042,Snapshot Reproducibility,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-043,Service Catalog Writeback,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,An estimator-created service cannot be approved back into the catalog.
P26-REQ-044,AI Estimate Assist,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,The one AI agent analyses documents. Nothing assists with an estimate.
P26-REQ-045,Estimate Review & Approval,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-046,Estimate Export,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-047,Proposal Handoff,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-048,Job Cost Baseline,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-049,Audit & Traceability,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-050,Estimate Lifecycle,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-051,Estimate Versions,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-052,Estimate Templates,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,No template entity or instantiation path.
P26-REQ-053,Service Selection,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"The service library exists and is three-tier, but nothing selects a service for a scope; an estimator picks it."
P26-REQ-054,Assembly Expansion,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-055,Quantity Input,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-056,Quantity Takeoff Intake,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"Documents are ingested and classified by sheet, but nothing measures; there is no takeoff to intake."
P26-REQ-057,Labor Cost,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-058,Labor Burden,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-059,Crew Composition,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-060,Crew Size Recommendation,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"The bottleneck analysis names the controlling resource, but nothing recommends a crew size."
P26-REQ-061,Equipment Selection,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,Equipment and its rates exist; nothing recommends which machine suits an operation.
P26-REQ-062,Equipment Cost,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-063,Equipment Rate Selection,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-064,Fuel Consumption,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-065,Truck Selection,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,Truck rates exist; nothing recommends a truck type for a haul.
P26-REQ-066,Truck Cycle Calculation,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-067,Truck Count,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-068,Haul Distance,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-069,Disposal Cost,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"disposal_sites carries a tipping fee and the haul engine prices disposal as part of the cycle, but no engine derives disposal cost from volume, density and fee."
P26-REQ-070,Material Cost,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-071,Material Waste,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-072,Subcontract Cost,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"Subcontract is a visible cost bucket, but no engine derives it from a scope and a quote."
P26-REQ-073,Production Rate,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-074,Production Modifiers,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-075,Duration Calculation,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-076,Work Hours & Shifts,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-077,Mobilization,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"Equipment carries a mobilization cost and the estimate has a cost_equipment_mob column, but no engine derives mobilization from distance, machine count and haul permits."
P26-REQ-078,Demobilization,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,Same as mobilization; demobilization is not separately derived.
P26-REQ-079,Indirect Costs,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-080,Contingency,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-081,Markup,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-082,Overhead & Profit,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-083,Tax & Bond,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-084,Unit Price,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-085,Bid Price,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-086,Low/High Range,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-087,Scenario Comparison,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-088,Estimate Confidence,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-089,Regional Pricing,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-090,Vendor Quote Override,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-091,Snapshot Reproducibility,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-092,Service Catalog Writeback,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,An estimator-created service cannot be approved back into the catalog.
P26-REQ-093,AI Estimate Assist,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,The one AI agent analyses documents. Nothing assists with an estimate.
P26-REQ-094,Estimate Review & Approval,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-095,Estimate Export,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-096,Proposal Handoff,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-097,Job Cost Baseline,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-098,Audit & Traceability,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-099,Estimate Lifecycle,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-100,Estimate Versions,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-101,Estimate Templates,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,No template entity or instantiation path.
P26-REQ-102,Service Selection,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"The service library exists and is three-tier, but nothing selects a service for a scope; an estimator picks it."
P26-REQ-103,Assembly Expansion,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-104,Quantity Input,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-105,Quantity Takeoff Intake,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"Documents are ingested and classified by sheet, but nothing measures; there is no takeoff to intake."
P26-REQ-106,Labor Cost,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-107,Labor Burden,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-108,Crew Composition,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-109,Crew Size Recommendation,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"The bottleneck analysis names the controlling resource, but nothing recommends a crew size."
P26-REQ-110,Equipment Selection,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,Equipment and its rates exist; nothing recommends which machine suits an operation.
P26-REQ-111,Equipment Cost,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-112,Equipment Rate Selection,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-113,Fuel Consumption,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-114,Truck Selection,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,Truck rates exist; nothing recommends a truck type for a haul.
P26-REQ-115,Truck Cycle Calculation,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-116,Truck Count,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-117,Haul Distance,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-118,Disposal Cost,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"disposal_sites carries a tipping fee and the haul engine prices disposal as part of the cycle, but no engine derives disposal cost from volume, density and fee."
P26-REQ-119,Material Cost,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-120,Material Waste,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-121,Subcontract Cost,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"Subcontract is a visible cost bucket, but no engine derives it from a scope and a quote."
P26-REQ-122,Production Rate,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-123,Production Modifiers,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-124,Duration Calculation,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-125,Work Hours & Shifts,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-126,Mobilization,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"Equipment carries a mobilization cost and the estimate has a cost_equipment_mob column, but no engine derives mobilization from distance, machine count and haul permits."
P26-REQ-127,Demobilization,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,Same as mobilization; demobilization is not separately derived.
P26-REQ-128,Indirect Costs,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-129,Contingency,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-130,Markup,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-131,Overhead & Profit,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-132,Tax & Bond,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-133,Unit Price,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-134,Bid Price,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-135,Low/High Range,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-136,Scenario Comparison,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-137,Estimate Confidence,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-138,Regional Pricing,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-139,Vendor Quote Override,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-140,Snapshot Reproducibility,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-141,Service Catalog Writeback,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,An estimator-created service cannot be approved back into the catalog.
P26-REQ-142,AI Estimate Assist,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,The one AI agent analyses documents. Nothing assists with an estimate.
P26-REQ-143,Estimate Review & Approval,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-144,Estimate Export,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-145,Proposal Handoff,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-146,Job Cost Baseline,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-147,Audit & Traceability,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-148,Estimate Lifecycle,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-149,Estimate Versions,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-150,Estimate Templates,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,No template entity or instantiation path.
P26-REQ-151,Service Selection,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"The service library exists and is three-tier, but nothing selects a service for a scope; an estimator picks it."
P26-REQ-152,Assembly Expansion,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-153,Quantity Input,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-154,Quantity Takeoff Intake,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"Documents are ingested and classified by sheet, but nothing measures; there is no takeoff to intake."
P26-REQ-155,Labor Cost,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-156,Labor Burden,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-157,Crew Composition,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-158,Crew Size Recommendation,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"The bottleneck analysis names the controlling resource, but nothing recommends a crew size."
P26-REQ-159,Equipment Selection,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,Equipment and its rates exist; nothing recommends which machine suits an operation.
P26-REQ-160,Equipment Cost,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-161,Equipment Rate Selection,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-162,Fuel Consumption,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-163,Truck Selection,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,Truck rates exist; nothing recommends a truck type for a haul.
P26-REQ-164,Truck Cycle Calculation,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-165,Truck Count,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-166,Haul Distance,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
