requirement_id,domain,aspect,verification,subject_exists,aspect_status,gap,evidence
GES-P10-REQ-014,Financial Core & Governance,"period controls, cutoff validation and posting-date governance",not_verified,partial,met,"Subject partial: Accounting periods now exist and are governed. A fiscal calendar beyond them, a chart of accounts, entities below the company, and currency handling beyond a column on a price do not.",
GES-P10-REQ-015,Financial Core & Governance,traceability from operational transaction to financial statement,not_verified,partial,not_met,"The operational half of this chain is strong and tested: measured field production ties to a task, the task to the estimate line it was budgeted from, the line to the library rows that priced it through a snapshot, and cost to the same task. The financial half does not exist — there is no financial statement for anything to have an impact on. Subject partial: Accounting periods now exist and are governed. A fiscal calendar beyond them, a chart of accounts, entities below the company, and currency handling beyond a column on a price do not.",
GES-P10-REQ-016,General Ledger,tenant-scoped records,not_verified,no,met,"Subject not built: No journal entry, no chart of accounts, no trial balance, no posting, no consolidation, no close beyond the period cutoff.",
GES-P10-REQ-017,General Ledger,configurable approval thresholds and routing,not_verified,no,not_met,"Approval tiers exist and, since migration 0033, configurable per-company signing thresholds govern change orders, contracts and claim settlements. Nothing of the kind exists for financial records: a pay application is approved by anyone holding finance.write regardless of its value, and there is no routing — no sequence of approvers, no delegation, no escalation. Subject not built: No journal entry, no chart of accounts, no trial balance, no posting, no consolidation, no close beyond the period cutoff.",
GES-P10-REQ-018,General Ledger,immutable audit event for every action,not_verified,no,not_met,"Create, update and delete are captured on every financial table by an append-only ledger recording prior and new state, and approve and post appear within it as updates. Export does not: nothing records that data left the platform, which is one of the seven actions this aspect names and the one an auditor asks about first. Reverse is not modeled as an action at all, because there is nothing to reverse. Subject not built: No journal entry, no chart of accounts, no trial balance, no posting, no consolidation, no close beyond the period cutoff.",
GES-P10-REQ-019,General Ledger,role-based and attribute-based access control,not_verified,no,met,"Subject not built: No journal entry, no chart of accounts, no trial balance, no posting, no consolidation, no close beyond the period cutoff.",
GES-P10-REQ-020,General Ledger,"effective dating, versioning and historical reconstruction",not_verified,no,not_met,"Library rates carry effective dating and row history, estimates carry versions with pinned library snapshots, and plans now carry versions. No financial record does: a pay application, a job cost and a payable each have one current state and no history beyond the audit ledger, so a prior period cannot be reconstructed as it stood. Subject not built: No journal entry, no chart of accounts, no trial balance, no posting, no consolidation, no close beyond the period cutoff.",
GES-P10-REQ-021,General Ledger,source-to-ledger balance validation,not_verified,no,not_met,"There is no ledger to balance to. Individual arithmetic is defended — a pay application cannot bill more than the contract sum plus approved changes, a work order's total is generated from its parts, an achieved production rate is a generated column — but no double entry exists and nothing can be unbalanced. Subject not built: No journal entry, no chart of accounts, no trial balance, no posting, no consolidation, no close beyond the period cutoff.",
GES-P10-REQ-022,General Ledger,configurable statuses and state transitions,not_verified,no,not_met,"Statuses are explicit and constrained, and transitions are enforced — a pay application cannot leave draft without a submission timestamp, a claim cannot advance past potential without a notice date, an executed change order cannot move back. None of it is configurable: the states and the transitions are in the schema, and a company cannot add a review step of its own. Subject not built: No journal entry, no chart of accounts, no trial balance, no posting, no consolidation, no close beyond the period cutoff.",
GES-P10-REQ-023,General Ledger,governed APIs and event notifications,not_verified,no,not_met,"Nine versioned endpoints sit behind a pure authorization function with one error shape, scoped API keys stored only as a hash, and an OpenAPI specification generated from the route table with drift failing the build — the API half is genuinely governed. The event half does not exist: there are no outbound webhooks and no event stream, so nothing outside the platform can be notified that a financial record changed. Subject not built: No journal entry, no chart of accounts, no trial balance, no posting, no consolidation, no close beyond the period cutoff.",
GES-P10-REQ-024,General Ledger,"dashboards, drill-downs and exportable reports",not_verified,no,not_met,"Dashboards and drill-downs exist as screens over five reporting views, each with security_invoker so a view can never become the way around row level security. Export does not exist anywhere in the platform: no export permission, no export path, and nothing that records an export having happened — the same absence P28 recorded. Subject not built: No journal entry, no chart of accounts, no trial balance, no posting, no consolidation, no close beyond the period cutoff.",
GES-P10-REQ-025,General Ledger,"attachments, notes, evidence and source-document lineage",not_verified,no,not_met,"Documents are versioned with supersession and a claim's citations are now integrity-checked against them. No financial record links to a document: an AP invoice cannot carry the invoice image it was entered from, and a pay application cannot carry the signed certificate. Lineage from a source document to a financial figure therefore stops at the operational record. Subject not built: No journal entry, no chart of accounts, no trial balance, no posting, no consolidation, no close beyond the period cutoff.",
GES-P10-REQ-026,General Ledger,multi-company and intercompany processing,not_verified,no,not_met,"Multi-company is the platform's foundation: companies, enterprise groups, corporate standard libraries with company overrides, and a plan limit on how many companies a subscription carries. Intercompany processing is absent — nothing records a transaction between two companies in a group, and there is no elimination or reconciliation between them. Subject not built: No journal entry, no chart of accounts, no trial balance, no posting, no consolidation, no close beyond the period cutoff.",
GES-P10-REQ-027,General Ledger,configurable accounting dimensions,not_verified,no,not_met,"The dimensions this aspect names mostly exist as columns: company, project, cost code, equipment, customer and vendor all appear on the records they belong to, and divisions and offices exist above the project. They are fixed columns rather than dimensions: a company cannot add one, and nothing lets a figure be sliced by a dimension the schema did not anticipate. Subject not built: No journal entry, no chart of accounts, no trial balance, no posting, no consolidation, no close beyond the period cutoff.",
GES-P10-REQ-028,General Ledger,"duplicate, anomaly and policy-exception detection",not_verified,no,not_met,"Three-way match compares an invoice against its purchase order and delivery and refuses a mismatch, which is one policy exception detected well. Nothing detects a duplicate invoice, an anomalous cost, a missing required field on an otherwise valid record, or a policy exception of any other kind. Subject not built: No journal entry, no chart of accounts, no trial balance, no posting, no consolidation, no close beyond the period cutoff.",
GES-P10-REQ-029,General Ledger,"period controls, cutoff validation and posting-date governance",not_verified,no,met,"Subject not built: No journal entry, no chart of accounts, no trial balance, no posting, no consolidation, no close beyond the period cutoff.",
GES-P10-REQ-030,General Ledger,traceability from operational transaction to financial statement,not_verified,no,not_met,"The operational half of this chain is strong and tested: measured field production ties to a task, the task to the estimate line it was budgeted from, the line to the library rows that priced it through a snapshot, and cost to the same task. The financial half does not exist — there is no financial statement for anything to have an impact on. Subject not built: No journal entry, no chart of accounts, no trial balance, no posting, no consolidation, no close beyond the period cutoff.",
GES-P10-REQ-031,Accounts Payable,tenant-scoped records,verified,yes,met,,"Every financial table carries company_id with row level security enabled and forced, policies generated by two audited helpers rather than written by hand, and app.enforce_tenant_parent refusing a child row attached to a parent owned by another company. 460 database tests run against real PostgreSQL with two provisioned companies. Subject: AP invoices with three-way match against purchase order and delivery, vendor records, and now a posting-date cutoff."
GES-P10-REQ-032,Accounts Payable,configurable approval thresholds and routing,not_verified,yes,not_met,"Approval tiers exist and, since migration 0033, configurable per-company signing thresholds govern change orders, contracts and claim settlements. Nothing of the kind exists for financial records: a pay application is approved by anyone holding finance.write regardless of its value, and there is no routing — no sequence of approvers, no delegation, no escalation.",
GES-P10-REQ-033,Accounts Payable,immutable audit event for every action,not_verified,yes,not_met,"Create, update and delete are captured on every financial table by an append-only ledger recording prior and new state, and approve and post appear within it as updates. Export does not: nothing records that data left the platform, which is one of the seven actions this aspect names and the one an auditor asks about first. Reverse is not modeled as an action at all, because there is nothing to reverse.",
GES-P10-REQ-034,Accounts Payable,role-based and attribute-based access control,verified,yes,met,,"Role-based: named roles carry explicit permission arrays and an approval tier, checked by app.has_permission with wildcards honored only as the whole grant. Attribute-based: a membership's project_scope narrows a user to named projects, every policy predicates on the row's own company_id, and contracts are readable under finance.read while written under estimates.approve, so a role can draft one without seeing the portfolio's financial position. Subject: AP invoices with three-way match against purchase order and delivery, vendor records, and now a posting-date cutoff."
GES-P10-REQ-035,Accounts Payable,"effective dating, versioning and historical reconstruction",not_verified,yes,not_met,"Library rates carry effective dating and row history, estimates carry versions with pinned library snapshots, and plans now carry versions. No financial record does: a pay application, a job cost and a payable each have one current state and no history beyond the audit ledger, so a prior period cannot be reconstructed as it stood.",
GES-P10-REQ-036,Accounts Payable,source-to-ledger balance validation,not_verified,yes,not_met,"There is no ledger to balance to. Individual arithmetic is defended — a pay application cannot bill more than the contract sum plus approved changes, a work order's total is generated from its parts, an achieved production rate is a generated column — but no double entry exists and nothing can be unbalanced.",
GES-P10-REQ-037,Accounts Payable,configurable statuses and state transitions,not_verified,yes,not_met,"Statuses are explicit and constrained, and transitions are enforced — a pay application cannot leave draft without a submission timestamp, a claim cannot advance past potential without a notice date, an executed change order cannot move back. None of it is configurable: the states and the transitions are in the schema, and a company cannot add a review step of its own.",
GES-P10-REQ-038,Accounts Payable,governed APIs and event notifications,not_verified,yes,not_met,"Nine versioned endpoints sit behind a pure authorization function with one error shape, scoped API keys stored only as a hash, and an OpenAPI specification generated from the route table with drift failing the build — the API half is genuinely governed. The event half does not exist: there are no outbound webhooks and no event stream, so nothing outside the platform can be notified that a financial record changed.",
GES-P10-REQ-039,Accounts Payable,"dashboards, drill-downs and exportable reports",not_verified,yes,not_met,"Dashboards and drill-downs exist as screens over five reporting views, each with security_invoker so a view can never become the way around row level security. Export does not exist anywhere in the platform: no export permission, no export path, and nothing that records an export having happened — the same absence P28 recorded.",
GES-P10-REQ-040,Accounts Payable,"attachments, notes, evidence and source-document lineage",not_verified,yes,not_met,"Documents are versioned with supersession and a claim's citations are now integrity-checked against them. No financial record links to a document: an AP invoice cannot carry the invoice image it was entered from, and a pay application cannot carry the signed certificate. Lineage from a source document to a financial figure therefore stops at the operational record.",
GES-P10-REQ-041,Accounts Payable,multi-company and intercompany processing,not_verified,yes,not_met,"Multi-company is the platform's foundation: companies, enterprise groups, corporate standard libraries with company overrides, and a plan limit on how many companies a subscription carries. Intercompany processing is absent — nothing records a transaction between two companies in a group, and there is no elimination or reconciliation between them.",
GES-P10-REQ-042,Accounts Payable,configurable accounting dimensions,not_verified,yes,not_met,"The dimensions this aspect names mostly exist as columns: company, project, cost code, equipment, customer and vendor all appear on the records they belong to, and divisions and offices exist above the project. They are fixed columns rather than dimensions: a company cannot add one, and nothing lets a figure be sliced by a dimension the schema did not anticipate.",
GES-P10-REQ-043,Accounts Payable,"duplicate, anomaly and policy-exception detection",not_verified,yes,not_met,"Three-way match compares an invoice against its purchase order and delivery and refuses a mismatch, which is one policy exception detected well. Nothing detects a duplicate invoice, an anomalous cost, a missing required field on an otherwise valid record, or a policy exception of any other kind.",
GES-P10-REQ-044,Accounts Payable,"period controls, cutoff validation and posting-date governance",verified,yes,met,,"Migration 0034: non-overlapping accounting periods per company, enforced by an exclusion constraint so the closed-or-open answer never depends on which row was read first. Closing refuses to run over a pay application still in draft or submitted, and records who closed it and when; reopening requires an attributed reason. Postings into a closed period are refused, and so is moving an existing posting out of one, because the period total would change after it was reported either way. A company that has defined no periods is left alone rather than having a close invented for it. 20 tests. Subject: AP invoices with three-way match against purchase order and delivery, vendor records, and now a posting-date cutoff."
GES-P10-REQ-045,Accounts Payable,traceability from operational transaction to financial statement,not_verified,yes,not_met,"The operational half of this chain is strong and tested: measured field production ties to a task, the task to the estimate line it was budgeted from, the line to the library rows that priced it through a snapshot, and cost to the same task. The financial half does not exist — there is no financial statement for anything to have an impact on.",
GES-P10-REQ-046,Accounts Receivable,tenant-scoped records,not_verified,partial,met,"Subject partial: Pay applications bill the owner and record what was paid against them. There is no receivable of its own: no customer invoice separate from the pay application, no aging, no receipt application, no collections.",
GES-P10-REQ-047,Accounts Receivable,configurable approval thresholds and routing,not_verified,partial,not_met,"Approval tiers exist and, since migration 0033, configurable per-company signing thresholds govern change orders, contracts and claim settlements. Nothing of the kind exists for financial records: a pay application is approved by anyone holding finance.write regardless of its value, and there is no routing — no sequence of approvers, no delegation, no escalation. Subject partial: Pay applications bill the owner and record what was paid against them. There is no receivable of its own: no customer invoice separate from the pay application, no aging, no receipt application, no collections.",
GES-P10-REQ-048,Accounts Receivable,immutable audit event for every action,not_verified,partial,not_met,"Create, update and delete are captured on every financial table by an append-only ledger recording prior and new state, and approve and post appear within it as updates. Export does not: nothing records that data left the platform, which is one of the seven actions this aspect names and the one an auditor asks about first. Reverse is not modeled as an action at all, because there is nothing to reverse. Subject partial: Pay applications bill the owner and record what was paid against them. There is no receivable of its own: no customer invoice separate from the pay application, no aging, no receipt application, no collections.",
GES-P10-REQ-049,Accounts Receivable,role-based and attribute-based access control,not_verified,partial,met,"Subject partial: Pay applications bill the owner and record what was paid against them. There is no receivable of its own: no customer invoice separate from the pay application, no aging, no receipt application, no collections.",
GES-P10-REQ-050,Accounts Receivable,"effective dating, versioning and historical reconstruction",not_verified,partial,not_met,"Library rates carry effective dating and row history, estimates carry versions with pinned library snapshots, and plans now carry versions. No financial record does: a pay application, a job cost and a payable each have one current state and no history beyond the audit ledger, so a prior period cannot be reconstructed as it stood. Subject partial: Pay applications bill the owner and record what was paid against them. There is no receivable of its own: no customer invoice separate from the pay application, no aging, no receipt application, no collections.",
GES-P10-REQ-051,Accounts Receivable,source-to-ledger balance validation,not_verified,partial,not_met,"There is no ledger to balance to. Individual arithmetic is defended — a pay application cannot bill more than the contract sum plus approved changes, a work order's total is generated from its parts, an achieved production rate is a generated column — but no double entry exists and nothing can be unbalanced. Subject partial: Pay applications bill the owner and record what was paid against them. There is no receivable of its own: no customer invoice separate from the pay application, no aging, no receipt application, no collections.",
GES-P10-REQ-052,Accounts Receivable,configurable statuses and state transitions,not_verified,partial,not_met,"Statuses are explicit and constrained, and transitions are enforced — a pay application cannot leave draft without a submission timestamp, a claim cannot advance past potential without a notice date, an executed change order cannot move back. None of it is configurable: the states and the transitions are in the schema, and a company cannot add a review step of its own. Subject partial: Pay applications bill the owner and record what was paid against them. There is no receivable of its own: no customer invoice separate from the pay application, no aging, no receipt application, no collections.",
GES-P10-REQ-053,Accounts Receivable,governed APIs and event notifications,not_verified,partial,not_met,"Nine versioned endpoints sit behind a pure authorization function with one error shape, scoped API keys stored only as a hash, and an OpenAPI specification generated from the route table with drift failing the build — the API half is genuinely governed. The event half does not exist: there are no outbound webhooks and no event stream, so nothing outside the platform can be notified that a financial record changed. Subject partial: Pay applications bill the owner and record what was paid against them. There is no receivable of its own: no customer invoice separate from the pay application, no aging, no receipt application, no collections.",
GES-P10-REQ-054,Accounts Receivable,"dashboards, drill-downs and exportable reports",not_verified,partial,not_met,"Dashboards and drill-downs exist as screens over five reporting views, each with security_invoker so a view can never become the way around row level security. Export does not exist anywhere in the platform: no export permission, no export path, and nothing that records an export having happened — the same absence P28 recorded. Subject partial: Pay applications bill the owner and record what was paid against them. There is no receivable of its own: no customer invoice separate from the pay application, no aging, no receipt application, no collections.",
GES-P10-REQ-055,Accounts Receivable,"attachments, notes, evidence and source-document lineage",not_verified,partial,not_met,"Documents are versioned with supersession and a claim's citations are now integrity-checked against them. No financial record links to a document: an AP invoice cannot carry the invoice image it was entered from, and a pay application cannot carry the signed certificate. Lineage from a source document to a financial figure therefore stops at the operational record. Subject partial: Pay applications bill the owner and record what was paid against them. There is no receivable of its own: no customer invoice separate from the pay application, no aging, no receipt application, no collections.",
GES-P10-REQ-056,Accounts Receivable,multi-company and intercompany processing,not_verified,partial,not_met,"Multi-company is the platform's foundation: companies, enterprise groups, corporate standard libraries with company overrides, and a plan limit on how many companies a subscription carries. Intercompany processing is absent — nothing records a transaction between two companies in a group, and there is no elimination or reconciliation between them. Subject partial: Pay applications bill the owner and record what was paid against them. There is no receivable of its own: no customer invoice separate from the pay application, no aging, no receipt application, no collections.",
GES-P10-REQ-057,Accounts Receivable,configurable accounting dimensions,not_verified,partial,not_met,"The dimensions this aspect names mostly exist as columns: company, project, cost code, equipment, customer and vendor all appear on the records they belong to, and divisions and offices exist above the project. They are fixed columns rather than dimensions: a company cannot add one, and nothing lets a figure be sliced by a dimension the schema did not anticipate. Subject partial: Pay applications bill the owner and record what was paid against them. There is no receivable of its own: no customer invoice separate from the pay application, no aging, no receipt application, no collections.",
GES-P10-REQ-058,Accounts Receivable,"duplicate, anomaly and policy-exception detection",not_verified,partial,not_met,"Three-way match compares an invoice against its purchase order and delivery and refuses a mismatch, which is one policy exception detected well. Nothing detects a duplicate invoice, an anomalous cost, a missing required field on an otherwise valid record, or a policy exception of any other kind. Subject partial: Pay applications bill the owner and record what was paid against them. There is no receivable of its own: no customer invoice separate from the pay application, no aging, no receipt application, no collections.",
GES-P10-REQ-059,Accounts Receivable,"period controls, cutoff validation and posting-date governance",not_verified,partial,met,"Subject partial: Pay applications bill the owner and record what was paid against them. There is no receivable of its own: no customer invoice separate from the pay application, no aging, no receipt application, no collections.",
GES-P10-REQ-060,Accounts Receivable,traceability from operational transaction to financial statement,not_verified,partial,not_met,"The operational half of this chain is strong and tested: measured field production ties to a task, the task to the estimate line it was budgeted from, the line to the library rows that priced it through a snapshot, and cost to the same task. The financial half does not exist — there is no financial statement for anything to have an impact on. Subject partial: Pay applications bill the owner and record what was paid against them. There is no receivable of its own: no customer invoice separate from the pay application, no aging, no receipt application, no collections.",
GES-P10-REQ-061,Job Cost & WIP,tenant-scoped records,verified,yes,met,,"Every financial table carries company_id with row level security enabled and forced, policies generated by two audited helpers rather than written by hand, and app.enforce_tenant_parent refusing a child row attached to a parent owned by another company. 460 database tests run against real PostgreSQL with two provisioned companies. Subject: Cost by type and cost code against a project and a task, committed cost from purchase orders, budget from the awarded estimate, and a work-in-progress reporting view."
GES-P10-REQ-062,Job Cost & WIP,configurable approval thresholds and routing,not_verified,yes,not_met,"Approval tiers exist and, since migration 0033, configurable per-company signing thresholds govern change orders, contracts and claim settlements. Nothing of the kind exists for financial records: a pay application is approved by anyone holding finance.write regardless of its value, and there is no routing — no sequence of approvers, no delegation, no escalation.",
GES-P10-REQ-063,Job Cost & WIP,immutable audit event for every action,not_verified,yes,not_met,"Create, update and delete are captured on every financial table by an append-only ledger recording prior and new state, and approve and post appear within it as updates. Export does not: nothing records that data left the platform, which is one of the seven actions this aspect names and the one an auditor asks about first. Reverse is not modeled as an action at all, because there is nothing to reverse.",
GES-P10-REQ-064,Job Cost & WIP,role-based and attribute-based access control,verified,yes,met,,"Role-based: named roles carry explicit permission arrays and an approval tier, checked by app.has_permission with wildcards honored only as the whole grant. Attribute-based: a membership's project_scope narrows a user to named projects, every policy predicates on the row's own company_id, and contracts are readable under finance.read while written under estimates.approve, so a role can draft one without seeing the portfolio's financial position. Subject: Cost by type and cost code against a project and a task, committed cost from purchase orders, budget from the awarded estimate, and a work-in-progress reporting view."
GES-P10-REQ-065,Job Cost & WIP,"effective dating, versioning and historical reconstruction",not_verified,yes,not_met,"Library rates carry effective dating and row history, estimates carry versions with pinned library snapshots, and plans now carry versions. No financial record does: a pay application, a job cost and a payable each have one current state and no history beyond the audit ledger, so a prior period cannot be reconstructed as it stood.",
GES-P10-REQ-066,Job Cost & WIP,source-to-ledger balance validation,not_verified,yes,not_met,"There is no ledger to balance to. Individual arithmetic is defended — a pay application cannot bill more than the contract sum plus approved changes, a work order's total is generated from its parts, an achieved production rate is a generated column — but no double entry exists and nothing can be unbalanced.",
GES-P10-REQ-067,Job Cost & WIP,configurable statuses and state transitions,not_verified,yes,not_met,"Statuses are explicit and constrained, and transitions are enforced — a pay application cannot leave draft without a submission timestamp, a claim cannot advance past potential without a notice date, an executed change order cannot move back. None of it is configurable: the states and the transitions are in the schema, and a company cannot add a review step of its own.",
GES-P10-REQ-068,Job Cost & WIP,governed APIs and event notifications,not_verified,yes,not_met,"Nine versioned endpoints sit behind a pure authorization function with one error shape, scoped API keys stored only as a hash, and an OpenAPI specification generated from the route table with drift failing the build — the API half is genuinely governed. The event half does not exist: there are no outbound webhooks and no event stream, so nothing outside the platform can be notified that a financial record changed.",
GES-P10-REQ-069,Job Cost & WIP,"dashboards, drill-downs and exportable reports",not_verified,yes,not_met,"Dashboards and drill-downs exist as screens over five reporting views, each with security_invoker so a view can never become the way around row level security. Export does not exist anywhere in the platform: no export permission, no export path, and nothing that records an export having happened — the same absence P28 recorded.",
GES-P10-REQ-070,Job Cost & WIP,"attachments, notes, evidence and source-document lineage",not_verified,yes,not_met,"Documents are versioned with supersession and a claim's citations are now integrity-checked against them. No financial record links to a document: an AP invoice cannot carry the invoice image it was entered from, and a pay application cannot carry the signed certificate. Lineage from a source document to a financial figure therefore stops at the operational record.",
GES-P10-REQ-071,Job Cost & WIP,multi-company and intercompany processing,not_verified,yes,not_met,"Multi-company is the platform's foundation: companies, enterprise groups, corporate standard libraries with company overrides, and a plan limit on how many companies a subscription carries. Intercompany processing is absent — nothing records a transaction between two companies in a group, and there is no elimination or reconciliation between them.",
GES-P10-REQ-072,Job Cost & WIP,configurable accounting dimensions,not_verified,yes,not_met,"The dimensions this aspect names mostly exist as columns: company, project, cost code, equipment, customer and vendor all appear on the records they belong to, and divisions and offices exist above the project. They are fixed columns rather than dimensions: a company cannot add one, and nothing lets a figure be sliced by a dimension the schema did not anticipate.",
GES-P10-REQ-073,Job Cost & WIP,"duplicate, anomaly and policy-exception detection",not_verified,yes,not_met,"Three-way match compares an invoice against its purchase order and delivery and refuses a mismatch, which is one policy exception detected well. Nothing detects a duplicate invoice, an anomalous cost, a missing required field on an otherwise valid record, or a policy exception of any other kind.",
GES-P10-REQ-074,Job Cost & WIP,"period controls, cutoff validation and posting-date governance",verified,yes,met,,"Migration 0034: non-overlapping accounting periods per company, enforced by an exclusion constraint so the closed-or-open answer never depends on which row was read first. Closing refuses to run over a pay application still in draft or submitted, and records who closed it and when; reopening requires an attributed reason. Postings into a closed period are refused, and so is moving an existing posting out of one, because the period total would change after it was reported either way. A company that has defined no periods is left alone rather than having a close invented for it. 20 tests. Subject: Cost by type and cost code against a project and a task, committed cost from purchase orders, budget from the awarded estimate, and a work-in-progress reporting view."
GES-P10-REQ-075,Job Cost & WIP,traceability from operational transaction to financial statement,not_verified,yes,not_met,"The operational half of this chain is strong and tested: measured field production ties to a task, the task to the estimate line it was budgeted from, the line to the library rows that priced it through a snapshot, and cost to the same task. The financial half does not exist — there is no financial statement for anything to have an impact on.",
GES-P10-REQ-076,Construction Billing,tenant-scoped records,verified,yes,met,,"Every financial table carries company_id with row level security enabled and forced, policies generated by two audited helpers rather than written by hand, and app.enforce_tenant_parent refusing a child row attached to a parent owned by another company. 460 database tests run against real PostgreSQL with two provisioned companies. Subject: Schedule of values, AIA G702 pay applications with cumulative-to-date arithmetic, retainage at the contract percentage, and a certified application that cannot be edited."
GES-P10-REQ-077,Construction Billing,configurable approval thresholds and routing,not_verified,yes,not_met,"Approval tiers exist and, since migration 0033, configurable per-company signing thresholds govern change orders, contracts and claim settlements. Nothing of the kind exists for financial records: a pay application is approved by anyone holding finance.write regardless of its value, and there is no routing — no sequence of approvers, no delegation, no escalation.",
