requirement_id,test_id,control_id,ui_id,status
P21-REQ-028,P21-TST-028,P21-CTRL-004,P21-UI-010,Mapped
P21-REQ-029,P21-TST-029,P21-CTRL-005,P21-UI-011,Mapped
P21-REQ-030,P21-TST-030,P21-CTRL-006,P21-UI-012,Mapped
P21-REQ-031,P21-TST-031,P21-CTRL-007,P21-UI-013,Mapped
P21-REQ-032,P21-TST-032,P21-CTRL-008,P21-UI-014,Mapped
P21-REQ-033,P21-TST-033,P21-CTRL-009,P21-UI-015,Mapped
P21-REQ-034,P21-TST-034,P21-CTRL-010,P21-UI-016,Mapped
P21-REQ-035,P21-TST-035,P21-CTRL-011,P21-UI-017,Mapped
P21-REQ-036,P21-TST-036,P21-CTRL-012,P21-UI-018,Mapped
P21-REQ-037,P21-TST-037,P21-CTRL-013,P21-UI-001,Mapped
P21-REQ-038,P21-TST-038,P21-CTRL-014,P21-UI-002,Mapped
P21-REQ-039,P21-TST-039,P21-CTRL-015,P21-UI-003,Mapped
P21-REQ-040,P21-TST-040,P21-CTRL-016,P21-UI-004,Mapped
P21-REQ-041,P21-TST-041,P21-CTRL-017,P21-UI-005,Mapped
P21-REQ-042,P21-TST-042,P21-CTRL-018,P21-UI-006,Mapped
P21-REQ-043,P21-TST-043,P21-CTRL-019,P21-UI-007,Mapped
P21-REQ-044,P21-TST-044,P21-CTRL-020,P21-UI-008,Mapped
P21-REQ-045,P21-TST-045,P21-CTRL-021,P21-UI-009,Mapped
P21-REQ-046,P21-TST-046,P21-CTRL-022,P21-UI-010,Mapped
P21-REQ-047,P21-TST-047,P21-CTRL-023,P21-UI-011,Mapped
P21-REQ-048,P21-TST-048,P21-CTRL-024,P21-UI-012,Mapped
P21-REQ-049,P21-TST-049,P21-CTRL-001,P21-UI-013,Mapped
P21-REQ-050,P21-TST-050,P21-CTRL-002,P21-UI-014,Mapped
P21-REQ-051,P21-TST-051,P21-CTRL-003,P21-UI-015,Mapped
P21-REQ-052,P21-TST-052,P21-CTRL-004,P21-UI-016,Mapped
P21-REQ-053,P21-TST-053,P21-CTRL-005,P21-UI-017,Mapped
P21-REQ-054,P21-TST-054,P21-CTRL-006,P21-UI-018,Mapped
P21-REQ-055,P21-TST-055,P21-CTRL-007,P21-UI-001,Mapped
P21-REQ-056,P21-TST-056,P21-CTRL-008,P21-UI-002,Mapped
P21-REQ-057,P21-TST-057,P21-CTRL-009,P21-UI-003,Mapped
P21-REQ-058,P21-TST-058,P21-CTRL-010,P21-UI-004,Mapped
P21-REQ-059,P21-TST-059,P21-CTRL-011,P21-UI-005,Mapped
P21-REQ-060,P21-TST-060,P21-CTRL-012,P21-UI-006,Mapped
P21-REQ-061,P21-TST-061,P21-CTRL-013,P21-UI-007,Mapped
P21-REQ-062,P21-TST-062,P21-CTRL-014,P21-UI-008,Mapped
P21-REQ-063,P21-TST-063,P21-CTRL-015,P21-UI-009,Mapped
P21-REQ-064,P21-TST-064,P21-CTRL-016,P21-UI-010,Mapped
P21-REQ-065,P21-TST-065,P21-CTRL-017,P21-UI-011,Mapped
P21-REQ-066,P21-TST-066,P21-CTRL-018,P21-UI-012,Mapped
P21-REQ-067,P21-TST-067,P21-CTRL-019,P21-UI-013,Mapped
P21-REQ-068,P21-TST-068,P21-CTRL-020,P21-UI-014,Mapped
P21-REQ-069,P21-TST-069,P21-CTRL-021,P21-UI-015,Mapped
P21-REQ-070,P21-TST-070,P21-CTRL-022,P21-UI-016,Mapped
P21-REQ-071,P21-TST-071,P21-CTRL-023,P21-UI-017,Mapped
P21-REQ-072,P21-TST-072,P21-CTRL-024,P21-UI-018,Mapped
P21-REQ-073,P21-TST-073,P21-CTRL-001,P21-UI-001,Mapped
P21-REQ-074,P21-TST-074,P21-CTRL-002,P21-UI-002,Mapped
P21-REQ-075,P21-TST-075,P21-CTRL-003,P21-UI-003,Mapped
P21-REQ-076,P21-TST-076,P21-CTRL-004,P21-UI-004,Mapped
P21-REQ-077,P21-TST-077,P21-CTRL-005,P21-UI-005,Mapped
P21-REQ-078,P21-TST-078,P21-CTRL-006,P21-UI-006,Mapped
P21-REQ-079,P21-TST-079,P21-CTRL-007,P21-UI-007,Mapped
P21-REQ-080,P21-TST-080,P21-CTRL-008,P21-UI-008,Mapped
P21-REQ-081,P21-TST-081,P21-CTRL-009,P21-UI-009,Mapped
P21-REQ-082,P21-TST-082,P21-CTRL-010,P21-UI-010,Mapped
P21-REQ-083,P21-TST-083,P21-CTRL-011,P21-UI-011,Mapped
P21-REQ-084,P21-TST-084,P21-CTRL-012,P21-UI-012,Mapped
P21-REQ-085,P21-TST-085,P21-CTRL-013,P21-UI-013,Mapped
P21-REQ-086,P21-TST-086,P21-CTRL-014,P21-UI-014,Mapped
P21-REQ-087,P21-TST-087,P21-CTRL-015,P21-UI-015,Mapped
P21-REQ-088,P21-TST-088,P21-CTRL-016,P21-UI-016,Mapped
P21-REQ-089,P21-TST-089,P21-CTRL-017,P21-UI-017,Mapped
P21-REQ-090,P21-TST-090,P21-CTRL-018,P21-UI-018,Mapped
P21-REQ-091,P21-TST-091,P21-CTRL-019,P21-UI-001,Mapped
P21-REQ-092,P21-TST-092,P21-CTRL-020,P21-UI-002,Mapped
P21-REQ-093,P21-TST-093,P21-CTRL-021,P21-UI-003,Mapped
P21-REQ-094,P21-TST-094,P21-CTRL-022,P21-UI-004,Mapped
P21-REQ-095,P21-TST-095,P21-CTRL-023,P21-UI-005,Mapped
P21-REQ-096,P21-TST-096,P21-CTRL-024,P21-UI-006,Mapped
P21-REQ-097,P21-TST-097,P21-CTRL-001,P21-UI-007,Mapped
P21-REQ-098,P21-TST-098,P21-CTRL-002,P21-UI-008,Mapped
P21-REQ-099,P21-TST-099,P21-CTRL-003,P21-UI-009,Mapped
P21-REQ-100,P21-TST-100,P21-CTRL-004,P21-UI-010,Mapped
P21-REQ-101,P21-TST-101,P21-CTRL-005,P21-UI-011,Mapped
P21-REQ-102,P21-TST-102,P21-CTRL-006,P21-UI-012,Mapped
P21-REQ-103,P21-TST-103,P21-CTRL-007,P21-UI-013,Mapped
P21-REQ-104,P21-TST-104,P21-CTRL-008,P21-UI-014,Mapped
P21-REQ-105,P21-TST-105,P21-CTRL-009,P21-UI-015,Mapped
P21-REQ-106,P21-TST-106,P21-CTRL-010,P21-UI-016,Mapped
P21-REQ-107,P21-TST-107,P21-CTRL-011,P21-UI-017,Mapped
P21-REQ-108,P21-TST-108,P21-CTRL-012,P21-UI-018,Mapped
P21-REQ-109,P21-TST-109,P21-CTRL-013,P21-UI-001,Mapped
P21-REQ-110,P21-TST-110,P21-CTRL-014,P21-UI-002,Mapped
P21-REQ-111,P21-TST-111,P21-CTRL-015,P21-UI-003,Mapped
P21-REQ-112,P21-TST-112,P21-CTRL-016,P21-UI-004,Mapped
P21-REQ-113,P21-TST-113,P21-CTRL-017,P21-UI-005,Mapped
P21-REQ-114,P21-TST-114,P21-CTRL-018,P21-UI-006,Mapped
P21-REQ-115,P21-TST-115,P21-CTRL-019,P21-UI-007,Mapped
P21-REQ-116,P21-TST-116,P21-CTRL-020,P21-UI-008,Mapped
P21-REQ-117,P21-TST-117,P21-CTRL-021,P21-UI-009,Mapped
P21-REQ-118,P21-TST-118,P21-CTRL-022,P21-UI-010,Mapped
P21-REQ-119,P21-TST-119,P21-CTRL-023,P21-UI-011,Mapped
P21-REQ-120,P21-TST-120,P21-CTRL-024,P21-UI-012,Mapped
P21-REQ-121,P21-TST-121,P21-CTRL-001,P21-UI-013,Mapped
P21-REQ-122,P21-TST-122,P21-CTRL-002,P21-UI-014,Mapped
P21-REQ-123,P21-TST-123,P21-CTRL-003,P21-UI-015,Mapped
P21-REQ-124,P21-TST-124,P21-CTRL-004,P21-UI-016,Mapped
P21-REQ-125,P21-TST-125,P21-CTRL-005,P21-UI-017,Mapped
P21-REQ-126,P21-TST-126,P21-CTRL-006,P21-UI-018,Mapped
P21-REQ-127,P21-TST-127,P21-CTRL-007,P21-UI-001,Mapped
P21-REQ-128,P21-TST-128,P21-CTRL-008,P21-UI-002,Mapped
P21-REQ-129,P21-TST-129,P21-CTRL-009,P21-UI-003,Mapped
P21-REQ-130,P21-TST-130,P21-CTRL-010,P21-UI-004,Mapped
P21-REQ-131,P21-TST-131,P21-CTRL-011,P21-UI-005,Mapped
P21-REQ-132,P21-TST-132,P21-CTRL-012,P21-UI-006,Mapped
P21-REQ-133,P21-TST-133,P21-CTRL-013,P21-UI-007,Mapped
P21-REQ-134,P21-TST-134,P21-CTRL-014,P21-UI-008,Mapped
P21-REQ-135,P21-TST-135,P21-CTRL-015,P21-UI-009,Mapped
P21-REQ-136,P21-TST-136,P21-CTRL-016,P21-UI-010,Mapped
P21-REQ-137,P21-TST-137,P21-CTRL-017,P21-UI-011,Mapped
P21-REQ-138,P21-TST-138,P21-CTRL-018,P21-UI-012,Mapped
P21-REQ-139,P21-TST-139,P21-CTRL-019,P21-UI-013,Mapped
P21-REQ-140,P21-TST-140,P21-CTRL-020,P21-UI-014,Mapped
P21-REQ-141,P21-TST-141,P21-CTRL-021,P21-UI-015,Mapped
P21-REQ-142,P21-TST-142,P21-CTRL-022,P21-UI-016,Mapped
P21-REQ-143,P21-TST-143,P21-CTRL-023,P21-UI-017,Mapped
P21-REQ-144,P21-TST-144,P21-CTRL-024,P21-UI-018,Mapped
P21-REQ-145,P21-TST-145,P21-CTRL-001,P21-UI-001,Mapped
P21-REQ-146,P21-TST-146,P21-CTRL-002,P21-UI-002,Mapped
P21-REQ-147,P21-TST-147,P21-CTRL-003,P21-UI-003,Mapped
P21-REQ-148,P21-TST-148,P21-CTRL-004,P21-UI-004,Mapped
P21-REQ-149,P21-TST-149,P21-CTRL-005,P21-UI-005,Mapped
P21-REQ-150,P21-TST-150,P21-CTRL-006,P21-UI-006,Mapped
P21-REQ-151,P21-TST-151,P21-CTRL-007,P21-UI-007,Mapped
P21-REQ-152,P21-TST-152,P21-CTRL-008,P21-UI-008,Mapped
P21-REQ-153,P21-TST-153,P21-CTRL-009,P21-UI-009,Mapped
P21-REQ-154,P21-TST-154,P21-CTRL-010,P21-UI-010,Mapped
P21-REQ-155,P21-TST-155,P21-CTRL-011,P21-UI-011,Mapped
P21-REQ-156,P21-TST-156,P21-CTRL-012,P21-UI-012,Mapped
P21-REQ-157,P21-TST-157,P21-CTRL-013,P21-UI-013,Mapped
P21-REQ-158,P21-TST-158,P21-CTRL-014,P21-UI-014,Mapped
P21-REQ-159,P21-TST-159,P21-CTRL-015,P21-UI-015,Mapped
P21-REQ-160,P21-TST-160,P21-CTRL-016,P21-UI-016,Mapped
P21-REQ-161,P21-TST-161,P21-CTRL-017,P21-UI-017,Mapped
P21-REQ-162,P21-TST-162,P21-CTRL-018,P21-UI-018,Mapped
P21-REQ-163,P21-TST-163,P21-CTRL-019,P21-UI-001,Mapped
P21-REQ-164,P21-TST-164,P21-CTRL-020,P21-UI-002,Mapped
P21-REQ-165,P21-TST-165,P21-CTRL-021,P21-UI-003,Mapped
P21-REQ-166,P21-TST-166,P21-CTRL-022,P21-UI-004,Mapped
P21-REQ-167,P21-TST-167,P21-CTRL-023,P21-UI-005,Mapped
P21-REQ-168,P21-TST-168,P21-CTRL-024,P21-UI-006,Mapped
P21-REQ-169,P21-TST-169,P21-CTRL-001,P21-UI-007,Mapped
P21-REQ-170,P21-TST-170,P21-CTRL-002,P21-UI-008,Mapped
P21-REQ-171,P21-TST-171,P21-CTRL-003,P21-UI-009,Mapped
P21-REQ-172,P21-TST-172,P21-CTRL-004,P21-UI-010,Mapped
P21-REQ-173,P21-TST-173,P21-CTRL-005,P21-UI-011,Mapped
P21-REQ-174,P21-TST-174,P21-CTRL-006,P21-UI-012,Mapped
P21-REQ-175,P21-TST-175,P21-CTRL-007,P21-UI-013,Mapped
P21-REQ-176,P21-TST-176,P21-CTRL-008,P21-UI-014,Mapped
P21-REQ-177,P21-TST-177,P21-CTRL-009,P21-UI-015,Mapped
P21-REQ-178,P21-TST-178,P21-CTRL-010,P21-UI-016,Mapped
P21-REQ-179,P21-TST-179,P21-CTRL-011,P21-UI-017,Mapped
P21-REQ-180,P21-TST-180,P21-CTRL-012,P21-UI-018,Mapped
