phase,phase_title,entity_id,name,domain,definition,key,governance
03,Enterprise Data Model,ENT-P03-013,ContactPoint,Party & Relationship,"Email, phone, website, or messaging contact",,
03,Enterprise Data Model,ENT-P03-014,Address,Party & Relationship,Postal and physical address,,
03,Enterprise Data Model,ENT-P03-015,PartyRelationship,Party & Relationship,Typed relationship between parties,,
03,Enterprise Data Model,ENT-P03-016,CustomerAccount,Party & Relationship,Commercial customer account,,
03,Enterprise Data Model,ENT-P03-017,VendorAccount,Party & Relationship,Supplier or subcontractor account,,
03,Enterprise Data Model,ENT-P03-018,EmployeeProfile,Party & Relationship,Employment profile linked to a person,,
03,Enterprise Data Model,ENT-P03-019,Qualification,Safety & Quality,"Certification, license, training, or competency",,
03,Enterprise Data Model,ENT-P03-020,Opportunity,Work & Delivery,Potential work or revenue pursuit,,
03,Enterprise Data Model,ENT-P03-021,Estimate,Work & Delivery,Versioned cost and price model,,
03,Enterprise Data Model,ENT-P03-022,EstimateVersion,Work & Delivery,Immutable estimate revision,,
03,Enterprise Data Model,ENT-P03-023,EstimateLine,Work & Delivery,"Detailed quantity, resource, cost, and price line",,
03,Enterprise Data Model,ENT-P03-024,Proposal,Work & Delivery,Customer-facing offer,,
03,Enterprise Data Model,ENT-P03-025,Contract,Work & Delivery,Executed agreement governing work,,
03,Enterprise Data Model,ENT-P03-026,WorkOrder,Work & Delivery,Authorized work package,,
03,Enterprise Data Model,ENT-P03-027,Task,Work & Delivery,Assignable unit of work,,
03,Enterprise Data Model,ENT-P03-028,ScheduleActivity,Work & Delivery,"Planned activity with dates, logic, and progress",,
03,Enterprise Data Model,ENT-P03-029,DailyReport,Work & Delivery,Daily field production and condition record,,
03,Enterprise Data Model,ENT-P03-030,ApprovalRequest,Work & Delivery,Governed approval case,,
03,Enterprise Data Model,ENT-P03-031,ApprovalDecision,Work & Delivery,Recorded approval outcome,,
03,Enterprise Data Model,ENT-P03-032,LaborResource,Resources,Labor classification or person capacity,,
03,Enterprise Data Model,ENT-P03-033,Crew,Resources,Reusable group of labor and equipment,,
03,Enterprise Data Model,ENT-P03-034,CrewMember,Resources,Crew membership with role and effective dates,,
03,Enterprise Data Model,ENT-P03-035,EquipmentAsset,Resources,"Owned, leased, or rented equipment",,
03,Enterprise Data Model,ENT-P03-036,FleetVehicle,Resources,Road-licensed fleet vehicle,,
03,Enterprise Data Model,ENT-P03-037,MaterialItem,Resources,Material catalog item,,
03,Enterprise Data Model,ENT-P03-038,ServiceItem,Resources,Service catalog item,,
03,Enterprise Data Model,ENT-P03-039,ResourceRate,Resources,"Effective labor, equipment, material, or service rate",,
03,Enterprise Data Model,ENT-P03-040,VendorQuote,Resources,Vendor-specific quote and terms,,
03,Enterprise Data Model,ENT-P03-041,CostCode,Financial,Standard cost classification,,
03,Enterprise Data Model,ENT-P03-042,Budget,Financial,Approved financial plan,,
03,Enterprise Data Model,ENT-P03-043,BudgetLine,Financial,"Budget amount by cost, period, or work scope",,
03,Enterprise Data Model,ENT-P03-044,Commitment,Financial,"Purchase order, subcontract, or committed cost",,
03,Enterprise Data Model,ENT-P03-045,Invoice,Financial,Receivable or payable invoice,,
03,Enterprise Data Model,ENT-P03-046,Payment,Financial,Money received or paid,,
03,Enterprise Data Model,ENT-P03-047,CostTransaction,Financial,"Actual, accrued, committed, or forecast cost",,
03,Enterprise Data Model,ENT-P03-048,TaxDefinition,Financial,Tax rule and jurisdiction,,
03,Enterprise Data Model,ENT-P03-049,CurrencyRate,Financial,Versioned exchange rate,,
03,Enterprise Data Model,ENT-P03-050,Document,Documents & Records,Logical document record,,
03,Enterprise Data Model,ENT-P03-051,DocumentVersion,Documents & Records,Immutable document content version,,
03,Enterprise Data Model,ENT-P03-052,AttachmentLink,Documents & Records,Link between a document and business object,,
03,Enterprise Data Model,ENT-P03-053,RecordClassification,Documents & Records,"Security, retention, and handling classification",,
03,Enterprise Data Model,ENT-P03-054,ElectronicSignature,Documents & Records,Signature evidence and status,,
03,Enterprise Data Model,ENT-P03-055,Site,Location & Spatial,Project or customer site,,
03,Enterprise Data Model,ENT-P03-056,Parcel,Location & Spatial,Property or land parcel reference,,
03,Enterprise Data Model,ENT-P03-057,SpatialReference,Location & Spatial,Coordinate reference system,,
03,Enterprise Data Model,ENT-P03-058,GeometryReference,Location & Spatial,Stored or linked geometry representation,,
03,Enterprise Data Model,ENT-P03-059,StationRange,Location & Spatial,Linear stationing interval,,
03,Enterprise Data Model,ENT-P03-060,Jurisdiction,Location & Spatial,Governing geographic authority,,
03,Enterprise Data Model,ENT-P03-061,SafetyIncident,Safety & Quality,Safety or environmental incident,,
03,Enterprise Data Model,ENT-P03-062,Inspection,Safety & Quality,Structured inspection event,,
03,Enterprise Data Model,ENT-P03-063,Observation,Safety & Quality,"Safety, quality, or field observation",,
03,Enterprise Data Model,ENT-P03-064,CorrectiveAction,Safety & Quality,Action to resolve a finding,,
03,Enterprise Data Model,ENT-P03-065,Permit,Safety & Quality,"Permit, authorization, or compliance record",,
03,Enterprise Data Model,ENT-P03-066,AIAgent,AI & Automation,Governed AI agent definition,,
03,Enterprise Data Model,ENT-P03-067,AIExecution,AI & Automation,Single AI execution record,,
03,Enterprise Data Model,ENT-P03-068,AIRecommendation,AI & Automation,Structured AI recommendation,,
03,Enterprise Data Model,ENT-P03-069,AIWriteback,AI & Automation,Proposed or completed AI data change,,
03,Enterprise Data Model,ENT-P03-070,FeedbackRecord,AI & Automation,Human or outcome feedback on AI/system output,,
03,Enterprise Data Model,ENT-P03-071,ExternalIdentifier,Integration & Audit,Identifier from another system,,
03,Enterprise Data Model,ENT-P03-072,SourceSystem,Integration & Audit,External or legacy system definition,,
03,Enterprise Data Model,ENT-P03-073,DataMapping,Integration & Audit,Field and value mapping specification,,
03,Enterprise Data Model,ENT-P03-074,ImportBatch,Integration & Audit,Governed data import,,
03,Enterprise Data Model,ENT-P03-075,DomainEvent,Integration & Audit,Versioned business or platform event,,
03,Enterprise Data Model,ENT-P03-076,DataLineage,Integration & Audit,Origin and transformation lineage,,
03,Enterprise Data Model,ENT-P03-077,ChangeRecord,Integration & Audit,Versioned record change metadata,,
03,Enterprise Data Model,ENT-P03-078,AuditEvent,Integration & Audit,Immutable actor-action-object audit event,,
03,Enterprise Data Model,ENT-P03-079,ReferenceSet,Foundation,Governed code and lookup collection,,
03,Enterprise Data Model,ENT-P03-080,ReferenceValue,Foundation,Effective-dated lookup value,,
03,Enterprise Data Model,ENT-P03-081,CustomFieldDefinition,Foundation,Tenant-governed extensible field,,
03,Enterprise Data Model,ENT-P03-082,CustomFieldValue,Foundation,Typed custom field value,,
05,Estimating Cost Intelligence,,Estimate,,"A governed pricing package for one project, opportunity or scenario.",,
05,Estimating Cost Intelligence,,EstimateVersion,,Immutable snapshot of an estimate at a point in time.,,
05,Estimating Cost Intelligence,,EstimateSection,,Hierarchical grouping of estimate content.,,
05,Estimating Cost Intelligence,,EstimateLine,,"Priced work item with quantity, unit, cost and sell calculations.",,
05,Estimating Cost Intelligence,,EstimateAlternate,,Optional or comparative scope scenario.,,
05,Estimating Cost Intelligence,,EstimateAssumption,,Explicit assumption linked to affected calculations.,,
05,Estimating Cost Intelligence,,EstimateExclusion,,Explicitly excluded scope.,,
05,Estimating Cost Intelligence,,QuantityRecord,,Measured or calculated quantity with source lineage.,,
05,Estimating Cost Intelligence,,TakeoffDocument,,Plan/spec/source file used for takeoff.,,
05,Estimating Cost Intelligence,,TakeoffMeasurement,,Geometry and calculated quantity from a takeoff source.,,
05,Estimating Cost Intelligence,,TakeoffRevisionComparison,,Change comparison between document revisions.,,
05,Estimating Cost Intelligence,,Assembly,,Reusable work package composed of resources and formulas.,,
05,Estimating Cost Intelligence,,AssemblyComponent,,"Labor, equipment, material, subcontract or other component.",,
05,Estimating Cost Intelligence,,ProductionRate,,Output per time with context and confidence.,,
05,Estimating Cost Intelligence,,ProductionConditionFactor,,"Adjustment for weather, access, soil, phasing and other conditions.",,
05,Estimating Cost Intelligence,,CrewTemplate,,Reusable labor/equipment crew configuration.,,
05,Estimating Cost Intelligence,,LaborRate,,Base wage and burden components.,,
05,Estimating Cost Intelligence,,EquipmentRate,,Owned or rental rate and operating cost components.,,
05,Estimating Cost Intelligence,,MaterialPrice,,"Material unit cost, vendor, freight and effective period.",,
05,Estimating Cost Intelligence,,VendorQuote,,Time-bound supplier or subcontractor quote.,,
05,Estimating Cost Intelligence,,TruckCycle,,Haul cycle inputs and calculated cycle time.,,
05,Estimating Cost Intelligence,,DisposalRate,,Facility fee and acceptance constraints.,,
05,Estimating Cost Intelligence,,FuelPrice,,"Fuel price by type, location and effective period.",,
05,Estimating Cost Intelligence,,MarkupProfile,,Ordered markup and margin rules.,,
05,Estimating Cost Intelligence,,RegionalFactor,,Location adjustment by cost class and effective period.,,
05,Estimating Cost Intelligence,,RiskItem,,"Estimate risk, probability, impact and mitigation.",,
05,Estimating Cost Intelligence,,Scenario,,Alternative set of inputs and outcomes.,,
05,Estimating Cost Intelligence,,SensitivityRun,,Impact of selected input changes.,,
05,Estimating Cost Intelligence,,MonteCarloRun,,Probabilistic simulation configuration and outcomes.,,
05,Estimating Cost Intelligence,,AIRecommendation,,"Explainable AI proposal with evidence, confidence and disposition.",,
05,Estimating Cost Intelligence,,CalculationTrace,,Input-to-output lineage for every computed value.,,
05,Estimating Cost Intelligence,,ApprovalStep,,"Approval stage, assignee, decision and comments.",,
05,Estimating Cost Intelligence,,TenantEstimateConfiguration,,"Tenant-specific settings, terminology and defaults.",,
05,Estimating Cost Intelligence,,WhiteLabelConfiguration,,"Brand, domain, templates, sender identity and OEM settings.",,
05,Estimating Cost Intelligence,,CustomFieldDefinition,,No-code custom field definition.,,
05,Estimating Cost Intelligence,,CustomWorkflowDefinition,,No-code estimate workflow definition.,,
05,Estimating Cost Intelligence,,ActualProductionRecord,,"Field-reported actual quantities, hours and resource usage.",,
05,Estimating Cost Intelligence,,CalibrationRecord,,Approved adjustment from historical actuals.,,
05,Estimating Cost Intelligence,,EstimateTemplate,,Reusable estimate structure and defaults.,,
05,Estimating Cost Intelligence,,CostCodeMapping,,"Mapping to accounting, ERP, CSI, DOT or tenant codes.",,
06,AI Construction Intelligence,AI-ENT-001,AI Agent,,,,
06,AI Construction Intelligence,AI-ENT-002,Agent Version,,,,
06,AI Construction Intelligence,AI-ENT-003,Agent Capability,,,,
06,AI Construction Intelligence,AI-ENT-004,Agent Tool Permission,,,,
06,AI Construction Intelligence,AI-ENT-005,Prompt Template,,,,
06,AI Construction Intelligence,AI-ENT-006,Prompt Version,,,,
06,AI Construction Intelligence,AI-ENT-007,Model Profile,,,,
06,AI Construction Intelligence,AI-ENT-008,Model Routing Rule,,,,
06,AI Construction Intelligence,AI-ENT-009,Knowledge Source,,,,
06,AI Construction Intelligence,AI-ENT-010,Knowledge Document,,,,
06,AI Construction Intelligence,AI-ENT-011,Document Chunk,,,,
06,AI Construction Intelligence,AI-ENT-012,Embedding Record,,,,
06,AI Construction Intelligence,AI-ENT-013,Knowledge Graph Node,,,,
06,AI Construction Intelligence,AI-ENT-014,Knowledge Graph Edge,,,,
06,AI Construction Intelligence,AI-ENT-015,AI Conversation,,,,
06,AI Construction Intelligence,AI-ENT-016,AI Message,,,,
06,AI Construction Intelligence,AI-ENT-017,AI Task,,,,
06,AI Construction Intelligence,AI-ENT-018,AI Task Step,,,,
06,AI Construction Intelligence,AI-ENT-019,Tool Invocation,,,,
06,AI Construction Intelligence,AI-ENT-020,AI Recommendation,,,,
06,AI Construction Intelligence,AI-ENT-021,AI Assumption,,,,
06,AI Construction Intelligence,AI-ENT-022,AI Citation,,,,
06,AI Construction Intelligence,AI-ENT-023,AI Confidence Assessment,,,,
06,AI Construction Intelligence,AI-ENT-024,Human Approval,,,,
06,AI Construction Intelligence,AI-ENT-025,AI Feedback,,,,
06,AI Construction Intelligence,AI-ENT-026,Evaluation Suite,,,,
06,AI Construction Intelligence,AI-ENT-027,Evaluation Case,,,,
06,AI Construction Intelligence,AI-ENT-028,Evaluation Result,,,,
06,AI Construction Intelligence,AI-ENT-029,Guardrail Policy,,,,
06,AI Construction Intelligence,AI-ENT-030,AI Incident,,,,
06,AI Construction Intelligence,AI-ENT-031,AI Audit Event,,,,
06,AI Construction Intelligence,AI-ENT-032,Memory Record,,,,
06,AI Construction Intelligence,AI-ENT-033,Tenant AI Configuration,,,,
06,AI Construction Intelligence,AI-ENT-034,White-label AI Persona,,,,
06,AI Construction Intelligence,AI-ENT-035,AI Usage Meter,,,,
06,AI Construction Intelligence,AI-ENT-036,AI Cost Ledger,,,,
06,AI Construction Intelligence,AI-ENT-037,AI Marketplace Package,,,,
06,AI Construction Intelligence,AI-ENT-038,Agent Deployment,,,,
06,AI Construction Intelligence,AI-ENT-039,AI Data Retention Policy,,,,
06,AI Construction Intelligence,AI-ENT-040,AI Consent Record,,,,
07,Enterprise Project Management,P07-ENT-001,Project,,"Core project identity, hierarchy, organization, location, lifecycle, and governance",,
07,Enterprise Project Management,P07-ENT-002,ProjectPhase,,Governed project lifecycle phase and gate status,,
07,Enterprise Project Management,P07-ENT-003,ProjectParticipant,,Internal or external stakeholder role and access,,
07,Enterprise Project Management,P07-ENT-004,ProjectRoleAssignment,,Time-bounded role assignment for a project,,
07,Enterprise Project Management,P07-ENT-005,ProjectCalendar,,"Working calendars, holidays, shifts, and exceptions",,
07,Enterprise Project Management,P07-ENT-006,WBSNode,,Work breakdown structure node,,
07,Enterprise Project Management,P07-ENT-007,CostCode,,Project cost classification mapped to master registry,,
07,Enterprise Project Management,P07-ENT-008,BudgetLine,,"Original, revised, committed, actual, forecast, and variance values",,
07,Enterprise Project Management,P07-ENT-009,BudgetRevision,,Approved budget transfer or change,,
07,Enterprise Project Management,P07-ENT-010,Schedule,,Project schedule container and version,,
07,Enterprise Project Management,P07-ENT-011,ScheduleBaseline,,Approved schedule baseline snapshot,,
07,Enterprise Project Management,P07-ENT-012,ScheduleActivity,,"Activity, logic, dates, constraints, resources, progress",,
07,Enterprise Project Management,P07-ENT-013,ScheduleRelationship,,Predecessor-successor dependency,,
07,Enterprise Project Management,P07-ENT-014,ScheduleUpdate,,Periodic status date and update package,,
07,Enterprise Project Management,P07-ENT-015,LookAheadPlan,,Near-term planning window,,
07,Enterprise Project Management,P07-ENT-016,Constraint,,Planning constraint with owner and due date,,
07,Enterprise Project Management,P07-ENT-017,DailyReport,,Daily field record and approval status,,
07,Enterprise Project Management,P07-ENT-018,DailyLaborEntry,,Worker or crew hours by cost code and activity,,
07,Enterprise Project Management,P07-ENT-019,DailyEquipmentEntry,,"Equipment hours, idle time, meter, fuel, location",,
07,Enterprise Project Management,P07-ENT-020,ProductionEntry,,"Installed quantity, unit, location, operation, and source",,
07,Enterprise Project Management,P07-ENT-021,WeatherObservation,,Observed and forecast weather relevant to project,,
07,Enterprise Project Management,P07-ENT-022,DeliveryRecord,,Material/equipment delivery and receipt evidence,,
07,Enterprise Project Management,P07-ENT-023,FieldPhoto,,"Geotagged, timestamped, categorized project image",,
07,Enterprise Project Management,P07-ENT-024,VoiceNote,,Transcribed field note linked to project context,,
07,Enterprise Project Management,P07-ENT-025,Document,,Controlled document metadata and content reference,,
07,Enterprise Project Management,P07-ENT-026,DocumentRevision,,"Immutable revision, status, issue purpose, and supersession",,
07,Enterprise Project Management,P07-ENT-027,DrawingSheet,,Drawing sheet index and revision,,
07,Enterprise Project Management,P07-ENT-028,RFI,,"Question, response, impact, dates, and responsible parties",,
07,Enterprise Project Management,P07-ENT-029,Submittal,,"Submittal package, review cycle, status, and due dates",,
07,Enterprise Project Management,P07-ENT-030,Meeting,,"Meeting record, attendees, agenda, decisions, minutes",,
07,Enterprise Project Management,P07-ENT-031,ActionItem,,Assigned action with due date and completion evidence,,
07,Enterprise Project Management,P07-ENT-032,ChangeEvent,,Potential or confirmed scope/cost/schedule change,,
07,Enterprise Project Management,P07-ENT-033,ChangeOrder,,Approved contract modification,,
07,Enterprise Project Management,P07-ENT-034,Commitment,,"Purchase order, subcontract, or other committed cost",,
07,Enterprise Project Management,P07-ENT-035,Invoice,,Vendor or subcontractor invoice,,
07,Enterprise Project Management,P07-ENT-036,PayApplication,,Owner billing or subcontractor payment application,,
07,Enterprise Project Management,P07-ENT-037,RetainageRecord,,"Retainage earned, held, released, and balance",,
07,Enterprise Project Management,P07-ENT-038,ForecastSnapshot,,Forecast-at-completion and cash-flow snapshot,,
07,Enterprise Project Management,P07-ENT-039,ResourceAssignment,,"Labor, crew, equipment, truck, or subcontractor assignment",,
07,Enterprise Project Management,P07-ENT-040,ProcurementItem,,Required material/service with need-by and lead time,,
07,Enterprise Project Management,P07-ENT-041,Inspection,,Quality or safety inspection,,
07,Enterprise Project Management,P07-ENT-042,Deficiency,,Observed nonconformance or incomplete work,,
07,Enterprise Project Management,P07-ENT-043,CorrectiveAction,,Required corrective action and verification,,
07,Enterprise Project Management,P07-ENT-044,PunchItem,,Punch-list item and closeout evidence,,
07,Enterprise Project Management,P07-ENT-045,SafetyPlan,,Project safety plan and governed revision,,
07,Enterprise Project Management,P07-ENT-046,JHA,,Job hazard analysis or task plan,,
07,Enterprise Project Management,P07-ENT-047,ToolboxTalk,,"Safety talk, attendees, topic, and acknowledgement",,
07,Enterprise Project Management,P07-ENT-048,Incident,,"Safety, environmental, property, or quality incident",,
07,Enterprise Project Management,P07-ENT-049,Permit,,"Permit, authority, status, conditions, and expiration",,
07,Enterprise Project Management,P07-ENT-050,CloseoutPackage,,Required closeout deliverables and acceptance,,
07,Enterprise Project Management,P07-ENT-051,WarrantyItem,,"Warranty obligation, dates, issue, and resolution",,
07,Enterprise Project Management,P07-ENT-052,DigitalTwinSnapshot,,Time-stamped project operational state,,
07,Enterprise Project Management,P07-ENT-053,RiskItem,,"Project risk, probability, impact, response, and owner",,
07,Enterprise Project Management,P07-ENT-054,Issue,,Operational issue requiring resolution,,
07,Enterprise Project Management,P07-ENT-055,ProjectAlert,,"Generated alert with severity, source, evidence, and disposition",,
07,Enterprise Project Management,P07-ENT-056,ApprovalRequest,,Governed approval request and decision history,,
07,Enterprise Project Management,P07-ENT-057,ExternalPortalAccess,,Scoped external user access and expiration,,
07,Enterprise Project Management,P07-ENT-058,OfflineSyncPackage,,"Encrypted mobile sync package, conflicts, and resolution",,
07,Enterprise Project Management,P07-ENT-059,IntegrationEvent,,Versioned event emitted or consumed,,
07,Enterprise Project Management,P07-ENT-060,AuditEvent,,"Immutable record of material user, system, or AI action",,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-001,Lead,CRM Foundation,Canonical lead record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-002,Lead Source,Lead Capture & Attribution,Canonical lead source record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-003,Lead Capture Event,Qualification & Scoring,Canonical lead capture event record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-004,Marketing Campaign,Account & Contact 360,Canonical marketing campaign record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-005,Campaign Member,Opportunity & Pipeline,Canonical campaign member record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-006,Attribution Touchpoint,Site Visit & Discovery,Canonical attribution touchpoint record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-007,Consent Record,Estimate Integration,Canonical consent record record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-008,Contact,Proposal & E-Signature,Canonical contact record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-009,Account,Contract Handoff,Canonical account record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-010,Account Relationship,Marketing Automation,Canonical account relationship record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-011,Address,Communication Center,Canonical address record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-012,Communication Preference,Customer Portal,Canonical communication preference record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-013,Customer Segment,Customer Success,Canonical customer segment record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-014,Customer Health Score,Warranty & Service,Canonical customer health score record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-015,Opportunity,Reputation & Reviews,Canonical opportunity record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-016,Opportunity Stage,Referral Management,Canonical opportunity stage record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-017,Opportunity Stage History,Partner & Channel Management,Canonical opportunity stage history record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-018,Sales Activity,AI Sales Intelligence,Canonical sales activity record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-019,Task,Revenue Forecasting,Canonical task record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-020,Appointment,Security & Governance,Canonical appointment record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-021,Site Visit,CRM Foundation,Canonical site visit record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-022,Discovery Questionnaire,Lead Capture & Attribution,Canonical discovery questionnaire record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-023,Project Interest,Qualification & Scoring,Canonical project interest record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-024,Service Interest,Account & Contact 360,Canonical service interest record used by the Phase 08 customer lifecycle.,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENT-025,Estimate Link,Opportunity & Pipeline,Canonical estimate link record used by the Phase 08 customer lifecycle.,,
