phase,phase_title,requirement_id,domain,priority,requirement,acceptance_criteria,version
01,Governance,GOV-000017,Governance,Critical,AI agents shall inherit explicit data and action permissions and shall not bypass user or system authorization.,"Every AI tool action is authorized, logged, and attributable to an agent and requesting context.",1.0.0-review
01,Governance,GOV-000018,Governance,Critical,AI-generated changes to governed records shall create proposals unless an approved automation policy permits a narrower action.,"Proposal, reviewer, decision, evidence, and final writeback are traceable.",1.0.0-review
01,Governance,GOV-000019,Governance,High,"Authorized administrators shall manage organizations, users, roles, permissions, policies, configuration, approvals, retention, and audit from a governed console.","Each administrative surface enforces permission, validation, and audit requirements.",1.0.0-review
01,Governance,GOV-000020,Governance,Critical,"Break-glass access shall require justification, limited duration, elevated logging, notification, and post-event review.",Emergency access expires automatically and produces a review case.,1.0.0-review
01,Governance,GOV-000021,Governance,High,"The platform shall support session, device, location, and authentication-risk policies.","High-risk sessions can be challenged, restricted, or terminated.",1.0.0-review
01,Governance,GOV-000022,Governance,High,"New tenants shall be provisioned from versioned templates with region, units, currency, language, industry packs, and policy defaults.",Provisioning creates a reproducible deployment record and validation report.,1.0.0-review
01,Governance,GOV-000023,Governance,High,"Capabilities shall be controlled through plans, entitlements, feature flags, limits, and effective dates.",Unauthorized or expired capabilities are inaccessible without data loss.,1.0.0-review
01,Governance,GOV-000024,Governance,Medium,"Governance events shall notify required owners, approvers, security personnel, or affected users based on policy.","Notifications are deduplicated, logged, and escalated where required.",1.0.0-review
01,Governance,GOV-000025,Governance,High,"The platform shall provide governance dashboards and reports for access, approvals, policy status, audit, retention, exceptions, and administrative changes.",Reports reconcile to authoritative governance records and respect access scope.,1.0.0-review
02,Core Platform,CPF-000001,Identity & Access,Critical,"The platform shall support pluggable authentication providers including passwordless, SSO, MFA, and enterprise identity federation.",A tenant can configure approved providers and authentication policies without code changes.,1.0.0-review
02,Core Platform,CPF-000002,Identity & Access,Critical,"The platform shall issue, refresh, revoke, and expire sessions with configurable risk and inactivity policies.",Revoked or expired sessions cannot access APIs or user interfaces.,1.0.0-review
02,Core Platform,CPF-000003,Identity & Access,Critical,"The platform shall support non-human identities for integrations, jobs, and AI agents.","Every service identity has explicit owner, scope, credentials, rotation, and audit history.",1.0.0-review
02,Core Platform,CPF-000004,Identity & Access,Critical,All protected platform actions shall use a centralized authorization decision service.,"Every decision returns allow or deny, matched policy, effective scope, and correlation ID.",1.0.0-review
02,Core Platform,CPF-000005,Identity & Access,High,The platform shall register device posture and support risk-based access controls.,Policy can require trusted devices for sensitive actions.,1.0.0-review
02,Core Platform,CPF-000006,Tenancy,Critical,"Tenant context shall propagate through API, event, job, cache, search, file, and AI operations.",No platform service may process a governed request without verified tenant context.,1.0.0-review
02,Core Platform,CPF-000007,Tenancy,Critical,All storage and query paths shall enforce tenant isolation.,"Cross-tenant access attempts are blocked, logged, and testable.",1.0.0-review
02,Core Platform,CPF-000008,Tenancy,High,Tenants shall support region selection and data-residency constraints.,Configured regional placement is visible and enforced for governed data classes.,1.0.0-review
02,Core Platform,CPF-000009,Tenancy,High,"Tenant provisioning shall create required namespaces, defaults, indexes, storage, keys, and baseline configurations.",Provisioning produces a validation report and rollback plan.,1.0.0-review
02,Core Platform,CPF-000010,Platform Services,Critical,"The platform shall provide globally unique, non-guessable, immutable identifiers for governed records.","Identifiers remain stable across versions, imports, exports, and integrations.",1.0.0-review
02,Core Platform,CPF-000011,Platform Services,Critical,Entities and fields shall support extensible metadata definitions without ungoverned schema changes.,"Metadata is versioned, validated, permissioned, and queryable.",1.0.0-review
02,Core Platform,CPF-000012,Platform Services,High,Users and automation shall apply governed tags to supported objects.,"Tags support ownership, scope, synonyms, lifecycle, and search.",1.0.0-review
02,Core Platform,CPF-000013,Platform Services,Critical,"The platform shall store, version, classify, scan, preview, and secure files and documents.","Every file version has checksum, owner, classification, retention, and access policy.",1.0.0-review
02,Core Platform,CPF-000014,Platform Services,Critical,The platform shall provide permission-aware full-text and structured search.,Search results never expose unauthorized records or snippets.,1.0.0-review
02,Core Platform,CPF-000015,Platform Services,High,"The platform shall send in-app, email, SMS, push, and webhook notifications through governed templates and preferences.","Every notification has delivery status, retry, deduplication, and audit.",1.0.0-review
02,Core Platform,CPF-000016,Platform Services,High,The platform shall schedule one-time and recurring tasks with tenant-aware execution.,"Schedules are versioned, observable, cancellable, and protected from duplicate execution.",1.0.0-review
02,Core Platform,CPF-000017,Platform Services,Critical,Long-running work shall execute through durable background jobs.,"Jobs support priority, retry, idempotency, progress, cancellation, dead-letter handling, and audit.",1.0.0-review
02,Core Platform,CPF-000018,Platform Services,High,"The platform shall provide a tenant-aware cache with explicit key ownership, TTL, invalidation, and fallback behavior.",Cache failure cannot corrupt source-of-truth data.,1.0.0-review
02,Core Platform,CPF-000019,Platform Services,Critical,"Runtime configuration shall be centrally resolved, versioned, validated, and auditable.",Services can read effective configuration and subscribe to approved changes.,1.0.0-review
02,Core Platform,CPF-000020,Platform Services,High,"Capabilities shall support tenant, user, percentage, environment, and effective-date feature flags.",Feature rollout and rollback are controlled without redeployment.,1.0.0-review
02,Core Platform,CPF-000021,Workflow & Rules,Critical,"The platform shall orchestrate durable stateful workflows with timers, approvals, retries, and compensation.",Workflow state survives service restart and can be inspected.,1.0.0-review
02,Core Platform,CPF-000022,Workflow & Rules,Critical,The platform shall evaluate versioned deterministic rules against declared inputs.,"Rule results are reproducible, explainable, and attributable to a rule version.",1.0.0-review
02,Core Platform,CPF-000023,Workflow & Rules,Critical,Governed entities shall support explicit state machines and allowed transitions.,Invalid transitions are blocked and valid transitions emit events.,1.0.0-review
02,Core Platform,CPF-000024,Workflow & Rules,High,"Workflows shall support due dates, timers, escalation, pause, resume, and calendar-aware SLAs.",Timer behavior remains correct across time zones and downtime.,1.0.0-review
02,Core Platform,CPF-000025,Integration,Critical,External and internal APIs shall pass through a governed gateway.,"The gateway enforces authentication, authorization, versioning, throttling, request limits, and correlation.",1.0.0-review
02,Core Platform,CPF-000026,Integration,Critical,APIs shall use explicit versioning and deprecation policies.,Breaking changes require a new supported version and migration notice.,1.0.0-review
02,Core Platform,CPF-000027,Integration,High,"The platform shall publish signed, retryable, tenant-scoped webhooks.","Consumers can verify signature, replay protection, event ID, and delivery attempt.",1.0.0-review
02,Core Platform,CPF-000028,Integration,Critical,Platform domains shall publish durable versioned events through an event bus.,"Events have schema, tenant, producer, timestamp, correlation, causation, and idempotency keys.",1.0.0-review
02,Core Platform,CPF-000029,Integration,High,"The platform shall support governed connectors with credentials, scopes, mappings, health, and sync state.",Connector actions are observable and independently disableable.,1.0.0-review
02,Core Platform,CPF-000030,Integration,High,"The platform shall import structured data using mappings, validation, previews, errors, and resumable batches.",No invalid row is silently accepted.,1.0.0-review
02,Core Platform,CPF-000031,Integration,High,The platform shall export authorized data to governed formats with filters and classification controls.,"Exports record requester, criteria, file, checksum, retention, and expiration.",1.0.0-review
02,Core Platform,CPF-000032,Mobile & Offline,High,The platform shall provide a reusable mobile shell for field workflows.,"The shell supports secure login, navigation, camera, location, notifications, and local storage.",1.0.0-review
02,Core Platform,CPF-000033,Mobile & Offline,Critical,Authorized users shall download scoped offline data packs for field work.,"Offline packs are encrypted, time-limited, versioned, and revocable.",1.0.0-review
02,Core Platform,CPF-000034,Mobile & Offline,Critical,Offline actions shall be queued locally with durable ordering and status.,"Queued changes preserve original user, device, timestamp, and correlation.",1.0.0-review
02,Core Platform,CPF-000035,Mobile & Offline,Critical,The platform shall synchronize offline and online changes with deterministic conflict handling.,"Sync results identify applied, rejected, merged, and manual-review changes.",1.0.0-review
02,Core Platform,CPF-000036,Mobile & Offline,High,Files captured offline shall upload resumably with checksums and classification.,Duplicate or corrupt uploads are detected.,1.0.0-review
02,Core Platform,CPF-000037,Observability,Critical,All services shall emit structured logs with tenant-safe correlation fields.,Logs exclude prohibited secrets and sensitive payloads by default.,1.0.0-review
02,Core Platform,CPF-000038,Observability,Critical,"Services shall expose health, capacity, latency, error, and dependency metrics.","Health checks distinguish startup, readiness, liveness, and degraded state.",1.0.0-review
02,Core Platform,CPF-000039,Observability,High,"Requests, events, jobs, workflows, and AI actions shall support distributed tracing.",A correlation can be followed across service boundaries.,1.0.0-review
02,Core Platform,CPF-000040,Observability,High,Operational thresholds shall create deduplicated alerts with ownership and escalation.,"Alerts contain runbook, impact, severity, and supporting evidence.",1.0.0-review
02,Core Platform,CPF-000041,Security,Critical,All supported network communication shall use approved encrypted transport.,Insecure transport is rejected except isolated approved development environments.,1.0.0-review
02,Core Platform,CPF-000042,Security,Critical,Governed data shall be encrypted at rest with managed keys.,"Key use, rotation, access, and failure are auditable.",1.0.0-review
02,Core Platform,CPF-000043,Security,Critical,Credentials and secrets shall be stored only in approved secret stores.,"Secrets are never persisted in source code, ordinary logs, or user-visible configuration.",1.0.0-review
02,Core Platform,CPF-000044,Security,High,Uploaded content shall be scanned and quarantined based on policy.,Unsafe content cannot be opened or distributed before disposition.,1.0.0-review
02,Core Platform,CPF-000045,Security,Critical,The platform shall perform encrypted backups and tested restoration.,Restore tests prove stated recovery point and recovery time objectives.,1.0.0-review
02,Core Platform,CPF-000046,Security,Critical,"Critical services shall have documented failover, recovery, and communication procedures.",Recovery exercises produce evidence and corrective actions.,1.0.0-review
02,Core Platform,CPF-000047,Security,High,"The platform shall rate-limit and detect abusive API, login, export, and automation behavior.",Controls can be scoped and do not expose cross-tenant information.,1.0.0-review
02,Core Platform,CPF-000048,Localization,Critical,All timestamps shall be stored in UTC and rendered using declared user or project time zones.,Scheduling and due dates remain correct through daylight-saving transitions.,1.0.0-review
02,Core Platform,CPF-000049,Localization,Critical,The platform shall support US customary and metric units with governed conversion and precision.,"Every quantity stores value, unit, precision, and conversion provenance.",1.0.0-review
02,Core Platform,CPF-000050,Localization,Critical,Monetary values shall store currency and support governed conversion rates where required.,No arithmetic combines different currencies without an explicit conversion.,1.0.0-review
02,Core Platform,CPF-000051,Localization,High,"The platform shall support locale-aware text, numbers, dates, and translations.",Users can select supported locale without changing stored canonical values.,1.0.0-review
02,Core Platform,CPF-000052,AI Platform,Critical,AI model calls shall pass through a governed model gateway.,"The gateway enforces model policy, tenant context, limits, logging, redaction, and fallback.",1.0.0-review
02,Core Platform,CPF-000053,AI Platform,Critical,"AI agents shall be registered with owner, purpose, version, permissions, tools, and evaluation status.",Unregistered or disabled agents cannot execute.,1.0.0-review
02,Core Platform,CPF-000054,AI Platform,Critical,"AI tools shall execute through permissioned, validated, observable adapters.","Every tool invocation records input summary, output summary, result, duration, and correlation.",1.0.0-review
02,Core Platform,CPF-000055,AI Platform,High,"Prompts and AI policies shall be versioned, approved, testable, and rollbackable.",Production execution identifies exact prompt and policy versions.,1.0.0-review
02,Core Platform,CPF-000056,AI Platform,Critical,AI outputs shall attach source references and evidence where required.,Evidence remains resolvable to the authorized source version.,1.0.0-review
02,Core Platform,CPF-000057,AI Platform,Critical,"Agents and prompts shall be evaluated for accuracy, safety, authorization, consistency, and business acceptance.",Failed release gates prevent promotion.,1.0.0-review
02,Core Platform,CPF-000058,AI Platform,High,"The platform shall meter AI requests, tokens, tools, latency, errors, and cost by tenant and capability.",Usage reports reconcile to gateway records.,1.0.0-review
02,Core Platform,CPF-000059,Platform Services,Critical,Material platform events shall be preserved in an immutable audit trail.,"Events can be correlated to request, actor, service, object, and tenant.",1.0.0-review
02,Core Platform,CPF-000060,Platform Services,High,Authorized tenants shall export core data and attachments in documented formats.,"Exports are complete, traceable, and do not include unauthorized shared data.",1.0.0-review
03,Enterprise Data Model,EDM-000001,Data Architecture,Critical,The platform shall maintain one governed canonical enterprise data model shared by all modules.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000002,Data Architecture,Critical,Every tenant-owned record shall include a verified tenant identifier.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000003,Data Architecture,Critical,Every governed entity shall use immutable globally unique identifiers.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000004,Data Architecture,Critical,Versioned entities shall preserve historical versions and effective dates.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000005,Data Architecture,Critical,Business records shall use governed lifecycle states rather than uncontrolled physical deletion.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000006,Data Architecture,Critical,Every mutable record shall capture creation and last-change actor and timestamp.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000007,Data Architecture,Critical,Mutable records shall support version checks to prevent lost updates.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000008,Data Architecture,Critical,Codes and enumerations shall be represented through governed reference sets.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000009,Data Architecture,Critical,Tenant custom fields shall use typed governed definitions and values.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000010,Data Architecture,Critical,Each entity and field shall have an accountable data owner.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000011,Data Architecture,Critical,Each governed field shall declare its authoritative source.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000012,Data Architecture,Critical,"Required, optional, unknown, not applicable, and withheld values shall be distinguishable where material.","The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000013,Data Architecture,Critical,"Numeric values shall store declared precision, scale, and unit or currency context.","The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000014,Data Architecture,Critical,Timestamps shall use UTC with source timezone where business meaning requires it.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000015,Data Architecture,Critical,"Rates, assignments, relationships, and classifications shall support effective-date ranges.","The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000016,Data Architecture,Critical,External or business keys shall not replace immutable internal identifiers.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000017,Data Architecture,Critical,References shall enforce compatible tenant and lifecycle constraints.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000018,Data Architecture,Critical,Every entity shall inherit or define data security classification.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000019,Data Architecture,Critical,Records shall map to retention and legal-hold policies.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000020,Data Architecture,Critical,"Imported, calculated, converted, and AI-generated values shall preserve lineage.","The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000021,Data Architecture,High,Imported records shall preserve source system and external identifier.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000022,Data Architecture,High,"Party, vendor, customer, project, and resource master data shall support duplicate detection.","The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000023,Data Architecture,High,"Master-record merges shall preserve aliases, lineage, audit, and reversal evidence.","The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000024,Data Architecture,High,Parties and business objects shall support typed effective-dated relationships.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000025,Data Architecture,High,"Legal entities, business units, branches, teams, and projects shall support hierarchical relationships.","The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000026,Data Architecture,High,"Projects shall support programs, parent projects, phases, areas, and work packages.","The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000027,Data Architecture,High,Work records shall support WBS and cost-code structures without hardcoding one industry.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000028,Data Architecture,Critical,Released estimate versions shall be immutable.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000029,Data Architecture,Critical,"Estimate lines shall retain quantity, production, resource, rate, markup, and source provenance.","The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000030,Data Architecture,High,"Resource assignments and rates shall support labor, crew, equipment, material, and service resource types.","The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000031,Data Architecture,High,"Rates shall include location, source, currency, unit, and effective periods.","The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000032,Data Architecture,Critical,"Budget, commitment, actual, forecast, invoice, and payment records shall remain distinct.","The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000033,Data Architecture,High,Cost transactions shall balance required dimensions and preserve source documents.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000034,Data Architecture,High,Money values shall always include currency.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000035,Data Architecture,High,Quantities shall always include unit and dimension.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000036,Data Architecture,High,Tax calculations shall reference explicit jurisdiction and rule versions.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000037,Data Architecture,Critical,Documents shall have a stable logical identity independent of content versions.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000038,Data Architecture,Critical,Accepted document versions shall be immutable and checksummed.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000039,Data Architecture,High,Documents shall link to any supported business object without duplicating content.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000040,Data Architecture,High,"Electronic signatures shall preserve signer, method, timestamp, hash, and document version.","The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000041,Data Architecture,High,Geometry shall declare its coordinate reference system.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000042,Data Architecture,High,Business entities shall reference geometry without forcing all geometry into transactional tables.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000043,Data Architecture,High,Linear projects shall support station ranges and offsets.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000044,Data Architecture,High,"Projects, sites, taxes, permits, and compliance records shall reference jurisdiction.","The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000045,Data Architecture,High,"Incidents, inspections, observations, and corrective actions shall link to project, location, people, and evidence.","The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000046,Data Architecture,High,"Qualifications shall preserve issuer, type, dates, status, and evidence.","The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000047,Data Architecture,Critical,"AI-created or modified values shall identify agent, model, prompt, evidence, and execution.","The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000048,Data Architecture,Critical,AI recommendations shall remain separate from committed business records until authorized writeback.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000049,Data Architecture,High,Feedback shall link to the exact system or AI output version being evaluated.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000050,Data Architecture,Critical,Domain events shall use a standard tenant-aware versioned envelope.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000051,Data Architecture,High,Material record changes shall emit change metadata or domain events.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000052,Data Architecture,High,API schemas shall map directly to canonical entities or declared view models.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000053,Data Architecture,High,Operational entities shall support governed reporting views without duplicating source truth.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000054,Data Architecture,High,Search documents shall remain derivative and traceable to canonical records.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000055,Data Architecture,High,Imports shall validate in staging before committed writes.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000056,Data Architecture,High,"Exports shall include identifiers, versions, units, currencies, and lineage needed for interpretation.","The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000057,Data Architecture,Critical,Breaking schema changes shall require versioned migration and compatibility plans.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000058,Data Architecture,High,Published event and API contracts shall follow declared compatibility windows.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000059,Data Architecture,Critical,"Critical fields shall have completeness, validity, uniqueness, consistency, and timeliness measures.","The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000060,Data Architecture,Critical,Failed quality rules shall create reviewable exceptions rather than silent correction.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000061,Data Architecture,High,Sensitive fields shall support masking and tokenization policies.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000062,Data Architecture,High,Highly sensitive data shall support field-level encryption metadata where required.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000063,Data Architecture,High,Entity storage classes shall support region and residency constraints.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000064,Data Architecture,High,Archived records shall retain resolvable identifiers and access controls.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000065,Data Architecture,Critical,Legal hold shall suspend deletion and archival expiration.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000066,Data Architecture,Critical,Deletion or archival shall not orphan governed references.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000067,Data Architecture,High,Materialized reporting views shall identify refresh time and source versions.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000068,Data Architecture,High,Calculated values shall preserve formula or rule version and input lineage.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000069,Data Architecture,High,Estimated or inferred values shall support confidence and review status.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000070,Data Architecture,High,"Entities shall support governed tags, notes, attachments, and custom fields.","The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000071,Data Architecture,High,"Names, addresses, dates, numbers, units, and currencies shall support locale-aware presentation.","The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000072,Data Architecture,High,Core tenant data shall be exportable in documented machine-readable formats.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000073,Data Architecture,High,Required reference sets shall be supplied as versioned seed data.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
03,Enterprise Data Model,EDM-000074,Data Architecture,High,Non-production test data shall be synthetic or de-identified.,"The requirement is represented in the entity model, rules, validation, migration, and test artifacts.",1.0.0-review
