phase,phase_title,ui_id,name,domain,capabilities,form_factor
07,Enterprise Project Management,,Field Operations Hub,,"Daily reports, labor, equipment, production, weather, deliveries, photos, and voice",
07,Enterprise Project Management,,Document Control Center,,"Drawings, specs, revisions, RFIs, submittals, transmittals, and search",
07,Enterprise Project Management,,Change Management Workspace,,"Change events, pricing, schedule impacts, negotiation, approvals, and contract updates",
07,Enterprise Project Management,,Cost Control Workspace,,"Budget, commitments, actuals, forecast, EAC, cash flow, and billing",
07,Enterprise Project Management,,Resource Board,,"Crews, equipment, trucks, subcontractors, conflicts, and assignment",
07,Enterprise Project Management,,Quality and Punch Workspace,,"Inspection plans, checklists, deficiencies, corrective action, and punch",
07,Enterprise Project Management,,Safety Workspace,,"Plans, JHAs, talks, observations, incidents, and corrective actions",
07,Enterprise Project Management,,Digital Twin Viewer,,"Time-based operational model, map, evidence, freshness, and scenario overlays",
07,Enterprise Project Management,,External Collaboration Portal,,"Scoped submissions, approvals, messages, documents, billing, and status",
08,Enterprise CRM Sales Customer Experience,GES-P08-UI-001,CRM Command Center,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-UI-002,Lead Inbox,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-UI-003,Customer 360,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-UI-004,Opportunity Workspace,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-UI-005,Pipeline Board,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-UI-006,Proposal Studio,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-UI-007,Marketing Journey Builder,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-UI-008,Communication Center,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-UI-009,Customer Portal,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-UI-010,Customer Success Workspace,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-UI-011,Reputation Center,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-UI-012,CRM Administration,,,
09,HR Workforce Talent Management,GES-P09-UI-001,HR Command Center,,Role-based workspace for hr command center.,
09,HR Workforce Talent Management,GES-P09-UI-002,Workforce Planning Studio,,Role-based workspace for workforce planning studio.,
09,HR Workforce Talent Management,GES-P09-UI-003,Recruiting Pipeline,,Role-based workspace for recruiting pipeline.,
09,HR Workforce Talent Management,GES-P09-UI-004,Candidate Profile,,Role-based workspace for candidate profile.,
09,HR Workforce Talent Management,GES-P09-UI-005,Employee 360,,Role-based workspace for employee 360.,
09,HR Workforce Talent Management,GES-P09-UI-006,Crew Planner,,Role-based workspace for crew planner.,
09,HR Workforce Talent Management,GES-P09-UI-007,Timecard Review,,Role-based workspace for timecard review.,
09,HR Workforce Talent Management,GES-P09-UI-008,Union and Wage Compliance,,Role-based workspace for union and wage compliance.,
09,HR Workforce Talent Management,GES-P09-UI-009,Training and Credential Center,,Role-based workspace for training and credential center.,
09,HR Workforce Talent Management,GES-P09-UI-010,Performance and Career Center,,Role-based workspace for performance and career center.,
09,HR Workforce Talent Management,GES-P09-UI-011,Employee Self-Service,,Role-based workspace for employee self-service.,
09,HR Workforce Talent Management,GES-P09-UI-012,Manager Self-Service,,Role-based workspace for manager self-service.,
09,HR Workforce Talent Management,GES-P09-UI-013,Payroll Control Center,,Role-based workspace for payroll control center.,
09,HR Workforce Talent Management,GES-P09-UI-014,AI Workforce Center,,Role-based workspace for ai workforce center.,
09,HR Workforce Talent Management,GES-P09-UI-015,Workforce Analytics,,Role-based workspace for workforce analytics.,
10,Enterprise Financial Management Accounting,UI-P10-01,CFO Command Center,,,
10,Enterprise Financial Management Accounting,UI-P10-02,Controller Close Workspace,,,
10,Enterprise Financial Management Accounting,UI-P10-03,General Ledger Workbench,,,
10,Enterprise Financial Management Accounting,UI-P10-04,Accounts Payable Workspace,,,
10,Enterprise Financial Management Accounting,UI-P10-05,Payment Approval Center,,,
10,Enterprise Financial Management Accounting,UI-P10-06,Accounts Receivable & Collections,,,
10,Enterprise Financial Management Accounting,UI-P10-07,Construction Billing Workspace,,,
10,Enterprise Financial Management Accounting,UI-P10-08,Project Financial Control Center,,,
10,Enterprise Financial Management Accounting,UI-P10-09,WIP & Revenue Recognition Center,,,
10,Enterprise Financial Management Accounting,UI-P10-10,Cash & Treasury Dashboard,,,
10,Enterprise Financial Management Accounting,UI-P10-11,Fixed Assets Workspace,,,
10,Enterprise Financial Management Accounting,UI-P10-12,Tax & Compliance Workspace,,,
10,Enterprise Financial Management Accounting,UI-P10-13,Financial Reporting Studio,,,
10,Enterprise Financial Management Accounting,UI-P10-14,AI Financial Intelligence Center,,,
10,Enterprise Financial Management Accounting,UI-P10-15,Financial Administration & Configuration,,,
10,Enterprise Financial Management Accounting,UI-P10-16,Mobile Finance Approvals,,,
10,Enterprise Financial Management Accounting,UI-P10-17,Vendor Financial Portal,,,
10,Enterprise Financial Management Accounting,UI-P10-18,Customer Billing Portal,,,
11,Enterprise Procurement Supply Chain Inventory,P11-UI-001,Procurement Command Center,,Role-based interface for procurement command center.,
11,Enterprise Procurement Supply Chain Inventory,P11-UI-002,Supplier 360,,Role-based interface for supplier 360.,
11,Enterprise Procurement Supply Chain Inventory,P11-UI-003,Supplier Onboarding Portal,,Role-based interface for supplier onboarding portal.,
11,Enterprise Procurement Supply Chain Inventory,P11-UI-004,Sourcing Event Workspace,,Role-based interface for sourcing event workspace.,
11,Enterprise Procurement Supply Chain Inventory,P11-UI-005,Bid Comparison and Leveling,,Role-based interface for bid comparison and leveling.,
11,Enterprise Procurement Supply Chain Inventory,P11-UI-006,Requisition Workspace,,Role-based interface for requisition workspace.,
11,Enterprise Procurement Supply Chain Inventory,P11-UI-007,Purchase Order Workspace,,Role-based interface for purchase order workspace.,
11,Enterprise Procurement Supply Chain Inventory,P11-UI-008,Subcontract Procurement Workspace,,Role-based interface for subcontract procurement workspace.,
11,Enterprise Procurement Supply Chain Inventory,P11-UI-009,Item and Catalog Manager,,Role-based interface for item and catalog manager.,
11,Enterprise Procurement Supply Chain Inventory,P11-UI-010,Inventory Control Center,,Role-based interface for inventory control center.,
11,Enterprise Procurement Supply Chain Inventory,P11-UI-011,Warehouse Mobile Workspace,,Role-based interface for warehouse mobile workspace.,
11,Enterprise Procurement Supply Chain Inventory,P11-UI-012,Receiving and Inspection Mobile,,Role-based interface for receiving and inspection mobile.,
11,Enterprise Procurement Supply Chain Inventory,P11-UI-013,Delivery and Logistics Board,,Role-based interface for delivery and logistics board.,
11,Enterprise Procurement Supply Chain Inventory,P11-UI-014,Rental Control Center,,Role-based interface for rental control center.,
11,Enterprise Procurement Supply Chain Inventory,P11-UI-015,Three-Way Match Exceptions,,Role-based interface for three-way match exceptions.,
11,Enterprise Procurement Supply Chain Inventory,P11-UI-016,Supply Risk Center,,Role-based interface for supply risk center.,
11,Enterprise Procurement Supply Chain Inventory,P11-UI-017,Supply Chain Digital Twin,,Role-based interface for supply chain digital twin.,
11,Enterprise Procurement Supply Chain Inventory,P11-UI-018,Executive Supply Chain Dashboard,,Role-based interface for executive supply chain dashboard.,
11,Enterprise Procurement Supply Chain Inventory,P11-UI-019,Vendor Self-Service Portal,,Role-based interface for vendor self-service portal.,
11,Enterprise Procurement Supply Chain Inventory,P11-UI-020,Project Material Planner,,Role-based interface for project material planner.,
11,Enterprise Procurement Supply Chain Inventory,P11-UI-021,Cycle Count Mobile,,Role-based interface for cycle count mobile.,
11,Enterprise Procurement Supply Chain Inventory,P11-UI-022,AI Procurement Copilot,,Role-based interface for ai procurement copilot.,
12,Enterprise Fleet Asset Maintenance Telematics,P12-UI-01,Fleet Command Center,Fleet Registry,,
12,Enterprise Fleet Asset Maintenance Telematics,P12-UI-02,Asset 360,Asset Lifecycle,,
12,Enterprise Fleet Asset Maintenance Telematics,P12-UI-03,Fleet Map,Preventive Maintenance,,
12,Enterprise Fleet Asset Maintenance Telematics,P12-UI-04,Maintenance Planner,Corrective Maintenance,,
12,Enterprise Fleet Asset Maintenance Telematics,P12-UI-05,Work Order Board,Inspections,,
12,Enterprise Fleet Asset Maintenance Telematics,P12-UI-06,Technician Workspace,Telematics & IoT,,
12,Enterprise Fleet Asset Maintenance Telematics,P12-UI-07,Mobile Inspection,Fuel & Energy,,
12,Enterprise Fleet Asset Maintenance Telematics,P12-UI-08,Defect Triage,Parts & Components,,
12,Enterprise Fleet Asset Maintenance Telematics,P12-UI-09,Shop Capacity Board,Work Orders,,
12,Enterprise Fleet Asset Maintenance Telematics,P12-UI-10,Field Service Dispatch,Shop Operations,,
12,Enterprise Fleet Asset Maintenance Telematics,P12-UI-11,Telematics Health Center,Field Service,,
12,Enterprise Fleet Asset Maintenance Telematics,P12-UI-12,Fuel & Energy Center,Rental & Leased Assets,,
12,Enterprise Fleet Asset Maintenance Telematics,P12-UI-13,Utilization & Availability,Compliance,,
12,Enterprise Fleet Asset Maintenance Telematics,P12-UI-14,Equipment Cost Center,Safety & Risk,,
12,Enterprise Fleet Asset Maintenance Telematics,P12-UI-15,Rental Management,Utilization & Dispatch,,
12,Enterprise Fleet Asset Maintenance Telematics,P12-UI-16,Warranty Recovery,Equipment Costing,,
12,Enterprise Fleet Asset Maintenance Telematics,P12-UI-17,Compliance Center,Warranty & Claims,,
12,Enterprise Fleet Asset Maintenance Telematics,P12-UI-18,Tire & Undercarriage,Tires & Undercarriage,,
12,Enterprise Fleet Asset Maintenance Telematics,P12-UI-19,Attachments & Tools,Attachments & Tools,,
12,Enterprise Fleet Asset Maintenance Telematics,P12-UI-20,Replacement Planning,Documents & Media,,
12,Enterprise Fleet Asset Maintenance Telematics,P12-UI-21,Fleet Digital Twin,Mobile & Offline,,
12,Enterprise Fleet Asset Maintenance Telematics,P12-UI-22,Fleet Administration,Fleet Intelligence,,
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-001,Executive Command Center,Executive Command Center,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-002,CEO Dashboard,Semantic Metrics Layer,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-003,COO Operations Dashboard,Operational Intelligence,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-004,CFO Finance Dashboard,Financial Intelligence,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-005,Project Executive Dashboard,Project Intelligence,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-006,Estimating Intelligence,Estimating Intelligence,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-007,CRM & Market Intelligence,CRM & Market Intelligence,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-008,Workforce Intelligence,Workforce Intelligence,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-009,Procurement Intelligence,Procurement Intelligence,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-010,Fleet Intelligence,Fleet Intelligence,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-011,Safety & Quality Intelligence,"Safety, Quality & Compliance Analytics",Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-012,Portfolio Explorer,Portfolio & Program Intelligence,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-013,Project Health Explorer,Forecasting & Scenario Planning,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-014,KPI Studio,AI Decision Intelligence,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-015,Semantic Model Studio,Data Platform & Lineage,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-016,Forecast & Scenario Studio,Reporting & Distribution,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-017,Alert & Exception Center,Self-Service Analytics,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-018,AI Insight Review,Enterprise Digital Twin,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-019,Decision Journal,Executive Command Center,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-020,Board Pack Builder,Semantic Metrics Layer,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-021,Self-Service Analytics,Operational Intelligence,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-022,Data Quality & Lineage,Financial Intelligence,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-023,Analytics Administration,Project Intelligence,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-024,Mobile Executive Brief,Estimating Intelligence,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
13,Enterprise Business Intelligence Decision Intelligence,P13-UI-025,Enterprise Digital Twin,CRM & Market Intelligence,Role-based responsive web; drill-through; filters; export; accessibility; audit-aware,Desktop/tablet; selected mobile views
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-001,HSEQ Command Center,Safety Management,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-002,Safety Dashboard,Incident & Near-Miss Management,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-003,Environmental Dashboard,JHA/JSA & Pre-Task Planning,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-004,Quality Dashboard,Permits to Work,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-005,Compliance Dashboard,Training & Competency,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-006,Hazard & Risk Register,Environmental Management,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-007,JHA/JSA Workspace,Quality Management,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-008,Pre-Task Planning Mobile,Compliance & Regulatory,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-009,Toolbox Talk Mobile,Industrial Hygiene,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-010,Safety Observation Mobile,Emergency Management,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-011,Stop Work Center,Subcontractor HSEQ,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-012,Incident & Near-Miss Center,Equipment & Fleet Safety,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-013,Investigation Workspace,Public & Traffic Safety,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-014,CAPA Center,Corrective & Preventive Action,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-015,Permit-to-Work Center,Audit & Assurance,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-016,Training & Competency,HSEQ Analytics,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-017,Inspection Center,AI HSEQ Intelligence,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-018,Audit & Assurance,HSEQ Digital Twin,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-019,Environmental Compliance,Safety Management,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-020,SWPPP & Erosion Control,Incident & Near-Miss Management,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-021,Spill & Waste Management,JHA/JSA & Pre-Task Planning,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-022,Industrial Hygiene,Permits to Work,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-023,Emergency Management,Training & Competency,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-024,Quality ITP & Testing,Environmental Management,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-025,NCR & Deficiency Center,Quality Management,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-026,Subcontractor HSEQ,Compliance & Regulatory,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-027,Fleet & Operator Safety,Industrial Hygiene,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-028,Traffic/Public Safety,Emergency Management,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-029,Regulatory Calendar,Subcontractor HSEQ,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-030,HSEQ Analytics,Equipment & Fleet Safety,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-031,AI HSEQ Review,Public & Traffic Safety,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-032,Evidence & Audit Trail,Corrective & Preventive Action,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-033,HSEQ Administration,Audit & Assurance,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
14,Enterprise HSE Safety Environmental Quality Compliance,P14-UI-034,Mobile Safety Home,HSEQ Analytics,Role-based; mobile-first where field-facing; offline capture where configured; signatures/photos/evidence; accessibility,Web/tablet/mobile
