phase,phase_title,engine_id,name,type,purpose,governance
05,Estimating Cost Intelligence,GES-P05-ENG-004,Crew Balancer,,Identifies bottlenecks and recommends balanced resource mixes.,
05,Estimating Cost Intelligence,GES-P05-ENG-005,Labor Cost Engine,,Builds fully burdened labor cost.,
05,Estimating Cost Intelligence,GES-P05-ENG-006,Equipment Cost Engine,,Builds ownership/rental and operating costs.,
05,Estimating Cost Intelligence,GES-P05-ENG-007,Material Cost Engine,,Selects and normalizes material pricing.,
05,Estimating Cost Intelligence,GES-P05-ENG-008,Haul & Disposal Engine,,"Calculates truck cycles, counts, haul cost and disposal.",
05,Estimating Cost Intelligence,GES-P05-ENG-009,Markup & Margin Engine,,"Applies overhead, contingency, tax, bonds, profit and margin rules.",
05,Estimating Cost Intelligence,GES-P05-ENG-010,Regional Pricing Engine,,Applies location and market factors.,
05,Estimating Cost Intelligence,GES-P05-ENG-011,Risk & Confidence Engine,,Scores uncertainty and confidence.,
05,Estimating Cost Intelligence,GES-P05-ENG-012,Scenario Engine,,Maintains isolated alternatives and comparisons.,
05,Estimating Cost Intelligence,GES-P05-ENG-013,Simulation Engine,,Runs probabilistic cost and duration simulations.,
05,Estimating Cost Intelligence,GES-P05-ENG-014,Explainability Engine,,Produces calculation lineage and plain-language explanations.,
05,Estimating Cost Intelligence,GES-P05-ENG-015,Calibration Engine,,Compares estimates with actuals and proposes governed updates.,
05,Estimating Cost Intelligence,GES-P05-ENG-016,Estimate Validation Engine,,"Runs completeness, consistency and policy checks.",
05,Estimating Cost Intelligence,GES-P05-ENG-017,Document Classification Engine,,"Classifies plans, specs, addenda, reports and quotes.",
05,Estimating Cost Intelligence,GES-P05-ENG-018,White-Label Configuration Engine,,Resolves inherited brand and tenant configuration.,
05,Estimating Cost Intelligence,GES-P05-ENG-019,Offline Sync Engine,,Synchronizes field records with conflict handling.,
05,Estimating Cost Intelligence,GES-P05-ENG-020,Export Composition Engine,,"Builds proposals, review books and machine-readable exports.",
07,Enterprise Project Management,P07-ENG-001,Project Lifecycle Engine,,"Controls project states, gates, required artifacts, waivers, and transitions.",
07,Enterprise Project Management,P07-ENG-002,Command Center Aggregation Engine,,"Assembles role-specific project health, alerts, approvals, KPIs, and actions.",
07,Enterprise Project Management,P07-ENG-003,CPM Scheduling Engine,,"Calculates early/late dates, float, critical path, calendars, constraints, and baselines.",
07,Enterprise Project Management,P07-ENG-004,Look-Ahead and Constraint Engine,,Builds rolling plans and tracks constraint readiness.,
07,Enterprise Project Management,P07-ENG-005,Resource Leveling Engine,,Detects conflicts and recommends labor/equipment/crew allocation options.,
07,Enterprise Project Management,P07-ENG-006,Field Capture and Posting Engine,,"Validates and posts daily labor, equipment, production, weather, and delivery data.",
07,Enterprise Project Management,P07-ENG-007,Document Control Engine,,"Manages numbering, revisions, transmittals, review cycles, acknowledgements, and supersession.",
07,Enterprise Project Management,P07-ENG-008,RFI and Submittal Engine,,"Controls registers, due dates, workflows, impacts, and response cycles.",
07,Enterprise Project Management,P07-ENG-009,Change Intelligence Engine,,"Links scope changes to estimate, budget, schedule, contract, and forecast impacts.",
07,Enterprise Project Management,P07-ENG-010,Project Cost Control Engine,,"Maintains budget, commitments, actuals, forecast, variance, and cost-to-complete.",
07,Enterprise Project Management,P07-ENG-011,Billing and Retainage Engine,,"Calculates progress billing, stored material, retainage, and payment status.",
07,Enterprise Project Management,P07-ENG-012,Procurement and Lead-Time Engine,,"Tracks buyout, procurement status, lead times, required-on-site dates, and delivery risk.",
07,Enterprise Project Management,P07-ENG-013,Quality Control Engine,,"Executes inspection plans, checklists, deficiencies, corrective actions, and punch lists.",
07,Enterprise Project Management,P07-ENG-014,Safety Control Engine,,"Manages plans, JHAs, talks, observations, incidents, and corrective actions.",
07,Enterprise Project Management,P07-ENG-015,Digital Twin Synchronization Engine,,"Creates time-stamped, source-aware operational snapshots and freshness indicators.",
07,Enterprise Project Management,P07-ENG-016,Project Risk Scoring Engine,,"Scores cost, schedule, safety, quality, procurement, and documentation risk.",
07,Enterprise Project Management,P07-ENG-017,Forecast and Scenario Engine,,"Produces EAC, ETC, cash flow, completion, and recovery scenarios.",
07,Enterprise Project Management,P07-ENG-018,Mobile Offline Sync Engine,,"Scopes, encrypts, validates, reconciles, and audits offline data synchronization.",
07,Enterprise Project Management,P07-ENG-019,Notification and Escalation Engine,,"Applies subscriptions, severity, SLA, digest, escalation, and acknowledgement logic.",
07,Enterprise Project Management,P07-ENG-020,Project Audit and Reconciliation Engine,,Detects cross-module mismatches and maintains immutable transaction evidence.,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENG-001,Lead Capture Engine,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENG-002,Identity Resolution Engine,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENG-003,Attribution Engine,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENG-004,Lead Scoring Engine,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENG-005,Assignment Engine,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENG-006,Pipeline Engine,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENG-007,Opportunity Valuation Engine,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENG-008,Proposal Generation Engine,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENG-009,Commercial Approval Engine,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENG-010,E-Signature Orchestration Engine,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENG-011,Marketing Automation Engine,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENG-012,Communication Orchestration Engine,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENG-013,Customer Intelligence Engine,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENG-014,Next Best Action Engine,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENG-015,Revenue Forecast Engine,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENG-016,Customer Health Engine,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENG-017,Reputation Engine,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENG-018,Referral Engine,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENG-019,Partner Channel Engine,,,
08,Enterprise CRM Sales Customer Experience,GES-P08-ENG-020,CRM Audit & Compliance Engine,,,
09,HR Workforce Talent Management,GES-P09-ENG-001,Workforce Demand Forecasting Engine,,Processes governed workforce inputs and produces explainable outputs for workforce demand forecasting engine.,
09,HR Workforce Talent Management,GES-P09-ENG-002,Capacity Planning Engine,,Processes governed workforce inputs and produces explainable outputs for capacity planning engine.,
09,HR Workforce Talent Management,GES-P09-ENG-003,Recruiting Match Engine,,Processes governed workforce inputs and produces explainable outputs for recruiting match engine.,
09,HR Workforce Talent Management,GES-P09-ENG-004,Candidate Scoring Engine,,Processes governed workforce inputs and produces explainable outputs for candidate scoring engine.,
09,HR Workforce Talent Management,GES-P09-ENG-005,Onboarding Orchestration Engine,,Processes governed workforce inputs and produces explainable outputs for onboarding orchestration engine.,
09,HR Workforce Talent Management,GES-P09-ENG-006,Worker Eligibility Engine,,Processes governed workforce inputs and produces explainable outputs for worker eligibility engine.,
09,HR Workforce Talent Management,GES-P09-ENG-007,Crew Optimization Engine,,Processes governed workforce inputs and produces explainable outputs for crew optimization engine.,
09,HR Workforce Talent Management,GES-P09-ENG-008,Workforce Scheduling Engine,,Processes governed workforce inputs and produces explainable outputs for workforce scheduling engine.,
09,HR Workforce Talent Management,GES-P09-ENG-009,Time and Attendance Rules Engine,,Processes governed workforce inputs and produces explainable outputs for time and attendance rules engine.,
09,HR Workforce Talent Management,GES-P09-ENG-010,Geofence Validation Engine,,Processes governed workforce inputs and produces explainable outputs for geofence validation engine.,
09,HR Workforce Talent Management,GES-P09-ENG-011,Labor Rate Resolution Engine,,Processes governed workforce inputs and produces explainable outputs for labor rate resolution engine.,
09,HR Workforce Talent Management,GES-P09-ENG-012,Union Agreement Engine,,Processes governed workforce inputs and produces explainable outputs for union agreement engine.,
09,HR Workforce Talent Management,GES-P09-ENG-013,Prevailing Wage Engine,,Processes governed workforce inputs and produces explainable outputs for prevailing wage engine.,
09,HR Workforce Talent Management,GES-P09-ENG-014,Certified Payroll Engine,,Processes governed workforce inputs and produces explainable outputs for certified payroll engine.,
09,HR Workforce Talent Management,GES-P09-ENG-015,Payroll Reconciliation Engine,,Processes governed workforce inputs and produces explainable outputs for payroll reconciliation engine.,
09,HR Workforce Talent Management,GES-P09-ENG-016,Credential Compliance Engine,,Processes governed workforce inputs and produces explainable outputs for credential compliance engine.,
09,HR Workforce Talent Management,GES-P09-ENG-017,Training Recommendation Engine,,Processes governed workforce inputs and produces explainable outputs for training recommendation engine.,
09,HR Workforce Talent Management,GES-P09-ENG-018,Fatigue Risk Engine,,Processes governed workforce inputs and produces explainable outputs for fatigue risk engine.,
09,HR Workforce Talent Management,GES-P09-ENG-019,Retention Risk Engine,,Processes governed workforce inputs and produces explainable outputs for retention risk engine.,
09,HR Workforce Talent Management,GES-P09-ENG-020,Performance Insight Engine,,Processes governed workforce inputs and produces explainable outputs for performance insight engine.,
09,HR Workforce Talent Management,GES-P09-ENG-021,Career Path Engine,,Processes governed workforce inputs and produces explainable outputs for career path engine.,
09,HR Workforce Talent Management,GES-P09-ENG-022,Succession Planning Engine,,Processes governed workforce inputs and produces explainable outputs for succession planning engine.,
09,HR Workforce Talent Management,GES-P09-ENG-023,Workforce Digital Twin Engine,,Processes governed workforce inputs and produces explainable outputs for workforce digital twin engine.,
09,HR Workforce Talent Management,GES-P09-ENG-024,Workforce Notification Engine,,Processes governed workforce inputs and produces explainable outputs for workforce notification engine.,
10,Enterprise Financial Management Accounting,ENG-P10-01,Financial Posting Engine,,Provides governed financial posting engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-02,Chart of Accounts & Dimension Engine,,Provides governed chart of accounts & dimension engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-03,Fiscal Period Control Engine,,Provides governed fiscal period control engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-04,Journal & Allocation Engine,,Provides governed journal & allocation engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-05,Intercompany Engine,,Provides governed intercompany engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-06,Consolidation Engine,,Provides governed consolidation engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-07,Accounts Payable Engine,,Provides governed accounts payable engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-08,Invoice Matching Engine,,Provides governed invoice matching engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-09,Payment Orchestration Engine,,Provides governed payment orchestration engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-10,Accounts Receivable Engine,,Provides governed accounts receivable engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-11,Construction Billing Engine,,Provides governed construction billing engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-12,Cash Application Engine,,Provides governed cash application engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-13,Job Cost Engine,,Provides governed job cost engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-14,Commitment Control Engine,,Provides governed commitment control engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-15,Forecast & EAC Engine,,Provides governed forecast & eac engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-16,WIP & Revenue Recognition Engine,,Provides governed wip & revenue recognition engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-17,Payroll Accounting Engine,,Provides governed payroll accounting engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-18,Cash & Treasury Engine,,Provides governed cash & treasury engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-19,Bank Reconciliation Engine,,Provides governed bank reconciliation engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-20,Fixed Asset Engine,,Provides governed fixed asset engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-21,Tax Determination Engine,,Provides governed tax determination engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-22,Financial Digital Twin Engine,,Provides governed financial digital twin engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-23,AI Coding & Anomaly Engine,,Provides governed ai coding & anomaly engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-24,Financial Reporting & Narrative Engine,,Provides governed financial reporting & narrative engine services.,
10,Enterprise Financial Management Accounting,ENG-P10-25,Integration & Reconciliation Engine,,Provides governed integration & reconciliation engine services.,
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-001,Procurement Planning Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for procurement planning engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-002,Demand Forecast Engine,AI-assisted,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for demand forecast engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-003,Replenishment Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for replenishment engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-004,Strategic Sourcing Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for strategic sourcing engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-005,Bid Leveling Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for bid leveling engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-006,Supplier Risk Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for supplier risk engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-007,Supplier Performance Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for supplier performance engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-008,Supplier Compliance Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for supplier compliance engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-009,Approval Routing Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for approval routing engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-010,Budget and Commitment Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for budget and commitment engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-011,Purchase Order Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for purchase order engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-012,Subcontract Procurement Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for subcontract procurement engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-013,Item and Catalog Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for item and catalog engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-014,Inventory Availability Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for inventory availability engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-015,Inventory Valuation Interface,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for inventory valuation interface.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-016,Warehouse Execution Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for warehouse execution engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-017,Receiving Match Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for receiving match engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-018,Logistics Scheduling Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for logistics scheduling engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-019,Route Optimization Engine,AI-assisted,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for route optimization engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-020,Rental Optimization Engine,AI-assisted,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for rental optimization engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-021,Price Intelligence Engine,AI-assisted,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for price intelligence engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-022,Lead-Time Prediction Engine,AI-assisted,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for lead-time prediction engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-023,Three-Way Match Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for three-way match engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-024,Procurement Anomaly Engine,AI-assisted,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for procurement anomaly engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-025,Contract Compliance Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for contract compliance engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-026,Substitution Recommendation Engine,AI-assisted,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for substitution recommendation engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-027,Supply Disruption Engine,Deterministic,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for supply disruption engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-028,Supply Chain Digital Twin Engine,AI-assisted,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for supply chain digital twin engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-029,Procurement Copilot Engine,AI-assisted,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for procurement copilot engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
11,Enterprise Procurement Supply Chain Inventory,P11-ENG-030,Executive Supply Chain Intelligence Engine,AI-assisted,"Processes governed Phase 11 inputs to produce explainable, auditable outputs for executive supply chain intelligence engine.","Human approval required for commitments, awards, substitutions and financial-impacting actions"
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-01,Asset Registry Engine,,Deterministic and/or governed AI service for asset registry engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-02,Lifecycle State Engine,,Deterministic and/or governed AI service for lifecycle state engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-03,Maintenance Due Engine,,Deterministic and/or governed AI service for maintenance due engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-04,Work Order Orchestration Engine,,Deterministic and/or governed AI service for work order orchestration engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-05,Inspection Rules Engine,,Deterministic and/or governed AI service for inspection rules engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-06,Defect Severity Engine,,Deterministic and/or governed AI service for defect severity engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-07,Telematics Normalization Engine,,Deterministic and/or governed AI service for telematics normalization engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-08,Meter Integrity Engine,,Deterministic and/or governed AI service for meter integrity engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-09,Fuel Reconciliation Engine,,Deterministic and/or governed AI service for fuel reconciliation engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-10,Idle Analytics Engine,,Deterministic and/or governed AI service for idle analytics engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-11,Utilization Engine,,Deterministic and/or governed AI service for utilization engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-12,Availability Engine,,Deterministic and/or governed AI service for availability engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-13,Dispatch Optimization Engine,,Deterministic and/or governed AI service for dispatch optimization engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-14,Parts Demand Engine,,Deterministic and/or governed AI service for parts demand engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-15,Warranty Eligibility Engine,,Deterministic and/or governed AI service for warranty eligibility engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-16,Warranty Recovery Engine,,Deterministic and/or governed AI service for warranty recovery engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-17,Compliance Calendar Engine,,Deterministic and/or governed AI service for compliance calendar engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-18,Operator Authorization Engine,,Deterministic and/or governed AI service for operator authorization engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-19,Equipment Cost Engine,,Deterministic and/or governed AI service for equipment cost engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-20,Internal Rate Engine,,Deterministic and/or governed AI service for internal rate engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-21,Project Chargeback Engine,,Deterministic and/or governed AI service for project chargeback engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-22,Replacement Planning Engine,,Deterministic and/or governed AI service for replacement planning engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-23,Failure Prediction Engine,,Deterministic and/or governed AI service for failure prediction engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-24,Asset Health Score Engine,,Deterministic and/or governed AI service for asset health score engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-25,Tire Wear Engine,,Deterministic and/or governed AI service for tire wear engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
12,Enterprise Fleet Asset Maintenance Telematics,P12-ENG-26,Undercarriage Wear Engine,,Deterministic and/or governed AI service for undercarriage wear engine.,"Inputs, outputs, model/rule version, confidence, overrides, and audit evidence retained."
