finding_type,reference,finding,count,severity,disposition
Traceability mapping gap,CPF-000030,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000031,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000032,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000033,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000034,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000035,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000036,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000037,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000038,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000039,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000040,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000041,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000042,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000043,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000044,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000045,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000046,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000047,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000048,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000049,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000050,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000051,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000052,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000053,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000054,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000055,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000056,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000057,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000058,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000059,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000060,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000001,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000002,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000003,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000004,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000005,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000006,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000007,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000008,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000009,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000010,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000011,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000012,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000013,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000014,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000015,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000016,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000017,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000018,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000019,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000020,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000021,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000022,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000023,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000024,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000025,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000026,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000027,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000028,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000029,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000030,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000031,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000032,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000033,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000034,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000035,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000036,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000037,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000038,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000039,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000040,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000041,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000042,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000043,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000044,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000045,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000046,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000047,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000048,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000049,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000050,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000051,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000052,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000053,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000054,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000055,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000056,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000057,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000058,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000059,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000060,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000061,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000062,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000063,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000064,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000065,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000066,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000067,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000068,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000069,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000070,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000071,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000072,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000073,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000074,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,EDM-000075,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-001,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-002,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-003,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-004,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-005,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-006,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-007,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-008,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-009,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-010,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-011,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-012,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-013,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-014,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-015,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-016,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-017,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-018,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-019,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-020,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-021,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-022,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-023,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-024,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-025,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-026,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-027,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-028,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-029,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-030,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-031,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-032,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-033,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-034,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-035,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-036,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-037,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-038,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-039,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-040,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-041,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-042,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-043,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-044,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-045,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-046,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-047,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-048,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-049,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-050,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-051,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-052,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-053,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-054,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-055,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,GES-P05-REQ-056,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
