Requirement_ID,Category,Name,Priority,Status,Description,Acceptance_Criteria,Dependencies,Owner,Version
CPF-000031,Integration,Export engine,High,Review,The platform shall export authorized data to governed formats with filters and classification controls.,"Exports record requester, criteria, file, checksum, retention, and expiration.",Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000032,Mobile & Offline,Mobile application shell,High,Review,The platform shall provide a reusable mobile shell for field workflows.,"The shell supports secure login, navigation, camera, location, notifications, and local storage.",Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000033,Mobile & Offline,Offline data packs,Critical,Review,Authorized users shall download scoped offline data packs for field work.,"Offline packs are encrypted, time-limited, versioned, and revocable.",Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000034,Mobile & Offline,Offline transaction queue,Critical,Review,Offline actions shall be queued locally with durable ordering and status.,"Queued changes preserve original user, device, timestamp, and correlation.",Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000035,Mobile & Offline,Synchronization engine,Critical,Review,The platform shall synchronize offline and online changes with deterministic conflict handling.,"Sync results identify applied, rejected, merged, and manual-review changes.",Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000036,Mobile & Offline,Attachment synchronization,High,Review,Files captured offline shall upload resumably with checksums and classification.,Duplicate or corrupt uploads are detected.,Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000037,Observability,Structured logging,Critical,Review,All services shall emit structured logs with tenant-safe correlation fields.,Logs exclude prohibited secrets and sensitive payloads by default.,Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000038,Observability,Metrics and health,Critical,Review,"Services shall expose health, capacity, latency, error, and dependency metrics.","Health checks distinguish startup, readiness, liveness, and degraded state.",Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000039,Observability,Distributed tracing,High,Review,"Requests, events, jobs, workflows, and AI actions shall support distributed tracing.",A correlation can be followed across service boundaries.,Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000040,Observability,Alerting framework,High,Review,Operational thresholds shall create deduplicated alerts with ownership and escalation.,"Alerts contain runbook, impact, severity, and supporting evidence.",Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000041,Security,Encryption in transit,Critical,Review,All supported network communication shall use approved encrypted transport.,Insecure transport is rejected except isolated approved development environments.,Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000042,Security,Encryption at rest,Critical,Review,Governed data shall be encrypted at rest with managed keys.,"Key use, rotation, access, and failure are auditable.",Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000043,Security,Secrets management,Critical,Review,Credentials and secrets shall be stored only in approved secret stores.,"Secrets are never persisted in source code, ordinary logs, or user-visible configuration.",Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000044,Security,Malware and content scanning,High,Review,Uploaded content shall be scanned and quarantined based on policy.,Unsafe content cannot be opened or distributed before disposition.,Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000045,Security,Backup and restore,Critical,Review,The platform shall perform encrypted backups and tested restoration.,Restore tests prove stated recovery point and recovery time objectives.,Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000046,Security,Disaster recovery,Critical,Review,"Critical services shall have documented failover, recovery, and communication procedures.",Recovery exercises produce evidence and corrective actions.,Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000047,Security,Rate limiting and abuse control,High,Review,"The platform shall rate-limit and detect abusive API, login, export, and automation behavior.",Controls can be scoped and do not expose cross-tenant information.,Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000048,Localization,Time zone framework,Critical,Review,All timestamps shall be stored in UTC and rendered using declared user or project time zones.,Scheduling and due dates remain correct through daylight-saving transitions.,Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000049,Localization,Unit framework,Critical,Review,The platform shall support US customary and metric units with governed conversion and precision.,"Every quantity stores value, unit, precision, and conversion provenance.",Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000050,Localization,Currency framework,Critical,Review,Monetary values shall store currency and support governed conversion rates where required.,No arithmetic combines different currencies without an explicit conversion.,Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000051,Localization,Language and locale,High,Review,"The platform shall support locale-aware text, numbers, dates, and translations.",Users can select supported locale without changing stored canonical values.,Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000052,AI Platform,Model gateway,Critical,Review,AI model calls shall pass through a governed model gateway.,"The gateway enforces model policy, tenant context, limits, logging, redaction, and fallback.",Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000053,AI Platform,Agent registry,Critical,Review,"AI agents shall be registered with owner, purpose, version, permissions, tools, and evaluation status.",Unregistered or disabled agents cannot execute.,Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000054,AI Platform,Tool execution service,Critical,Review,"AI tools shall execute through permissioned, validated, observable adapters.","Every tool invocation records input summary, output summary, result, duration, and correlation.",Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000055,AI Platform,Prompt and policy registry,High,Review,"Prompts and AI policies shall be versioned, approved, testable, and rollbackable.",Production execution identifies exact prompt and policy versions.,Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000056,AI Platform,Evidence and citation service,Critical,Review,AI outputs shall attach source references and evidence where required.,Evidence remains resolvable to the authorized source version.,Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000057,AI Platform,AI evaluation framework,Critical,Review,"Agents and prompts shall be evaluated for accuracy, safety, authorization, consistency, and business acceptance.",Failed release gates prevent promotion.,Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000058,AI Platform,AI usage and cost metering,High,Review,"The platform shall meter AI requests, tokens, tools, latency, errors, and cost by tenant and capability.",Usage reports reconcile to gateway records.,Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000059,Platform Services,Platform event audit,Critical,Review,Material platform events shall be preserved in an immutable audit trail.,"Events can be correlated to request, actor, service, object, and tenant.",Phase 01 Governance,Core Platform Architecture,1.0.0-review
CPF-000060,Platform Services,Data portability,High,Review,Authorized tenants shall export core data and attachments in documented formats.,"Exports are complete, traceable, and do not include unauthorized shared data.",Phase 01 Governance,Core Platform Architecture,1.0.0-review
