Entity_ID,Name,Purpose,Key_Attributes,Relationships,Lifecycle,Owner,Classification
ENT-P02-022,EventDelivery,Consumer delivery state,delivery_id; event_id; consumer; attempt; status; error; next_attempt,"DomainEvent, DeadLetterItem",pending; delivered; retry; dead-lettered,Integration Platform,Restricted
ENT-P02-023,WebhookSubscription,Tenant outbound webhook configuration,subscription_id; tenant_id; event_types; endpoint; secret_ref; status,WebhookDelivery,draft; active; paused; disabled,Integration Platform,Highly Confidential
ENT-P02-024,WebhookDelivery,Signed delivery attempt,delivery_id; subscription_id; event_id; attempt; status; response_code,WebhookSubscription,queued; delivered; retry; failed; dead-lettered,Integration Platform,Restricted
ENT-P02-025,ConnectorInstance,Configured external system connector,connector_id; tenant_id; type; credential_ref; scopes; mapping_version; status,SyncRun,draft; active; paused; error; retired,Integration Platform,Highly Confidential
ENT-P02-026,ImportBatch,Governed import execution,import_batch_id; tenant_id; source_file; mapping; counts; status,ImportRowResult,uploaded; validating; preview; importing; completed; failed,Data Exchange,Confidential
ENT-P02-027,ExportPackage,Governed export artifact,export_id; requester; criteria; format; checksum; expires_at; status,FileObject,requested; generating; available; expired; failed,Data Exchange,Confidential
ENT-P02-028,OfflinePack,Encrypted field data package,offline_pack_id; user; device; scope; version; expires_at; status,SyncTransaction,building; available; downloaded; expired; revoked,Mobile Platform,Highly Confidential
ENT-P02-029,SyncTransaction,Offline-originating change,sync_transaction_id; device; actor; object_ref; operation; base_version; payload_ref; status,"OfflinePack, ConflictCase",queued; received; applied; rejected; conflict; review,Mobile Platform,Restricted
ENT-P02-030,ConflictCase,Manual or governed sync conflict,conflict_case_id; object_ref; local_version; server_version; policy; resolution; status,SyncTransaction,open; resolved; rejected,Mobile Platform,Confidential
ENT-P02-031,FeatureFlag,Versioned rollout control,feature_flag_id; key; targeting; allocation; effective dates; status,"Tenant, User",draft; active; paused; retired,Release Management,Confidential
ENT-P02-032,SecretReference,Reference to protected secret,secret_ref_id; store; path_alias; owner; rotation_due; status,"ServiceIdentity, ConnectorInstance",active; rotation_due; revoked,Security Engineering,Highly Confidential
ENT-P02-033,BackupSet,Encrypted recovery point,backup_set_id; scope; created_at; checksum; location; retention; restore_test_status,RestoreTest,creating; available; expired; failed,Resilience Engineering,Highly Confidential
ENT-P02-034,AIAgentDefinition,Registered AI agent version,agent_id; version; owner; purpose; permissions; tools; prompt_refs; eval_status; status,"AIExecution, ToolDefinition",draft; review; approved; active; suspended; retired,AI Platform,Confidential
ENT-P02-035,AIExecution,Governed AI request execution,ai_execution_id; tenant; actor; agent_version; model; prompt_version; evidence_refs; result; cost,"AIAgentDefinition, AIToolInvocation",queued; running; completed; failed; blocked,AI Platform,Highly Confidential
ENT-P02-036,AIToolInvocation,Permissioned AI tool call,tool_invocation_id; execution_id; tool_version; permission_decision; input_ref; output_ref; status,"AIExecution, ToolDefinition",requested; authorized; executed; denied; failed,AI Platform,Highly Confidential
