rule_id,domain,name,rule,severity
P17-BR-011,Compactor Guidance,Machine-control rule 11,"Machine-control condition 11 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-012,Loader & Material Handling,Machine-control rule 12,"Machine-control condition 12 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-013,Paver/Milling Guidance,Machine-control rule 13,"Machine-control condition 13 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-014,Trenching & Utilities,Machine-control rule 14,"Machine-control condition 14 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-015,Road & Highway Machine Control,Machine-control rule 15,"Machine-control condition 15 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-016,Site Models & Job Files,Machine-control rule 16,"Machine-control condition 16 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-017,Field Data Sync,Machine-control rule 17,"Machine-control condition 17 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-018,Machine Telemetry Integration,Machine-control rule 18,"Machine-control condition 18 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-019,Operator Interface,Machine-control rule 19,"Machine-control condition 19 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-020,Safety & Exclusion Controls,Machine-control rule 20,"Machine-control condition 20 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-021,Design Change Management,Machine-control rule 21,"Machine-control condition 21 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-022,As-Built & Production Capture,Machine-control rule 22,"Machine-control condition 22 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-023,Quality Assurance,Machine-control rule 23,"Machine-control condition 23 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-024,Field Automation,Machine-control rule 24,"Machine-control condition 24 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-025,Remote Support & Diagnostics,Machine-control rule 25,"Machine-control condition 25 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-026,Device & Firmware Management,Machine-control rule 26,"Machine-control condition 26 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-027,Vendor/Platform Interoperability,Machine-control rule 27,"Machine-control condition 27 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-028,AI Machine Intelligence,Machine-control rule 28,"Machine-control condition 28 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-029,Machine Control Digital Twin,Machine-control rule 29,"Machine-control condition 29 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-030,Machine Control Core,Machine-control rule 30,"Machine-control condition 30 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-031,GPS/GNSS Positioning,Machine-control rule 31,"Machine-control condition 31 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-032,Localization & Calibration,Machine-control rule 32,"Machine-control condition 32 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-033,3D Models & Surfaces,Machine-control rule 33,"Machine-control condition 33 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-034,2D Guidance,Machine-control rule 34,"Machine-control condition 34 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-035,3D Guidance,Machine-control rule 35,"Machine-control condition 35 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-036,Automatic Grade Control,Machine-control rule 36,"Machine-control condition 36 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-037,Excavator Guidance,Machine-control rule 37,"Machine-control condition 37 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-038,Dozer Guidance,Machine-control rule 38,"Machine-control condition 38 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-039,Grader Guidance,Machine-control rule 39,"Machine-control condition 39 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-040,Compactor Guidance,Machine-control rule 40,"Machine-control condition 40 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-041,Loader & Material Handling,Machine-control rule 41,"Machine-control condition 41 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-042,Paver/Milling Guidance,Machine-control rule 42,"Machine-control condition 42 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-043,Trenching & Utilities,Machine-control rule 43,"Machine-control condition 43 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-044,Road & Highway Machine Control,Machine-control rule 44,"Machine-control condition 44 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-045,Site Models & Job Files,Machine-control rule 45,"Machine-control condition 45 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-046,Field Data Sync,Machine-control rule 46,"Machine-control condition 46 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-047,Machine Telemetry Integration,Machine-control rule 47,"Machine-control condition 47 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-048,Operator Interface,Machine-control rule 48,"Machine-control condition 48 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-049,Safety & Exclusion Controls,Machine-control rule 49,"Machine-control condition 49 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-050,Design Change Management,Machine-control rule 50,"Machine-control condition 50 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-051,As-Built & Production Capture,Machine-control rule 51,"Machine-control condition 51 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-052,Quality Assurance,Machine-control rule 52,"Machine-control condition 52 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-053,Field Automation,Machine-control rule 53,"Machine-control condition 53 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-054,Remote Support & Diagnostics,Machine-control rule 54,"Machine-control condition 54 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-055,Device & Firmware Management,Machine-control rule 55,"Machine-control condition 55 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-056,Vendor/Platform Interoperability,Machine-control rule 56,"Machine-control condition 56 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Blocking
P17-BR-057,AI Machine Intelligence,Machine-control rule 57,"Machine-control condition 57 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Advisory
P17-BR-058,Machine Control Digital Twin,Machine-control rule 58,"Machine-control condition 58 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Advisory
P17-BR-059,Machine Control Core,Machine-control rule 59,"Machine-control condition 59 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Advisory
P17-BR-060,GPS/GNSS Positioning,Machine-control rule 60,"Machine-control condition 60 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Advisory
P17-BR-061,Localization & Calibration,Machine-control rule 61,"Machine-control condition 61 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Advisory
P17-BR-062,3D Models & Surfaces,Machine-control rule 62,"Machine-control condition 62 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Advisory
P17-BR-063,2D Guidance,Machine-control rule 63,"Machine-control condition 63 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Advisory
P17-BR-064,3D Guidance,Machine-control rule 64,"Machine-control condition 64 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Advisory
P17-BR-065,Automatic Grade Control,Machine-control rule 65,"Machine-control condition 65 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Advisory
P17-BR-066,Excavator Guidance,Machine-control rule 66,"Machine-control condition 66 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Advisory
P17-BR-067,Dozer Guidance,Machine-control rule 67,"Machine-control condition 67 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Advisory
P17-BR-068,Grader Guidance,Machine-control rule 68,"Machine-control condition 68 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Advisory
P17-BR-069,Compactor Guidance,Machine-control rule 69,"Machine-control condition 69 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Advisory
P17-BR-070,Loader & Material Handling,Machine-control rule 70,"Machine-control condition 70 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Advisory
P17-BR-071,Paver/Milling Guidance,Machine-control rule 71,"Machine-control condition 71 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Advisory
P17-BR-072,Trenching & Utilities,Machine-control rule 72,"Machine-control condition 72 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Advisory
P17-BR-073,Road & Highway Machine Control,Machine-control rule 73,"Machine-control condition 73 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Advisory
P17-BR-074,Site Models & Job Files,Machine-control rule 74,"Machine-control condition 74 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Advisory
P17-BR-075,Field Data Sync,Machine-control rule 75,"Machine-control condition 75 shall enforce approved design/localization versions, compatible device/machine context, required operator authority, safety boundaries, synchronization evidence and immutable audit history.",Advisory
