ui_id,name,domain,capabilities,form_factor
P17-UI-001,Machine Control Command Center,Machine Control Core,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-014,Job Package Approval,Trenching & Utilities,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-015,Machine Assignment Board,Road & Highway Machine Control,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-016,Operator Authorization,Site Models & Job Files,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-017,Job Load & Acknowledgement,Field Data Sync,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-018,In-Cab 2D Guidance,Machine Telemetry Integration,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-019,In-Cab 3D Guidance,Operator Interface,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-020,Automatic Control Status,Safety & Exclusion Controls,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-021,Excavator Guidance View,Design Change Management,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-022,Dozer Guidance View,As-Built & Production Capture,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-023,Grader Guidance View,Quality Assurance,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-024,Compactor Guidance View,Field Automation,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-025,Paver/Milling Guidance,Remote Support & Diagnostics,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-026,Trench/Utility Guidance,Device & Firmware Management,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-027,Road/Highway Guidance,Vendor/Platform Interoperability,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-028,Geofence/No-Go Manager,AI Machine Intelligence,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-029,Position Quality Monitor,Machine Control Digital Twin,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-030,GNSS/Correction Health,Machine Control Core,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-031,Safety & Revision Alerts,GPS/GNSS Positioning,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-032,Field Issue Mobile,Localization & Calibration,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-033,Design Change Impact Center,3D Models & Surfaces,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-034,Withdrawal/Reissue Center,2D Guidance,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-035,Sync Monitor,3D Guidance,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-036,Offline Conflict Center,Automatic Grade Control,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-037,As-Built Viewer,Excavator Guidance,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-038,Production & Pass Map,Dozer Guidance,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-039,Tolerance/Conformance Center,Grader Guidance,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-040,Compaction QA,Compactor Guidance,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-041,Remote Support Console,Loader & Material Handling,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-042,Device Diagnostics,Paver/Milling Guidance,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-043,Vendor File Conversion,Trenching & Utilities,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-044,Field Automation Studio,Road & Highway Machine Control,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-045,AI Machine Intelligence Review,Site Models & Job Files,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-046,Machine Control Analytics,Field Data Sync,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-047,Machine Control Digital Twin,Machine Telemetry Integration,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-048,Mobile Supervisor View,Operator Interface,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-049,Machine Control Administration,Safety & Exclusion Controls,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
