workflow_id,name,domain,states,control
P17-WF-023,Compactor Guidance,Quality Assurance,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-024,Loader Guidance,Field Automation,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-025,Paver Guidance,Remote Support & Diagnostics,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-026,Milling Guidance,Device & Firmware Management,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-027,Trench/Utility Guidance,Vendor/Platform Interoperability,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-028,Road/Highway Guidance,AI Machine Intelligence,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-029,Geofence/No-Go Publication,Machine Control Digital Twin,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-030,Safety Alert & Escalation,Machine Control Core,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-031,Position Quality Exception,GPS/GNSS Positioning,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-032,Calibration Exception,Localization & Calibration,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-033,Device Health Exception,3D Models & Surfaces,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-034,Field Issue Capture,2D Guidance,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-035,Design Change Impact Review,3D Guidance,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-036,Job Withdrawal,Automatic Grade Control,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-037,Job Reissue,Excavator Guidance,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-038,Machine-to-Cloud Sync,Dozer Guidance,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-039,Cloud-to-Machine Sync,Grader Guidance,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-040,Offline Conflict Resolution,Compactor Guidance,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-041,As-Built Capture,Loader & Material Handling,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-042,Production Capture,Paver/Milling Guidance,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-043,Tolerance/Conformance Review,Trenching & Utilities,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-044,Compaction QA Review,Road & Highway Machine Control,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-045,Remote Support Session,Site Models & Job Files,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-046,Firmware/Software Update Review,Field Data Sync,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-047,Vendor File Conversion,Machine Telemetry Integration,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-048,Machine Control QA Audit,Operator Interface,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-049,AI Model/Anomaly Review,Safety & Exclusion Controls,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-050,Machine Control Digital Twin Refresh,Design Change Management,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
P17-WF-051,Closeout & Archive,As-Built & Production Capture,Initiate > Validate > Approve/Authorize > Deploy/Execute > Monitor > Verify > Acknowledge/Close,"Safety, model revision, localization, operator and device gates enforced"
