entity_id,name,domain,definition,key,governance
P17-ENT-001,MachineControlProject,Machine Control Core,Canonical machine-control/field-automation entity for MachineControlProject.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-047,IMUSensor,Machine Telemetry Integration,Canonical machine-control/field-automation entity for IMUSensor.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-048,AngleSensor,Operator Interface,Canonical machine-control/field-automation entity for AngleSensor.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-049,BladeSensor,Safety & Exclusion Controls,Canonical machine-control/field-automation entity for BladeSensor.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-050,BucketSensor,Design Change Management,Canonical machine-control/field-automation entity for BucketSensor.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-051,MastSensor,As-Built & Production Capture,Canonical machine-control/field-automation entity for MastSensor.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-052,SlopeSensor,Quality Assurance,Canonical machine-control/field-automation entity for SlopeSensor.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-053,PressureSensor,Field Automation,Canonical machine-control/field-automation entity for PressureSensor.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-054,CorrectionService,Remote Support & Diagnostics,Canonical machine-control/field-automation entity for CorrectionService.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-055,RTKSource,Device & Firmware Management,Canonical machine-control/field-automation entity for RTKSource.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-056,RTNSource,Vendor/Platform Interoperability,Canonical machine-control/field-automation entity for RTNSource.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-057,RadioLink,AI Machine Intelligence,Canonical machine-control/field-automation entity for RadioLink.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-058,CellularLink,Machine Control Digital Twin,Canonical machine-control/field-automation entity for CellularLink.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-059,PositionSolution,Machine Control Core,Canonical machine-control/field-automation entity for PositionSolution.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-060,PositionQuality,GPS/GNSS Positioning,Canonical machine-control/field-automation entity for PositionQuality.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-061,SatelliteStatus,Localization & Calibration,Canonical machine-control/field-automation entity for SatelliteStatus.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-062,MachineJobLoad,3D Models & Surfaces,Canonical machine-control/field-automation entity for MachineJobLoad.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-063,JobImport,2D Guidance,Canonical machine-control/field-automation entity for JobImport.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-064,JobExport,3D Guidance,Canonical machine-control/field-automation entity for JobExport.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-065,JobAcknowledgement,Automatic Grade Control,Canonical machine-control/field-automation entity for JobAcknowledgement.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-066,JobWithdrawal,Excavator Guidance,Canonical machine-control/field-automation entity for JobWithdrawal.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-067,JobSupersession,Dozer Guidance,Canonical machine-control/field-automation entity for JobSupersession.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-068,DeviceCompatibility,Grader Guidance,Canonical machine-control/field-automation entity for DeviceCompatibility.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-069,FirmwareVersion,Compactor Guidance,Canonical machine-control/field-automation entity for FirmwareVersion.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-070,SoftwareVersion,Loader & Material Handling,Canonical machine-control/field-automation entity for SoftwareVersion.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-071,ConfigurationProfile,Paver/Milling Guidance,Canonical machine-control/field-automation entity for ConfigurationProfile.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-072,DeviceConfiguration,Trenching & Utilities,Canonical machine-control/field-automation entity for DeviceConfiguration.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-073,DeviceHealth,Road & Highway Machine Control,Canonical machine-control/field-automation entity for DeviceHealth.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-074,MachineControlSession,Site Models & Job Files,Canonical machine-control/field-automation entity for MachineControlSession.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-075,OperatorSession,Field Data Sync,Canonical machine-control/field-automation entity for OperatorSession.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-076,OperatorAcknowledgement,Machine Telemetry Integration,Canonical machine-control/field-automation entity for OperatorAcknowledgement.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-077,OperatorTrainingRecord,Operator Interface,Canonical machine-control/field-automation entity for OperatorTrainingRecord.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-078,GuidanceMode,Safety & Exclusion Controls,Canonical machine-control/field-automation entity for GuidanceMode.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-079,AutoControlMode,Design Change Management,Canonical machine-control/field-automation entity for AutoControlMode.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-080,AutoControlEnablement,As-Built & Production Capture,Canonical machine-control/field-automation entity for AutoControlEnablement.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-081,ManualOverride,Quality Assurance,Canonical machine-control/field-automation entity for ManualOverride.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-082,CutFillReading,Field Automation,Canonical machine-control/field-automation entity for CutFillReading.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-083,GradeReading,Remote Support & Diagnostics,Canonical machine-control/field-automation entity for GradeReading.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-084,SlopeReading,Device & Firmware Management,Canonical machine-control/field-automation entity for SlopeReading.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-085,CrossSlopeReading,Vendor/Platform Interoperability,Canonical machine-control/field-automation entity for CrossSlopeReading.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-086,BucketTipReading,AI Machine Intelligence,Canonical machine-control/field-automation entity for BucketTipReading.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-087,BladePositionReading,Machine Control Digital Twin,Canonical machine-control/field-automation entity for BladePositionReading.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-088,PassRecord,Machine Control Core,Canonical machine-control/field-automation entity for PassRecord.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-089,CoverageRecord,GPS/GNSS Positioning,Canonical machine-control/field-automation entity for CoverageRecord.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-090,CompactionPass,Localization & Calibration,Canonical machine-control/field-automation entity for CompactionPass.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-091,CompactionZone,3D Models & Surfaces,Canonical machine-control/field-automation entity for CompactionZone.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-092,CompactionTarget,2D Guidance,Canonical machine-control/field-automation entity for CompactionTarget.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-093,CompactionMeasurement,3D Guidance,Canonical machine-control/field-automation entity for CompactionMeasurement.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-094,MillingDepthRecord,Automatic Grade Control,Canonical machine-control/field-automation entity for MillingDepthRecord.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-095,PavingElevationRecord,Excavator Guidance,Canonical machine-control/field-automation entity for PavingElevationRecord.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-096,TrenchDepthRecord,Dozer Guidance,Canonical machine-control/field-automation entity for TrenchDepthRecord.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-097,PipeInvertRecord,Grader Guidance,Canonical machine-control/field-automation entity for PipeInvertRecord.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-098,UtilityClearanceRecord,Compactor Guidance,Canonical machine-control/field-automation entity for UtilityClearanceRecord.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-099,NoGoZone,Loader & Material Handling,Canonical machine-control/field-automation entity for NoGoZone.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-100,Geofence,Paver/Milling Guidance,Canonical machine-control/field-automation entity for Geofence.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-101,HazardZone,Trenching & Utilities,Canonical machine-control/field-automation entity for HazardZone.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-102,OverheadHazard,Road & Highway Machine Control,Canonical machine-control/field-automation entity for OverheadHazard.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-103,SlopeLimit,Site Models & Job Files,Canonical machine-control/field-automation entity for SlopeLimit.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-104,ExclusionAlert,Field Data Sync,Canonical machine-control/field-automation entity for ExclusionAlert.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-105,SafetyAlert,Machine Telemetry Integration,Canonical machine-control/field-automation entity for SafetyAlert.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-106,QualityAlert,Operator Interface,Canonical machine-control/field-automation entity for QualityAlert.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-107,RevisionAlert,Safety & Exclusion Controls,Canonical machine-control/field-automation entity for RevisionAlert.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-108,SyncAlert,Design Change Management,Canonical machine-control/field-automation entity for SyncAlert.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-109,DeviceAlert,As-Built & Production Capture,Canonical machine-control/field-automation entity for DeviceAlert.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-110,TelemetrySnapshot,Quality Assurance,Canonical machine-control/field-automation entity for TelemetrySnapshot.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-111,MachinePosition,Field Automation,Canonical machine-control/field-automation entity for MachinePosition.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-112,UtilizationRecord,Remote Support & Diagnostics,Canonical machine-control/field-automation entity for UtilizationRecord.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-113,IdleRecord,Device & Firmware Management,Canonical machine-control/field-automation entity for IdleRecord.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-114,FuelRecord,Vendor/Platform Interoperability,Canonical machine-control/field-automation entity for FuelRecord.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-115,FaultCodeRecord,AI Machine Intelligence,Canonical machine-control/field-automation entity for FaultCodeRecord.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-116,ProductionRecord,Machine Control Digital Twin,Canonical machine-control/field-automation entity for ProductionRecord.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-117,MaterialMovementRecord,Machine Control Core,Canonical machine-control/field-automation entity for MaterialMovementRecord.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-118,AsBuiltPoint,GPS/GNSS Positioning,Canonical machine-control/field-automation entity for AsBuiltPoint.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-119,AsBuiltLine,Localization & Calibration,Canonical machine-control/field-automation entity for AsBuiltLine.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-120,AsBuiltSurface,3D Models & Surfaces,Canonical machine-control/field-automation entity for AsBuiltSurface.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-121,ConformanceCheck,2D Guidance,Canonical machine-control/field-automation entity for ConformanceCheck.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-122,ToleranceRule,3D Guidance,Canonical machine-control/field-automation entity for ToleranceRule.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-123,ToleranceResult,Automatic Grade Control,Canonical machine-control/field-automation entity for ToleranceResult.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-124,Checkpoint,Excavator Guidance,Canonical machine-control/field-automation entity for Checkpoint.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-125,QAReview,Dozer Guidance,Canonical machine-control/field-automation entity for QAReview.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-126,QAApproval,Grader Guidance,Canonical machine-control/field-automation entity for QAApproval.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-127,FieldIssue,Compactor Guidance,Canonical machine-control/field-automation entity for FieldIssue.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-128,FieldIssueResolution,Loader & Material Handling,Canonical machine-control/field-automation entity for FieldIssueResolution.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-129,DesignChange,Paver/Milling Guidance,Canonical machine-control/field-automation entity for DesignChange.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-130,DesignChangeImpact,Trenching & Utilities,Canonical machine-control/field-automation entity for DesignChangeImpact.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-131,ReissuePackage,Road & Highway Machine Control,Canonical machine-control/field-automation entity for ReissuePackage.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-132,WithdrawalNotice,Site Models & Job Files,Canonical machine-control/field-automation entity for WithdrawalNotice.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-133,FieldAcknowledgement,Field Data Sync,Canonical machine-control/field-automation entity for FieldAcknowledgement.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-134,SyncSession,Machine Telemetry Integration,Canonical machine-control/field-automation entity for SyncSession.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-135,SyncConflict,Operator Interface,Canonical machine-control/field-automation entity for SyncConflict.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-136,OfflineCache,Safety & Exclusion Controls,Canonical machine-control/field-automation entity for OfflineCache.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-137,TransferJob,Design Change Management,Canonical machine-control/field-automation entity for TransferJob.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-138,TransferReceipt,As-Built & Production Capture,Canonical machine-control/field-automation entity for TransferReceipt.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-139,RemoteSupportSession,Quality Assurance,Canonical machine-control/field-automation entity for RemoteSupportSession.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-140,RemoteSupportApproval,Field Automation,Canonical machine-control/field-automation entity for RemoteSupportApproval.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-141,DiagnosticLog,Remote Support & Diagnostics,Canonical machine-control/field-automation entity for DiagnosticLog.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-142,SupportTicket,Device & Firmware Management,Canonical machine-control/field-automation entity for SupportTicket.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-143,VendorAdapter,Vendor/Platform Interoperability,Canonical machine-control/field-automation entity for VendorAdapter.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-144,VendorFormat,AI Machine Intelligence,Canonical machine-control/field-automation entity for VendorFormat.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-145,FormatMapping,Machine Control Digital Twin,Canonical machine-control/field-automation entity for FormatMapping.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-146,LandXMLFile,Machine Control Core,Canonical machine-control/field-automation entity for LandXMLFile.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-147,DXFFile,GPS/GNSS Positioning,Canonical machine-control/field-automation entity for DXFFile.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-148,TTMFile,Localization & Calibration,Canonical machine-control/field-automation entity for TTMFile.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-149,XMLJobFile,3D Models & Surfaces,Canonical machine-control/field-automation entity for XMLJobFile.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-150,CSVPointFile,2D Guidance,Canonical machine-control/field-automation entity for CSVPointFile.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-151,ProprietaryJobFile,3D Guidance,Canonical machine-control/field-automation entity for ProprietaryJobFile.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-152,DigitalWorkInstruction,Automatic Grade Control,Canonical machine-control/field-automation entity for DigitalWorkInstruction.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-153,AutomationRule,Excavator Guidance,Canonical machine-control/field-automation entity for AutomationRule.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-154,AutomationTrigger,Dozer Guidance,Canonical machine-control/field-automation entity for AutomationTrigger.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-155,AutomationAction,Grader Guidance,Canonical machine-control/field-automation entity for AutomationAction.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-156,AutomationEvent,Compactor Guidance,Canonical machine-control/field-automation entity for AutomationEvent.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-157,TaskSequence,Loader & Material Handling,Canonical machine-control/field-automation entity for TaskSequence.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-158,FieldTask,Paver/Milling Guidance,Canonical machine-control/field-automation entity for FieldTask.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
