report_id,name,audience,purpose,formats
P17-RPT-027,Sync Success/Failure,Operations/Survey/Fleet/Project/Executive,"Governed sync success/failure with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-028,Offline Conflict Report,Operations/Survey/Fleet/Project/Executive,"Governed offline conflict report with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-029,As-Built Capture,Operations/Survey/Fleet/Project/Executive,"Governed as-built capture with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-030,Cut/Fill Progress,Operations/Survey/Fleet/Project/Executive,"Governed cut/fill progress with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-031,Material Movement,Operations/Survey/Fleet/Project/Executive,"Governed material movement with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-032,Tolerance/Conformance,Operations/Survey/Fleet/Project/Executive,"Governed tolerance/conformance with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-033,Machine Control QA,Operations/Survey/Fleet/Project/Executive,"Governed machine control qa with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-034,Device Diagnostics,Operations/Survey/Fleet/Project/Executive,"Governed device diagnostics with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-035,Remote Support Audit,Operations/Survey/Fleet/Project/Executive,"Governed remote support audit with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-036,Vendor File Conversion,Operations/Survey/Fleet/Project/Executive,"Governed vendor file conversion with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-037,Field Automation Performance,Operations/Survey/Fleet/Project/Executive,"Governed field automation performance with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-038,AI Recommendation Review,Operations/Survey/Fleet/Project/Executive,"Governed ai recommendation review with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-039,Machine Control KPI Scorecard,Operations/Survey/Fleet/Project/Executive,"Governed machine control kpi scorecard with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
P17-RPT-040,Machine Control Digital Twin Status,Operations/Survey/Fleet/Project/Executive,"Governed machine control digital twin status with revision, machine/device, operator, spatial reference, quality and audit context.",Dashboard/Map/PDF/XLSX/CSV
