kpi_id,name,domain,definition,cadence,governance
P17-KPI-020,Grader Finish Accuracy,Safety & Exclusion Controls,Governed metric definition for Grader Finish Accuracy.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-021,Compactor Coverage %,Design Change Management,Governed metric definition for Compactor Coverage %.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-022,Compaction Target Pass Rate,As-Built & Production Capture,Governed metric definition for Compaction Target Pass Rate.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-023,Paving Elevation Compliance,Quality Assurance,Governed metric definition for Paving Elevation Compliance.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-024,Milling Depth Compliance,Field Automation,Governed metric definition for Milling Depth Compliance.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-025,Trench Depth Compliance,Remote Support & Diagnostics,Governed metric definition for Trench Depth Compliance.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-026,Pipe Invert Compliance,Device & Firmware Management,Governed metric definition for Pipe Invert Compliance.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-027,Geofence Violation Count,Vendor/Platform Interoperability,Governed metric definition for Geofence Violation Count.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-028,No-Go Alert Closure,AI Machine Intelligence,Governed metric definition for No-Go Alert Closure.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-029,Safety Alert Closure,Machine Control Digital Twin,Governed metric definition for Safety Alert Closure.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-030,Revision Alert Closure,Machine Control Core,Governed metric definition for Revision Alert Closure.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-031,Sync Success Rate,GPS/GNSS Positioning,Governed metric definition for Sync Success Rate.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-032,Offline Conflict Rate,Localization & Calibration,Governed metric definition for Offline Conflict Rate.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-033,As-Built Capture %,3D Models & Surfaces,Governed metric definition for As-Built Capture %.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-034,Production Capture Completeness,2D Guidance,Governed metric definition for Production Capture Completeness.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-035,Material Movement Accuracy,3D Guidance,Governed metric definition for Material Movement Accuracy.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-036,Design Change Acknowledgement Time,Automatic Grade Control,Governed metric definition for Design Change Acknowledgement Time.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-037,Withdrawal Compliance,Excavator Guidance,Governed metric definition for Withdrawal Compliance.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-038,Reissue Cycle Time,Dozer Guidance,Governed metric definition for Reissue Cycle Time.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-039,Device Health %,Grader Guidance,Governed metric definition for Device Health %.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-040,Remote Support Resolution Time,Compactor Guidance,Governed metric definition for Remote Support Resolution Time.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-041,Vendor Conversion Success,Loader & Material Handling,Governed metric definition for Vendor Conversion Success.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-042,Field Automation Completion,Paver/Milling Guidance,Governed metric definition for Field Automation Completion.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-043,Model QA Pass Rate,Trenching & Utilities,Governed metric definition for Model QA Pass Rate.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-044,AI Anomaly Acceptance,Road & Highway Machine Control,Governed metric definition for AI Anomaly Acceptance.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-045,AI Optimization Acceptance,Site Models & Job Files,Governed metric definition for AI Optimization Acceptance.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-046,AI Evidence Coverage,Field Data Sync,Governed metric definition for AI Evidence Coverage.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-047,Machine Control Adoption,Machine Telemetry Integration,Governed metric definition for Machine Control Adoption.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-048,Machine Control Productivity Gain,Operator Interface,Governed metric definition for Machine Control Productivity Gain.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-049,Machine Control Rework Reduction,Safety & Exclusion Controls,Governed metric definition for Machine Control Rework Reduction.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-050,Machine Control Fuel/Productivity Impact,Design Change Management,Governed metric definition for Machine Control Fuel/Productivity Impact.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
P17-KPI-051,Machine Control Digital Twin Freshness,As-Built & Production Capture,Governed metric definition for Machine Control Digital Twin Freshness.,Daily/Weekly/Monthly,"Certified definition, project/machine scope and owner required"
