requirement_id,module_code,entity,business_rule_id,engine_id,api_id,ui_id,test_id
GES-P05-REQ-014,TAK,ProductionRate,GES-P05-BR-014,GES-P05-ENG-002,GES-P05-API-014,GES-P05-UI-002,GES-P05-TC-014
GES-P05-REQ-015,TAK,ProductionConditionFactor,GES-P05-BR-015,GES-P05-ENG-002,GES-P05-API-015,GES-P05-UI-003,GES-P05-TC-015
GES-P05-REQ-016,TAK,CrewTemplate,GES-P05-BR-016,GES-P05-ENG-002,GES-P05-API-016,GES-P05-UI-004,GES-P05-TC-016
GES-P05-REQ-017,TAK,LaborRate,GES-P05-BR-017,GES-P05-ENG-002,GES-P05-API-017,GES-P05-UI-005,GES-P05-TC-017
GES-P05-REQ-018,TAK,EquipmentRate,GES-P05-BR-018,GES-P05-ENG-002,GES-P05-API-018,GES-P05-UI-006,GES-P05-TC-018
GES-P05-REQ-019,PRD,MaterialPrice,GES-P05-BR-019,GES-P05-ENG-019,GES-P05-API-019,GES-P05-UI-007,GES-P05-TC-019
GES-P05-REQ-020,PRD,VendorQuote,GES-P05-BR-020,GES-P05-ENG-020,GES-P05-API-020,GES-P05-UI-008,GES-P05-TC-020
GES-P05-REQ-021,PRD,TruckCycle,GES-P05-BR-021,GES-P05-ENG-001,GES-P05-API-021,GES-P05-UI-009,GES-P05-TC-021
GES-P05-REQ-022,PRD,DisposalRate,GES-P05-BR-022,GES-P05-ENG-002,GES-P05-API-022,GES-P05-UI-010,GES-P05-TC-022
GES-P05-REQ-023,PRD,FuelPrice,GES-P05-BR-023,GES-P05-ENG-003,GES-P05-API-023,GES-P05-UI-011,GES-P05-TC-023
GES-P05-REQ-024,PRD,MarkupProfile,GES-P05-BR-024,GES-P05-ENG-004,GES-P05-API-024,GES-P05-UI-012,GES-P05-TC-024
GES-P05-REQ-025,LAB,RegionalFactor,GES-P05-BR-025,GES-P05-ENG-005,GES-P05-API-001,GES-P05-UI-001,GES-P05-TC-025
GES-P05-REQ-026,LAB,RiskItem,GES-P05-BR-026,GES-P05-ENG-005,GES-P05-API-002,GES-P05-UI-002,GES-P05-TC-026
GES-P05-REQ-027,LAB,Scenario,GES-P05-BR-027,GES-P05-ENG-005,GES-P05-API-003,GES-P05-UI-003,GES-P05-TC-027
GES-P05-REQ-028,LAB,SensitivityRun,GES-P05-BR-028,GES-P05-ENG-005,GES-P05-API-004,GES-P05-UI-004,GES-P05-TC-028
GES-P05-REQ-029,LAB,MonteCarloRun,GES-P05-BR-029,GES-P05-ENG-005,GES-P05-API-005,GES-P05-UI-005,GES-P05-TC-029
GES-P05-REQ-030,LAB,AIRecommendation,GES-P05-BR-030,GES-P05-ENG-005,GES-P05-API-006,GES-P05-UI-006,GES-P05-TC-030
GES-P05-REQ-031,EQP,CalculationTrace,GES-P05-BR-001,GES-P05-ENG-011,GES-P05-API-007,GES-P05-UI-007,GES-P05-TC-031
GES-P05-REQ-032,EQP,ApprovalStep,GES-P05-BR-002,GES-P05-ENG-012,GES-P05-API-008,GES-P05-UI-008,GES-P05-TC-032
GES-P05-REQ-033,EQP,TenantEstimateConfiguration,GES-P05-BR-003,GES-P05-ENG-013,GES-P05-API-009,GES-P05-UI-009,GES-P05-TC-033
GES-P05-REQ-034,EQP,WhiteLabelConfiguration,GES-P05-BR-004,GES-P05-ENG-014,GES-P05-API-010,GES-P05-UI-010,GES-P05-TC-034
GES-P05-REQ-035,EQP,CustomFieldDefinition,GES-P05-BR-005,GES-P05-ENG-015,GES-P05-API-011,GES-P05-UI-011,GES-P05-TC-035
GES-P05-REQ-036,EQP,CustomWorkflowDefinition,GES-P05-BR-006,GES-P05-ENG-016,GES-P05-API-012,GES-P05-UI-012,GES-P05-TC-036
GES-P05-REQ-037,MAT,ActualProductionRecord,GES-P05-BR-007,GES-P05-ENG-007,GES-P05-API-013,GES-P05-UI-001,GES-P05-TC-037
GES-P05-REQ-038,MAT,CalibrationRecord,GES-P05-BR-008,GES-P05-ENG-007,GES-P05-API-014,GES-P05-UI-002,GES-P05-TC-038
GES-P05-REQ-039,MAT,EstimateTemplate,GES-P05-BR-009,GES-P05-ENG-007,GES-P05-API-015,GES-P05-UI-003,GES-P05-TC-039
GES-P05-REQ-040,MAT,CostCodeMapping,GES-P05-BR-010,GES-P05-ENG-007,GES-P05-API-016,GES-P05-UI-004,GES-P05-TC-040
GES-P05-REQ-041,MAT,Estimate,GES-P05-BR-011,GES-P05-ENG-007,GES-P05-API-017,GES-P05-UI-005,GES-P05-TC-041
GES-P05-REQ-042,MAT,EstimateVersion,GES-P05-BR-012,GES-P05-ENG-007,GES-P05-API-018,GES-P05-UI-006,GES-P05-TC-042
GES-P05-REQ-043,HAU,EstimateSection,GES-P05-BR-013,GES-P05-ENG-008,GES-P05-API-019,GES-P05-UI-007,GES-P05-TC-043
GES-P05-REQ-044,HAU,EstimateLine,GES-P05-BR-014,GES-P05-ENG-008,GES-P05-API-020,GES-P05-UI-008,GES-P05-TC-044
GES-P05-REQ-045,HAU,EstimateAlternate,GES-P05-BR-015,GES-P05-ENG-008,GES-P05-API-021,GES-P05-UI-009,GES-P05-TC-045
GES-P05-REQ-046,HAU,EstimateAssumption,GES-P05-BR-016,GES-P05-ENG-008,GES-P05-API-022,GES-P05-UI-010,GES-P05-TC-046
GES-P05-REQ-047,HAU,EstimateExclusion,GES-P05-BR-017,GES-P05-ENG-008,GES-P05-API-023,GES-P05-UI-011,GES-P05-TC-047
GES-P05-REQ-048,HAU,QuantityRecord,GES-P05-BR-018,GES-P05-ENG-008,GES-P05-API-024,GES-P05-UI-012,GES-P05-TC-048
GES-P05-REQ-049,ASM,TakeoffDocument,GES-P05-BR-019,GES-P05-ENG-009,GES-P05-API-001,GES-P05-UI-001,GES-P05-TC-049
GES-P05-REQ-050,ASM,TakeoffMeasurement,GES-P05-BR-020,GES-P05-ENG-010,GES-P05-API-002,GES-P05-UI-002,GES-P05-TC-050
GES-P05-REQ-051,ASM,TakeoffRevisionComparison,GES-P05-BR-021,GES-P05-ENG-011,GES-P05-API-003,GES-P05-UI-003,GES-P05-TC-051
GES-P05-REQ-052,ASM,Assembly,GES-P05-BR-022,GES-P05-ENG-012,GES-P05-API-004,GES-P05-UI-004,GES-P05-TC-052
GES-P05-REQ-053,ASM,AssemblyComponent,GES-P05-BR-023,GES-P05-ENG-013,GES-P05-API-005,GES-P05-UI-005,GES-P05-TC-053
GES-P05-REQ-054,ASM,ProductionRate,GES-P05-BR-024,GES-P05-ENG-014,GES-P05-API-006,GES-P05-UI-006,GES-P05-TC-054
GES-P05-REQ-055,MUP,ProductionConditionFactor,GES-P05-BR-025,GES-P05-ENG-015,GES-P05-API-007,GES-P05-UI-007,GES-P05-TC-055
GES-P05-REQ-056,MUP,CrewTemplate,GES-P05-BR-026,GES-P05-ENG-016,GES-P05-API-008,GES-P05-UI-008,GES-P05-TC-056
GES-P05-REQ-057,MUP,LaborRate,GES-P05-BR-027,GES-P05-ENG-017,GES-P05-API-009,GES-P05-UI-009,GES-P05-TC-057
GES-P05-REQ-058,MUP,EquipmentRate,GES-P05-BR-028,GES-P05-ENG-018,GES-P05-API-010,GES-P05-UI-010,GES-P05-TC-058
GES-P05-REQ-059,MUP,MaterialPrice,GES-P05-BR-029,GES-P05-ENG-019,GES-P05-API-011,GES-P05-UI-011,GES-P05-TC-059
GES-P05-REQ-060,MUP,VendorQuote,GES-P05-BR-030,GES-P05-ENG-020,GES-P05-API-012,GES-P05-UI-012,GES-P05-TC-060
GES-P05-REQ-061,REG,TruckCycle,GES-P05-BR-001,GES-P05-ENG-010,GES-P05-API-013,GES-P05-UI-001,GES-P05-TC-061
GES-P05-REQ-062,REG,DisposalRate,GES-P05-BR-002,GES-P05-ENG-010,GES-P05-API-014,GES-P05-UI-002,GES-P05-TC-062
GES-P05-REQ-063,REG,FuelPrice,GES-P05-BR-003,GES-P05-ENG-010,GES-P05-API-015,GES-P05-UI-003,GES-P05-TC-063
GES-P05-REQ-064,REG,MarkupProfile,GES-P05-BR-004,GES-P05-ENG-010,GES-P05-API-016,GES-P05-UI-004,GES-P05-TC-064
GES-P05-REQ-065,REG,RegionalFactor,GES-P05-BR-005,GES-P05-ENG-010,GES-P05-API-017,GES-P05-UI-005,GES-P05-TC-065
GES-P05-REQ-066,REG,RiskItem,GES-P05-BR-006,GES-P05-ENG-010,GES-P05-API-018,GES-P05-UI-006,GES-P05-TC-066
GES-P05-REQ-067,RSK,Scenario,GES-P05-BR-007,GES-P05-ENG-007,GES-P05-API-019,GES-P05-UI-007,GES-P05-TC-067
GES-P05-REQ-068,RSK,SensitivityRun,GES-P05-BR-008,GES-P05-ENG-008,GES-P05-API-020,GES-P05-UI-008,GES-P05-TC-068
GES-P05-REQ-069,RSK,MonteCarloRun,GES-P05-BR-009,GES-P05-ENG-009,GES-P05-API-021,GES-P05-UI-009,GES-P05-TC-069
GES-P05-REQ-070,RSK,AIRecommendation,GES-P05-BR-010,GES-P05-ENG-010,GES-P05-API-022,GES-P05-UI-010,GES-P05-TC-070
GES-P05-REQ-071,RSK,CalculationTrace,GES-P05-BR-011,GES-P05-ENG-011,GES-P05-API-023,GES-P05-UI-011,GES-P05-TC-071
GES-P05-REQ-072,RSK,ApprovalStep,GES-P05-BR-012,GES-P05-ENG-012,GES-P05-API-024,GES-P05-UI-012,GES-P05-TC-072
GES-P05-REQ-073,AI,TenantEstimateConfiguration,GES-P05-BR-013,GES-P05-ENG-014,GES-P05-API-001,GES-P05-UI-001,GES-P05-TC-073
GES-P05-REQ-074,AI,WhiteLabelConfiguration,GES-P05-BR-014,GES-P05-ENG-014,GES-P05-API-002,GES-P05-UI-002,GES-P05-TC-074
GES-P05-REQ-075,AI,CustomFieldDefinition,GES-P05-BR-015,GES-P05-ENG-014,GES-P05-API-003,GES-P05-UI-003,GES-P05-TC-075
GES-P05-REQ-076,AI,CustomWorkflowDefinition,GES-P05-BR-016,GES-P05-ENG-014,GES-P05-API-004,GES-P05-UI-004,GES-P05-TC-076
GES-P05-REQ-077,AI,ActualProductionRecord,GES-P05-BR-017,GES-P05-ENG-014,GES-P05-API-005,GES-P05-UI-005,GES-P05-TC-077
GES-P05-REQ-078,AI,CalibrationRecord,GES-P05-BR-018,GES-P05-ENG-014,GES-P05-API-006,GES-P05-UI-006,GES-P05-TC-078
GES-P05-REQ-079,CFG,EstimateTemplate,GES-P05-BR-019,GES-P05-ENG-019,GES-P05-API-007,GES-P05-UI-007,GES-P05-TC-079
GES-P05-REQ-080,CFG,CostCodeMapping,GES-P05-BR-020,GES-P05-ENG-020,GES-P05-API-008,GES-P05-UI-008,GES-P05-TC-080
GES-P05-REQ-081,CFG,Estimate,GES-P05-BR-021,GES-P05-ENG-001,GES-P05-API-009,GES-P05-UI-009,GES-P05-TC-081
GES-P05-REQ-082,CFG,EstimateVersion,GES-P05-BR-022,GES-P05-ENG-002,GES-P05-API-010,GES-P05-UI-010,GES-P05-TC-082
GES-P05-REQ-083,CFG,EstimateSection,GES-P05-BR-023,GES-P05-ENG-003,GES-P05-API-011,GES-P05-UI-011,GES-P05-TC-083
GES-P05-REQ-084,CFG,EstimateLine,GES-P05-BR-024,GES-P05-ENG-004,GES-P05-API-012,GES-P05-UI-012,GES-P05-TC-084
GES-P05-REQ-085,WLB,EstimateAlternate,GES-P05-BR-025,GES-P05-ENG-005,GES-P05-API-013,GES-P05-UI-001,GES-P05-TC-085
GES-P05-REQ-086,WLB,EstimateAssumption,GES-P05-BR-026,GES-P05-ENG-006,GES-P05-API-014,GES-P05-UI-002,GES-P05-TC-086
GES-P05-REQ-087,WLB,EstimateExclusion,GES-P05-BR-027,GES-P05-ENG-007,GES-P05-API-015,GES-P05-UI-003,GES-P05-TC-087
GES-P05-REQ-088,WLB,QuantityRecord,GES-P05-BR-028,GES-P05-ENG-008,GES-P05-API-016,GES-P05-UI-004,GES-P05-TC-088
GES-P05-REQ-089,WLB,TakeoffDocument,GES-P05-BR-029,GES-P05-ENG-009,GES-P05-API-017,GES-P05-UI-005,GES-P05-TC-089
GES-P05-REQ-090,WLB,TakeoffMeasurement,GES-P05-BR-030,GES-P05-ENG-010,GES-P05-API-018,GES-P05-UI-006,GES-P05-TC-090
GES-P05-REQ-091,MOB,TakeoffRevisionComparison,GES-P05-BR-001,GES-P05-ENG-011,GES-P05-API-019,GES-P05-UI-007,GES-P05-TC-091
GES-P05-REQ-092,MOB,Assembly,GES-P05-BR-002,GES-P05-ENG-012,GES-P05-API-020,GES-P05-UI-008,GES-P05-TC-092
GES-P05-REQ-093,MOB,AssemblyComponent,GES-P05-BR-003,GES-P05-ENG-013,GES-P05-API-021,GES-P05-UI-009,GES-P05-TC-093
GES-P05-REQ-094,MOB,ProductionRate,GES-P05-BR-004,GES-P05-ENG-014,GES-P05-API-022,GES-P05-UI-010,GES-P05-TC-094
GES-P05-REQ-095,MOB,ProductionConditionFactor,GES-P05-BR-005,GES-P05-ENG-015,GES-P05-API-023,GES-P05-UI-011,GES-P05-TC-095
GES-P05-REQ-096,MOB,CrewTemplate,GES-P05-BR-006,GES-P05-ENG-016,GES-P05-API-024,GES-P05-UI-012,GES-P05-TC-096
GES-P05-REQ-097,API,LaborRate,GES-P05-BR-007,GES-P05-ENG-017,GES-P05-API-001,GES-P05-UI-001,GES-P05-TC-097
GES-P05-REQ-098,API,EquipmentRate,GES-P05-BR-008,GES-P05-ENG-018,GES-P05-API-002,GES-P05-UI-002,GES-P05-TC-098
GES-P05-REQ-099,API,MaterialPrice,GES-P05-BR-009,GES-P05-ENG-019,GES-P05-API-003,GES-P05-UI-003,GES-P05-TC-099
GES-P05-REQ-100,API,VendorQuote,GES-P05-BR-010,GES-P05-ENG-020,GES-P05-API-004,GES-P05-UI-004,GES-P05-TC-100
GES-P05-REQ-101,API,TruckCycle,GES-P05-BR-011,GES-P05-ENG-001,GES-P05-API-005,GES-P05-UI-005,GES-P05-TC-101
GES-P05-REQ-102,API,DisposalRate,GES-P05-BR-012,GES-P05-ENG-002,GES-P05-API-006,GES-P05-UI-006,GES-P05-TC-102
GES-P05-REQ-103,RPT,FuelPrice,GES-P05-BR-013,GES-P05-ENG-003,GES-P05-API-007,GES-P05-UI-007,GES-P05-TC-103
GES-P05-REQ-104,RPT,MarkupProfile,GES-P05-BR-014,GES-P05-ENG-004,GES-P05-API-008,GES-P05-UI-008,GES-P05-TC-104
GES-P05-REQ-105,RPT,RegionalFactor,GES-P05-BR-015,GES-P05-ENG-005,GES-P05-API-009,GES-P05-UI-009,GES-P05-TC-105
GES-P05-REQ-106,RPT,RiskItem,GES-P05-BR-016,GES-P05-ENG-006,GES-P05-API-010,GES-P05-UI-010,GES-P05-TC-106
GES-P05-REQ-107,RPT,Scenario,GES-P05-BR-017,GES-P05-ENG-007,GES-P05-API-011,GES-P05-UI-011,GES-P05-TC-107
GES-P05-REQ-108,RPT,SensitivityRun,GES-P05-BR-018,GES-P05-ENG-008,GES-P05-API-012,GES-P05-UI-012,GES-P05-TC-108
