Requirement_ID,Specification,Entity_or_Data,Rules,Workflow,AI,Interfaces,Test_Cases,Release,Status
EDM-000042,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-042,Planned,Review
EDM-000043,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-043,Planned,Review
EDM-000044,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-044,Planned,Review
EDM-000045,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-045,Planned,Review
EDM-000046,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-046,Planned,Review
EDM-000047,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,AI writeback and lineage,API/UI/Reports,TEST-P03-047,Planned,Review
EDM-000048,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,AI writeback and lineage,API/UI/Reports,TEST-P03-048,Planned,Review
EDM-000049,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,AI writeback and lineage,API/UI/Reports,TEST-P03-049,Planned,Review
EDM-000050,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-050,Planned,Review
EDM-000051,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-051,Planned,Review
EDM-000052,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-052,Planned,Review
EDM-000053,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-053,Planned,Review
EDM-000054,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-054,Planned,Review
EDM-000055,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-055,Planned,Review
EDM-000056,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-056,Planned,Review
EDM-000057,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-057,Planned,Review
EDM-000058,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-058,Planned,Review
EDM-000059,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-059,Planned,Review
EDM-000060,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-060,Planned,Review
EDM-000061,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-061,Planned,Review
EDM-000062,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-062,Planned,Review
EDM-000063,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-063,Planned,Review
EDM-000064,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-064,Planned,Review
EDM-000065,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-065,Planned,Review
EDM-000066,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-066,Planned,Review
EDM-000067,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-067,Planned,Review
EDM-000068,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-068,Planned,Review
EDM-000069,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-069,Planned,Review
EDM-000070,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-070,Planned,Review
EDM-000071,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-071,Planned,Review
EDM-000072,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-072,Planned,Review
EDM-000073,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-073,Planned,Review
EDM-000074,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-074,Planned,Review
EDM-000075,GES-P03-001 Enterprise Data Model,Entity catalog and dictionary,Business/validation rules,Data governance workflows,,API/UI/Reports,TEST-P03-075,Planned,Review
