kpi_id,name,domain,definition,cadence,governance
P15-KPI-035,Permission Exceptions,Closeout & Turnover,Governed metric definition for Permission Exceptions.,Daily/Weekly/Monthly,Certified semantic definition and owner required
P15-KPI-036,Controlled Copy Compliance,Document Intelligence Digital Twin,Governed metric definition for Controlled Copy Compliance.,Daily/Weekly/Monthly,Certified semantic definition and owner required
P15-KPI-037,Revision Impact Review Completion,Document Control,Governed metric definition for Revision Impact Review Completion.,Daily/Weekly/Monthly,Certified semantic definition and owner required
P15-KPI-038,Document Alert Closure,Drawing Management,Governed metric definition for Document Alert Closure.,Daily/Weekly/Monthly,Certified semantic definition and owner required
P15-KPI-039,AI Extraction Acceptance,Specification Management,Governed metric definition for AI Extraction Acceptance.,Daily/Weekly/Monthly,Certified semantic definition and owner required
P15-KPI-040,AI Answer Evidence Coverage,Submittals,Governed metric definition for AI Answer Evidence Coverage.,Daily/Weekly/Monthly,Certified semantic definition and owner required
P15-KPI-041,AI Confidence Review Rate,RFIs,Governed metric definition for AI Confidence Review Rate.,Daily/Weekly/Monthly,Certified semantic definition and owner required
P15-KPI-042,Document Digital Twin Freshness,Transmittals & Distribution,Governed metric definition for Document Digital Twin Freshness.,Daily/Weekly/Monthly,Certified semantic definition and owner required
P15-KPI-043,Document Storage Growth,Correspondence & Records,Governed metric definition for Document Storage Growth.,Daily/Weekly/Monthly,Certified semantic definition and owner required
P15-KPI-044,Information Workflow SLA,Version & Revision Control,Governed metric definition for Information Workflow SLA.,Daily/Weekly/Monthly,Certified semantic definition and owner required
P15-KPI-045,Information Management Adoption,Markup & Review,Governed metric definition for Information Management Adoption.,Daily/Weekly/Monthly,Certified semantic definition and owner required
