ui_id,name,domain,capabilities,form_factor
P16-UI-001,Geospatial Command Center,GIS Core,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-021,Battery Manager,Reality Capture QA/QC,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-022,Drone Flight Mobile,Geofencing & Location Intelligence,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-023,Photogrammetry Processing Review,Drone Media & Inspection,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-024,LiDAR Processing Review,Regulatory & Flight Compliance,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-025,Point Cloud Viewer,Survey Deliverables,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-026,Orthomosaic Viewer,Machine Control Handoff,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-027,Surface/Terrain Manager,Spatial Analytics,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-028,Cut/Fill & Volume Center,AI Geospatial Intelligence,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-029,Stockpile Volume Center,Geospatial Digital Twin,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-030,Progress Comparison,GIS Core,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-031,Change Detection Review,Coordinate Reference Systems,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-032,Corridor/Stationing Viewer,Survey Control,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-033,Field GIS Mobile,GNSS Survey,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-034,Offline Map Manager,Total Station Survey,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-035,Geofence & Spatial Alerts,Digital Levels,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-036,Aerial Inspection Center,Construction Layout,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-037,Reality Capture QA/QC,Topographic Survey,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-038,Survey Deliverables Center,Existing Conditions,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-039,Machine Control Handoff,Drone Operations,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-040,Spatial Analytics,Photogrammetry,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-041,AI Geospatial Review,LiDAR Reality Capture,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
P16-UI-042,Geospatial Digital Twin,Point Cloud Management,Map-first; role-based; coordinate-aware; quality indicators; evidence/lineage; responsive; field views support offline capture,Web/tablet/mobile
