phase,phase_code,title,source_zip,source_zip_sha256,source_zip_bytes,source_file_count,zip_integrity,readme_present,internal_manifest_status,requirements_rows,requirements_source,tests_rows,tests_source,traceability_rows,traceability_source,modules_rows,modules_source,entities_rows,entities_source,apis_rows,apis_source,events_rows,events_source,rules_rows,rules_source,security_rows,security_source,quality_rows,quality_source
11,P11,Enterprise Procurement Supply Chain Inventory,GES_Phase_11_Enterprise_Procurement_Supply_Chain_Inventory_v1.0.zip,24aeb6e0ab6e43824f55d78710d1ffb852efb733aa92ce80feb1acec4f6dce00,274399,44,PASS,True,PASS,260,GES_Phase_11_Enterprise_Procurement_Supply_Chain_Inventory_v1.0/GES_Phase_11_Enterprise_Procurement_Supply_Chain_Inventory_v1.0/05_CSV/P11_Requirements.csv,260,GES_Phase_11_Enterprise_Procurement_Supply_Chain_Inventory_v1.0/GES_Phase_11_Enterprise_Procurement_Supply_Chain_Inventory_v1.0/05_CSV/P11_Test_Cases.csv,260,GES_Phase_11_Enterprise_Procurement_Supply_Chain_Inventory_v1.0/GES_Phase_11_Enterprise_Procurement_Supply_Chain_Inventory_v1.0/05_CSV/P11_Traceability.csv,0,,120,GES_Phase_11_Enterprise_Procurement_Supply_Chain_Inventory_v1.0/GES_Phase_11_Enterprise_Procurement_Supply_Chain_Inventory_v1.0/05_CSV/P11_Entities.csv,0,,0,,45,GES_Phase_11_Enterprise_Procurement_Supply_Chain_Inventory_v1.0/GES_Phase_11_Enterprise_Procurement_Supply_Chain_Inventory_v1.0/05_CSV/P11_Business_Rules.csv,0,,0,
12,P12,Enterprise Fleet Asset Maintenance Telematics,GES_Phase_12_Enterprise_Fleet_Asset_Maintenance_Telematics_v1.0.zip,c15e883ed0b702c3f3b5100eff56a709c6e40882823b9eb52112c412cc0b57c6,367510,52,PASS,True,not_structured_or_not_checked,280,GES_Phase_12_Enterprise_Fleet_Asset_Maintenance_Telematics_v1.0/GES_Phase_12_Enterprise_Fleet_Asset_Maintenance_Telematics_v1.0/05_CSV/P12_Requirements.csv,280,GES_Phase_12_Enterprise_Fleet_Asset_Maintenance_Telematics_v1.0/GES_Phase_12_Enterprise_Fleet_Asset_Maintenance_Telematics_v1.0/05_CSV/P12_Test_Cases.csv,280,GES_Phase_12_Enterprise_Fleet_Asset_Maintenance_Telematics_v1.0/GES_Phase_12_Enterprise_Fleet_Asset_Maintenance_Telematics_v1.0/05_CSV/P12_Traceability.csv,0,,125,GES_Phase_12_Enterprise_Fleet_Asset_Maintenance_Telematics_v1.0/GES_Phase_12_Enterprise_Fleet_Asset_Maintenance_Telematics_v1.0/05_CSV/P12_Entities.csv,0,,0,,50,GES_Phase_12_Enterprise_Fleet_Asset_Maintenance_Telematics_v1.0/GES_Phase_12_Enterprise_Fleet_Asset_Maintenance_Telematics_v1.0/05_CSV/P12_Business_Rules.csv,0,,0,
13,P13,Enterprise Business Intelligence Decision Intelligence,GES_Phase_13_Enterprise_Business_Intelligence_Decision_Intelligence_v1.0.zip,bb71dd2fc30df9d8b2ce7fea0e313df2db05e55c54c4b9b9e17716a5b1854774,159237,37,PASS,True,PASS,300,GES_Phase_13_Enterprise_Business_Intelligence_Decision_Intelligence_v1.0/GES_Phase_13_Enterprise_Business_Intelligence_Decision_Intelligence_v1.0/05_CSV/P13_Requirements.csv,300,GES_Phase_13_Enterprise_Business_Intelligence_Decision_Intelligence_v1.0/GES_Phase_13_Enterprise_Business_Intelligence_Decision_Intelligence_v1.0/05_CSV/P13_Test_Cases.csv,300,GES_Phase_13_Enterprise_Business_Intelligence_Decision_Intelligence_v1.0/GES_Phase_13_Enterprise_Business_Intelligence_Decision_Intelligence_v1.0/05_CSV/P13_Traceability.csv,0,,123,GES_Phase_13_Enterprise_Business_Intelligence_Decision_Intelligence_v1.0/GES_Phase_13_Enterprise_Business_Intelligence_Decision_Intelligence_v1.0/05_CSV/P13_Entities.csv,0,,0,,55,GES_Phase_13_Enterprise_Business_Intelligence_Decision_Intelligence_v1.0/GES_Phase_13_Enterprise_Business_Intelligence_Decision_Intelligence_v1.0/05_CSV/P13_Business_Rules.csv,0,,0,
14,P14,Enterprise HSE Safety Environmental Quality Compliance,GES_Phase_14_Enterprise_HSE_Safety_Environmental_Quality_Compliance_v1.0.zip,106097fb68e6fada8449633a4404175ce987c4684235745d761619e5c97d969a,168521,37,PASS,True,PASS,320,GES_Phase_14_Enterprise_HSE_Safety_Environmental_Quality_Compliance_v1.0/GES_Phase_14_Enterprise_HSE_Safety_Environmental_Quality_Compliance_v1.0/05_CSV/P14_Requirements.csv,320,GES_Phase_14_Enterprise_HSE_Safety_Environmental_Quality_Compliance_v1.0/GES_Phase_14_Enterprise_HSE_Safety_Environmental_Quality_Compliance_v1.0/05_CSV/P14_Test_Cases.csv,320,GES_Phase_14_Enterprise_HSE_Safety_Environmental_Quality_Compliance_v1.0/GES_Phase_14_Enterprise_HSE_Safety_Environmental_Quality_Compliance_v1.0/05_CSV/P14_Traceability.csv,0,,145,GES_Phase_14_Enterprise_HSE_Safety_Environmental_Quality_Compliance_v1.0/GES_Phase_14_Enterprise_HSE_Safety_Environmental_Quality_Compliance_v1.0/05_CSV/P14_Entities.csv,0,,0,,60,GES_Phase_14_Enterprise_HSE_Safety_Environmental_Quality_Compliance_v1.0/GES_Phase_14_Enterprise_HSE_Safety_Environmental_Quality_Compliance_v1.0/05_CSV/P14_Business_Rules.csv,0,,0,
15,P15,Enterprise Document Drawing Specification Information Management,GES_Phase_15_Enterprise_Document_Drawing_Specification_Information_Management_v1.0.zip,7cad970fa9824bd317100d4af0b21e69ce2b9af6149de4de76e0d969effbe240,176519,37,PASS,True,PASS,340,GES_Phase_15_Enterprise_Document_Drawing_Specification_Information_Management_v1.0/GES_Phase_15_Enterprise_Document_Drawing_Specification_Information_Management_v1.0/05_CSV/P15_Requirements.csv,340,GES_Phase_15_Enterprise_Document_Drawing_Specification_Information_Management_v1.0/GES_Phase_15_Enterprise_Document_Drawing_Specification_Information_Management_v1.0/05_CSV/P15_Test_Cases.csv,340,GES_Phase_15_Enterprise_Document_Drawing_Specification_Information_Management_v1.0/GES_Phase_15_Enterprise_Document_Drawing_Specification_Information_Management_v1.0/05_CSV/P15_Traceability.csv,0,,155,GES_Phase_15_Enterprise_Document_Drawing_Specification_Information_Management_v1.0/GES_Phase_15_Enterprise_Document_Drawing_Specification_Information_Management_v1.0/05_CSV/P15_Entities.csv,0,,0,,65,GES_Phase_15_Enterprise_Document_Drawing_Specification_Information_Management_v1.0/GES_Phase_15_Enterprise_Document_Drawing_Specification_Information_Management_v1.0/05_CSV/P15_Business_Rules.csv,0,,0,
16,P16,GIS Survey Reality Capture Drone Operations,GES_Phase_16_GIS_Survey_Reality_Capture_Drone_Operations_v1.0.zip,b6eb5e0e74144cdfca48c6aefc7f3ff538ee9cd71ebf00e5945f5b41268c4520,193460,37,PASS,True,PASS,360,GES_Phase_16_GIS_Survey_Reality_Capture_Drone_Operations_v1.0/GES_Phase_16_GIS_Survey_Reality_Capture_Drone_Operations_v1.0/05_CSV/P16_Requirements.csv,360,GES_Phase_16_GIS_Survey_Reality_Capture_Drone_Operations_v1.0/GES_Phase_16_GIS_Survey_Reality_Capture_Drone_Operations_v1.0/05_CSV/P16_Test_Cases.csv,360,GES_Phase_16_GIS_Survey_Reality_Capture_Drone_Operations_v1.0/GES_Phase_16_GIS_Survey_Reality_Capture_Drone_Operations_v1.0/05_CSV/P16_Traceability.csv,0,,165,GES_Phase_16_GIS_Survey_Reality_Capture_Drone_Operations_v1.0/GES_Phase_16_GIS_Survey_Reality_Capture_Drone_Operations_v1.0/05_CSV/P16_Entities.csv,0,,0,,70,GES_Phase_16_GIS_Survey_Reality_Capture_Drone_Operations_v1.0/GES_Phase_16_GIS_Survey_Reality_Capture_Drone_Operations_v1.0/05_CSV/P16_Business_Rules.csv,0,,0,
17,P17,Machine Control GPS Field Automation,GES_Phase_17_Machine_Control_GPS_Field_Automation_v1.0.zip,534856d845643baedcf8b1eda0faea19b2eda1e4ccf12ebc59966f8dc49fd35d,200946,37,PASS,True,PASS,380,GES_Phase_17_Machine_Control_GPS_Field_Automation_v1.0/GES_Phase_17_Machine_Control_GPS_Field_Automation_v1.0/05_CSV/P17_Requirements.csv,380,GES_Phase_17_Machine_Control_GPS_Field_Automation_v1.0/GES_Phase_17_Machine_Control_GPS_Field_Automation_v1.0/05_CSV/P17_Test_Cases.csv,380,GES_Phase_17_Machine_Control_GPS_Field_Automation_v1.0/GES_Phase_17_Machine_Control_GPS_Field_Automation_v1.0/05_CSV/P17_Traceability.csv,0,,175,GES_Phase_17_Machine_Control_GPS_Field_Automation_v1.0/GES_Phase_17_Machine_Control_GPS_Field_Automation_v1.0/05_CSV/P17_Entities.csv,0,,0,,75,GES_Phase_17_Machine_Control_GPS_Field_Automation_v1.0/GES_Phase_17_Machine_Control_GPS_Field_Automation_v1.0/05_CSV/P17_Business_Rules.csv,0,,0,
18,P18,Enterprise Scheduling Resource Planning,GES_Phase_18_Enterprise_Scheduling_Resource_Planning_v1.0.zip,f3adf413930e5c001a44bbe7d00754a881c33efaad2c9fbd0e1a4a6a9dd39607,261916,37,PASS,True,PASS,400,GES_Phase_18_Enterprise_Scheduling_Resource_Planning_v1.0/GES_Phase_18_Enterprise_Scheduling_Resource_Planning_v1.0/05_CSV/P18_Requirements.csv,400,GES_Phase_18_Enterprise_Scheduling_Resource_Planning_v1.0/GES_Phase_18_Enterprise_Scheduling_Resource_Planning_v1.0/05_CSV/P18_Test_Cases.csv,400,GES_Phase_18_Enterprise_Scheduling_Resource_Planning_v1.0/GES_Phase_18_Enterprise_Scheduling_Resource_Planning_v1.0/05_CSV/P18_Traceability.csv,0,,185,GES_Phase_18_Enterprise_Scheduling_Resource_Planning_v1.0/GES_Phase_18_Enterprise_Scheduling_Resource_Planning_v1.0/05_CSV/P18_Entities.csv,0,,0,,80,GES_Phase_18_Enterprise_Scheduling_Resource_Planning_v1.0/GES_Phase_18_Enterprise_Scheduling_Resource_Planning_v1.0/05_CSV/P18_Business_Rules.csv,0,,0,
19,P19,Contract Change Order Claims Commercial Management,GES_Phase_19_Contract_Change_Order_Claims_Commercial_Management_v1.0.zip,fbfdf612736d10e6d2c2755e0419ca545ecc40404f68d7e521b7b817901f684b,268931,37,PASS,True,PASS,420,GES_Phase_19_Contract_Change_Order_Claims_Commercial_Management_v1.0/GES_Phase_19_Contract_Change_Order_Claims_Commercial_Management_v1.0/05_CSV/P19_Requirements.csv,420,GES_Phase_19_Contract_Change_Order_Claims_Commercial_Management_v1.0/GES_Phase_19_Contract_Change_Order_Claims_Commercial_Management_v1.0/05_CSV/P19_Test_Cases.csv,420,GES_Phase_19_Contract_Change_Order_Claims_Commercial_Management_v1.0/GES_Phase_19_Contract_Change_Order_Claims_Commercial_Management_v1.0/05_CSV/P19_Traceability.csv,0,,186,GES_Phase_19_Contract_Change_Order_Claims_Commercial_Management_v1.0/GES_Phase_19_Contract_Change_Order_Claims_Commercial_Management_v1.0/05_CSV/P19_Entities.csv,0,,0,,85,GES_Phase_19_Contract_Change_Order_Claims_Commercial_Management_v1.0/GES_Phase_19_Contract_Change_Order_Claims_Commercial_Management_v1.0/05_CSV/P19_Business_Rules.csv,0,,0,
20,P20,Enterprise Integration Deployment Testing Governance Production Readiness,GES_Phase_20_Enterprise_Integration_Deployment_Testing_Governance_Production_Readiness_v1.0.zip,61113915630913a30b6a299f1242b1c632c5a4531c8b18bc77989e0569fade2f,292875,37,PASS,True,PASS,450,GES_Phase_20_Enterprise_Integration_Deployment_Testing_Governance_Production_Readiness_v1.0/GES_Phase_20_Enterprise_Integration_Deployment_Testing_Governance_Production_Readiness_v1.0/05_CSV/P20_Requirements.csv,450,GES_Phase_20_Enterprise_Integration_Deployment_Testing_Governance_Production_Readiness_v1.0/GES_Phase_20_Enterprise_Integration_Deployment_Testing_Governance_Production_Readiness_v1.0/05_CSV/P20_Test_Cases.csv,450,GES_Phase_20_Enterprise_Integration_Deployment_Testing_Governance_Production_Readiness_v1.0/GES_Phase_20_Enterprise_Integration_Deployment_Testing_Governance_Production_Readiness_v1.0/05_CSV/P20_Traceability.csv,0,,207,GES_Phase_20_Enterprise_Integration_Deployment_Testing_Governance_Production_Readiness_v1.0/GES_Phase_20_Enterprise_Integration_Deployment_Testing_Governance_Production_Readiness_v1.0/05_CSV/P20_Entities.csv,0,,0,,90,GES_Phase_20_Enterprise_Integration_Deployment_Testing_Governance_Production_Readiness_v1.0/GES_Phase_20_Enterprise_Integration_Deployment_Testing_Governance_Production_Readiness_v1.0/05_CSV/P20_Business_Rules.csv,0,,0,
21,P21,Master Enterprise Consolidation Traceability Implementation Baseline,GES_Phase_21_Master_Enterprise_Consolidation_Traceability_Implementation_Baseline_v1.0.zip,4ac05302a8b4bfaf9f66132e44918a607885b970bbebff728361d6aba2637c22,1096695,33,PASS,True,PASS,180,GES_Phase_21_Master_Enterprise_Consolidation_Traceability_Implementation_Baseline_v1.0/GES_Phase_21_Master_Enterprise_Consolidation_Traceability_Implementation_Baseline_v1.0/05_CSV/P21_Requirements.csv,180,GES_Phase_21_Master_Enterprise_Consolidation_Traceability_Implementation_Baseline_v1.0/GES_Phase_21_Master_Enterprise_Consolidation_Traceability_Implementation_Baseline_v1.0/05_CSV/P21_Test_Cases.csv,180,GES_Phase_21_Master_Enterprise_Consolidation_Traceability_Implementation_Baseline_v1.0/GES_Phase_21_Master_Enterprise_Consolidation_Traceability_Implementation_Baseline_v1.0/05_CSV/P21_Traceability.csv,0,,0,,0,,0,,0,,0,,0,
22,P22,Final Reconciliation Enterprise Lock Developer AI Execution Package,GES_Phase_22_Final_Reconciliation_Enterprise_Lock_Developer_AI_Execution_Package_v1.0.zip,b759254c3c341807f5cedc2710945cf7913febc59c76060c28d8b49cadb14a7a,503628,28,PASS,True,PASS,220,GES_Phase_22_Final_Reconciliation_Enterprise_Lock_Developer_AI_Execution_Package_v1.0/GES_Phase_22_Final_Reconciliation_Enterprise_Lock_Developer_AI_Execution_Package_v1.0/05_CSV/P22_Requirements.csv,220,GES_Phase_22_Final_Reconciliation_Enterprise_Lock_Developer_AI_Execution_Package_v1.0/GES_Phase_22_Final_Reconciliation_Enterprise_Lock_Developer_AI_Execution_Package_v1.0/05_CSV/P22_Test_Cases.csv,220,GES_Phase_22_Final_Reconciliation_Enterprise_Lock_Developer_AI_Execution_Package_v1.0/GES_Phase_22_Final_Reconciliation_Enterprise_Lock_Developer_AI_Execution_Package_v1.0/05_CSV/P22_Traceability.csv,0,,0,,0,,0,,0,,0,,0,
23,P23,Software Development Foundation Reference Architecture Repository Bootstrap,GES_Phase_23_Software_Development_Foundation_Reference_Architecture_Repository_Bootstrap_v1.0.zip,b3f26ea3dacd93b56208e562a3fdec12e98c22a82ae9427966fe41c46bd09f34,137283,41,PASS,True,PASS,300,GES_Phase_23_Software_Development_Foundation_Reference_Architecture_Repository_Bootstrap_v1.0/GES_Phase_23_Software_Development_Foundation_Reference_Architecture_Repository_Bootstrap_v1.0/05_CSV/P23_Requirements.csv,300,GES_Phase_23_Software_Development_Foundation_Reference_Architecture_Repository_Bootstrap_v1.0/GES_Phase_23_Software_Development_Foundation_Reference_Architecture_Repository_Bootstrap_v1.0/05_CSV/P23_Test_Cases.csv,300,GES_Phase_23_Software_Development_Foundation_Reference_Architecture_Repository_Bootstrap_v1.0/GES_Phase_23_Software_Development_Foundation_Reference_Architecture_Repository_Bootstrap_v1.0/05_CSV/P23_Traceability.csv,0,,0,,0,,16,GES_Phase_23_Software_Development_Foundation_Reference_Architecture_Repository_Bootstrap_v1.0/GES_Phase_23_Software_Development_Foundation_Reference_Architecture_Repository_Bootstrap_v1.0/05_CSV/P23_Event_Catalog.csv,0,,0,,12,GES_Phase_23_Software_Development_Foundation_Reference_Architecture_Repository_Bootstrap_v1.0/GES_Phase_23_Software_Development_Foundation_Reference_Architecture_Repository_Bootstrap_v1.0/05_CSV/P23_Quality_Gates.csv
24,P24,Core Platform Implementation Identity Tenancy Data API Audit Workflow,GES_Phase_24_Core_Platform_Implementation_Identity_Tenancy_Data_API_Audit_Workflow_v1.0.zip,b6b11e22ccd09c1abfbea560fcb79e8d27500eab075fd90689bf5d951da12a09,125517,42,PASS,True,PASS,360,GES_Phase_24_Core_Platform_Implementation_Identity_Tenancy_Data_API_Audit_Workflow_v1.0/GES_Phase_24_Core_Platform_Implementation_Identity_Tenancy_Data_API_Audit_Workflow_v1.0/05_CSV/P24_Requirements.csv,360,GES_Phase_24_Core_Platform_Implementation_Identity_Tenancy_Data_API_Audit_Workflow_v1.0/GES_Phase_24_Core_Platform_Implementation_Identity_Tenancy_Data_API_Audit_Workflow_v1.0/05_CSV/P24_Test_Cases.csv,360,GES_Phase_24_Core_Platform_Implementation_Identity_Tenancy_Data_API_Audit_Workflow_v1.0/GES_Phase_24_Core_Platform_Implementation_Identity_Tenancy_Data_API_Audit_Workflow_v1.0/05_CSV/P24_Traceability.csv,18,GES_Phase_24_Core_Platform_Implementation_Identity_Tenancy_Data_API_Audit_Workflow_v1.0/GES_Phase_24_Core_Platform_Implementation_Identity_Tenancy_Data_API_Audit_Workflow_v1.0/05_CSV/P24_Core_Modules.csv,20,GES_Phase_24_Core_Platform_Implementation_Identity_Tenancy_Data_API_Audit_Workflow_v1.0/GES_Phase_24_Core_Platform_Implementation_Identity_Tenancy_Data_API_Audit_Workflow_v1.0/05_CSV/P24_Data_Entities.csv,20,GES_Phase_24_Core_Platform_Implementation_Identity_Tenancy_Data_API_Audit_Workflow_v1.0/GES_Phase_24_Core_Platform_Implementation_Identity_Tenancy_Data_API_Audit_Workflow_v1.0/05_CSV/P24_API_Contracts.csv,13,GES_Phase_24_Core_Platform_Implementation_Identity_Tenancy_Data_API_Audit_Workflow_v1.0/GES_Phase_24_Core_Platform_Implementation_Identity_Tenancy_Data_API_Audit_Workflow_v1.0/05_CSV/P24_Event_Catalog.csv,12,GES_Phase_24_Core_Platform_Implementation_Identity_Tenancy_Data_API_Audit_Workflow_v1.0/GES_Phase_24_Core_Platform_Implementation_Identity_Tenancy_Data_API_Audit_Workflow_v1.0/05_CSV/P24_Business_Rules.csv,8,GES_Phase_24_Core_Platform_Implementation_Identity_Tenancy_Data_API_Audit_Workflow_v1.0/GES_Phase_24_Core_Platform_Implementation_Identity_Tenancy_Data_API_Audit_Workflow_v1.0/05_CSV/P24_Security_Controls.csv,10,GES_Phase_24_Core_Platform_Implementation_Identity_Tenancy_Data_API_Audit_Workflow_v1.0/GES_Phase_24_Core_Platform_Implementation_Identity_Tenancy_Data_API_Audit_Workflow_v1.0/05_CSV/P24_Quality_Gates.csv
