api_id,method,path,resource,security,control
P15-API-001,GET/POST,/api/v1/information/documents,documents,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-043,GET/POST,/api/v1/information/scope-extractions,scope-extractions,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-044,GET/POST,/api/v1/information/revision-impact,revision-impact,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-045,GET/POST,/api/v1/information/dependencies,dependencies,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-046,GET/POST,/api/v1/information/alerts,alerts,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-047,GET/POST,/api/v1/information/kpis,kpis,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-048,GET/POST,/api/v1/information/digital-twin,digital-twin,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-049,GET/POST,/api/v1/information/audit-events,audit-events,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-050,GET/POST,/api/v1/information/imports,imports,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-051,GET/POST,/api/v1/information/exports,exports,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-052,GET/POST,/api/v1/information/templates,templates,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-053,GET/POST,/api/v1/information/numbering-schemes,numbering-schemes,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-054,GET/POST,/api/v1/information/document-profiles,document-profiles,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
