entity_id,name,domain,definition,key,governance
P18-ENT-001,Schedule,Enterprise Scheduling Core,Canonical scheduling/resource-planning entity for Schedule.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-017,ActivityStatus,Baseline Management,Canonical scheduling/resource-planning entity for ActivityStatus.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-018,ActivityRelationship,Schedule Update Cycle,Canonical scheduling/resource-planning entity for ActivityRelationship.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-019,RelationshipType,Progress Measurement,Canonical scheduling/resource-planning entity for RelationshipType.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-020,Lag,Cost & Schedule Integration,Canonical scheduling/resource-planning entity for Lag.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-021,Constraint,Constraint Management,Canonical scheduling/resource-planning entity for Constraint.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-022,ConstraintType,Weather & Calendar Impacts,Canonical scheduling/resource-planning entity for ConstraintType.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-023,Milestone,Schedule Risk Analysis,Canonical scheduling/resource-planning entity for Milestone.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-024,ContractMilestone,Recovery & Acceleration,Canonical scheduling/resource-planning entity for ContractMilestone.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-025,Deadline,Delay & Impact Analysis,Canonical scheduling/resource-planning entity for Deadline.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-026,FloatRecord,Portfolio Capacity Planning,Canonical scheduling/resource-planning entity for FloatRecord.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-027,CriticalPathRecord,What-If & Scenario Planning,Canonical scheduling/resource-planning entity for CriticalPathRecord.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-028,LongestPathRecord,AI Schedule Intelligence,Canonical scheduling/resource-planning entity for LongestPathRecord.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-029,ScheduleCalculation,Scheduling Digital Twin,Canonical scheduling/resource-planning entity for ScheduleCalculation.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-030,ScheduleCalculationResult,Enterprise Scheduling Core,Canonical scheduling/resource-planning entity for ScheduleCalculationResult.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-031,ActualStart,CPM Scheduling,Canonical scheduling/resource-planning entity for ActualStart.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-032,ActualFinish,Work Breakdown Structure,Canonical scheduling/resource-planning entity for ActualFinish.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-033,RemainingDuration,Calendars & Shifts,Canonical scheduling/resource-planning entity for RemainingDuration.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-034,PercentComplete,Resource Planning,Canonical scheduling/resource-planning entity for PercentComplete.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-035,PhysicalPercentComplete,Resource Loading,Canonical scheduling/resource-planning entity for PhysicalPercentComplete.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-036,UnitsPercentComplete,Resource Leveling,Canonical scheduling/resource-planning entity for UnitsPercentComplete.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-037,WeightedStep,Crew Planning,Canonical scheduling/resource-planning entity for WeightedStep.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-038,ProgressMeasurement,Equipment Planning,Canonical scheduling/resource-planning entity for ProgressMeasurement.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-039,EarnedValueRecord,Truck & Haul Planning,Canonical scheduling/resource-planning entity for EarnedValueRecord.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-040,PlannedValueRecord,Material Planning,Canonical scheduling/resource-planning entity for PlannedValueRecord.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-041,ActualCostRecord,Subcontractor Planning,Canonical scheduling/resource-planning entity for ActualCostRecord.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-042,SchedulePerformanceIndex,Look-Ahead Planning,Canonical scheduling/resource-planning entity for SchedulePerformanceIndex.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-043,CostPerformanceIndex,Last Planner & Commitments,Canonical scheduling/resource-planning entity for CostPerformanceIndex.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-044,Resource,Pull Planning,Canonical scheduling/resource-planning entity for Resource.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-045,ResourceType,Milestones & Contract Dates,Canonical scheduling/resource-planning entity for ResourceType.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-046,LaborResource,Baseline Management,Canonical scheduling/resource-planning entity for LaborResource.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-047,CrewResource,Schedule Update Cycle,Canonical scheduling/resource-planning entity for CrewResource.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-048,EquipmentResource,Progress Measurement,Canonical scheduling/resource-planning entity for EquipmentResource.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-049,TruckResource,Cost & Schedule Integration,Canonical scheduling/resource-planning entity for TruckResource.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-050,MaterialResource,Constraint Management,Canonical scheduling/resource-planning entity for MaterialResource.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-051,SubcontractorResource,Weather & Calendar Impacts,Canonical scheduling/resource-planning entity for SubcontractorResource.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-052,ResourcePool,Schedule Risk Analysis,Canonical scheduling/resource-planning entity for ResourcePool.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-053,ResourceAvailability,Recovery & Acceleration,Canonical scheduling/resource-planning entity for ResourceAvailability.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-054,ResourceCalendar,Delay & Impact Analysis,Canonical scheduling/resource-planning entity for ResourceCalendar.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-055,ResourceRequirement,Portfolio Capacity Planning,Canonical scheduling/resource-planning entity for ResourceRequirement.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-056,ResourceAssignment,What-If & Scenario Planning,Canonical scheduling/resource-planning entity for ResourceAssignment.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-057,ResourceDemand,AI Schedule Intelligence,Canonical scheduling/resource-planning entity for ResourceDemand.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-058,ResourceCapacity,Scheduling Digital Twin,Canonical scheduling/resource-planning entity for ResourceCapacity.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-059,ResourceOverload,Enterprise Scheduling Core,Canonical scheduling/resource-planning entity for ResourceOverload.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-060,ResourceLevelingRun,CPM Scheduling,Canonical scheduling/resource-planning entity for ResourceLevelingRun.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-061,ResourceLevelingResult,Work Breakdown Structure,Canonical scheduling/resource-planning entity for ResourceLevelingResult.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-062,ResourcePriority,Calendars & Shifts,Canonical scheduling/resource-planning entity for ResourcePriority.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-063,CrewTemplate,Resource Planning,Canonical scheduling/resource-planning entity for CrewTemplate.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-064,CrewPlan,Resource Loading,Canonical scheduling/resource-planning entity for CrewPlan.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-065,CrewAssignment,Resource Leveling,Canonical scheduling/resource-planning entity for CrewAssignment.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-066,CrewDemand,Crew Planning,Canonical scheduling/resource-planning entity for CrewDemand.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-067,EquipmentPlan,Equipment Planning,Canonical scheduling/resource-planning entity for EquipmentPlan.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-068,EquipmentDemand,Truck & Haul Planning,Canonical scheduling/resource-planning entity for EquipmentDemand.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-069,RentalRequirement,Material Planning,Canonical scheduling/resource-planning entity for RentalRequirement.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-070,TruckPlan,Subcontractor Planning,Canonical scheduling/resource-planning entity for TruckPlan.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-071,TruckDemand,Look-Ahead Planning,Canonical scheduling/resource-planning entity for TruckDemand.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-072,HaulCycleAssumption,Last Planner & Commitments,Canonical scheduling/resource-planning entity for HaulCycleAssumption.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-073,MaterialNeedDate,Pull Planning,Canonical scheduling/resource-planning entity for MaterialNeedDate.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-074,MaterialLeadTime,Milestones & Contract Dates,Canonical scheduling/resource-planning entity for MaterialLeadTime.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-075,MaterialDeliveryMilestone,Baseline Management,Canonical scheduling/resource-planning entity for MaterialDeliveryMilestone.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-076,SubcontractorPlan,Schedule Update Cycle,Canonical scheduling/resource-planning entity for SubcontractorPlan.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-077,SubcontractorCapacity,Progress Measurement,Canonical scheduling/resource-planning entity for SubcontractorCapacity.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-078,LookAheadPlan,Cost & Schedule Integration,Canonical scheduling/resource-planning entity for LookAheadPlan.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-079,LookAheadActivity,Constraint Management,Canonical scheduling/resource-planning entity for LookAheadActivity.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-080,WeeklyWorkPlan,Weather & Calendar Impacts,Canonical scheduling/resource-planning entity for WeeklyWorkPlan.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-081,Commitment,Schedule Risk Analysis,Canonical scheduling/resource-planning entity for Commitment.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-082,Promise,Recovery & Acceleration,Canonical scheduling/resource-planning entity for Promise.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-083,PPCRecord,Delay & Impact Analysis,Canonical scheduling/resource-planning entity for PPCRecord.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-084,ReasonForVariance,Portfolio Capacity Planning,Canonical scheduling/resource-planning entity for ReasonForVariance.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-085,PullPlan,What-If & Scenario Planning,Canonical scheduling/resource-planning entity for PullPlan.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-086,PullPlanCard,AI Schedule Intelligence,Canonical scheduling/resource-planning entity for PullPlanCard.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-087,Handoff,Scheduling Digital Twin,Canonical scheduling/resource-planning entity for Handoff.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-088,Buffer,Enterprise Scheduling Core,Canonical scheduling/resource-planning entity for Buffer.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-089,ReadinessCheck,CPM Scheduling,Canonical scheduling/resource-planning entity for ReadinessCheck.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-090,ConstraintRegister,Work Breakdown Structure,Canonical scheduling/resource-planning entity for ConstraintRegister.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-091,ConstraintItem,Calendars & Shifts,Canonical scheduling/resource-planning entity for ConstraintItem.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-092,ConstraintCategory,Resource Planning,Canonical scheduling/resource-planning entity for ConstraintCategory.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-093,ConstraintOwner,Resource Loading,Canonical scheduling/resource-planning entity for ConstraintOwner.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-094,ConstraintResolution,Resource Leveling,Canonical scheduling/resource-planning entity for ConstraintResolution.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-095,RFIConstraint,Crew Planning,Canonical scheduling/resource-planning entity for RFIConstraint.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-096,SubmittalConstraint,Equipment Planning,Canonical scheduling/resource-planning entity for SubmittalConstraint.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-097,PermitConstraint,Truck & Haul Planning,Canonical scheduling/resource-planning entity for PermitConstraint.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-098,ProcurementConstraint,Material Planning,Canonical scheduling/resource-planning entity for ProcurementConstraint.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-099,AccessConstraint,Subcontractor Planning,Canonical scheduling/resource-planning entity for AccessConstraint.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-100,UtilityConstraint,Look-Ahead Planning,Canonical scheduling/resource-planning entity for UtilityConstraint.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-101,DesignConstraint,Last Planner & Commitments,Canonical scheduling/resource-planning entity for DesignConstraint.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-102,WeatherEvent,Pull Planning,Canonical scheduling/resource-planning entity for WeatherEvent.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-103,WeatherImpact,Milestones & Contract Dates,Canonical scheduling/resource-planning entity for WeatherImpact.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-104,ProductivityFactor,Baseline Management,Canonical scheduling/resource-planning entity for ProductivityFactor.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-105,RiskEvent,Schedule Update Cycle,Canonical scheduling/resource-planning entity for RiskEvent.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-106,RiskRegister,Progress Measurement,Canonical scheduling/resource-planning entity for RiskRegister.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-107,DurationUncertainty,Cost & Schedule Integration,Canonical scheduling/resource-planning entity for DurationUncertainty.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-108,ScheduleRiskRun,Constraint Management,Canonical scheduling/resource-planning entity for ScheduleRiskRun.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-109,RiskResult,Weather & Calendar Impacts,Canonical scheduling/resource-planning entity for RiskResult.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-110,ConfidenceDate,Schedule Risk Analysis,Canonical scheduling/resource-planning entity for ConfidenceDate.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-111,SensitivityResult,Recovery & Acceleration,Canonical scheduling/resource-planning entity for SensitivityResult.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-112,Scenario,Delay & Impact Analysis,Canonical scheduling/resource-planning entity for Scenario.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-113,ScenarioVersion,Portfolio Capacity Planning,Canonical scheduling/resource-planning entity for ScenarioVersion.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-114,ScenarioAssumption,What-If & Scenario Planning,Canonical scheduling/resource-planning entity for ScenarioAssumption.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-115,ScenarioResult,AI Schedule Intelligence,Canonical scheduling/resource-planning entity for ScenarioResult.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-116,RecoveryPlan,Scheduling Digital Twin,Canonical scheduling/resource-planning entity for RecoveryPlan.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-117,RecoveryAction,Enterprise Scheduling Core,Canonical scheduling/resource-planning entity for RecoveryAction.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-118,AccelerationOption,CPM Scheduling,Canonical scheduling/resource-planning entity for AccelerationOption.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-119,AddedShift,Work Breakdown Structure,Canonical scheduling/resource-planning entity for AddedShift.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-120,AddedCrew,Calendars & Shifts,Canonical scheduling/resource-planning entity for AddedCrew.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-121,AddedEquipment,Resource Planning,Canonical scheduling/resource-planning entity for AddedEquipment.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-122,ResequencingAction,Resource Loading,Canonical scheduling/resource-planning entity for ResequencingAction.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-123,CrashOption,Resource Leveling,Canonical scheduling/resource-planning entity for CrashOption.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-124,FastTrackOption,Crew Planning,Canonical scheduling/resource-planning entity for FastTrackOption.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-125,DelayEvent,Equipment Planning,Canonical scheduling/resource-planning entity for DelayEvent.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-126,ImpactEvent,Truck & Haul Planning,Canonical scheduling/resource-planning entity for ImpactEvent.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-127,Fragnet,Material Planning,Canonical scheduling/resource-planning entity for Fragnet.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-128,TimeImpactAnalysis,Subcontractor Planning,Canonical scheduling/resource-planning entity for TimeImpactAnalysis.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-129,WindowAnalysis,Look-Ahead Planning,Canonical scheduling/resource-planning entity for WindowAnalysis.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-130,AsPlannedAsBuiltRecord,Last Planner & Commitments,Canonical scheduling/resource-planning entity for AsPlannedAsBuiltRecord.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-131,ScheduleNarrative,Pull Planning,Canonical scheduling/resource-planning entity for ScheduleNarrative.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-132,ScheduleNote,Milestones & Contract Dates,Canonical scheduling/resource-planning entity for ScheduleNote.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-133,ScheduleComment,Baseline Management,Canonical scheduling/resource-planning entity for ScheduleComment.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-134,ScheduleApproval,Schedule Update Cycle,Canonical scheduling/resource-planning entity for ScheduleApproval.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-135,ScheduleReview,Progress Measurement,Canonical scheduling/resource-planning entity for ScheduleReview.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-136,ScheduleIssue,Cost & Schedule Integration,Canonical scheduling/resource-planning entity for ScheduleIssue.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-137,ScheduleAlert,Constraint Management,Canonical scheduling/resource-planning entity for ScheduleAlert.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-138,ScheduleSubscription,Weather & Calendar Impacts,Canonical scheduling/resource-planning entity for ScheduleSubscription.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-139,ScheduleReportRun,Schedule Risk Analysis,Canonical scheduling/resource-planning entity for ScheduleReportRun.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-140,ScheduleKPI,Recovery & Acceleration,Canonical scheduling/resource-planning entity for ScheduleKPI.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-141,Portfolio,Delay & Impact Analysis,Canonical scheduling/resource-planning entity for Portfolio.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-142,Program,Portfolio Capacity Planning,Canonical scheduling/resource-planning entity for Program.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-143,PortfolioCapacityPlan,What-If & Scenario Planning,Canonical scheduling/resource-planning entity for PortfolioCapacityPlan.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-144,PortfolioDemand,AI Schedule Intelligence,Canonical scheduling/resource-planning entity for PortfolioDemand.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-145,PortfolioCapacity,Scheduling Digital Twin,Canonical scheduling/resource-planning entity for PortfolioCapacity.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-146,CapacityGap,Enterprise Scheduling Core,Canonical scheduling/resource-planning entity for CapacityGap.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-147,BacklogDemand,CPM Scheduling,Canonical scheduling/resource-planning entity for BacklogDemand.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-148,ForecastCompletion,Work Breakdown Structure,Canonical scheduling/resource-planning entity for ForecastCompletion.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-149,ForecastMilestone,Calendars & Shifts,Canonical scheduling/resource-planning entity for ForecastMilestone.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-150,ForecastDuration,Resource Planning,Canonical scheduling/resource-planning entity for ForecastDuration.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-151,ForecastResourceDemand,Resource Loading,Canonical scheduling/resource-planning entity for ForecastResourceDemand.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-152,CashFlowCurve,Resource Leveling,Canonical scheduling/resource-planning entity for CashFlowCurve.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-153,ScheduleCostLink,Crew Planning,Canonical scheduling/resource-planning entity for ScheduleCostLink.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
