Requirement ID,Domain,Priority,Requirement,Acceptance Criteria,Entity,Workflow,Engine,API,Test Case,Status
P12-REQ-022,Fleet Intelligence,Must,"The platform shall create governed fleet intelligence records and decisions for health scoring, failure prediction, replacement planning, cost anomaly detection, and recommendations, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the fleet intelligence transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-022,P12-WF-22,P12-ENG-22,P12-API-22,P12-TC-022,Review Ready
P12-REQ-023,Fleet Digital Twin,Must,"The platform shall create governed fleet digital twin records and decisions for live asset state combining physical, operational, maintenance, financial, location, and risk data, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the fleet digital twin transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-023,P12-WF-23,P12-ENG-23,P12-API-23,P12-TC-023,Review Ready
P12-REQ-024,Administration & Integration,Must,"The platform shall create governed administration & integration records and decisions for tenant configuration, white-label settings, RBAC, APIs, events, data migration, and audit, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the administration & integration transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-024,P12-WF-24,P12-ENG-24,P12-API-24,P12-TC-024,Review Ready
P12-REQ-025,Fleet Registry,Must,"The platform shall update governed fleet registry records and decisions for fleet and equipment master records, ownership, classification, specifications, and lifecycle status, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the fleet registry transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-025,P12-WF-25,P12-ENG-25,P12-API-25,P12-TC-025,Review Ready
P12-REQ-026,Asset Lifecycle,Must,"The platform shall update governed asset lifecycle records and decisions for acquisition, commissioning, transfer, capitalization, utilization, retirement, disposal, and replacement, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the asset lifecycle transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-026,P12-WF-26,P12-ENG-26,P12-API-26,P12-TC-026,Review Ready
P12-REQ-027,Preventive Maintenance,Must,"The platform shall update governed preventive maintenance records and decisions for meter-, calendar-, condition-, and risk-based preventive maintenance programs, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the preventive maintenance transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-027,P12-WF-01,P12-ENG-27,P12-API-27,P12-TC-027,Review Ready
P12-REQ-028,Corrective Maintenance,Must,"The platform shall update governed corrective maintenance records and decisions for defect intake, diagnostics, work orders, labor, parts, repair execution, testing, and return to service, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the corrective maintenance transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-028,P12-WF-02,P12-ENG-28,P12-API-28,P12-TC-028,Review Ready
P12-REQ-029,Inspections,Must,"The platform shall update governed inspections records and decisions for pre-use, post-use, annual, regulatory, safety, and quality inspections with mobile evidence, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the inspections transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-029,P12-WF-03,P12-ENG-29,P12-API-29,P12-TC-029,Review Ready
P12-REQ-030,Telematics & IoT,Must,"The platform shall update governed telematics & iot records and decisions for OEM and third-party telematics ingestion, normalization, health events, location, meter, and utilization data, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the telematics & iot transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-030,P12-WF-04,P12-ENG-30,P12-API-30,P12-TC-030,Review Ready
P12-REQ-031,Fuel & Energy,Must,"The platform shall update governed fuel & energy records and decisions for fuel cards, bulk tanks, mobile fueling, electric charging, idle control, consumption, and reconciliation, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the fuel & energy transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-031,P12-WF-05,P12-ENG-31,P12-API-31,P12-TC-031,Review Ready
P12-REQ-032,Parts & Components,Must,"The platform shall update governed parts & components records and decisions for parts catalogs, serialized components, warranties, cores, inventory integration, and component history, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the parts & components transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-032,P12-WF-06,P12-ENG-32,P12-API-32,P12-TC-032,Review Ready
P12-REQ-033,Work Orders,Must,"The platform shall update governed work orders records and decisions for planning, approval, scheduling, assignment, execution, cost capture, closeout, and audit, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the work orders transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-033,P12-WF-07,P12-ENG-01,P12-API-33,P12-TC-033,Review Ready
P12-REQ-034,Shop Operations,Must,"The platform shall update governed shop operations records and decisions for shop bays, technician capacity, backlog, dispatch, tooling, calibration, and productivity, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the shop operations transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-034,P12-WF-08,P12-ENG-02,P12-API-34,P12-TC-034,Review Ready
P12-REQ-035,Field Service,Must,"The platform shall update governed field service records and decisions for service trucks, mobile technicians, emergency response, remote diagnostics, and site repair, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the field service transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-035,P12-WF-09,P12-ENG-03,P12-API-35,P12-TC-035,Review Ready
P12-REQ-036,Rental & Leased Assets,Must,"The platform shall update governed rental & leased assets records and decisions for rental intake, rate terms, utilization, off-rent, damage, extensions, and invoice validation, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the rental & leased assets transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-036,P12-WF-10,P12-ENG-04,P12-API-36,P12-TC-036,Review Ready
P12-REQ-037,Compliance,Must,"The platform shall update governed compliance records and decisions for registrations, permits, DOT records, emissions, inspections, certifications, and out-of-service controls, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the compliance transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-037,P12-WF-11,P12-ENG-05,P12-API-37,P12-TC-037,Review Ready
P12-REQ-038,Safety & Risk,Must,"The platform shall update governed safety & risk records and decisions for operator authorization, defect severity, lockout/tagout, incident linkage, and critical control verification, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the safety & risk transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-038,P12-WF-12,P12-ENG-06,P12-API-38,P12-TC-038,Review Ready
P12-REQ-039,Utilization & Dispatch,Must,"The platform shall update governed utilization & dispatch records and decisions for availability, reservation, assignment, dispatch, location, shift use, and underutilization detection, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the utilization & dispatch transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-039,P12-WF-13,P12-ENG-07,P12-API-39,P12-TC-039,Review Ready
P12-REQ-040,Equipment Costing,Must,"The platform shall update governed equipment costing records and decisions for ownership cost, operating cost, internal rates, fuel, maintenance, depreciation, and project chargeback, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the equipment costing transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-040,P12-WF-14,P12-ENG-08,P12-API-40,P12-TC-040,Review Ready
P12-REQ-041,Warranty & Claims,Must,"The platform shall update governed warranty & claims records and decisions for coverage rules, claim preparation, evidence, recovery, denial tracking, and supplier reimbursement, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the warranty & claims transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-041,P12-WF-15,P12-ENG-09,P12-API-01,P12-TC-041,Review Ready
P12-REQ-042,Tires & Undercarriage,Must,"The platform shall update governed tires & undercarriage records and decisions for position tracking, measurements, rotations, replacements, wear forecasts, and cost-per-hour analysis, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the tires & undercarriage transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-042,P12-WF-16,P12-ENG-10,P12-API-02,P12-TC-042,Review Ready
P12-REQ-043,Attachments & Tools,Must,"The platform shall update governed attachments & tools records and decisions for attachment compatibility, custody, inspections, calibration, utilization, and loss prevention, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the attachments & tools transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-043,P12-WF-17,P12-ENG-11,P12-API-03,P12-TC-043,Review Ready
P12-REQ-044,Documents & Media,Must,"The platform shall update governed documents & media records and decisions for manuals, photos, invoices, inspection forms, service records, and immutable evidence, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the documents & media transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-044,P12-WF-18,P12-ENG-12,P12-API-04,P12-TC-044,Review Ready
P12-REQ-045,Mobile & Offline,Must,"The platform shall update governed mobile & offline records and decisions for offline inspections, work orders, parts usage, signatures, photos, sync, and conflict resolution, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the mobile & offline transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-045,P12-WF-19,P12-ENG-13,P12-API-05,P12-TC-045,Review Ready
P12-REQ-046,Fleet Intelligence,Must,"The platform shall update governed fleet intelligence records and decisions for health scoring, failure prediction, replacement planning, cost anomaly detection, and recommendations, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the fleet intelligence transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-046,P12-WF-20,P12-ENG-14,P12-API-06,P12-TC-046,Review Ready
P12-REQ-047,Fleet Digital Twin,Must,"The platform shall update governed fleet digital twin records and decisions for live asset state combining physical, operational, maintenance, financial, location, and risk data, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the fleet digital twin transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-047,P12-WF-21,P12-ENG-15,P12-API-07,P12-TC-047,Review Ready
P12-REQ-048,Administration & Integration,Must,"The platform shall update governed administration & integration records and decisions for tenant configuration, white-label settings, RBAC, APIs, events, data migration, and audit, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the administration & integration transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-048,P12-WF-22,P12-ENG-16,P12-API-08,P12-TC-048,Review Ready
P12-REQ-049,Fleet Registry,Must,"The platform shall approve governed fleet registry records and decisions for fleet and equipment master records, ownership, classification, specifications, and lifecycle status, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the fleet registry transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-049,P12-WF-23,P12-ENG-17,P12-API-09,P12-TC-049,Review Ready
P12-REQ-050,Asset Lifecycle,Must,"The platform shall approve governed asset lifecycle records and decisions for acquisition, commissioning, transfer, capitalization, utilization, retirement, disposal, and replacement, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the asset lifecycle transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-050,P12-WF-24,P12-ENG-18,P12-API-10,P12-TC-050,Review Ready
P12-REQ-051,Preventive Maintenance,Must,"The platform shall approve governed preventive maintenance records and decisions for meter-, calendar-, condition-, and risk-based preventive maintenance programs, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the preventive maintenance transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-051,P12-WF-25,P12-ENG-19,P12-API-11,P12-TC-051,Review Ready
P12-REQ-052,Corrective Maintenance,Must,"The platform shall approve governed corrective maintenance records and decisions for defect intake, diagnostics, work orders, labor, parts, repair execution, testing, and return to service, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the corrective maintenance transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-052,P12-WF-26,P12-ENG-20,P12-API-12,P12-TC-052,Review Ready
P12-REQ-053,Inspections,Must,"The platform shall approve governed inspections records and decisions for pre-use, post-use, annual, regulatory, safety, and quality inspections with mobile evidence, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the inspections transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-053,P12-WF-01,P12-ENG-21,P12-API-13,P12-TC-053,Review Ready
P12-REQ-054,Telematics & IoT,Must,"The platform shall approve governed telematics & iot records and decisions for OEM and third-party telematics ingestion, normalization, health events, location, meter, and utilization data, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the telematics & iot transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-054,P12-WF-02,P12-ENG-22,P12-API-14,P12-TC-054,Review Ready
P12-REQ-055,Fuel & Energy,Must,"The platform shall approve governed fuel & energy records and decisions for fuel cards, bulk tanks, mobile fueling, electric charging, idle control, consumption, and reconciliation, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the fuel & energy transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-055,P12-WF-03,P12-ENG-23,P12-API-15,P12-TC-055,Review Ready
P12-REQ-056,Parts & Components,Must,"The platform shall approve governed parts & components records and decisions for parts catalogs, serialized components, warranties, cores, inventory integration, and component history, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the parts & components transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-056,P12-WF-04,P12-ENG-24,P12-API-16,P12-TC-056,Review Ready
P12-REQ-057,Work Orders,Must,"The platform shall approve governed work orders records and decisions for planning, approval, scheduling, assignment, execution, cost capture, closeout, and audit, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the work orders transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-057,P12-WF-05,P12-ENG-25,P12-API-17,P12-TC-057,Review Ready
P12-REQ-058,Shop Operations,Must,"The platform shall approve governed shop operations records and decisions for shop bays, technician capacity, backlog, dispatch, tooling, calibration, and productivity, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the shop operations transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-058,P12-WF-06,P12-ENG-26,P12-API-18,P12-TC-058,Review Ready
P12-REQ-059,Field Service,Must,"The platform shall approve governed field service records and decisions for service trucks, mobile technicians, emergency response, remote diagnostics, and site repair, with tenant isolation, role-based access, effective dating, audit history, configurable approvals, and API availability.","Given an authorized user or integration, when the field service transaction is submitted, then required fields and policies are validated, the state transition is recorded, financial and project links are preserved, exceptions are surfaced, and an immutable audit event is created.",P12-ENT-059,P12-WF-07,P12-ENG-27,P12-API-19,P12-TC-059,Review Ready
