Entity_ID,Name,Domain,Purpose,Core_Attributes,Core_Constraints,Lifecycle,Owner,Classification
ENT-P03-011,Party,Party & Relationship,"Common customer, vendor, employee, or organization identity",party_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-012,OrganizationParty,Party & Relationship,Organization represented as a party,organizationparty_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-013,ContactPoint,Party & Relationship,"Email, phone, website, or messaging contact",contactpoint_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-014,Address,Party & Relationship,Postal and physical address,address_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-015,PartyRelationship,Party & Relationship,Typed relationship between parties,partyrelationship_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-016,CustomerAccount,Party & Relationship,Commercial customer account,customeraccount_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-017,VendorAccount,Party & Relationship,Supplier or subcontractor account,vendoraccount_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-018,EmployeeProfile,Party & Relationship,Employment profile linked to a person,employeeprofile_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-019,Qualification,Safety & Quality,"Certification, license, training, or competency",qualification_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-020,Opportunity,Work & Delivery,Potential work or revenue pursuit,opportunity_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-021,Estimate,Work & Delivery,Versioned cost and price model,estimate_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-022,EstimateVersion,Work & Delivery,Immutable estimate revision,estimateversion_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,created; immutable; retained,Enterprise Data Architecture,Varies by record classification
ENT-P03-023,EstimateLine,Work & Delivery,"Detailed quantity, resource, cost, and price line",estimateline_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-024,Proposal,Work & Delivery,Customer-facing offer,proposal_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-025,Contract,Work & Delivery,Executed agreement governing work,contract_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-026,WorkOrder,Work & Delivery,Authorized work package,workorder_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-027,Task,Work & Delivery,Assignable unit of work,task_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-028,ScheduleActivity,Work & Delivery,"Planned activity with dates, logic, and progress",scheduleactivity_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-029,DailyReport,Work & Delivery,Daily field production and condition record,dailyreport_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-030,ApprovalRequest,Work & Delivery,Governed approval case,approvalrequest_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-031,ApprovalDecision,Work & Delivery,Recorded approval outcome,approvaldecision_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-032,LaborResource,Resources,Labor classification or person capacity,laborresource_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-033,Crew,Resources,Reusable group of labor and equipment,crew_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-034,CrewMember,Resources,Crew membership with role and effective dates,crewmember_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-035,EquipmentAsset,Resources,"Owned, leased, or rented equipment",equipmentasset_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-036,FleetVehicle,Resources,Road-licensed fleet vehicle,fleetvehicle_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-037,MaterialItem,Resources,Material catalog item,materialitem_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-038,ServiceItem,Resources,Service catalog item,serviceitem_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-039,ResourceRate,Resources,"Effective labor, equipment, material, or service rate",resourcerate_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-040,VendorQuote,Resources,Vendor-specific quote and terms,vendorquote_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-041,CostCode,Financial,Standard cost classification,costcode_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-042,Budget,Financial,Approved financial plan,budget_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-043,BudgetLine,Financial,"Budget amount by cost, period, or work scope",budgetline_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-044,Commitment,Financial,"Purchase order, subcontract, or committed cost",commitment_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-045,Invoice,Financial,Receivable or payable invoice,invoice_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-046,Payment,Financial,Money received or paid,payment_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-047,CostTransaction,Financial,"Actual, accrued, committed, or forecast cost",costtransaction_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-048,TaxDefinition,Financial,Tax rule and jurisdiction,taxdefinition_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-049,CurrencyRate,Financial,Versioned exchange rate,currencyrate_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-050,Document,Documents & Records,Logical document record,document_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-051,DocumentVersion,Documents & Records,Immutable document content version,documentversion_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,created; immutable; retained,Enterprise Data Architecture,Varies by record classification
ENT-P03-052,AttachmentLink,Documents & Records,Link between a document and business object,attachmentlink_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-053,RecordClassification,Documents & Records,"Security, retention, and handling classification",recordclassification_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-054,ElectronicSignature,Documents & Records,Signature evidence and status,electronicsignature_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-055,Site,Location & Spatial,Project or customer site,site_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-056,Parcel,Location & Spatial,Property or land parcel reference,parcel_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-057,SpatialReference,Location & Spatial,Coordinate reference system,spatialreference_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-058,GeometryReference,Location & Spatial,Stored or linked geometry representation,geometryreference_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-059,StationRange,Location & Spatial,Linear stationing interval,stationrange_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-060,Jurisdiction,Location & Spatial,Governing geographic authority,jurisdiction_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-061,SafetyIncident,Safety & Quality,Safety or environmental incident,safetyincident_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-062,Inspection,Safety & Quality,Structured inspection event,inspection_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-063,Observation,Safety & Quality,"Safety, quality, or field observation",observation_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-064,CorrectiveAction,Safety & Quality,Action to resolve a finding,correctiveaction_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-065,Permit,Safety & Quality,"Permit, authorization, or compliance record",permit_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-066,AIAgent,AI & Automation,Governed AI agent definition,aiagent_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-067,AIExecution,AI & Automation,Single AI execution record,aiexecution_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-068,AIRecommendation,AI & Automation,Structured AI recommendation,airecommendation_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-069,AIWriteback,AI & Automation,Proposed or completed AI data change,aiwriteback_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-070,FeedbackRecord,AI & Automation,Human or outcome feedback on AI/system output,feedbackrecord_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-071,ExternalIdentifier,Integration & Audit,Identifier from another system,externalidentifier_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-072,SourceSystem,Integration & Audit,External or legacy system definition,sourcesystem_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-073,DataMapping,Integration & Audit,Field and value mapping specification,datamapping_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-074,ImportBatch,Integration & Audit,Governed data import,importbatch_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-075,DomainEvent,Integration & Audit,Versioned business or platform event,domainevent_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,created; immutable; retained,Enterprise Data Architecture,Varies by record classification
ENT-P03-076,DataLineage,Integration & Audit,Origin and transformation lineage,datalineage_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-077,ChangeRecord,Integration & Audit,Versioned record change metadata,changerecord_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-078,AuditEvent,Integration & Audit,Immutable actor-action-object audit event,auditevent_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,created; immutable; retained,Enterprise Data Architecture,Varies by record classification
ENT-P03-079,ReferenceSet,Foundation,Governed code and lookup collection,referenceset_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-080,ReferenceValue,Foundation,Effective-dated lookup value,referencevalue_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-081,CustomFieldDefinition,Foundation,Tenant-governed extensible field,customfielddefinition_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-082,CustomFieldValue,Foundation,Typed custom field value,customfieldvalue_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
