report_id,name,audience,purpose,formats
P19-RPT-034,Commercial Closeout,Commercial/Project/Finance/Executive,"Governed commercial closeout with contract version, authority, cost/schedule and evidence context.",Dashboard/PDF/XLSX/CSV
P19-RPT-035,Commercial Audit Trail,Commercial/Project/Finance/Executive,"Governed commercial audit trail with contract version, authority, cost/schedule and evidence context.",Dashboard/PDF/XLSX/CSV
P19-RPT-036,AI Commercial Review,Commercial/Project/Finance/Executive,"Governed ai commercial review with contract version, authority, cost/schedule and evidence context.",Dashboard/PDF/XLSX/CSV
P19-RPT-037,Commercial KPI Scorecard,Commercial/Project/Finance/Executive,"Governed commercial kpi scorecard with contract version, authority, cost/schedule and evidence context.",Dashboard/PDF/XLSX/CSV
P19-RPT-038,Commercial Digital Twin Status,Commercial/Project/Finance/Executive,"Governed commercial digital twin status with contract version, authority, cost/schedule and evidence context.",Dashboard/PDF/XLSX/CSV
P19-RPT-039,Executive Commercial Dashboard,Commercial/Project/Finance/Executive,"Governed executive commercial dashboard with contract version, authority, cost/schedule and evidence context.",Dashboard/PDF/XLSX/CSV
P19-RPT-040,Change Aging Report,Commercial/Project/Finance/Executive,"Governed change aging report with contract version, authority, cost/schedule and evidence context.",Dashboard/PDF/XLSX/CSV
P19-RPT-041,Claim Aging Report,Commercial/Project/Finance/Executive,"Governed claim aging report with contract version, authority, cost/schedule and evidence context.",Dashboard/PDF/XLSX/CSV
P19-RPT-042,Notice Compliance Scorecard,Commercial/Project/Finance/Executive,"Governed notice compliance scorecard with contract version, authority, cost/schedule and evidence context.",Dashboard/PDF/XLSX/CSV
P19-RPT-043,Contract Exposure by Project,Commercial/Project/Finance/Executive,"Governed contract exposure by project with contract version, authority, cost/schedule and evidence context.",Dashboard/PDF/XLSX/CSV
P19-RPT-044,Portfolio Commercial Risk,Commercial/Project/Finance/Executive,"Governed portfolio commercial risk with contract version, authority, cost/schedule and evidence context.",Dashboard/PDF/XLSX/CSV
