Requirement_ID,Test_ID,Module_Code,Priority,Mapping_Status
P07-REQ-105,P07-TC-105,PRC,Must,Mapped
P07-REQ-106,P07-TC-106,PRC,Must,Mapped
P07-REQ-107,P07-TC-107,PRC,Must,Mapped
P07-REQ-108,P07-TC-108,PRC,Must,Mapped
P07-REQ-109,P07-TC-109,PRC,Must,Mapped
P07-REQ-110,P07-TC-110,PRC,Must,Mapped
P07-REQ-111,P07-TC-111,COM,Must,Mapped
P07-REQ-112,P07-TC-112,COM,Must,Mapped
P07-REQ-113,P07-TC-113,COM,Must,Mapped
P07-REQ-114,P07-TC-114,COM,Must,Mapped
P07-REQ-115,P07-TC-115,COM,Must,Mapped
P07-REQ-116,P07-TC-116,COM,Must,Mapped
P07-REQ-117,P07-TC-117,COM,Must,Mapped
P07-REQ-118,P07-TC-118,COM,Must,Mapped
P07-REQ-119,P07-TC-119,COM,Must,Mapped
P07-REQ-120,P07-TC-120,COM,Must,Mapped
P07-REQ-121,P07-TC-121,DGT,Must,Mapped
P07-REQ-122,P07-TC-122,DGT,Must,Mapped
P07-REQ-123,P07-TC-123,DGT,Must,Mapped
P07-REQ-124,P07-TC-124,DGT,Must,Mapped
P07-REQ-125,P07-TC-125,DGT,Must,Mapped
P07-REQ-126,P07-TC-126,DGT,Must,Mapped
P07-REQ-127,P07-TC-127,DGT,Must,Mapped
P07-REQ-128,P07-TC-128,DGT,Must,Mapped
P07-REQ-129,P07-TC-129,DGT,Must,Mapped
P07-REQ-130,P07-TC-130,DGT,Must,Mapped
P07-REQ-131,P07-TC-131,MOB,Must,Mapped
P07-REQ-132,P07-TC-132,MOB,Must,Mapped
P07-REQ-133,P07-TC-133,MOB,Must,Mapped
P07-REQ-134,P07-TC-134,MOB,Must,Mapped
P07-REQ-135,P07-TC-135,MOB,Must,Mapped
P07-REQ-136,P07-TC-136,MOB,Must,Mapped
P07-REQ-137,P07-TC-137,MOB,Must,Mapped
P07-REQ-138,P07-TC-138,MOB,Must,Mapped
P07-REQ-139,P07-TC-139,MOB,Must,Mapped
P07-REQ-140,P07-TC-140,MOB,Must,Mapped
P07-REQ-141,P07-TC-141,AI,Must,Mapped
P07-REQ-142,P07-TC-142,AI,Must,Mapped
P07-REQ-143,P07-TC-143,AI,Must,Mapped
P07-REQ-144,P07-TC-144,AI,Must,Mapped
P07-REQ-145,P07-TC-145,AI,Must,Mapped
P07-REQ-146,P07-TC-146,AI,Must,Mapped
P07-REQ-147,P07-TC-147,AI,Must,Mapped
P07-REQ-148,P07-TC-148,AI,Must,Mapped
P07-REQ-149,P07-TC-149,AI,Must,Mapped
P07-REQ-150,P07-TC-150,AI,Must,Mapped
P07-REQ-151,P07-TC-151,EXT,Must,Mapped
P07-REQ-152,P07-TC-152,EXT,Must,Mapped
P07-REQ-153,P07-TC-153,EXT,Must,Mapped
P07-REQ-154,P07-TC-154,EXT,Must,Mapped
P07-REQ-155,P07-TC-155,EXT,Must,Mapped
P07-REQ-156,P07-TC-156,EXT,Must,Mapped
P07-REQ-157,P07-TC-157,EXT,Must,Mapped
P07-REQ-158,P07-TC-158,EXT,Must,Mapped
P07-REQ-159,P07-TC-159,EXT,Must,Mapped
P07-REQ-160,P07-TC-160,EXT,Must,Mapped
