ui_id,name,domain,capabilities,form_factor
P19-UI-014,T&M Reconciliation,Claims Management,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-015,Change Schedule Impact,Delay & Disruption Records,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-016,Change Authorization,Differing Site Conditions,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-017,Change Order Builder,Scope & Design Change,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-018,Owner Change Orders,Payment & Billing Commercials,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-019,Subcontract Change Orders,Retainage & Holdbacks,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-020,Change Directive Center,Backcharges & Deductions,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-021,Contract Value Dashboard,Allowances & Contingencies,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-022,Pending Change Exposure,Escalation & Price Adjustment,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-023,Claims Register,"Insurance, Bonds & Commercial Compliance",Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-024,Claim Workspace,Lien & Waiver Administration,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-025,Claim Chronology,Dispute Management,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-026,Claim Cost Build,Commercial Forecasting,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-027,Claim Time Build,Contract Closeout,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-028,Claim Evidence Room,AI Commercial Intelligence,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-029,Differing Site Conditions,Commercial Digital Twin,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-030,Delay/Disruption Center,Commercial Management Core,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-031,Acceleration Center,Prime Contract Management,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-032,Scope/Design Change Trace,Subcontract Management,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-033,Payment Application Center,Purchase Contract Commercials,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-034,Retainage Manager,Contract Clause Registry,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-035,Backcharge Center,Obligation Management,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-036,Allowance/Contingency Manager,Notice Management,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-037,Escalation/Price Adjustment,Potential Change Management,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-038,Insurance/Bond Compliance,Change Order Management,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-039,Lien/Waiver Center,Change Pricing,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-040,Commercial Forecast,T&M / Force Account,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-041,Margin at Completion,Change Authorization,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-042,Dispute/Settlement Center,Contract Value Control,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-043,Commercial Closeout,Claims Management,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-044,AI Commercial Intelligence Review,Delay & Disruption Records,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-045,Commercial Analytics,Differing Site Conditions,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-046,Commercial Digital Twin,Scope & Design Change,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-047,Mobile Commercial Field Capture,Payment & Billing Commercials,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-048,Commercial Administration,Retainage & Holdbacks,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
P19-UI-049,Template/Jurisdiction Manager,Backcharges & Deductions,Role-based; contract/version/deadline/authority visible; evidence drill-through; approval state; responsive; sensitive-data controls,Web/tablet/mobile
