requirement_id,test_id,control_id,execution_contract_id,status
P22-REQ-034,P22-TST-034,P22-CTRL-004,P22-EXEC-010,Mapped
P22-REQ-035,P22-TST-035,P22-CTRL-005,P22-EXEC-011,Mapped
P22-REQ-036,P22-TST-036,P22-CTRL-006,P22-EXEC-012,Mapped
P22-REQ-037,P22-TST-037,P22-CTRL-007,P22-EXEC-013,Mapped
P22-REQ-038,P22-TST-038,P22-CTRL-008,P22-EXEC-014,Mapped
P22-REQ-039,P22-TST-039,P22-CTRL-009,P22-EXEC-015,Mapped
P22-REQ-040,P22-TST-040,P22-CTRL-010,P22-EXEC-016,Mapped
P22-REQ-041,P22-TST-041,P22-CTRL-011,P22-EXEC-017,Mapped
P22-REQ-042,P22-TST-042,P22-CTRL-012,P22-EXEC-018,Mapped
P22-REQ-043,P22-TST-043,P22-CTRL-013,P22-EXEC-019,Mapped
P22-REQ-044,P22-TST-044,P22-CTRL-014,P22-EXEC-020,Mapped
P22-REQ-045,P22-TST-045,P22-CTRL-015,P22-EXEC-021,Mapped
P22-REQ-046,P22-TST-046,P22-CTRL-016,P22-EXEC-022,Mapped
P22-REQ-047,P22-TST-047,P22-CTRL-017,P22-EXEC-023,Mapped
P22-REQ-048,P22-TST-048,P22-CTRL-018,P22-EXEC-024,Mapped
P22-REQ-049,P22-TST-049,P22-CTRL-019,P22-EXEC-001,Mapped
P22-REQ-050,P22-TST-050,P22-CTRL-020,P22-EXEC-002,Mapped
P22-REQ-051,P22-TST-051,P22-CTRL-021,P22-EXEC-003,Mapped
P22-REQ-052,P22-TST-052,P22-CTRL-022,P22-EXEC-004,Mapped
P22-REQ-053,P22-TST-053,P22-CTRL-023,P22-EXEC-005,Mapped
P22-REQ-054,P22-TST-054,P22-CTRL-024,P22-EXEC-006,Mapped
P22-REQ-055,P22-TST-055,P22-CTRL-025,P22-EXEC-007,Mapped
P22-REQ-056,P22-TST-056,P22-CTRL-026,P22-EXEC-008,Mapped
P22-REQ-057,P22-TST-057,P22-CTRL-027,P22-EXEC-009,Mapped
P22-REQ-058,P22-TST-058,P22-CTRL-028,P22-EXEC-010,Mapped
P22-REQ-059,P22-TST-059,P22-CTRL-029,P22-EXEC-011,Mapped
P22-REQ-060,P22-TST-060,P22-CTRL-030,P22-EXEC-012,Mapped
P22-REQ-061,P22-TST-061,P22-CTRL-001,P22-EXEC-013,Mapped
P22-REQ-062,P22-TST-062,P22-CTRL-002,P22-EXEC-014,Mapped
P22-REQ-063,P22-TST-063,P22-CTRL-003,P22-EXEC-015,Mapped
P22-REQ-064,P22-TST-064,P22-CTRL-004,P22-EXEC-016,Mapped
P22-REQ-065,P22-TST-065,P22-CTRL-005,P22-EXEC-017,Mapped
P22-REQ-066,P22-TST-066,P22-CTRL-006,P22-EXEC-018,Mapped
P22-REQ-067,P22-TST-067,P22-CTRL-007,P22-EXEC-019,Mapped
P22-REQ-068,P22-TST-068,P22-CTRL-008,P22-EXEC-020,Mapped
P22-REQ-069,P22-TST-069,P22-CTRL-009,P22-EXEC-021,Mapped
P22-REQ-070,P22-TST-070,P22-CTRL-010,P22-EXEC-022,Mapped
P22-REQ-071,P22-TST-071,P22-CTRL-011,P22-EXEC-023,Mapped
P22-REQ-072,P22-TST-072,P22-CTRL-012,P22-EXEC-024,Mapped
P22-REQ-073,P22-TST-073,P22-CTRL-013,P22-EXEC-001,Mapped
P22-REQ-074,P22-TST-074,P22-CTRL-014,P22-EXEC-002,Mapped
P22-REQ-075,P22-TST-075,P22-CTRL-015,P22-EXEC-003,Mapped
P22-REQ-076,P22-TST-076,P22-CTRL-016,P22-EXEC-004,Mapped
P22-REQ-077,P22-TST-077,P22-CTRL-017,P22-EXEC-005,Mapped
P22-REQ-078,P22-TST-078,P22-CTRL-018,P22-EXEC-006,Mapped
P22-REQ-079,P22-TST-079,P22-CTRL-019,P22-EXEC-007,Mapped
P22-REQ-080,P22-TST-080,P22-CTRL-020,P22-EXEC-008,Mapped
P22-REQ-081,P22-TST-081,P22-CTRL-021,P22-EXEC-009,Mapped
P22-REQ-082,P22-TST-082,P22-CTRL-022,P22-EXEC-010,Mapped
P22-REQ-083,P22-TST-083,P22-CTRL-023,P22-EXEC-011,Mapped
P22-REQ-084,P22-TST-084,P22-CTRL-024,P22-EXEC-012,Mapped
P22-REQ-085,P22-TST-085,P22-CTRL-025,P22-EXEC-013,Mapped
P22-REQ-086,P22-TST-086,P22-CTRL-026,P22-EXEC-014,Mapped
P22-REQ-087,P22-TST-087,P22-CTRL-027,P22-EXEC-015,Mapped
P22-REQ-088,P22-TST-088,P22-CTRL-028,P22-EXEC-016,Mapped
P22-REQ-089,P22-TST-089,P22-CTRL-029,P22-EXEC-017,Mapped
P22-REQ-090,P22-TST-090,P22-CTRL-030,P22-EXEC-018,Mapped
P22-REQ-091,P22-TST-091,P22-CTRL-001,P22-EXEC-019,Mapped
P22-REQ-092,P22-TST-092,P22-CTRL-002,P22-EXEC-020,Mapped
P22-REQ-093,P22-TST-093,P22-CTRL-003,P22-EXEC-021,Mapped
P22-REQ-094,P22-TST-094,P22-CTRL-004,P22-EXEC-022,Mapped
P22-REQ-095,P22-TST-095,P22-CTRL-005,P22-EXEC-023,Mapped
P22-REQ-096,P22-TST-096,P22-CTRL-006,P22-EXEC-024,Mapped
P22-REQ-097,P22-TST-097,P22-CTRL-007,P22-EXEC-001,Mapped
P22-REQ-098,P22-TST-098,P22-CTRL-008,P22-EXEC-002,Mapped
P22-REQ-099,P22-TST-099,P22-CTRL-009,P22-EXEC-003,Mapped
P22-REQ-100,P22-TST-100,P22-CTRL-010,P22-EXEC-004,Mapped
P22-REQ-101,P22-TST-101,P22-CTRL-011,P22-EXEC-005,Mapped
P22-REQ-102,P22-TST-102,P22-CTRL-012,P22-EXEC-006,Mapped
P22-REQ-103,P22-TST-103,P22-CTRL-013,P22-EXEC-007,Mapped
P22-REQ-104,P22-TST-104,P22-CTRL-014,P22-EXEC-008,Mapped
P22-REQ-105,P22-TST-105,P22-CTRL-015,P22-EXEC-009,Mapped
P22-REQ-106,P22-TST-106,P22-CTRL-016,P22-EXEC-010,Mapped
P22-REQ-107,P22-TST-107,P22-CTRL-017,P22-EXEC-011,Mapped
P22-REQ-108,P22-TST-108,P22-CTRL-018,P22-EXEC-012,Mapped
P22-REQ-109,P22-TST-109,P22-CTRL-019,P22-EXEC-013,Mapped
P22-REQ-110,P22-TST-110,P22-CTRL-020,P22-EXEC-014,Mapped
P22-REQ-111,P22-TST-111,P22-CTRL-021,P22-EXEC-015,Mapped
P22-REQ-112,P22-TST-112,P22-CTRL-022,P22-EXEC-016,Mapped
P22-REQ-113,P22-TST-113,P22-CTRL-023,P22-EXEC-017,Mapped
P22-REQ-114,P22-TST-114,P22-CTRL-024,P22-EXEC-018,Mapped
P22-REQ-115,P22-TST-115,P22-CTRL-025,P22-EXEC-019,Mapped
P22-REQ-116,P22-TST-116,P22-CTRL-026,P22-EXEC-020,Mapped
P22-REQ-117,P22-TST-117,P22-CTRL-027,P22-EXEC-021,Mapped
P22-REQ-118,P22-TST-118,P22-CTRL-028,P22-EXEC-022,Mapped
P22-REQ-119,P22-TST-119,P22-CTRL-029,P22-EXEC-023,Mapped
P22-REQ-120,P22-TST-120,P22-CTRL-030,P22-EXEC-024,Mapped
P22-REQ-121,P22-TST-121,P22-CTRL-001,P22-EXEC-001,Mapped
P22-REQ-122,P22-TST-122,P22-CTRL-002,P22-EXEC-002,Mapped
P22-REQ-123,P22-TST-123,P22-CTRL-003,P22-EXEC-003,Mapped
P22-REQ-124,P22-TST-124,P22-CTRL-004,P22-EXEC-004,Mapped
P22-REQ-125,P22-TST-125,P22-CTRL-005,P22-EXEC-005,Mapped
P22-REQ-126,P22-TST-126,P22-CTRL-006,P22-EXEC-006,Mapped
P22-REQ-127,P22-TST-127,P22-CTRL-007,P22-EXEC-007,Mapped
P22-REQ-128,P22-TST-128,P22-CTRL-008,P22-EXEC-008,Mapped
P22-REQ-129,P22-TST-129,P22-CTRL-009,P22-EXEC-009,Mapped
P22-REQ-130,P22-TST-130,P22-CTRL-010,P22-EXEC-010,Mapped
P22-REQ-131,P22-TST-131,P22-CTRL-011,P22-EXEC-011,Mapped
P22-REQ-132,P22-TST-132,P22-CTRL-012,P22-EXEC-012,Mapped
P22-REQ-133,P22-TST-133,P22-CTRL-013,P22-EXEC-013,Mapped
P22-REQ-134,P22-TST-134,P22-CTRL-014,P22-EXEC-014,Mapped
P22-REQ-135,P22-TST-135,P22-CTRL-015,P22-EXEC-015,Mapped
P22-REQ-136,P22-TST-136,P22-CTRL-016,P22-EXEC-016,Mapped
P22-REQ-137,P22-TST-137,P22-CTRL-017,P22-EXEC-017,Mapped
P22-REQ-138,P22-TST-138,P22-CTRL-018,P22-EXEC-018,Mapped
P22-REQ-139,P22-TST-139,P22-CTRL-019,P22-EXEC-019,Mapped
P22-REQ-140,P22-TST-140,P22-CTRL-020,P22-EXEC-020,Mapped
P22-REQ-141,P22-TST-141,P22-CTRL-021,P22-EXEC-021,Mapped
P22-REQ-142,P22-TST-142,P22-CTRL-022,P22-EXEC-022,Mapped
P22-REQ-143,P22-TST-143,P22-CTRL-023,P22-EXEC-023,Mapped
P22-REQ-144,P22-TST-144,P22-CTRL-024,P22-EXEC-024,Mapped
P22-REQ-145,P22-TST-145,P22-CTRL-025,P22-EXEC-001,Mapped
P22-REQ-146,P22-TST-146,P22-CTRL-026,P22-EXEC-002,Mapped
P22-REQ-147,P22-TST-147,P22-CTRL-027,P22-EXEC-003,Mapped
P22-REQ-148,P22-TST-148,P22-CTRL-028,P22-EXEC-004,Mapped
P22-REQ-149,P22-TST-149,P22-CTRL-029,P22-EXEC-005,Mapped
P22-REQ-150,P22-TST-150,P22-CTRL-030,P22-EXEC-006,Mapped
P22-REQ-151,P22-TST-151,P22-CTRL-001,P22-EXEC-007,Mapped
P22-REQ-152,P22-TST-152,P22-CTRL-002,P22-EXEC-008,Mapped
P22-REQ-153,P22-TST-153,P22-CTRL-003,P22-EXEC-009,Mapped
P22-REQ-154,P22-TST-154,P22-CTRL-004,P22-EXEC-010,Mapped
P22-REQ-155,P22-TST-155,P22-CTRL-005,P22-EXEC-011,Mapped
P22-REQ-156,P22-TST-156,P22-CTRL-006,P22-EXEC-012,Mapped
P22-REQ-157,P22-TST-157,P22-CTRL-007,P22-EXEC-013,Mapped
P22-REQ-158,P22-TST-158,P22-CTRL-008,P22-EXEC-014,Mapped
P22-REQ-159,P22-TST-159,P22-CTRL-009,P22-EXEC-015,Mapped
P22-REQ-160,P22-TST-160,P22-CTRL-010,P22-EXEC-016,Mapped
P22-REQ-161,P22-TST-161,P22-CTRL-011,P22-EXEC-017,Mapped
P22-REQ-162,P22-TST-162,P22-CTRL-012,P22-EXEC-018,Mapped
P22-REQ-163,P22-TST-163,P22-CTRL-013,P22-EXEC-019,Mapped
P22-REQ-164,P22-TST-164,P22-CTRL-014,P22-EXEC-020,Mapped
P22-REQ-165,P22-TST-165,P22-CTRL-015,P22-EXEC-021,Mapped
P22-REQ-166,P22-TST-166,P22-CTRL-016,P22-EXEC-022,Mapped
P22-REQ-167,P22-TST-167,P22-CTRL-017,P22-EXEC-023,Mapped
P22-REQ-168,P22-TST-168,P22-CTRL-018,P22-EXEC-024,Mapped
P22-REQ-169,P22-TST-169,P22-CTRL-019,P22-EXEC-001,Mapped
P22-REQ-170,P22-TST-170,P22-CTRL-020,P22-EXEC-002,Mapped
P22-REQ-171,P22-TST-171,P22-CTRL-021,P22-EXEC-003,Mapped
P22-REQ-172,P22-TST-172,P22-CTRL-022,P22-EXEC-004,Mapped
P22-REQ-173,P22-TST-173,P22-CTRL-023,P22-EXEC-005,Mapped
P22-REQ-174,P22-TST-174,P22-CTRL-024,P22-EXEC-006,Mapped
P22-REQ-175,P22-TST-175,P22-CTRL-025,P22-EXEC-007,Mapped
P22-REQ-176,P22-TST-176,P22-CTRL-026,P22-EXEC-008,Mapped
P22-REQ-177,P22-TST-177,P22-CTRL-027,P22-EXEC-009,Mapped
P22-REQ-178,P22-TST-178,P22-CTRL-028,P22-EXEC-010,Mapped
P22-REQ-179,P22-TST-179,P22-CTRL-029,P22-EXEC-011,Mapped
P22-REQ-180,P22-TST-180,P22-CTRL-030,P22-EXEC-012,Mapped
P22-REQ-181,P22-TST-181,P22-CTRL-001,P22-EXEC-013,Mapped
P22-REQ-182,P22-TST-182,P22-CTRL-002,P22-EXEC-014,Mapped
P22-REQ-183,P22-TST-183,P22-CTRL-003,P22-EXEC-015,Mapped
P22-REQ-184,P22-TST-184,P22-CTRL-004,P22-EXEC-016,Mapped
P22-REQ-185,P22-TST-185,P22-CTRL-005,P22-EXEC-017,Mapped
P22-REQ-186,P22-TST-186,P22-CTRL-006,P22-EXEC-018,Mapped
P22-REQ-187,P22-TST-187,P22-CTRL-007,P22-EXEC-019,Mapped
P22-REQ-188,P22-TST-188,P22-CTRL-008,P22-EXEC-020,Mapped
P22-REQ-189,P22-TST-189,P22-CTRL-009,P22-EXEC-021,Mapped
P22-REQ-190,P22-TST-190,P22-CTRL-010,P22-EXEC-022,Mapped
P22-REQ-191,P22-TST-191,P22-CTRL-011,P22-EXEC-023,Mapped
P22-REQ-192,P22-TST-192,P22-CTRL-012,P22-EXEC-024,Mapped
P22-REQ-193,P22-TST-193,P22-CTRL-013,P22-EXEC-001,Mapped
P22-REQ-194,P22-TST-194,P22-CTRL-014,P22-EXEC-002,Mapped
P22-REQ-195,P22-TST-195,P22-CTRL-015,P22-EXEC-003,Mapped
P22-REQ-196,P22-TST-196,P22-CTRL-016,P22-EXEC-004,Mapped
P22-REQ-197,P22-TST-197,P22-CTRL-017,P22-EXEC-005,Mapped
P22-REQ-198,P22-TST-198,P22-CTRL-018,P22-EXEC-006,Mapped
P22-REQ-199,P22-TST-199,P22-CTRL-019,P22-EXEC-007,Mapped
P22-REQ-200,P22-TST-200,P22-CTRL-020,P22-EXEC-008,Mapped
P22-REQ-201,P22-TST-201,P22-CTRL-021,P22-EXEC-009,Mapped
P22-REQ-202,P22-TST-202,P22-CTRL-022,P22-EXEC-010,Mapped
P22-REQ-203,P22-TST-203,P22-CTRL-023,P22-EXEC-011,Mapped
P22-REQ-204,P22-TST-204,P22-CTRL-024,P22-EXEC-012,Mapped
P22-REQ-205,P22-TST-205,P22-CTRL-025,P22-EXEC-013,Mapped
P22-REQ-206,P22-TST-206,P22-CTRL-026,P22-EXEC-014,Mapped
P22-REQ-207,P22-TST-207,P22-CTRL-027,P22-EXEC-015,Mapped
P22-REQ-208,P22-TST-208,P22-CTRL-028,P22-EXEC-016,Mapped
P22-REQ-209,P22-TST-209,P22-CTRL-029,P22-EXEC-017,Mapped
P22-REQ-210,P22-TST-210,P22-CTRL-030,P22-EXEC-018,Mapped
P22-REQ-211,P22-TST-211,P22-CTRL-001,P22-EXEC-019,Mapped
P22-REQ-212,P22-TST-212,P22-CTRL-002,P22-EXEC-020,Mapped
P22-REQ-213,P22-TST-213,P22-CTRL-003,P22-EXEC-021,Mapped
P22-REQ-214,P22-TST-214,P22-CTRL-004,P22-EXEC-022,Mapped
P22-REQ-215,P22-TST-215,P22-CTRL-005,P22-EXEC-023,Mapped
P22-REQ-216,P22-TST-216,P22-CTRL-006,P22-EXEC-024,Mapped
P22-REQ-217,P22-TST-217,P22-CTRL-007,P22-EXEC-001,Mapped
P22-REQ-218,P22-TST-218,P22-CTRL-008,P22-EXEC-002,Mapped
P22-REQ-219,P22-TST-219,P22-CTRL-009,P22-EXEC-003,Mapped
P22-REQ-220,P22-TST-220,P22-CTRL-010,P22-EXEC-004,Mapped
