entity,field,data_type,required,description,example
DisposalRate,created_at,Timestamp,Required,Created timestamp,
DisposalRate,created_by,UUID,Required,Creator,
DisposalRate,updated_at,Timestamp,Required,Updated timestamp,
DisposalRate,updated_by,UUID,Required,Last updater,
FuelPrice,id,UUID,Required,Primary identifier,
FuelPrice,tenant_id,UUID,Required,Tenant owner,
FuelPrice,status,String,Required,Lifecycle status,
FuelPrice,version,Integer,Required,Optimistic/version control,
FuelPrice,created_at,Timestamp,Required,Created timestamp,
FuelPrice,created_by,UUID,Required,Creator,
FuelPrice,updated_at,Timestamp,Required,Updated timestamp,
FuelPrice,updated_by,UUID,Required,Last updater,
MarkupProfile,id,UUID,Required,Primary identifier,
MarkupProfile,tenant_id,UUID,Required,Tenant owner,
MarkupProfile,status,String,Required,Lifecycle status,
MarkupProfile,version,Integer,Required,Optimistic/version control,
MarkupProfile,created_at,Timestamp,Required,Created timestamp,
MarkupProfile,created_by,UUID,Required,Creator,
MarkupProfile,updated_at,Timestamp,Required,Updated timestamp,
MarkupProfile,updated_by,UUID,Required,Last updater,
RegionalFactor,id,UUID,Required,Primary identifier,
RegionalFactor,tenant_id,UUID,Required,Tenant owner,
RegionalFactor,status,String,Required,Lifecycle status,
RegionalFactor,version,Integer,Required,Optimistic/version control,
RegionalFactor,created_at,Timestamp,Required,Created timestamp,
RegionalFactor,created_by,UUID,Required,Creator,
RegionalFactor,updated_at,Timestamp,Required,Updated timestamp,
RegionalFactor,updated_by,UUID,Required,Last updater,
RiskItem,id,UUID,Required,Primary identifier,
RiskItem,tenant_id,UUID,Required,Tenant owner,
RiskItem,status,String,Required,Lifecycle status,
RiskItem,version,Integer,Required,Optimistic/version control,
RiskItem,created_at,Timestamp,Required,Created timestamp,
RiskItem,created_by,UUID,Required,Creator,
RiskItem,updated_at,Timestamp,Required,Updated timestamp,
RiskItem,updated_by,UUID,Required,Last updater,
Scenario,id,UUID,Required,Primary identifier,
Scenario,tenant_id,UUID,Required,Tenant owner,
Scenario,status,String,Required,Lifecycle status,
Scenario,version,Integer,Required,Optimistic/version control,
Scenario,created_at,Timestamp,Required,Created timestamp,
Scenario,created_by,UUID,Required,Creator,
Scenario,updated_at,Timestamp,Required,Updated timestamp,
Scenario,updated_by,UUID,Required,Last updater,
SensitivityRun,id,UUID,Required,Primary identifier,
SensitivityRun,tenant_id,UUID,Required,Tenant owner,
SensitivityRun,status,String,Required,Lifecycle status,
SensitivityRun,version,Integer,Required,Optimistic/version control,
SensitivityRun,created_at,Timestamp,Required,Created timestamp,
SensitivityRun,created_by,UUID,Required,Creator,
SensitivityRun,updated_at,Timestamp,Required,Updated timestamp,
SensitivityRun,updated_by,UUID,Required,Last updater,
MonteCarloRun,id,UUID,Required,Primary identifier,
MonteCarloRun,tenant_id,UUID,Required,Tenant owner,
MonteCarloRun,status,String,Required,Lifecycle status,
MonteCarloRun,version,Integer,Required,Optimistic/version control,
MonteCarloRun,created_at,Timestamp,Required,Created timestamp,
MonteCarloRun,created_by,UUID,Required,Creator,
MonteCarloRun,updated_at,Timestamp,Required,Updated timestamp,
MonteCarloRun,updated_by,UUID,Required,Last updater,
AIRecommendation,id,UUID,Required,Primary identifier,
AIRecommendation,tenant_id,UUID,Required,Tenant owner,
AIRecommendation,status,String,Required,Lifecycle status,
AIRecommendation,version,Integer,Required,Optimistic/version control,
AIRecommendation,created_at,Timestamp,Required,Created timestamp,
AIRecommendation,created_by,UUID,Required,Creator,
AIRecommendation,updated_at,Timestamp,Required,Updated timestamp,
AIRecommendation,updated_by,UUID,Required,Last updater,
CalculationTrace,id,UUID,Required,Primary identifier,
CalculationTrace,tenant_id,UUID,Required,Tenant owner,
CalculationTrace,status,String,Required,Lifecycle status,
CalculationTrace,version,Integer,Required,Optimistic/version control,
CalculationTrace,created_at,Timestamp,Required,Created timestamp,
CalculationTrace,created_by,UUID,Required,Creator,
CalculationTrace,updated_at,Timestamp,Required,Updated timestamp,
CalculationTrace,updated_by,UUID,Required,Last updater,
ApprovalStep,id,UUID,Required,Primary identifier,
ApprovalStep,tenant_id,UUID,Required,Tenant owner,
ApprovalStep,status,String,Required,Lifecycle status,
ApprovalStep,version,Integer,Required,Optimistic/version control,
ApprovalStep,created_at,Timestamp,Required,Created timestamp,
ApprovalStep,created_by,UUID,Required,Creator,
ApprovalStep,updated_at,Timestamp,Required,Updated timestamp,
ApprovalStep,updated_by,UUID,Required,Last updater,
TenantEstimateConfiguration,id,UUID,Required,Primary identifier,
TenantEstimateConfiguration,tenant_id,UUID,Required,Tenant owner,
TenantEstimateConfiguration,status,String,Required,Lifecycle status,
TenantEstimateConfiguration,version,Integer,Required,Optimistic/version control,
TenantEstimateConfiguration,created_at,Timestamp,Required,Created timestamp,
TenantEstimateConfiguration,created_by,UUID,Required,Creator,
TenantEstimateConfiguration,updated_at,Timestamp,Required,Updated timestamp,
TenantEstimateConfiguration,updated_by,UUID,Required,Last updater,
WhiteLabelConfiguration,id,UUID,Required,Primary identifier,
WhiteLabelConfiguration,tenant_id,UUID,Required,Tenant owner,
WhiteLabelConfiguration,status,String,Required,Lifecycle status,
WhiteLabelConfiguration,version,Integer,Required,Optimistic/version control,
WhiteLabelConfiguration,created_at,Timestamp,Required,Created timestamp,
WhiteLabelConfiguration,created_by,UUID,Required,Creator,
WhiteLabelConfiguration,updated_at,Timestamp,Required,Updated timestamp,
WhiteLabelConfiguration,updated_by,UUID,Required,Last updater,
CustomFieldDefinition,id,UUID,Required,Primary identifier,
CustomFieldDefinition,tenant_id,UUID,Required,Tenant owner,
CustomFieldDefinition,status,String,Required,Lifecycle status,
CustomFieldDefinition,version,Integer,Required,Optimistic/version control,
CustomFieldDefinition,created_at,Timestamp,Required,Created timestamp,
CustomFieldDefinition,created_by,UUID,Required,Creator,
CustomFieldDefinition,updated_at,Timestamp,Required,Updated timestamp,
CustomFieldDefinition,updated_by,UUID,Required,Last updater,
CustomWorkflowDefinition,id,UUID,Required,Primary identifier,
CustomWorkflowDefinition,tenant_id,UUID,Required,Tenant owner,
CustomWorkflowDefinition,status,String,Required,Lifecycle status,
CustomWorkflowDefinition,version,Integer,Required,Optimistic/version control,
CustomWorkflowDefinition,created_at,Timestamp,Required,Created timestamp,
CustomWorkflowDefinition,created_by,UUID,Required,Creator,
CustomWorkflowDefinition,updated_at,Timestamp,Required,Updated timestamp,
CustomWorkflowDefinition,updated_by,UUID,Required,Last updater,
ActualProductionRecord,id,UUID,Required,Primary identifier,
ActualProductionRecord,tenant_id,UUID,Required,Tenant owner,
ActualProductionRecord,status,String,Required,Lifecycle status,
ActualProductionRecord,version,Integer,Required,Optimistic/version control,
ActualProductionRecord,created_at,Timestamp,Required,Created timestamp,
ActualProductionRecord,created_by,UUID,Required,Creator,
ActualProductionRecord,updated_at,Timestamp,Required,Updated timestamp,
ActualProductionRecord,updated_by,UUID,Required,Last updater,
CalibrationRecord,id,UUID,Required,Primary identifier,
CalibrationRecord,tenant_id,UUID,Required,Tenant owner,
CalibrationRecord,status,String,Required,Lifecycle status,
CalibrationRecord,version,Integer,Required,Optimistic/version control,
CalibrationRecord,created_at,Timestamp,Required,Created timestamp,
CalibrationRecord,created_by,UUID,Required,Creator,
CalibrationRecord,updated_at,Timestamp,Required,Updated timestamp,
CalibrationRecord,updated_by,UUID,Required,Last updater,
EstimateTemplate,id,UUID,Required,Primary identifier,
EstimateTemplate,tenant_id,UUID,Required,Tenant owner,
EstimateTemplate,status,String,Required,Lifecycle status,
EstimateTemplate,version,Integer,Required,Optimistic/version control,
EstimateTemplate,created_at,Timestamp,Required,Created timestamp,
EstimateTemplate,created_by,UUID,Required,Creator,
EstimateTemplate,updated_at,Timestamp,Required,Updated timestamp,
EstimateTemplate,updated_by,UUID,Required,Last updater,
CostCodeMapping,id,UUID,Required,Primary identifier,
CostCodeMapping,tenant_id,UUID,Required,Tenant owner,
CostCodeMapping,status,String,Required,Lifecycle status,
CostCodeMapping,version,Integer,Required,Optimistic/version control,
CostCodeMapping,created_at,Timestamp,Required,Created timestamp,
CostCodeMapping,created_by,UUID,Required,Creator,
CostCodeMapping,updated_at,Timestamp,Required,Updated timestamp,
CostCodeMapping,updated_by,UUID,Required,Last updater,
Estimate,name,String,Required,Estimate name,
Estimate,base_currency,String,Required,ISO currency,
Estimate,project_id,UUID,Optional,Linked project,
EstimateLine,quantity,Decimal,Required,Line quantity,
EstimateLine,unit_id,UUID,Required,Unit,
EstimateLine,direct_cost,Money,Calculated,Direct cost,
EstimateLine,sell_amount,Money,Calculated,Final sell,
ProductionRate,output_quantity,Decimal,Required,Output quantity,
ProductionRate,time_hours,Decimal,Required,Time hours,
ProductionRate,confidence_score,Decimal,Required,0-100 confidence,
WhiteLabelConfiguration,brand_name,String,Required,Displayed brand,
WhiteLabelConfiguration,primary_domain,String,Optional,Custom domain,
WhiteLabelConfiguration,theme_json,JSON,Required,Theme tokens,
AIRecommendation,recommendation_type,String,Required,Recommendation category,
AIRecommendation,evidence_json,JSON,Required,Evidence references,
AIRecommendation,confidence_score,Decimal,Required,0-100 confidence,
AIRecommendation,disposition,String,Required,Accepted/Modified/Rejected/Pending,
