requirement_id,module_code,title,requirement,priority,source,status,acceptance_criteria
GES-P05-REQ-016,TAK,Takeoff permissions,"The platform shall provide takeoff permissions for pdf/cad/bim/gis/drone source ingestion, calibration, measurement, annotations and revision comparison.",Must,GES roadmap,Proposed,"Demonstrate takeoff permissions with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-017,TAK,Takeoff import/export,"The platform shall provide takeoff import/export for pdf/cad/bim/gis/drone source ingestion, calibration, measurement, annotations and revision comparison.",Should,GES roadmap,Proposed,"Demonstrate takeoff import/export with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-018,TAK,Takeoff validation and testing,"The platform shall provide takeoff validation and testing for pdf/cad/bim/gis/drone source ingestion, calibration, measurement, annotations and revision comparison.",Should,GES roadmap,Proposed,"Demonstrate takeoff validation and testing with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-019,PRD,Production canonical model,"The platform shall provide production canonical model for production rates, crew/equipment balance, conditions, learning curves and historical calibration.",Must,GES roadmap,Proposed,"Demonstrate production canonical model with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-020,PRD,Production configurable rules,"The platform shall provide production configurable rules for production rates, crew/equipment balance, conditions, learning curves and historical calibration.",Must,GES roadmap,Proposed,"Demonstrate production configurable rules with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-021,PRD,Production auditability,"The platform shall provide production auditability for production rates, crew/equipment balance, conditions, learning curves and historical calibration.",Must,GES roadmap,Proposed,"Demonstrate production auditability with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-022,PRD,Production permissions,"The platform shall provide production permissions for production rates, crew/equipment balance, conditions, learning curves and historical calibration.",Must,GES roadmap,Proposed,"Demonstrate production permissions with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-023,PRD,Production import/export,"The platform shall provide production import/export for production rates, crew/equipment balance, conditions, learning curves and historical calibration.",Should,GES roadmap,Proposed,"Demonstrate production import/export with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-024,PRD,Production validation and testing,"The platform shall provide production validation and testing for production rates, crew/equipment balance, conditions, learning curves and historical calibration.",Should,GES roadmap,Proposed,"Demonstrate production validation and testing with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-025,LAB,Labor Cost canonical model,"The platform shall provide labor cost canonical model for wages, burdens, overtime, union, travel, per diem and role productivity.",Must,GES roadmap,Proposed,"Demonstrate labor cost canonical model with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-026,LAB,Labor Cost configurable rules,"The platform shall provide labor cost configurable rules for wages, burdens, overtime, union, travel, per diem and role productivity.",Must,GES roadmap,Proposed,"Demonstrate labor cost configurable rules with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-027,LAB,Labor Cost auditability,"The platform shall provide labor cost auditability for wages, burdens, overtime, union, travel, per diem and role productivity.",Must,GES roadmap,Proposed,"Demonstrate labor cost auditability with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-028,LAB,Labor Cost permissions,"The platform shall provide labor cost permissions for wages, burdens, overtime, union, travel, per diem and role productivity.",Must,GES roadmap,Proposed,"Demonstrate labor cost permissions with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-029,LAB,Labor Cost import/export,"The platform shall provide labor cost import/export for wages, burdens, overtime, union, travel, per diem and role productivity.",Should,GES roadmap,Proposed,"Demonstrate labor cost import/export with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-030,LAB,Labor Cost validation and testing,"The platform shall provide labor cost validation and testing for wages, burdens, overtime, union, travel, per diem and role productivity.",Should,GES roadmap,Proposed,"Demonstrate labor cost validation and testing with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-031,EQP,Equipment Cost canonical model,"The platform shall provide equipment cost canonical model for owned/rented cost, utilization, fuel, maintenance, wear, attachments and standby.",Must,GES roadmap,Proposed,"Demonstrate equipment cost canonical model with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-032,EQP,Equipment Cost configurable rules,"The platform shall provide equipment cost configurable rules for owned/rented cost, utilization, fuel, maintenance, wear, attachments and standby.",Must,GES roadmap,Proposed,"Demonstrate equipment cost configurable rules with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-033,EQP,Equipment Cost auditability,"The platform shall provide equipment cost auditability for owned/rented cost, utilization, fuel, maintenance, wear, attachments and standby.",Must,GES roadmap,Proposed,"Demonstrate equipment cost auditability with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-034,EQP,Equipment Cost permissions,"The platform shall provide equipment cost permissions for owned/rented cost, utilization, fuel, maintenance, wear, attachments and standby.",Must,GES roadmap,Proposed,"Demonstrate equipment cost permissions with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-035,EQP,Equipment Cost import/export,"The platform shall provide equipment cost import/export for owned/rented cost, utilization, fuel, maintenance, wear, attachments and standby.",Should,GES roadmap,Proposed,"Demonstrate equipment cost import/export with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-036,EQP,Equipment Cost validation and testing,"The platform shall provide equipment cost validation and testing for owned/rented cost, utilization, fuel, maintenance, wear, attachments and standby.",Should,GES roadmap,Proposed,"Demonstrate equipment cost validation and testing with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-037,MAT,Material Cost canonical model,"The platform shall provide material cost canonical model for quotes, freight, waste, minimums, escalation, lead time and substitutions.",Must,GES roadmap,Proposed,"Demonstrate material cost canonical model with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-038,MAT,Material Cost configurable rules,"The platform shall provide material cost configurable rules for quotes, freight, waste, minimums, escalation, lead time and substitutions.",Must,GES roadmap,Proposed,"Demonstrate material cost configurable rules with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-039,MAT,Material Cost auditability,"The platform shall provide material cost auditability for quotes, freight, waste, minimums, escalation, lead time and substitutions.",Must,GES roadmap,Proposed,"Demonstrate material cost auditability with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-040,MAT,Material Cost permissions,"The platform shall provide material cost permissions for quotes, freight, waste, minimums, escalation, lead time and substitutions.",Must,GES roadmap,Proposed,"Demonstrate material cost permissions with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-041,MAT,Material Cost import/export,"The platform shall provide material cost import/export for quotes, freight, waste, minimums, escalation, lead time and substitutions.",Should,GES roadmap,Proposed,"Demonstrate material cost import/export with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-042,MAT,Material Cost validation and testing,"The platform shall provide material cost validation and testing for quotes, freight, waste, minimums, escalation, lead time and substitutions.",Should,GES roadmap,Proposed,"Demonstrate material cost validation and testing with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-043,HAU,Hauling & Disposal canonical model,"The platform shall provide hauling & disposal canonical model for trip cycles, payload, truck count, queues, tipping, swell/shrink and route constraints.",Must,GES roadmap,Proposed,"Demonstrate hauling & disposal canonical model with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-044,HAU,Hauling & Disposal configurable rules,"The platform shall provide hauling & disposal configurable rules for trip cycles, payload, truck count, queues, tipping, swell/shrink and route constraints.",Must,GES roadmap,Proposed,"Demonstrate hauling & disposal configurable rules with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-045,HAU,Hauling & Disposal auditability,"The platform shall provide hauling & disposal auditability for trip cycles, payload, truck count, queues, tipping, swell/shrink and route constraints.",Must,GES roadmap,Proposed,"Demonstrate hauling & disposal auditability with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-046,HAU,Hauling & Disposal permissions,"The platform shall provide hauling & disposal permissions for trip cycles, payload, truck count, queues, tipping, swell/shrink and route constraints.",Must,GES roadmap,Proposed,"Demonstrate hauling & disposal permissions with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-047,HAU,Hauling & Disposal import/export,"The platform shall provide hauling & disposal import/export for trip cycles, payload, truck count, queues, tipping, swell/shrink and route constraints.",Should,GES roadmap,Proposed,"Demonstrate hauling & disposal import/export with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-048,HAU,Hauling & Disposal validation and testing,"The platform shall provide hauling & disposal validation and testing for trip cycles, payload, truck count, queues, tipping, swell/shrink and route constraints.",Should,GES roadmap,Proposed,"Demonstrate hauling & disposal validation and testing with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-049,ASM,Assemblies canonical model,"The platform shall provide assemblies canonical model for reusable resource-driven work packages with formulas, options and constraints.",Must,GES roadmap,Proposed,"Demonstrate assemblies canonical model with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-050,ASM,Assemblies configurable rules,"The platform shall provide assemblies configurable rules for reusable resource-driven work packages with formulas, options and constraints.",Must,GES roadmap,Proposed,"Demonstrate assemblies configurable rules with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-051,ASM,Assemblies auditability,"The platform shall provide assemblies auditability for reusable resource-driven work packages with formulas, options and constraints.",Must,GES roadmap,Proposed,"Demonstrate assemblies auditability with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-052,ASM,Assemblies permissions,"The platform shall provide assemblies permissions for reusable resource-driven work packages with formulas, options and constraints.",Must,GES roadmap,Proposed,"Demonstrate assemblies permissions with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-053,ASM,Assemblies import/export,"The platform shall provide assemblies import/export for reusable resource-driven work packages with formulas, options and constraints.",Should,GES roadmap,Proposed,"Demonstrate assemblies import/export with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-054,ASM,Assemblies validation and testing,"The platform shall provide assemblies validation and testing for reusable resource-driven work packages with formulas, options and constraints.",Should,GES roadmap,Proposed,"Demonstrate assemblies validation and testing with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-055,MUP,Markup & Margin canonical model,"The platform shall provide markup & margin canonical model for overhead, contingency, bonds, tax, profit, fee, margin targets and bid rounding.",Must,GES roadmap,Proposed,"Demonstrate markup & margin canonical model with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-056,MUP,Markup & Margin configurable rules,"The platform shall provide markup & margin configurable rules for overhead, contingency, bonds, tax, profit, fee, margin targets and bid rounding.",Must,GES roadmap,Proposed,"Demonstrate markup & margin configurable rules with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-057,MUP,Markup & Margin auditability,"The platform shall provide markup & margin auditability for overhead, contingency, bonds, tax, profit, fee, margin targets and bid rounding.",Must,GES roadmap,Proposed,"Demonstrate markup & margin auditability with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-058,MUP,Markup & Margin permissions,"The platform shall provide markup & margin permissions for overhead, contingency, bonds, tax, profit, fee, margin targets and bid rounding.",Must,GES roadmap,Proposed,"Demonstrate markup & margin permissions with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-059,MUP,Markup & Margin import/export,"The platform shall provide markup & margin import/export for overhead, contingency, bonds, tax, profit, fee, margin targets and bid rounding.",Should,GES roadmap,Proposed,"Demonstrate markup & margin import/export with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-060,MUP,Markup & Margin validation and testing,"The platform shall provide markup & margin validation and testing for overhead, contingency, bonds, tax, profit, fee, margin targets and bid rounding.",Should,GES roadmap,Proposed,"Demonstrate markup & margin validation and testing with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-061,REG,Regional Pricing canonical model,"The platform shall provide regional pricing canonical model for location factors, labor/equipment/material indices, vendor zones and effective dates.",Must,GES roadmap,Proposed,"Demonstrate regional pricing canonical model with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-062,REG,Regional Pricing configurable rules,"The platform shall provide regional pricing configurable rules for location factors, labor/equipment/material indices, vendor zones and effective dates.",Must,GES roadmap,Proposed,"Demonstrate regional pricing configurable rules with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-063,REG,Regional Pricing auditability,"The platform shall provide regional pricing auditability for location factors, labor/equipment/material indices, vendor zones and effective dates.",Must,GES roadmap,Proposed,"Demonstrate regional pricing auditability with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-064,REG,Regional Pricing permissions,"The platform shall provide regional pricing permissions for location factors, labor/equipment/material indices, vendor zones and effective dates.",Must,GES roadmap,Proposed,"Demonstrate regional pricing permissions with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-065,REG,Regional Pricing import/export,"The platform shall provide regional pricing import/export for location factors, labor/equipment/material indices, vendor zones and effective dates.",Should,GES roadmap,Proposed,"Demonstrate regional pricing import/export with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-066,REG,Regional Pricing validation and testing,"The platform shall provide regional pricing validation and testing for location factors, labor/equipment/material indices, vendor zones and effective dates.",Should,GES roadmap,Proposed,"Demonstrate regional pricing validation and testing with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-067,RSK,Risk & Confidence canonical model,"The platform shall provide risk & confidence canonical model for risk register, uncertainty ranges, sensitivity, scenario and monte carlo specifications.",Must,GES roadmap,Proposed,"Demonstrate risk & confidence canonical model with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-068,RSK,Risk & Confidence configurable rules,"The platform shall provide risk & confidence configurable rules for risk register, uncertainty ranges, sensitivity, scenario and monte carlo specifications.",Must,GES roadmap,Proposed,"Demonstrate risk & confidence configurable rules with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-069,RSK,Risk & Confidence auditability,"The platform shall provide risk & confidence auditability for risk register, uncertainty ranges, sensitivity, scenario and monte carlo specifications.",Must,GES roadmap,Proposed,"Demonstrate risk & confidence auditability with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-070,RSK,Risk & Confidence permissions,"The platform shall provide risk & confidence permissions for risk register, uncertainty ranges, sensitivity, scenario and monte carlo specifications.",Must,GES roadmap,Proposed,"Demonstrate risk & confidence permissions with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-071,RSK,Risk & Confidence import/export,"The platform shall provide risk & confidence import/export for risk register, uncertainty ranges, sensitivity, scenario and monte carlo specifications.",Should,GES roadmap,Proposed,"Demonstrate risk & confidence import/export with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-072,RSK,Risk & Confidence validation and testing,"The platform shall provide risk & confidence validation and testing for risk register, uncertainty ranges, sensitivity, scenario and monte carlo specifications.",Should,GES roadmap,Proposed,"Demonstrate risk & confidence validation and testing with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-073,AI,AI Estimating Advisor canonical model,"The platform shall provide ai estimating advisor canonical model for document reading, recommendations, anomaly detection, explainability and approval gates.",Must,GES roadmap,Proposed,"Demonstrate ai estimating advisor canonical model with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-074,AI,AI Estimating Advisor configurable rules,"The platform shall provide ai estimating advisor configurable rules for document reading, recommendations, anomaly detection, explainability and approval gates.",Must,GES roadmap,Proposed,"Demonstrate ai estimating advisor configurable rules with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-075,AI,AI Estimating Advisor auditability,"The platform shall provide ai estimating advisor auditability for document reading, recommendations, anomaly detection, explainability and approval gates.",Must,GES roadmap,Proposed,"Demonstrate ai estimating advisor auditability with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-076,AI,AI Estimating Advisor permissions,"The platform shall provide ai estimating advisor permissions for document reading, recommendations, anomaly detection, explainability and approval gates.",Must,GES roadmap,Proposed,"Demonstrate ai estimating advisor permissions with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-077,AI,AI Estimating Advisor import/export,"The platform shall provide ai estimating advisor import/export for document reading, recommendations, anomaly detection, explainability and approval gates.",Should,GES roadmap,Proposed,"Demonstrate ai estimating advisor import/export with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-078,AI,AI Estimating Advisor validation and testing,"The platform shall provide ai estimating advisor validation and testing for document reading, recommendations, anomaly detection, explainability and approval gates.",Should,GES roadmap,Proposed,"Demonstrate ai estimating advisor validation and testing with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-079,CFG,Configuration Studio canonical model,"The platform shall provide configuration studio canonical model for no-code fields, forms, workflows, rules, terminology, themes and tenant overrides.",Must,GES roadmap,Proposed,"Demonstrate configuration studio canonical model with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-080,CFG,Configuration Studio configurable rules,"The platform shall provide configuration studio configurable rules for no-code fields, forms, workflows, rules, terminology, themes and tenant overrides.",Must,GES roadmap,Proposed,"Demonstrate configuration studio configurable rules with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-081,CFG,Configuration Studio auditability,"The platform shall provide configuration studio auditability for no-code fields, forms, workflows, rules, terminology, themes and tenant overrides.",Must,GES roadmap,Proposed,"Demonstrate configuration studio auditability with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-082,CFG,Configuration Studio permissions,"The platform shall provide configuration studio permissions for no-code fields, forms, workflows, rules, terminology, themes and tenant overrides.",Must,GES roadmap,Proposed,"Demonstrate configuration studio permissions with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-083,CFG,Configuration Studio import/export,"The platform shall provide configuration studio import/export for no-code fields, forms, workflows, rules, terminology, themes and tenant overrides.",Should,GES roadmap,Proposed,"Demonstrate configuration studio import/export with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-084,CFG,Configuration Studio validation and testing,"The platform shall provide configuration studio validation and testing for no-code fields, forms, workflows, rules, terminology, themes and tenant overrides.",Should,GES roadmap,Proposed,"Demonstrate configuration studio validation and testing with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-085,WLB,White Label & OEM canonical model,"The platform shall provide white label & oem canonical model for branding, domains, sender identities, portal skinning, reseller hierarchy and app variants.",Must,GES roadmap,Proposed,"Demonstrate white label & oem canonical model with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-086,WLB,White Label & OEM configurable rules,"The platform shall provide white label & oem configurable rules for branding, domains, sender identities, portal skinning, reseller hierarchy and app variants.",Must,GES roadmap,Proposed,"Demonstrate white label & oem configurable rules with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-087,WLB,White Label & OEM auditability,"The platform shall provide white label & oem auditability for branding, domains, sender identities, portal skinning, reseller hierarchy and app variants.",Must,GES roadmap,Proposed,"Demonstrate white label & oem auditability with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-088,WLB,White Label & OEM permissions,"The platform shall provide white label & oem permissions for branding, domains, sender identities, portal skinning, reseller hierarchy and app variants.",Must,GES roadmap,Proposed,"Demonstrate white label & oem permissions with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-089,WLB,White Label & OEM import/export,"The platform shall provide white label & oem import/export for branding, domains, sender identities, portal skinning, reseller hierarchy and app variants.",Should,GES roadmap,Proposed,"Demonstrate white label & oem import/export with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-090,WLB,White Label & OEM validation and testing,"The platform shall provide white label & oem validation and testing for branding, domains, sender identities, portal skinning, reseller hierarchy and app variants.",Should,GES roadmap,Proposed,"Demonstrate white label & oem validation and testing with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-091,MOB,Field & Mobile canonical model,"The platform shall provide field & mobile canonical model for offline capture, actual production, time, equipment, tickets, photos and sync.",Must,GES roadmap,Proposed,"Demonstrate field & mobile canonical model with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-092,MOB,Field & Mobile configurable rules,"The platform shall provide field & mobile configurable rules for offline capture, actual production, time, equipment, tickets, photos and sync.",Must,GES roadmap,Proposed,"Demonstrate field & mobile configurable rules with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-093,MOB,Field & Mobile auditability,"The platform shall provide field & mobile auditability for offline capture, actual production, time, equipment, tickets, photos and sync.",Must,GES roadmap,Proposed,"Demonstrate field & mobile auditability with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-094,MOB,Field & Mobile permissions,"The platform shall provide field & mobile permissions for offline capture, actual production, time, equipment, tickets, photos and sync.",Must,GES roadmap,Proposed,"Demonstrate field & mobile permissions with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-095,MOB,Field & Mobile import/export,"The platform shall provide field & mobile import/export for offline capture, actual production, time, equipment, tickets, photos and sync.",Should,GES roadmap,Proposed,"Demonstrate field & mobile import/export with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-096,MOB,Field & Mobile validation and testing,"The platform shall provide field & mobile validation and testing for offline capture, actual production, time, equipment, tickets, photos and sync.",Should,GES roadmap,Proposed,"Demonstrate field & mobile validation and testing with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-097,API,Integration canonical model,"The platform shall provide integration canonical model for public apis, webhooks, import/export and accounting/erp/telematics links.",Must,GES roadmap,Proposed,"Demonstrate integration canonical model with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-098,API,Integration configurable rules,"The platform shall provide integration configurable rules for public apis, webhooks, import/export and accounting/erp/telematics links.",Must,GES roadmap,Proposed,"Demonstrate integration configurable rules with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-099,API,Integration auditability,"The platform shall provide integration auditability for public apis, webhooks, import/export and accounting/erp/telematics links.",Must,GES roadmap,Proposed,"Demonstrate integration auditability with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-100,API,Integration permissions,"The platform shall provide integration permissions for public apis, webhooks, import/export and accounting/erp/telematics links.",Must,GES roadmap,Proposed,"Demonstrate integration permissions with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-101,API,Integration import/export,"The platform shall provide integration import/export for public apis, webhooks, import/export and accounting/erp/telematics links.",Should,GES roadmap,Proposed,"Demonstrate integration import/export with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-102,API,Integration validation and testing,"The platform shall provide integration validation and testing for public apis, webhooks, import/export and accounting/erp/telematics links.",Should,GES roadmap,Proposed,"Demonstrate integration validation and testing with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-103,RPT,Reporting canonical model,"The platform shall provide reporting canonical model for estimate review, variance, benchmark, profitability, audit and executive dashboards.",Must,GES roadmap,Proposed,"Demonstrate reporting canonical model with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-104,RPT,Reporting configurable rules,"The platform shall provide reporting configurable rules for estimate review, variance, benchmark, profitability, audit and executive dashboards.",Must,GES roadmap,Proposed,"Demonstrate reporting configurable rules with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-105,RPT,Reporting auditability,"The platform shall provide reporting auditability for estimate review, variance, benchmark, profitability, audit and executive dashboards.",Must,GES roadmap,Proposed,"Demonstrate reporting auditability with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-106,RPT,Reporting permissions,"The platform shall provide reporting permissions for estimate review, variance, benchmark, profitability, audit and executive dashboards.",Must,GES roadmap,Proposed,"Demonstrate reporting permissions with tenant-specific configuration, role controls, version history, and traceable output."
GES-P05-REQ-107,RPT,Reporting import/export,"The platform shall provide reporting import/export for estimate review, variance, benchmark, profitability, audit and executive dashboards.",Should,GES roadmap,Proposed,"Demonstrate reporting import/export with tenant-specific configuration, role controls, version history, and traceable output."
