requirement_id,phase,module,status,verification,mapping_method,declared_by,rules,artifacts,tests,requirement
GOV-000025,P01,Governance,traced_tested,not_verified,derived,,TR-039,RPT-reporting_project_financials RPT-reporting_labor_productivity RPT-reporting_safety_summary RPT-reporting_bid_performance TBL-metric_definitions UI-reports,TST-db-semantic,"The platform shall provide governance dashboards and reports for access, approvals, policy status, audit, retention, exceptions, and administrative changes."
CPF-000001,P02,Identity & Access,traced_tested,not_verified,derived,,TR-032,TBL-roles TBL-user_profiles TBL-company_memberships ENG-014,TST-db-rls TST-fn-api-gateway,"The platform shall support pluggable authentication providers including passwordless, SSO, MFA, and enterprise identity federation."
CPF-000002,P02,Identity & Access,traced_tested,not_verified,derived,,TR-032,TBL-roles TBL-user_profiles TBL-company_memberships ENG-014,TST-db-rls TST-fn-api-gateway,"The platform shall issue, refresh, revoke, and expire sessions with configurable risk and inactivity policies."
CPF-000003,P02,Identity & Access,traced_tested,verified,derived,,TR-032,TBL-roles TBL-user_profiles TBL-company_memberships ENG-014,TST-db-rls TST-fn-api-gateway,"The platform shall support non-human identities for integrations, jobs, and AI agents."
CPF-000004,P02,Identity & Access,traced_tested,verified,derived,,TR-032,TBL-roles TBL-user_profiles TBL-company_memberships ENG-014,TST-db-rls TST-fn-api-gateway,All protected platform actions shall use a centralized authorization decision service.
CPF-000005,P02,Identity & Access,traced_tested,not_verified,derived,,TR-032,TBL-roles TBL-user_profiles TBL-company_memberships ENG-014,TST-db-rls TST-fn-api-gateway,The platform shall register device posture and support risk-based access controls.
CPF-000006,P02,Tenancy,traced_tested,verified,derived,,TR-031,TBL-companies TBL-company_memberships TBL-enterprise_groups,TST-db-rls TST-gov-registry,"Tenant context shall propagate through API, event, job, cache, search, file, and AI operations."
CPF-000007,P02,Tenancy,traced_tested,verified,derived,,TR-031,TBL-companies TBL-company_memberships TBL-enterprise_groups,TST-db-rls TST-gov-registry,All storage and query paths shall enforce tenant isolation.
CPF-000008,P02,Tenancy,untraced,not_verified,,,,,,Tenants shall support region selection and data-residency constraints.
CPF-000009,P02,Tenancy,untraced,not_verified,,,,,,"Tenant provisioning shall create required namespaces, defaults, indexes, storage, keys, and baseline configurations."
CPF-000010,P02,Platform Services,untraced,verified,,,,,,"The platform shall provide globally unique, non-guessable, immutable identifiers for governed records."
CPF-000011,P02,Platform Services,untraced,not_verified,,,,,,Entities and fields shall support extensible metadata definitions without ungoverned schema changes.
CPF-000012,P02,Platform Services,untraced,not_verified,,,,,,Users and automation shall apply governed tags to supported objects.
CPF-000013,P02,Platform Services,traced_tested,not_verified,derived,,TR-026,TBL-documents TBL-document_versions TBL-document_sheets TBL-document_extractions ENG-013 UI-plans,TST-fn-ingestion TST-web-plans,"The platform shall store, version, classify, scan, preview, and secure files and documents."
CPF-000014,P02,Platform Services,traced_tested,verified,derived,,TR-042,TBL-knowledge_articles,TST-db-operations,The platform shall provide permission-aware full-text and structured search.
CPF-000015,P02,Platform Services,traced_tested,not_verified,derived,,TR-040,TBL-notifications TBL-notification_preferences UI-notifications,TST-db-operations,"The platform shall send in-app, email, SMS, push, and webhook notifications through governed templates and preferences."
CPF-000016,P02,Platform Services,traced_tested,not_verified,derived,,TR-013,TBL-schedule_activities TBL-schedule_dependencies TBL-resource_assignments UI-schedule,TST-db-operations,The platform shall schedule one-time and recurring tasks with tenant-aware execution.
CPF-000017,P02,Platform Services,untraced,not_verified,,,,,,Long-running work shall execute through durable background jobs.
CPF-000018,P02,Platform Services,untraced,verified,,,,,,"The platform shall provide a tenant-aware cache with explicit key ownership, TTL, invalidation, and fallback behavior."
CPF-000019,P02,Platform Services,untraced,not_verified,,,,,,"Runtime configuration shall be centrally resolved, versioned, validated, and auditable."
CPF-000020,P02,Platform Services,untraced,not_verified,,,,,,"Capabilities shall support tenant, user, percentage, environment, and effective-date feature flags."
CPF-000021,P02,Workflow & Rules,traced_tested,not_verified,derived,,TR-034,TBL-approval_requests,TST-db-rls TST-gov-registry,"The platform shall orchestrate durable stateful workflows with timers, approvals, retries, and compensation."
CPF-000022,P02,Workflow & Rules,traced_tested,not_verified,derived,,TR-034,TBL-approval_requests,TST-db-rls TST-gov-registry,The platform shall evaluate versioned deterministic rules against declared inputs.
CPF-000023,P02,Workflow & Rules,traced_tested,verified,derived,,TR-034,TBL-approval_requests,TST-db-rls TST-gov-registry,Governed entities shall support explicit state machines and allowed transitions.
CPF-000024,P02,Workflow & Rules,traced_tested,not_verified,derived,,TR-034,TBL-approval_requests,TST-db-rls TST-gov-registry,"Workflows shall support due dates, timers, escalation, pause, resume, and calendar-aware SLAs."
CPF-000025,P02,Integration,traced_tested,not_verified,derived,,TR-035,ENG-014 TBL-api_keys TBL-api_requests UI-api-access,TST-fn-api-gateway,External and internal APIs shall pass through a governed gateway.
CPF-000026,P02,Integration,traced_tested,not_verified,derived,,TR-035,ENG-014 TBL-api_keys TBL-api_requests UI-api-access,TST-fn-api-gateway,APIs shall use explicit versioning and deprecation policies.
CPF-000027,P02,Integration,traced_tested,not_verified,derived,,TR-035,ENG-014 TBL-api_keys TBL-api_requests UI-api-access,TST-fn-api-gateway,"The platform shall publish signed, retryable, tenant-scoped webhooks."
CPF-000028,P02,Integration,untraced,not_verified,,,,,,Platform domains shall publish durable versioned events through an event bus.
CPF-000029,P02,Integration,traced_tested,verified,derived,,TR-036,ENG-012 TBL-connectors TBL-connector_runs,TST-fn-connectors,"The platform shall support governed connectors with credentials, scopes, mappings, health, and sync state."
CPF-000030,P02,Integration,untraced,not_verified,,,,,,"The platform shall import structured data using mappings, validation, previews, errors, and resumable batches."
CPF-000031,P02,Integration,untraced,not_verified,,,,,,The platform shall export authorized data to governed formats with filters and classification controls.
CPF-000032,P02,Mobile & Offline,untraced,not_verified,,,,,,The platform shall provide a reusable mobile shell for field workflows.
CPF-000033,P02,Mobile & Offline,untraced,not_verified,,,,,,Authorized users shall download scoped offline data packs for field work.
CPF-000034,P02,Mobile & Offline,untraced,not_verified,,,,,,Offline actions shall be queued locally with durable ordering and status.
CPF-000035,P02,Mobile & Offline,untraced,not_verified,,,,,,The platform shall synchronize offline and online changes with deterministic conflict handling.
CPF-000036,P02,Mobile & Offline,traced_tested,not_verified,derived,,TR-004,ENG-005 TBL-equipment TBL-equipment_rates TBL-assets,TST-engine-resources TST-db-fleet,Files captured offline shall upload resumably with checksums and classification.
CPF-000037,P02,Observability,untraced,verified,,,,,,All services shall emit structured logs with tenant-safe correlation fields.
CPF-000038,P02,Observability,traced_tested,verified,derived,,TR-039,RPT-reporting_project_financials RPT-reporting_labor_productivity RPT-reporting_safety_summary RPT-reporting_bid_performance TBL-metric_definitions UI-reports,TST-db-semantic,"Services shall expose health, capacity, latency, error, and dependency metrics."
CPF-000039,P02,Observability,untraced,not_verified,,,,,,"Requests, events, jobs, workflows, and AI actions shall support distributed tracing."
CPF-000040,P02,Observability,traced_tested,not_verified,derived,,TR-040,TBL-notifications TBL-notification_preferences UI-notifications,TST-db-operations,Operational thresholds shall create deduplicated alerts with ownership and escalation.
CPF-000041,P02,Security,traced_tested,not_verified,derived,,TR-025,TBL-inspections TBL-deficiencies,TST-db-safety,All supported network communication shall use approved encrypted transport.
CPF-000042,P02,Security,traced_tested,not_verified,derived,,TR-025 TR-035,TBL-inspections TBL-deficiencies ENG-014 TBL-api_keys TBL-api_requests UI-api-access,TST-db-safety TST-fn-api-gateway,Governed data shall be encrypted at rest with managed keys.
CPF-000043,P02,Security,untraced,verified,,,,,,Credentials and secrets shall be stored only in approved secret stores.
CPF-000044,P02,Security,untraced,not_verified,,,,,,Uploaded content shall be scanned and quarantined based on policy.
CPF-000045,P02,Security,traced_tested,not_verified,derived,,TR-035,ENG-014 TBL-api_keys TBL-api_requests UI-api-access,TST-fn-api-gateway,The platform shall perform encrypted backups and tested restoration.
CPF-000046,P02,Security,untraced,not_verified,,,,,,"Critical services shall have documented failover, recovery, and communication procedures."
CPF-000047,P02,Security,traced_tested,not_verified,derived,,TR-035,ENG-014 TBL-api_keys TBL-api_requests UI-api-access,TST-fn-api-gateway,"The platform shall rate-limit and detect abusive API, login, export, and automation behavior."
CPF-000048,P02,Localization,untraced,verified,,,,,,All timestamps shall be stored in UTC and rendered using declared user or project time zones.
CPF-000049,P02,Localization,untraced,not_verified,,,,,,The platform shall support US customary and metric units with governed conversion and precision.
CPF-000050,P02,Localization,untraced,not_verified,,,,,,Monetary values shall store currency and support governed conversion rates where required.
CPF-000051,P02,Localization,untraced,not_verified,,,,,,"The platform shall support locale-aware text, numbers, dates, and translations."
CPF-000052,P02,AI Platform,traced_tested,not_verified,derived,,TR-030,AI-001 TBL-ai_agents TBL-ai_findings TBL-ai_prompts TBL-ai_models,TST-fn-plan-analysis TST-web-plans,AI model calls shall pass through a governed model gateway.
CPF-000053,P02,AI Platform,traced_tested,verified,derived,,TR-030,AI-001 TBL-ai_agents TBL-ai_findings TBL-ai_prompts TBL-ai_models,TST-fn-plan-analysis TST-web-plans,"AI agents shall be registered with owner, purpose, version, permissions, tools, and evaluation status."
CPF-000054,P02,AI Platform,traced_tested,not_verified,derived,,TR-030,AI-001 TBL-ai_agents TBL-ai_findings TBL-ai_prompts TBL-ai_models,TST-fn-plan-analysis TST-web-plans,"AI tools shall execute through permissioned, validated, observable adapters."
CPF-000055,P02,AI Platform,traced_tested,not_verified,derived,,TR-030,AI-001 TBL-ai_agents TBL-ai_findings TBL-ai_prompts TBL-ai_models,TST-fn-plan-analysis TST-web-plans,"Prompts and AI policies shall be versioned, approved, testable, and rollbackable."
CPF-000056,P02,AI Platform,traced_tested,verified,derived,,TR-030 TR-033,AI-001 TBL-ai_agents TBL-ai_findings TBL-ai_prompts TBL-ai_models TBL-audit_events,TST-fn-plan-analysis TST-web-plans TST-db-rls TST-db-operations,AI outputs shall attach source references and evidence where required.
CPF-000057,P02,AI Platform,traced_tested,not_verified,derived,,TR-030,AI-001 TBL-ai_agents TBL-ai_findings TBL-ai_prompts TBL-ai_models,TST-fn-plan-analysis TST-web-plans,"Agents and prompts shall be evaluated for accuracy, safety, authorization, consistency, and business acceptance."
CPF-000058,P02,AI Platform,traced_tested,verified,derived,,TR-023 TR-030 TR-037,TBL-assets TBL-meter_readings TBL-fuel_transactions TBL-maintenance_schedules TBL-work_orders UI-fleet AI-001 TBL-ai_agents TBL-ai_findings TBL-ai_prompts TBL-ai_models TBL-subscriptions TBL-entitlements TBL-plans TBL-plan_prices ENG-015 UI-billing,TST-db-fleet TST-fn-plan-analysis TST-web-plans TST-fn-subscription-state,"The platform shall meter AI requests, tokens, tools, latency, errors, and cost by tenant and capability."
CPF-000059,P02,Platform Services,traced_tested,verified,derived,,TR-033,TBL-audit_events,TST-db-rls TST-db-operations,Material platform events shall be preserved in an immutable audit trail.
CPF-000060,P02,Platform Services,untraced,not_verified,,,,,,Authorized tenants shall export core data and attachments in documented formats.
EDM-000001,P03,Data Architecture,untraced,verified,,,,,,The platform shall maintain one governed canonical enterprise data model shared by all modules.
EDM-000002,P03,Data Architecture,traced_tested,verified,derived,supabase/migrations/0049_tenant_key_indexes.sql,TR-031,TBL-companies TBL-company_memberships TBL-enterprise_groups,TST-db-rls TST-gov-registry,Every tenant-owned record shall include a verified tenant identifier.
EDM-000003,P03,Data Architecture,untraced,verified,,tests/db/schema-invariants.test.ts,,,,Every governed entity shall use immutable globally unique identifiers.
EDM-000004,P03,Data Architecture,untraced,verified,,,,,,Versioned entities shall preserve historical versions and effective dates.
EDM-000005,P03,Data Architecture,untraced,verified,,,,,,Business records shall use governed lifecycle states rather than uncontrolled physical deletion.
EDM-000006,P03,Data Architecture,traced_tested,verified,derived,supabase/migrations/0050_audit_request_context.sql,TR-033,TBL-audit_events,TST-db-rls TST-db-operations,Every mutable record shall capture creation and last-change actor and timestamp.
EDM-000007,P03,Data Architecture,untraced,not_verified,,,,,,Mutable records shall support version checks to prevent lost updates.
EDM-000008,P03,Data Architecture,traced_tested,verified,derived,,TR-041,TBL-services TBL-tasks TBL-assemblies TBL-materials TBL-cost_codes UI-libraries,TST-db-seed TST-db-rls,Codes and enumerations shall be represented through governed reference sets.
EDM-000009,P03,Data Architecture,untraced,not_verified,,,,,,Tenant custom fields shall use typed governed definitions and values.
EDM-000010,P03,Data Architecture,untraced,not_verified,,,,,,Each entity and field shall have an accountable data owner.
EDM-000011,P03,Data Architecture,untraced,verified,,,,,,Each governed field shall declare its authoritative source.
EDM-000012,P03,Data Architecture,traced_tested,not_verified,derived,,TR-039,RPT-reporting_project_financials RPT-reporting_labor_productivity RPT-reporting_safety_summary RPT-reporting_bid_performance TBL-metric_definitions UI-reports,TST-db-semantic,"Required, optional, unknown, not applicable, and withheld values shall be distinguishable where material."
EDM-000013,P03,Data Architecture,traced_tested,verified,derived,tests/db/schema-invariants.test.ts,TR-011,ENG-001,TST-engine-numeric,"Numeric values shall store declared precision, scale, and unit or currency context."
EDM-000014,P03,Data Architecture,untraced,verified,,tests/db/schema-invariants.test.ts,,,,Timestamps shall use UTC with source timezone where business meaning requires it.
EDM-000015,P03,Data Architecture,untraced,verified,,,,,,"Rates, assignments, relationships, and classifications shall support effective-date ranges."
EDM-000016,P03,Data Architecture,untraced,verified,,,,,,External or business keys shall not replace immutable internal identifiers.
EDM-000017,P03,Data Architecture,untraced,verified,,,,,,References shall enforce compatible tenant and lifecycle constraints.
EDM-000018,P03,Data Architecture,traced_tested,not_verified,derived,,TR-003,ENG-005 TBL-crews TBL-crew_members TBL-labor_rates TBL-employees TBL-time_entries,TST-engine-resources,Every entity shall inherit or define data security classification.
EDM-000019,P03,Data Architecture,untraced,not_verified,,,,,,Records shall map to retention and legal-hold policies.
EDM-000020,P03,Data Architecture,untraced,verified,,,,,,"Imported, calculated, converted, and AI-generated values shall preserve lineage."
EDM-000021,P03,Data Architecture,traced_tested,not_verified,derived,,TR-032,TBL-roles TBL-user_profiles TBL-company_memberships ENG-014,TST-db-rls TST-fn-api-gateway,Imported records shall preserve source system and external identifier.
EDM-000022,P03,Data Architecture,untraced,verified,,,,,,"Party, vendor, customer, project, and resource master data shall support duplicate detection."
EDM-000023,P03,Data Architecture,untraced,not_verified,,,,,,"Master-record merges shall preserve aliases, lineage, audit, and reversal evidence."
EDM-000024,P03,Data Architecture,untraced,not_verified,,,,,,Parties and business objects shall support typed effective-dated relationships.
EDM-000025,P03,Data Architecture,untraced,not_verified,,,,,,"Legal entities, business units, branches, teams, and projects shall support hierarchical relationships."
EDM-000026,P03,Data Architecture,traced_tested,not_verified,derived,,TR-012,TBL-projects TBL-project_tasks TBL-project_costs UI-projects UI-project-detail,TST-db-operations,"Projects shall support programs, parent projects, phases, areas, and work packages."
EDM-000027,P03,Data Architecture,traced_tested,verified,derived,,TR-012,TBL-projects TBL-project_tasks TBL-project_costs UI-projects UI-project-detail,TST-db-operations,Work records shall support WBS and cost-code structures without hardcoding one industry.
EDM-000028,P03,Data Architecture,traced_tested,verified,derived,,TR-001 TR-033,ENG-003 ENG-009 TBL-estimates TBL-estimate_versions TBL-estimate_line_items UI-estimate-workspace UI-estimates TBL-audit_events,TST-engine-quantity TST-engine-estimate TST-db-rls TST-db-operations,Released estimate versions shall be immutable.
EDM-000029,P03,Data Architecture,traced_tested,verified,derived,,TR-001,ENG-003 ENG-009 TBL-estimates TBL-estimate_versions TBL-estimate_line_items UI-estimate-workspace UI-estimates,TST-engine-quantity TST-engine-estimate,"Estimate lines shall retain quantity, production, resource, rate, markup, and source provenance."
EDM-000030,P03,Data Architecture,untraced,verified,,,,,,"Resource assignments and rates shall support labor, crew, equipment, material, and service resource types."
EDM-000031,P03,Data Architecture,untraced,not_verified,,,,,,"Rates shall include location, source, currency, unit, and effective periods."
EDM-000032,P03,Data Architecture,untraced,verified,,supabase/migrations/0046_commitments_to_job_cost.sql,,,,"Budget, commitment, actual, forecast, invoice, and payment records shall remain distinct."
EDM-000033,P03,Data Architecture,untraced,verified,,supabase/migrations/0044_labor_to_job_cost.sql,,,,Cost transactions shall balance required dimensions and preserve source documents.
EDM-000034,P03,Data Architecture,untraced,not_verified,,,,,,Money values shall always include currency.
EDM-000035,P03,Data Architecture,untraced,verified,,,,,,Quantities shall always include unit and dimension.
EDM-000036,P03,Data Architecture,untraced,not_verified,,,,,,Tax calculations shall reference explicit jurisdiction and rule versions.
EDM-000037,P03,Data Architecture,traced_tested,verified,derived,,TR-026 TR-032,TBL-documents TBL-document_versions TBL-document_sheets TBL-document_extractions ENG-013 UI-plans TBL-roles TBL-user_profiles TBL-company_memberships ENG-014,TST-fn-ingestion TST-web-plans TST-db-rls TST-fn-api-gateway,Documents shall have a stable logical identity independent of content versions.
EDM-000038,P03,Data Architecture,traced_tested,verified,derived,,TR-026 TR-033,TBL-documents TBL-document_versions TBL-document_sheets TBL-document_extractions ENG-013 UI-plans TBL-audit_events,TST-fn-ingestion TST-web-plans TST-db-rls TST-db-operations,Accepted document versions shall be immutable and checksummed.
EDM-000039,P03,Data Architecture,traced_tested,not_verified,derived,,TR-004,ENG-005 TBL-equipment TBL-equipment_rates TBL-assets,TST-engine-resources TST-db-fleet,Documents shall link to any supported business object without duplicating content.
EDM-000040,P03,Data Architecture,traced_tested,not_verified,derived,,TR-033,TBL-audit_events,TST-db-rls TST-db-operations,"Electronic signatures shall preserve signer, method, timestamp, hash, and document version."
EDM-000041,P03,Data Architecture,untraced,verified,,supabase/migrations/0047_surface_georeference.sql,,,,Geometry shall declare its coordinate reference system.
EDM-000042,P03,Data Architecture,untraced,verified,,,,,,Business entities shall reference geometry without forcing all geometry into transactional tables.
EDM-000043,P03,Data Architecture,untraced,not_verified,,,,,,Linear projects shall support station ranges and offsets.
EDM-000044,P03,Data Architecture,untraced,not_verified,,,,,,"Projects, sites, taxes, permits, and compliance records shall reference jurisdiction."
EDM-000045,P03,Data Architecture,traced_tested,verified,derived,,TR-024,TBL-safety_incidents TBL-safety_observations TBL-toolbox_talks UI-safety RPT-reporting_safety_summary,TST-db-safety TST-db-semantic,"Incidents, inspections, observations, and corrective actions shall link to project, location, people, and evidence."
EDM-000046,P03,Data Architecture,untraced,verified,,,,,,"Qualifications shall preserve issuer, type, dates, status, and evidence."
EDM-000047,P03,Data Architecture,traced_tested,verified,derived,,TR-030,AI-001 TBL-ai_agents TBL-ai_findings TBL-ai_prompts TBL-ai_models,TST-fn-plan-analysis TST-web-plans,"AI-created or modified values shall identify agent, model, prompt, evidence, and execution."
EDM-000048,P03,Data Architecture,traced_tested,verified,derived,,TR-030,AI-001 TBL-ai_agents TBL-ai_findings TBL-ai_prompts TBL-ai_models,TST-fn-plan-analysis TST-web-plans,AI recommendations shall remain separate from committed business records until authorized writeback.
EDM-000049,P03,Data Architecture,untraced,not_verified,,,,,,Feedback shall link to the exact system or AI output version being evaluated.
EDM-000050,P03,Data Architecture,untraced,not_verified,,,,,,Domain events shall use a standard tenant-aware versioned envelope.
EDM-000051,P03,Data Architecture,untraced,not_verified,,,,,,Material record changes shall emit change metadata or domain events.
EDM-000052,P03,Data Architecture,traced_tested,verified,derived,,TR-035,ENG-014 TBL-api_keys TBL-api_requests UI-api-access,TST-fn-api-gateway,API schemas shall map directly to canonical entities or declared view models.
EDM-000053,P03,Data Architecture,traced_tested,verified,derived,,TR-039,RPT-reporting_project_financials RPT-reporting_labor_productivity RPT-reporting_safety_summary RPT-reporting_bid_performance TBL-metric_definitions UI-reports,TST-db-semantic,Operational entities shall support governed reporting views without duplicating source truth.
EDM-000054,P03,Data Architecture,traced_tested,verified,derived,,TR-042,TBL-knowledge_articles,TST-db-operations,Search documents shall remain derivative and traceable to canonical records.
EDM-000055,P03,Data Architecture,untraced,not_verified,,,,,,Imports shall validate in staging before committed writes.
EDM-000056,P03,Data Architecture,untraced,verified,,,,,,"Exports shall include identifiers, versions, units, currencies, and lineage needed for interpretation."
EDM-000057,P03,Data Architecture,untraced,verified,,,,,,Breaking schema changes shall require versioned migration and compatibility plans.
EDM-000058,P03,Data Architecture,untraced,not_verified,,,,,,Published event and API contracts shall follow declared compatibility windows.
EDM-000059,P03,Data Architecture,traced_tested,not_verified,derived,,TR-025,TBL-inspections TBL-deficiencies,TST-db-safety,"Critical fields shall have completeness, validity, uniqueness, consistency, and timeliness measures."
EDM-000060,P03,Data Architecture,traced_tested,not_verified,derived,,TR-025,TBL-inspections TBL-deficiencies,TST-db-safety,Failed quality rules shall create reviewable exceptions rather than silent correction.
EDM-000061,P03,Data Architecture,untraced,not_verified,,,,,,Sensitive fields shall support masking and tokenization policies.
EDM-000062,P03,Data Architecture,traced_tested,not_verified,derived,,TR-025,TBL-inspections TBL-deficiencies,TST-db-safety,Highly sensitive data shall support field-level encryption metadata where required.
EDM-000063,P03,Data Architecture,untraced,not_verified,,,,,,Entity storage classes shall support region and residency constraints.
EDM-000064,P03,Data Architecture,untraced,not_verified,,,,,,Archived records shall retain resolvable identifiers and access controls.
EDM-000065,P03,Data Architecture,untraced,not_verified,,,,,,Legal hold shall suspend deletion and archival expiration.
EDM-000066,P03,Data Architecture,untraced,verified,,,,,,Deletion or archival shall not orphan governed references.
EDM-000067,P03,Data Architecture,untraced,verified,,tests/db/schema-invariants.test.ts,,,,Materialized reporting views shall identify refresh time and source versions.
EDM-000068,P03,Data Architecture,untraced,verified,,supabase/migrations/0053_cost_to_complete.sql,,,,Calculated values shall preserve formula or rule version and input lineage.
EDM-000069,P03,Data Architecture,traced_tested,verified,derived,,TR-007,ENG-008 TBL-estimate_assumptions,TST-engine-confidence,Estimated or inferred values shall support confidence and review status.
EDM-000070,P03,Data Architecture,untraced,not_verified,,,,,,"Entities shall support governed tags, notes, attachments, and custom fields."
EDM-000071,P03,Data Architecture,untraced,not_verified,,,,,,"Names, addresses, dates, numbers, units, and currencies shall support locale-aware presentation."
EDM-000072,P03,Data Architecture,untraced,not_verified,,,,,,Core tenant data shall be exportable in documented machine-readable formats.
EDM-000073,P03,Data Architecture,traced_tested,verified,derived,,TR-041,TBL-services TBL-tasks TBL-assemblies TBL-materials TBL-cost_codes UI-libraries,TST-db-seed TST-db-rls,Required reference sets shall be supplied as versioned seed data.
EDM-000074,P03,Data Architecture,untraced,verified,,,,,,Non-production test data shall be synthetic or de-identified.
EDM-000075,P03,Data Architecture,untraced,not_verified,,,,,,"Migrations shall reconcile counts, totals, rejected records, and lineage."
GES-P04-REQ-001,P04,Registry and ownership,untraced,not_verified,,,,,,The platform shall provide governed registry and ownership capabilities for the Master Library Registry.
GES-P04-REQ-002,P04,Canonical identifiers,untraced,verified,,,,,,The platform shall provide governed canonical identifiers capabilities for the Master Library Registry.
GES-P04-REQ-003,P04,Tenant isolation,traced_tested,verified,derived,,TR-031,TBL-companies TBL-company_memberships TBL-enterprise_groups,TST-db-rls TST-gov-registry,The platform shall provide governed tenant isolation capabilities for the Master Library Registry.
GES-P04-REQ-004,P04,Global inheritance,untraced,verified,,,,,,The platform shall provide governed global inheritance capabilities for the Master Library Registry.
