engine_id,name,type,purpose,governance
P18-ENG-032,Weather Impact Engine,Deterministic,"Provides weather impact engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-033,Forecast Completion Engine,Deterministic,"Provides forecast completion engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-034,Milestone Forecast Engine,Deterministic,"Provides milestone forecast engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-035,Scenario Engine,Deterministic,"Provides scenario engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-036,What-If Engine,Deterministic,"Provides what-if engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-037,Schedule Risk Engine,Deterministic,"Provides schedule risk engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-038,Confidence Date Engine,Deterministic,"Provides confidence date engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-039,Sensitivity Engine,Deterministic,"Provides sensitivity engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-040,Recovery Planning Engine,Deterministic,"Provides recovery planning engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-041,Acceleration Engine,Deterministic,"Provides acceleration engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-042,Crash Analysis Engine,Deterministic,"Provides crash analysis engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-043,Fast-Track Analysis Engine,Deterministic,"Provides fast-track analysis engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-044,Delay Impact Engine,Deterministic,"Provides delay impact engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-045,Fragnet Engine,Deterministic,"Provides fragnet engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-046,Time Impact Analysis Engine,Deterministic,"Provides time impact analysis engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-047,Portfolio Capacity Engine,Deterministic,"Provides portfolio capacity engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-048,Backlog Demand Engine,Deterministic,"Provides backlog demand engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-049,Cash Flow Curve Engine,Deterministic,"Provides cash flow curve engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-050,Schedule-Cost Integration Engine,Deterministic,"Provides schedule-cost integration engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-051,Schedule Quality Engine,Deterministic,"Provides schedule quality engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-052,Schedule Alert Engine,Deterministic,"Provides schedule alert engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-053,Schedule KPI Engine,Deterministic,"Provides schedule kpi engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-054,Delay Prediction Engine,AI-assisted,"Provides delay prediction engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-055,AI Constraint Detection Engine,AI-assisted,"Provides ai constraint detection engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-056,AI Recovery Recommendation Engine,AI-assisted,"Provides ai recovery recommendation engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-057,Evidence Retrieval Engine,AI-assisted,"Provides evidence retrieval engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-058,AI Confidence Engine,AI-assisted,"Provides ai confidence engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
P18-ENG-059,Scheduling Digital Twin Engine,AI-assisted,"Provides scheduling digital twin engine using governed schedule logic, calendars, resource data, progress and cross-phase evidence.","AI may recommend but cannot silently alter approved baselines, contractual milestones or committed resource plans"
