api_id,method,path,resource,security,control
P18-API-001,GET/POST,/api/v1/scheduling/schedules,schedules,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-039,GET/POST,/api/v1/scheduling/weather-impacts,weather-impacts,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-040,GET/POST,/api/v1/scheduling/risk-events,risk-events,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-041,GET/POST,/api/v1/scheduling/schedule-risk,schedule-risk,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-042,GET/POST,/api/v1/scheduling/scenarios,scenarios,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-043,GET/POST,/api/v1/scheduling/what-if,what-if,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-044,GET/POST,/api/v1/scheduling/recovery-plans,recovery-plans,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-045,GET/POST,/api/v1/scheduling/acceleration,acceleration,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-046,GET/POST,/api/v1/scheduling/delay-events,delay-events,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-047,GET/POST,/api/v1/scheduling/fragnets,fragnets,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-048,GET/POST,/api/v1/scheduling/time-impact-analysis,time-impact-analysis,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-049,GET/POST,/api/v1/scheduling/portfolio-capacity,portfolio-capacity,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-050,GET/POST,/api/v1/scheduling/backlog-demand,backlog-demand,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-051,GET/POST,/api/v1/scheduling/cash-flow,cash-flow,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-052,GET/POST,/api/v1/scheduling/schedule-cost-links,schedule-cost-links,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-053,GET/POST,/api/v1/scheduling/forecast-completion,forecast-completion,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-054,GET/POST,/api/v1/scheduling/forecast-milestones,forecast-milestones,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-055,GET/POST,/api/v1/scheduling/schedule-quality,schedule-quality,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-056,GET/POST,/api/v1/scheduling/narratives,narratives,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-057,GET/POST,/api/v1/scheduling/alerts,alerts,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-058,GET/POST,/api/v1/scheduling/ai-insights,ai-insights,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-059,GET/POST,/api/v1/scheduling/kpis,kpis,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-060,GET/POST,/api/v1/scheduling/digital-twin,digital-twin,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-061,GET/POST,/api/v1/scheduling/imports,imports,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-062,GET/POST,/api/v1/scheduling/exports,exports,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
P18-API-063,GET/POST,/api/v1/scheduling/audit-events,audit-events,OAuth2/JWT + RBAC/ABAC,Tenant/project/portfolio scoped; version and baseline aware; audited
