kpi_id,name,domain,definition,cadence,governance
P18-KPI-025,Truck Demand Variance,Delay & Impact Analysis,Governed metric definition for Truck Demand Variance.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-026,Material Need-Date Compliance,Portfolio Capacity Planning,Governed metric definition for Material Need-Date Compliance.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-027,Subcontractor Capacity Coverage,What-If & Scenario Planning,Governed metric definition for Subcontractor Capacity Coverage.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-028,Resource Leveling Exception Count,AI Schedule Intelligence,Governed metric definition for Resource Leveling Exception Count.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-029,Resource Smoothing Improvement,Scheduling Digital Twin,Governed metric definition for Resource Smoothing Improvement.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-030,Weather Impact Days,Enterprise Scheduling Core,Governed metric definition for Weather Impact Days.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-031,Schedule Risk P80 Finish,CPM Scheduling,Governed metric definition for Schedule Risk P80 Finish.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-032,Schedule Risk Exposure,Work Breakdown Structure,Governed metric definition for Schedule Risk Exposure.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-033,Recovery Plan Closure,Calendars & Shifts,Governed metric definition for Recovery Plan Closure.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-034,Acceleration Cost per Day Saved,Resource Planning,Governed metric definition for Acceleration Cost per Day Saved.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-035,Delay Event Aging,Resource Loading,Governed metric definition for Delay Event Aging.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-036,TIA Cycle Time,Resource Leveling,Governed metric definition for TIA Cycle Time.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-037,Earned Value Variance,Crew Planning,Governed metric definition for Earned Value Variance.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-038,Cost Performance Index,Equipment Planning,Governed metric definition for Cost Performance Index.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-039,Cash Flow Forecast Variance,Truck & Haul Planning,Governed metric definition for Cash Flow Forecast Variance.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-040,Portfolio Capacity Gap,Material Planning,Governed metric definition for Portfolio Capacity Gap.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-041,Backlog Coverage,Subcontractor Planning,Governed metric definition for Backlog Coverage.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-042,Critical Resource Bottleneck Count,Look-Ahead Planning,Governed metric definition for Critical Resource Bottleneck Count.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-043,Schedule Quality Score,Last Planner & Commitments,Governed metric definition for Schedule Quality Score.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-044,Open Logic Exceptions,Pull Planning,Governed metric definition for Open Logic Exceptions.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-045,Open Constraint Exceptions,Milestones & Contract Dates,Governed metric definition for Open Constraint Exceptions.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-046,AI Delay Prediction Precision,Baseline Management,Governed metric definition for AI Delay Prediction Precision.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-047,AI Constraint Finding Acceptance,Schedule Update Cycle,Governed metric definition for AI Constraint Finding Acceptance.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-048,AI Recovery Recommendation Acceptance,Progress Measurement,Governed metric definition for AI Recovery Recommendation Acceptance.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-049,AI Evidence Coverage,Cost & Schedule Integration,Governed metric definition for AI Evidence Coverage.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-050,Schedule Dashboard Adoption,Constraint Management,Governed metric definition for Schedule Dashboard Adoption.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-051,Scheduling Digital Twin Freshness,Weather & Calendar Impacts,Governed metric definition for Scheduling Digital Twin Freshness.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-052,Schedule Decision Cycle Time,Schedule Risk Analysis,Governed metric definition for Schedule Decision Cycle Time.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
