entity_id,name,domain,definition,key,governance
P16-ENT-001,Map,GIS Core,Canonical geospatial/survey/reality-capture entity for Map.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-014,SpatialIndex,Orthomosaic Management,Canonical geospatial/survey/reality-capture entity for SpatialIndex.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-015,Symbology,Surface & Terrain Models,Canonical geospatial/survey/reality-capture entity for Symbology.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-016,MapStyle,Volumes & Earthwork,Canonical geospatial/survey/reality-capture entity for MapStyle.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-017,SpatialBookmark,Progress & Change Detection,Canonical geospatial/survey/reality-capture entity for SpatialBookmark.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-018,SpatialQuery,Corridor & Linear Infrastructure,Canonical geospatial/survey/reality-capture entity for SpatialQuery.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-019,SpatialSelection,Utility Mapping,Canonical geospatial/survey/reality-capture entity for SpatialSelection.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-020,CoordinateReferenceSystem,GIS Field Collection,Canonical geospatial/survey/reality-capture entity for CoordinateReferenceSystem.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-021,HorizontalDatum,Reality Capture QA/QC,Canonical geospatial/survey/reality-capture entity for HorizontalDatum.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-022,VerticalDatum,Geofencing & Location Intelligence,Canonical geospatial/survey/reality-capture entity for VerticalDatum.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-023,GeoidModel,Drone Media & Inspection,Canonical geospatial/survey/reality-capture entity for GeoidModel.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-024,UnitSystem,Regulatory & Flight Compliance,Canonical geospatial/survey/reality-capture entity for UnitSystem.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-025,CoordinateTransformation,Survey Deliverables,Canonical geospatial/survey/reality-capture entity for CoordinateTransformation.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-026,TransformationGrid,Machine Control Handoff,Canonical geospatial/survey/reality-capture entity for TransformationGrid.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-027,SurveyProject,Spatial Analytics,Canonical geospatial/survey/reality-capture entity for SurveyProject.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-028,SurveyControlNetwork,AI Geospatial Intelligence,Canonical geospatial/survey/reality-capture entity for SurveyControlNetwork.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-029,ControlPoint,Geospatial Digital Twin,Canonical geospatial/survey/reality-capture entity for ControlPoint.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-030,Benchmark,GIS Core,Canonical geospatial/survey/reality-capture entity for Benchmark.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-031,Monument,Coordinate Reference Systems,Canonical geospatial/survey/reality-capture entity for Monument.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-032,Baseline,Survey Control,Canonical geospatial/survey/reality-capture entity for Baseline.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-033,Traverse,GNSS Survey,Canonical geospatial/survey/reality-capture entity for Traverse.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-034,TraverseLeg,Total Station Survey,Canonical geospatial/survey/reality-capture entity for TraverseLeg.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-035,ClosureCheck,Digital Levels,Canonical geospatial/survey/reality-capture entity for ClosureCheck.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-036,NetworkAdjustment,Construction Layout,Canonical geospatial/survey/reality-capture entity for NetworkAdjustment.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-037,AdjustmentResidual,Topographic Survey,Canonical geospatial/survey/reality-capture entity for AdjustmentResidual.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-038,SurveyObservation,Existing Conditions,Canonical geospatial/survey/reality-capture entity for SurveyObservation.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-039,ObservationSet,Drone Operations,Canonical geospatial/survey/reality-capture entity for ObservationSet.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-040,FieldBook,Photogrammetry,Canonical geospatial/survey/reality-capture entity for FieldBook.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-041,CrewSetup,LiDAR Reality Capture,Canonical geospatial/survey/reality-capture entity for CrewSetup.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-042,Instrument,Point Cloud Management,Canonical geospatial/survey/reality-capture entity for Instrument.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-043,InstrumentCalibration,Orthomosaic Management,Canonical geospatial/survey/reality-capture entity for InstrumentCalibration.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-044,GNSSReceiver,Surface & Terrain Models,Canonical geospatial/survey/reality-capture entity for GNSSReceiver.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-045,GNSSAntenna,Volumes & Earthwork,Canonical geospatial/survey/reality-capture entity for GNSSAntenna.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-046,GNSSObservation,Progress & Change Detection,Canonical geospatial/survey/reality-capture entity for GNSSObservation.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-047,RTKSession,Corridor & Linear Infrastructure,Canonical geospatial/survey/reality-capture entity for RTKSession.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-048,RTNConnection,Utility Mapping,Canonical geospatial/survey/reality-capture entity for RTNConnection.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-049,CorrectionSource,GIS Field Collection,Canonical geospatial/survey/reality-capture entity for CorrectionSource.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-050,BaseStation,Reality Capture QA/QC,Canonical geospatial/survey/reality-capture entity for BaseStation.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-051,RoverSession,Geofencing & Location Intelligence,Canonical geospatial/survey/reality-capture entity for RoverSession.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-052,StaticSession,Drone Media & Inspection,Canonical geospatial/survey/reality-capture entity for StaticSession.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-053,EpochObservation,Regulatory & Flight Compliance,Canonical geospatial/survey/reality-capture entity for EpochObservation.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-054,GNSSQualityResult,Survey Deliverables,Canonical geospatial/survey/reality-capture entity for GNSSQualityResult.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-055,TotalStation,Machine Control Handoff,Canonical geospatial/survey/reality-capture entity for TotalStation.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-056,TotalStationSetup,Spatial Analytics,Canonical geospatial/survey/reality-capture entity for TotalStationSetup.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-057,Backsight,AI Geospatial Intelligence,Canonical geospatial/survey/reality-capture entity for Backsight.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-058,Foresight,Geospatial Digital Twin,Canonical geospatial/survey/reality-capture entity for Foresight.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-059,Prism,GIS Core,Canonical geospatial/survey/reality-capture entity for Prism.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-060,PrismConstant,Coordinate Reference Systems,Canonical geospatial/survey/reality-capture entity for PrismConstant.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-061,StakeoutPoint,Survey Control,Canonical geospatial/survey/reality-capture entity for StakeoutPoint.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-062,StakeoutLine,GNSS Survey,Canonical geospatial/survey/reality-capture entity for StakeoutLine.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-063,StakeoutRecord,Total Station Survey,Canonical geospatial/survey/reality-capture entity for StakeoutRecord.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-064,AsStakedRecord,Digital Levels,Canonical geospatial/survey/reality-capture entity for AsStakedRecord.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-065,DigitalLevel,Construction Layout,Canonical geospatial/survey/reality-capture entity for DigitalLevel.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-066,LevelRun,Topographic Survey,Canonical geospatial/survey/reality-capture entity for LevelRun.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-067,LevelObservation,Existing Conditions,Canonical geospatial/survey/reality-capture entity for LevelObservation.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-068,LevelClosure,Drone Operations,Canonical geospatial/survey/reality-capture entity for LevelClosure.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-069,TopoPoint,Photogrammetry,Canonical geospatial/survey/reality-capture entity for TopoPoint.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-070,Breakline,LiDAR Reality Capture,Canonical geospatial/survey/reality-capture entity for Breakline.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-071,SurveyFeatureCode,Point Cloud Management,Canonical geospatial/survey/reality-capture entity for SurveyFeatureCode.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-072,TopoSurvey,Orthomosaic Management,Canonical geospatial/survey/reality-capture entity for TopoSurvey.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-073,ExistingConditionFeature,Surface & Terrain Models,Canonical geospatial/survey/reality-capture entity for ExistingConditionFeature.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-074,UtilityFeature,Volumes & Earthwork,Canonical geospatial/survey/reality-capture entity for UtilityFeature.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-075,UtilityLocate,Progress & Change Detection,Canonical geospatial/survey/reality-capture entity for UtilityLocate.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-076,PotholeRecord,Corridor & Linear Infrastructure,Canonical geospatial/survey/reality-capture entity for PotholeRecord.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-077,UtilityConfidence,Utility Mapping,Canonical geospatial/survey/reality-capture entity for UtilityConfidence.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-078,DroneAircraft,GIS Field Collection,Canonical geospatial/survey/reality-capture entity for DroneAircraft.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-079,DronePilot,Reality Capture QA/QC,Canonical geospatial/survey/reality-capture entity for DronePilot.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-080,DroneQualification,Geofencing & Location Intelligence,Canonical geospatial/survey/reality-capture entity for DroneQualification.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-081,DroneMission,Drone Media & Inspection,Canonical geospatial/survey/reality-capture entity for DroneMission.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-082,DroneFlight,Regulatory & Flight Compliance,Canonical geospatial/survey/reality-capture entity for DroneFlight.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-083,FlightPlan,Survey Deliverables,Canonical geospatial/survey/reality-capture entity for FlightPlan.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-084,FlightLog,Machine Control Handoff,Canonical geospatial/survey/reality-capture entity for FlightLog.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-085,FlightChecklist,Spatial Analytics,Canonical geospatial/survey/reality-capture entity for FlightChecklist.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-086,FlightAuthorization,AI Geospatial Intelligence,Canonical geospatial/survey/reality-capture entity for FlightAuthorization.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-087,AirspaceRecord,Geospatial Digital Twin,Canonical geospatial/survey/reality-capture entity for AirspaceRecord.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-088,NoFlyZone,GIS Core,Canonical geospatial/survey/reality-capture entity for NoFlyZone.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-089,SiteFlightRestriction,Coordinate Reference Systems,Canonical geospatial/survey/reality-capture entity for SiteFlightRestriction.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-090,DroneBattery,Survey Control,Canonical geospatial/survey/reality-capture entity for DroneBattery.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-091,BatteryCycle,GNSS Survey,Canonical geospatial/survey/reality-capture entity for BatteryCycle.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-092,DronePayload,Total Station Survey,Canonical geospatial/survey/reality-capture entity for DronePayload.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-093,CameraPayload,Digital Levels,Canonical geospatial/survey/reality-capture entity for CameraPayload.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-094,LiDARPayload,Construction Layout,Canonical geospatial/survey/reality-capture entity for LiDARPayload.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-095,DroneMaintenanceRecord,Topographic Survey,Canonical geospatial/survey/reality-capture entity for DroneMaintenanceRecord.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-096,DroneIncident,Existing Conditions,Canonical geospatial/survey/reality-capture entity for DroneIncident.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-097,DroneMedia,Drone Operations,Canonical geospatial/survey/reality-capture entity for DroneMedia.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-098,AerialPhoto,Photogrammetry,Canonical geospatial/survey/reality-capture entity for AerialPhoto.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-099,AerialVideo,LiDAR Reality Capture,Canonical geospatial/survey/reality-capture entity for AerialVideo.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-100,ImageSet,Point Cloud Management,Canonical geospatial/survey/reality-capture entity for ImageSet.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-101,CameraCalibration,Orthomosaic Management,Canonical geospatial/survey/reality-capture entity for CameraCalibration.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-102,GroundControlPoint,Surface & Terrain Models,Canonical geospatial/survey/reality-capture entity for GroundControlPoint.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-103,Checkpoint,Volumes & Earthwork,Canonical geospatial/survey/reality-capture entity for Checkpoint.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-104,TiePoint,Progress & Change Detection,Canonical geospatial/survey/reality-capture entity for TiePoint.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-105,PhotogrammetryProject,Corridor & Linear Infrastructure,Canonical geospatial/survey/reality-capture entity for PhotogrammetryProject.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-106,PhotogrammetryProcessingRun,Utility Mapping,Canonical geospatial/survey/reality-capture entity for PhotogrammetryProcessingRun.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-107,Orthomosaic,GIS Field Collection,Canonical geospatial/survey/reality-capture entity for Orthomosaic.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-108,OrthomosaicTile,Reality Capture QA/QC,Canonical geospatial/survey/reality-capture entity for OrthomosaicTile.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-109,LiDARSurvey,Geofencing & Location Intelligence,Canonical geospatial/survey/reality-capture entity for LiDARSurvey.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-110,LiDARStrip,Drone Media & Inspection,Canonical geospatial/survey/reality-capture entity for LiDARStrip.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-111,LiDARTrajectory,Regulatory & Flight Compliance,Canonical geospatial/survey/reality-capture entity for LiDARTrajectory.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-112,LiDARCalibration,Survey Deliverables,Canonical geospatial/survey/reality-capture entity for LiDARCalibration.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-113,PointCloud,Machine Control Handoff,Canonical geospatial/survey/reality-capture entity for PointCloud.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-114,PointCloudTile,Spatial Analytics,Canonical geospatial/survey/reality-capture entity for PointCloudTile.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-115,PointClassification,AI Geospatial Intelligence,Canonical geospatial/survey/reality-capture entity for PointClassification.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-116,PointCloudRegistration,Geospatial Digital Twin,Canonical geospatial/survey/reality-capture entity for PointCloudRegistration.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-117,PointCloudClip,GIS Core,Canonical geospatial/survey/reality-capture entity for PointCloudClip.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-118,MeshModel,Coordinate Reference Systems,Canonical geospatial/survey/reality-capture entity for MeshModel.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-119,TINSurface,Survey Control,Canonical geospatial/survey/reality-capture entity for TINSurface.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-120,DEM,GNSS Survey,Canonical geospatial/survey/reality-capture entity for DEM.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-121,DSM,Total Station Survey,Canonical geospatial/survey/reality-capture entity for DSM.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-122,DTM,Digital Levels,Canonical geospatial/survey/reality-capture entity for DTM.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-123,SurfaceVersion,Construction Layout,Canonical geospatial/survey/reality-capture entity for SurfaceVersion.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-124,SurfaceComparison,Topographic Survey,Canonical geospatial/survey/reality-capture entity for SurfaceComparison.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-125,ContourSet,Existing Conditions,Canonical geospatial/survey/reality-capture entity for ContourSet.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-126,CrossSection,Drone Operations,Canonical geospatial/survey/reality-capture entity for CrossSection.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-127,Profile,Photogrammetry,Canonical geospatial/survey/reality-capture entity for Profile.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-128,Alignment,LiDAR Reality Capture,Canonical geospatial/survey/reality-capture entity for Alignment.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-129,StationRange,Point Cloud Management,Canonical geospatial/survey/reality-capture entity for StationRange.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-130,CorridorModel,Orthomosaic Management,Canonical geospatial/survey/reality-capture entity for CorridorModel.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-131,RoadCenterline,Surface & Terrain Models,Canonical geospatial/survey/reality-capture entity for RoadCenterline.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-132,UtilityAlignment,Volumes & Earthwork,Canonical geospatial/survey/reality-capture entity for UtilityAlignment.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-133,VolumeCalculation,Progress & Change Detection,Canonical geospatial/survey/reality-capture entity for VolumeCalculation.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-134,CutFillResult,Corridor & Linear Infrastructure,Canonical geospatial/survey/reality-capture entity for CutFillResult.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-135,Stockpile,Utility Mapping,Canonical geospatial/survey/reality-capture entity for Stockpile.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-136,StockpileVolume,GIS Field Collection,Canonical geospatial/survey/reality-capture entity for StockpileVolume.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-137,EarthworkArea,Reality Capture QA/QC,Canonical geospatial/survey/reality-capture entity for EarthworkArea.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-138,BorrowArea,Geofencing & Location Intelligence,Canonical geospatial/survey/reality-capture entity for BorrowArea.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-139,WasteArea,Drone Media & Inspection,Canonical geospatial/survey/reality-capture entity for WasteArea.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-140,QuantityEvidence,Regulatory & Flight Compliance,Canonical geospatial/survey/reality-capture entity for QuantityEvidence.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-141,SwellShrinkAssumption,Survey Deliverables,Canonical geospatial/survey/reality-capture entity for SwellShrinkAssumption.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-142,ProgressCapture,Machine Control Handoff,Canonical geospatial/survey/reality-capture entity for ProgressCapture.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-143,ProgressComparison,Spatial Analytics,Canonical geospatial/survey/reality-capture entity for ProgressComparison.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-144,ChangeDetection,AI Geospatial Intelligence,Canonical geospatial/survey/reality-capture entity for ChangeDetection.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-145,ElevationDelta,Geospatial Digital Twin,Canonical geospatial/survey/reality-capture entity for ElevationDelta.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-146,PercentCompleteObservation,GIS Core,Canonical geospatial/survey/reality-capture entity for PercentCompleteObservation.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-147,Geofence,Coordinate Reference Systems,Canonical geospatial/survey/reality-capture entity for Geofence.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-148,ExclusionZone,Survey Control,Canonical geospatial/survey/reality-capture entity for ExclusionZone.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-149,WorkZone,GNSS Survey,Canonical geospatial/survey/reality-capture entity for WorkZone.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-150,HaulRoute,Total Station Survey,Canonical geospatial/survey/reality-capture entity for HaulRoute.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-151,SpatialAlert,Digital Levels,Canonical geospatial/survey/reality-capture entity for SpatialAlert.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-152,FieldMapPackage,Construction Layout,Canonical geospatial/survey/reality-capture entity for FieldMapPackage.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-153,OfflineMapPackage,Topographic Survey,Canonical geospatial/survey/reality-capture entity for OfflineMapPackage.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
