field_id,field_name,domain,type,required,definition,validation
P17-FLD-072,record_id_2,Trenching & Utilities,string/number/date/boolean,Conditional,Governed machine-control field record_id_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-073,machine_id_2,Road & Highway Machine Control,string/number/date/boolean,Conditional,Governed machine-control field machine_id_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-074,operator_id_2,Site Models & Job Files,string/number/date/boolean,Conditional,Governed machine-control field operator_id_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-075,job_id_2,Field Data Sync,string/number/date/boolean,Conditional,Governed machine-control field job_id_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-076,model_id_2,Machine Telemetry Integration,string/number/date/boolean,Conditional,Governed machine-control field model_id_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-077,model_version_2,Operator Interface,string/number/date/boolean,Conditional,Governed machine-control field model_version_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-078,localization_id_2,Safety & Exclusion Controls,string/number/date/boolean,Conditional,Governed machine-control field localization_id_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-079,localization_version_2,Design Change Management,string/number/date/boolean,Conditional,Governed machine-control field localization_version_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-080,crs_code_2,As-Built & Production Capture,string/number/date/boolean,Conditional,Governed machine-control field crs_code_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-081,horizontal_datum_2,Quality Assurance,string/number/date/boolean,Conditional,Governed machine-control field horizontal_datum_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-082,vertical_datum_2,Field Automation,string/number/date/boolean,Conditional,Governed machine-control field vertical_datum_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-083,geoid_model_2,Remote Support & Diagnostics,string/number/date/boolean,Conditional,Governed machine-control field geoid_model_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-084,unit_code_2,Device & Firmware Management,string/number/date/boolean,Conditional,Governed machine-control field unit_code_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-085,device_id_2,Vendor/Platform Interoperability,string/number/date/boolean,Conditional,Governed machine-control field device_id_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-086,device_serial_2,AI Machine Intelligence,string/number/date/boolean,Conditional,Governed machine-control field device_serial_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-087,firmware_version_2,Machine Control Digital Twin,string/number/date/boolean,Conditional,Governed machine-control field firmware_version_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-088,software_version_2,Machine Control Core,string/number/date/boolean,Conditional,Governed machine-control field software_version_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-089,attachment_id_2,GPS/GNSS Positioning,string/number/date/boolean,Conditional,Governed machine-control field attachment_id_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-090,guidance_mode_2,Localization & Calibration,string/number/date/boolean,Conditional,Governed machine-control field guidance_mode_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-091,auto_control_enabled_2,3D Models & Surfaces,string/number/date/boolean,Conditional,Governed machine-control field auto_control_enabled_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-092,position_quality_2,2D Guidance,string/number/date/boolean,Conditional,Governed machine-control field position_quality_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-093,horizontal_accuracy_2,3D Guidance,string/number/date/boolean,Conditional,Governed machine-control field horizontal_accuracy_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-094,vertical_accuracy_2,Automatic Grade Control,string/number/date/boolean,Conditional,Governed machine-control field vertical_accuracy_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-095,cut_fill_2,Excavator Guidance,string/number/date/boolean,Conditional,Governed machine-control field cut_fill_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-096,design_elevation_2,Dozer Guidance,string/number/date/boolean,Conditional,Governed machine-control field design_elevation_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-097,measured_elevation_2,Grader Guidance,string/number/date/boolean,Conditional,Governed machine-control field measured_elevation_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-098,slope_2,Compactor Guidance,string/number/date/boolean,Conditional,Governed machine-control field slope_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-099,cross_slope_2,Loader & Material Handling,string/number/date/boolean,Conditional,Governed machine-control field cross_slope_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-100,station_2,Paver/Milling Guidance,string/number/date/boolean,Conditional,Governed machine-control field station_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-101,offset_2,Trenching & Utilities,string/number/date/boolean,Conditional,Governed machine-control field offset_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-102,chainage_2,Road & Highway Machine Control,string/number/date/boolean,Conditional,Governed machine-control field chainage_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-103,pass_count_2,Site Models & Job Files,string/number/date/boolean,Conditional,Governed machine-control field pass_count_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-104,coverage_percent_2,Field Data Sync,string/number/date/boolean,Conditional,Governed machine-control field coverage_percent_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-105,compaction_target_2,Machine Telemetry Integration,string/number/date/boolean,Conditional,Governed machine-control field compaction_target_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-106,tolerance_value_2,Operator Interface,string/number/date/boolean,Conditional,Governed machine-control field tolerance_value_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-107,tolerance_status_2,Safety & Exclusion Controls,string/number/date/boolean,Conditional,Governed machine-control field tolerance_status_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-108,safety_status_2,Design Change Management,string/number/date/boolean,Conditional,Governed machine-control field safety_status_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-109,geofence_status_2,As-Built & Production Capture,string/number/date/boolean,Conditional,Governed machine-control field geofence_status_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-110,revision_status_2,Quality Assurance,string/number/date/boolean,Conditional,Governed machine-control field revision_status_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-111,sync_status_2,Field Automation,string/number/date/boolean,Conditional,Governed machine-control field sync_status_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-112,transfer_status_2,Remote Support & Diagnostics,string/number/date/boolean,Conditional,Governed machine-control field transfer_status_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-113,device_health_2,Device & Firmware Management,string/number/date/boolean,Conditional,Governed machine-control field device_health_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-114,telemetry_at_2,Vendor/Platform Interoperability,string/number/date/boolean,Conditional,Governed machine-control field telemetry_at_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-115,position_at_2,AI Machine Intelligence,string/number/date/boolean,Conditional,Governed machine-control field position_at_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-116,started_at_2,Machine Control Digital Twin,string/number/date/boolean,Conditional,Governed machine-control field started_at_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-117,ended_at_2,Machine Control Core,string/number/date/boolean,Conditional,Governed machine-control field ended_at_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-118,approved_at_2,GPS/GNSS Positioning,string/number/date/boolean,Conditional,Governed machine-control field approved_at_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-119,acknowledged_at_2,Localization & Calibration,string/number/date/boolean,Conditional,Governed machine-control field acknowledged_at_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-120,created_at_2,3D Models & Surfaces,string/number/date/boolean,Conditional,Governed machine-control field created_at_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-121,created_by_2,2D Guidance,string/number/date/boolean,Conditional,Governed machine-control field created_by_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-122,updated_at_2,3D Guidance,string/number/date/boolean,Conditional,Governed machine-control field updated_at_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-123,updated_by_2,Automatic Grade Control,string/number/date/boolean,Conditional,Governed machine-control field updated_by_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-124,source_system_2,Excavator Guidance,string/number/date/boolean,Conditional,Governed machine-control field source_system_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-125,source_record_id_2,Dozer Guidance,string/number/date/boolean,Conditional,Governed machine-control field source_record_id_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-126,lineage_id_2,Grader Guidance,string/number/date/boolean,Conditional,Governed machine-control field lineage_id_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-127,evidence_uri_2,Compactor Guidance,string/number/date/boolean,Conditional,Governed machine-control field evidence_uri_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-128,checksum_2,Loader & Material Handling,string/number/date/boolean,Conditional,Governed machine-control field checksum_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-129,confidence_score_2,Paver/Milling Guidance,string/number/date/boolean,Conditional,Governed machine-control field confidence_score_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-130,human_review_status_2,Trenching & Utilities,string/number/date/boolean,Conditional,Governed machine-control field human_review_status_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-131,manual_override_reason_2,Road & Highway Machine Control,string/number/date/boolean,Conditional,Governed machine-control field manual_override_reason_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-132,design_change_id_2,Site Models & Job Files,string/number/date/boolean,Conditional,Governed machine-control field design_change_id_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-133,field_issue_id_2,Field Data Sync,string/number/date/boolean,Conditional,Governed machine-control field field_issue_id_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-134,production_quantity_2,Machine Telemetry Integration,string/number/date/boolean,Conditional,Governed machine-control field production_quantity_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-135,production_unit_2,Operator Interface,string/number/date/boolean,Conditional,Governed machine-control field production_unit_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-136,material_code_2,Safety & Exclusion Controls,string/number/date/boolean,Conditional,Governed machine-control field material_code_2.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-137,tenant_id_3,Design Change Management,string/number/date/boolean,Conditional,Governed machine-control field tenant_id_3.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-138,organization_id_3,As-Built & Production Capture,string/number/date/boolean,Conditional,Governed machine-control field organization_id_3.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-139,project_id_3,Quality Assurance,string/number/date/boolean,Conditional,Governed machine-control field project_id_3.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-140,record_id_3,Field Automation,string/number/date/boolean,Conditional,Governed machine-control field record_id_3.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-141,machine_id_3,Remote Support & Diagnostics,string/number/date/boolean,Conditional,Governed machine-control field machine_id_3.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-142,operator_id_3,Device & Firmware Management,string/number/date/boolean,Conditional,Governed machine-control field operator_id_3.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-143,job_id_3,Vendor/Platform Interoperability,string/number/date/boolean,Conditional,Governed machine-control field job_id_3.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-144,model_id_3,AI Machine Intelligence,string/number/date/boolean,Conditional,Governed machine-control field model_id_3.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-145,model_version_3,Machine Control Digital Twin,string/number/date/boolean,Conditional,Governed machine-control field model_version_3.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-146,localization_id_3,Machine Control Core,string/number/date/boolean,Conditional,Governed machine-control field localization_id_3.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-147,localization_version_3,GPS/GNSS Positioning,string/number/date/boolean,Conditional,Governed machine-control field localization_version_3.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-148,crs_code_3,Localization & Calibration,string/number/date/boolean,Conditional,Governed machine-control field crs_code_3.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-149,horizontal_datum_3,3D Models & Surfaces,string/number/date/boolean,Conditional,Governed machine-control field horizontal_datum_3.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
P17-FLD-150,vertical_datum_3,2D Guidance,string/number/date/boolean,Conditional,Governed machine-control field vertical_datum_3.,"Validate scope, approved model/localization revision, units, device compatibility, safety state, lineage and permissions"
