api_id,method,path,resource,security,control
P19-API-001,GET/POST,/api/v1/commercial/contracts,contracts,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-023,GET/POST,/api/v1/commercial/claim-chronologies,claim-chronologies,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-024,GET/POST,/api/v1/commercial/claim-costs,claim-costs,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-025,GET/POST,/api/v1/commercial/claim-time,claim-time,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-026,GET/POST,/api/v1/commercial/claim-evidence,claim-evidence,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-027,GET/POST,/api/v1/commercial/delay-events,delay-events,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-028,GET/POST,/api/v1/commercial/disruption-events,disruption-events,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-029,GET/POST,/api/v1/commercial/acceleration-events,acceleration-events,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-030,GET/POST,/api/v1/commercial/differing-site-conditions,differing-site-conditions,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-031,GET/POST,/api/v1/commercial/scope-changes,scope-changes,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-032,GET/POST,/api/v1/commercial/payment-applications,payment-applications,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-033,GET/POST,/api/v1/commercial/retainage,retainage,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-034,GET/POST,/api/v1/commercial/backcharges,backcharges,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-035,GET/POST,/api/v1/commercial/allowances,allowances,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-036,GET/POST,/api/v1/commercial/contingencies,contingencies,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-037,GET/POST,/api/v1/commercial/price-adjustments,price-adjustments,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-038,GET/POST,/api/v1/commercial/escalation,escalation,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-039,GET/POST,/api/v1/commercial/insurance,insurance,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-040,GET/POST,/api/v1/commercial/bonds,bonds,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-041,GET/POST,/api/v1/commercial/lien-waivers,lien-waivers,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-042,GET/POST,/api/v1/commercial/disputes,disputes,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-043,GET/POST,/api/v1/commercial/negotiations,negotiations,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-044,GET/POST,/api/v1/commercial/settlements,settlements,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-045,GET/POST,/api/v1/commercial/commercial-forecasts,commercial-forecasts,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-046,GET/POST,/api/v1/commercial/margin-at-completion,margin-at-completion,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-047,GET/POST,/api/v1/commercial/closeout,closeout,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-048,GET/POST,/api/v1/commercial/ai-insights,ai-insights,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-049,GET/POST,/api/v1/commercial/kpis,kpis,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-050,GET/POST,/api/v1/commercial/digital-twin,digital-twin,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-051,GET/POST,/api/v1/commercial/audit-events,audit-events,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-052,GET/POST,/api/v1/commercial/imports,imports,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-053,GET/POST,/api/v1/commercial/exports,exports,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-054,GET/POST,/api/v1/commercial/templates,templates,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-055,GET/POST,/api/v1/commercial/jurisdiction-profiles,jurisdiction-profiles,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-056,GET/POST,/api/v1/commercial/evidence-links,evidence-links,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-057,GET/POST,/api/v1/commercial/schedule-links,schedule-links,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-058,GET/POST,/api/v1/commercial/cost-links,cost-links,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-059,GET/POST,/api/v1/commercial/document-links,document-links,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-060,GET/POST,/api/v1/commercial/rfi-links,rfi-links,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-061,GET/POST,/api/v1/commercial/submittal-links,submittal-links,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-062,GET/POST,/api/v1/commercial/procurement-links,procurement-links,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-063,GET/POST,/api/v1/commercial/subcontract-links,subcontract-links,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-064,GET/POST,/api/v1/commercial/payment-links,payment-links,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-065,GET/POST,/api/v1/commercial/commercial-alerts,commercial-alerts,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-066,GET/POST,/api/v1/commercial/commercial-reports,commercial-reports,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
P19-API-067,GET/POST,/api/v1/commercial/commercial-permissions,commercial-permissions,OAuth2/JWT + RBAC/ABAC,Tenant/project/contract scoped; authority/deadline/version aware; audited
