Requirement_ID,Specification,Entity_or_Data,Rules,Workflow,AI,Interfaces,Test_Cases,Release,Status
CPF-000030,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-030,Planned,Review
CPF-000031,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-031,Planned,Review
CPF-000032,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-032,Planned,Review
CPF-000033,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-033,Planned,Review
CPF-000034,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-034,Planned,Review
CPF-000035,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-035,Planned,Review
CPF-000036,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-036,Planned,Review
CPF-000037,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-037,Planned,Review
CPF-000038,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-038,Planned,Review
CPF-000039,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-039,Planned,Review
CPF-000040,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-040,Planned,Review
CPF-000041,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-041,Planned,Review
CPF-000042,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-042,Planned,Review
CPF-000043,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-043,Planned,Review
CPF-000044,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-044,Planned,Review
CPF-000045,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-045,Planned,Review
CPF-000046,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-046,Planned,Review
CPF-000047,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-047,Planned,Review
CPF-000048,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-048,Planned,Review
CPF-000049,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-049,Planned,Review
CPF-000050,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-050,Planned,Review
CPF-000051,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-051,Planned,Review
CPF-000052,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,AI Platform,API/UI/Reports,TEST-P02-052,Planned,Review
CPF-000053,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,AI Platform,API/UI/Reports,TEST-P02-053,Planned,Review
CPF-000054,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,AI Platform,API/UI/Reports,TEST-P02-054,Planned,Review
CPF-000055,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,AI Platform,API/UI/Reports,TEST-P02-055,Planned,Review
CPF-000056,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,AI Platform,API/UI/Reports,TEST-P02-056,Planned,Review
CPF-000057,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,AI Platform,API/UI/Reports,TEST-P02-057,Planned,Review
CPF-000058,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,AI Platform,API/UI/Reports,TEST-P02-058,Planned,Review
CPF-000059,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-059,Planned,Review
CPF-000060,GES-P02-001 Core Platform Specification,Entity/Service definitions,Business and validation rules,Core workflow,,API/UI/Reports,TEST-P02-060,Planned,Review
